'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
30:34.0,00:00.0,100,2,47,30,38,2358955,1697770,565309,1044290,519163,626642,214729,61738,,60784.89904,55104.52644,19940.75962,12854.81971
30:35.0,00:00.0,100,2,48,48,48,1014778,219058,237248,141779,77445,277862,17418,9104,,,,,
30:36.0,00:00.0,100,2,53,63,58,1205100,374718,297118,126266,244458,130353,81659,29779,,,,,
30:37.0,00:00.0,87,2,53,63,58,608086,19810,7142,8503,5372,7359,1154,456,,,,,
30:38.0,00:00.0,100,2,63,69,66,205900,45335,21190,6461,9635,8493,5386,2574,,,,,
30:39.0,00:00.0,100,4,50,60,55,761527,347422,82813,29745,24943,22968,11341,5139,,,,,
30:40.0,00:00.0,87,2,50,60,55,601576,8091,5226,425,11419,4106,1740,364,,,,,
30:41.0,00:00.0,100,2,30,50,40,1420601,427669,77403,54405,32570,34961,12959,5899,,,,,
30:42.0,00:00.0,100,2,40,43,41,2622717,56236,41534,25334,115070,52707,21705,5948,,,,,
30:43.0,00:00.0,100,2,48,41,44,315999,27900,7470,17696,20873,13835,4086,1650,,,,,
30:44.0,00:00.0,100,2,60,48,54,1825425,220108,103089,66340,122015,68067,9960,3437,,,,,
30:45.0,00:00.0,100,2,61,51,56,465070,58130,23499,4711,7821,5826,1753,500,,,,,
30:46.0,00:00.0,100,2,41,54,47,747095,61959,19437,16285,21346,3841,4290,1849,,,,,
30:47.0,00:00.0,100,2,40,60,50,6692,7851,6223,4576,5045,4922,5015,3854,,,,,
30:48.0,00:00.0,100,2,29,70,49,22087,14717,17152,10039,7988,2799,2658,1596,,,,,
30:49.0,00:00.0,100,2,44,64,54,2515,15869,1460,6015,9163,7232,3968,2654,,,,,
30:50.0,00:00.0,100,2,51,51,51,261474,129690,9766,11727,17950,15056,3554,2205,,,,,
30:51.0,00:00.0,100,2,37,43,40,52141,188356,57003,7304,13844,14174,1822,1961,,,,,
30:52.0,00:00.0,100,2,48,20,34,35535,24783,471,5091,3935,6079,3359,1256,,,,,
30:53.0,00:00.0,87,2,48,20,34,1787275,494017,36566,139201,72062,59424,11636,5611,,,,,
30:54.0,00:00.0,87,2,48,20,34,189965,47829,8735,31956,26244,32793,2648,1418,,,,,
30:55.0,00:00.0,87,2,48,20,34,1188844,15144,9384,6867,7393,9343,9090,502,,,,,
