'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
29:30.0,00:00.0,100,1,70,51,60,546792,37460,5518,19915,9656,7456,5089,2621,,13493.96429,10272.08824,5156.277311,2569.607143
29:31.0,00:00.0,100,1,61,44,52,298558,111313,9476,21648,10377,9487,5214,2624,,,,,
29:32.0,00:00.0,100,1,60,44,52,47845,61361,12401,5140,11787,8975,4423,1551,,,,,
29:33.0,00:00.0,100,1,63,53,58,55646,19567,25452,3578,20185,17824,7020,3946,,,,,
29:34.0,00:00.0,100,1,77,41,59,15731,15128,1807,2813,6574,9414,5486,1768,,,,,
29:35.0,00:00.0,100,1,84,53,68,10449,9757,3983,11096,8531,4115,6761,1987,,,,,
29:36.0,00:00.0,100,1,91,63,77,18933,22600,6658,18986,6787,10247,10545,3878,,,,,
29:37.0,00:00.0,100,1,84,56,70,181623,29529,6729,4304,6263,6771,2657,1730,,,,,
29:38.0,00:00.0,100,1,77,75,76,12049,4920,16081,6949,11871,5848,6485,4832,,,,,
29:39.0,00:00.0,100,1,78,70,74,16290,54617,18030,16902,5785,16095,5913,1772,,,,,
29:40.0,00:00.0,100,1,81,64,72,13208,16684,8893,3961,7979,11306,4803,3305,,,,,
29:41.0,00:00.0,100,1,77,83,80,39259,7848,36210,19962,16340,6539,5495,3386,,,,,
29:42.0,00:00.0,100,1,75,77,76,52850,29384,6920,16360,7851,8956,2714,1593,,,,,
29:43.0,00:00.0,100,1,75,77,76,43405,5945,1394,3170,1437,1847,771,781,,,,,
29:44.0,00:00.0,100,1,74,80,77,20542,15327,8318,5511,2048,10907,7073,968,,,,,
29:45.0,00:00.0,100,1,83,69,76,15467,13256,16859,7941,17288,10723,10266,2609,,,,,
29:46.0,00:00.0,100,1,70,60,65,557784,97531,9579,12322,17568,5849,2549,2527,,,,,
29:47.0,00:00.0,100,1,70,60,65,767796,18426,2618,8374,2652,5407,2572,319,,,,,
29:48.0,00:00.0,100,1,56,54,55,69390,28184,7602,1667,1558,2654,1556,600,,,,,
29:49.0,00:00.0,100,1,47,54,50,151543,27911,19286,7182,10724,5065,2911,3306,,,,,
29:50.0,00:00.0,100,2,61,48,54,228871,152810,13470,7684,29961,42741,6586,4449,,,,,
29:51.0,00:00.0,100,1,53,43,48,2147851,68290,10342,9110,5481,5435,1330,511,,,,,
29:52.0,00:00.0,100,1,74,44,59,312830,12089,8177,6319,17903,16945,5190,2208,,,,,
29:53.0,00:00.0,100,1,74,43,58,22002,55269,21491,12874,6199,6804,3369,1935,,,,,
29:54.0,00:00.0,100,1,69,61,65,32999,16710,4723,16877,7204,7599,3759,2399,,,,,
29:55.0,00:00.0,100,1,87,67,77,52195,16449,8656,27790,34278,21317,4934,2908,,,,,
29:56.0,00:00.0,100,1,75,54,64,48865,93777,7937,3587,21003,19121,4509,2975,,,,,
29:57.0,00:00.0,100,1,93,51,72,20598,7110,1773,7700,9177,10360,10310,1837,,,,,
29:58.0,00:00.0,100,1,100,47,73,5151,7868,11588,7651,25736,12513,5033,3150,,,,,
29:59.0,00:00.0,100,1,88,44,66,53271,62907,8935,24952,15781,9678,6599,3610,,,,,
30:00.0,00:00.0,100,1,83,51,67,31838,22262,3663,772,3134,3081,2778,611,,,,,
30:01.0,00:00.0,100,1,74,54,64,87398,40993,20823,14921,25344,14621,4484,2026,,,,,
30:02.0,00:00.0,100,1,56,53,54,16294,43324,11931,6971,4831,4400,2265,1776,,,,,
30:03.0,00:00.0,100,1,54,69,61,13042,19471,45439,32635,6643,7547,11136,4021,,,,,
30:04.0,00:00.0,100,1,56,75,65,13551,25046,2878,7235,3972,4676,4006,2785,,,,,
30:05.0,00:00.0,100,1,50,69,59,308081,48648,5134,17263,19324,6597,5202,2354,,,,,
30:06.0,00:00.0,100,1,54,63,58,537570,233468,29655,32151,59061,40445,5960,4768,,,,,
30:07.0,00:00.0,100,1,56,53,54,359317,54935,45440,10516,8486,9998,4612,1292,,,,,
30:08.0,00:00.0,100,1,48,56,52,127783,36787,9178,7997,7352,3146,3372,2584,,,,,
30:09.0,00:00.0,100,1,47,74,60,128497,18425,23374,31352,7602,5655,8658,3951,,,,,
30:10.0,00:00.0,100,2,38,77,57,1151456,127644,29669,11790,16405,7220,4990,671,,,,,
30:11.0,00:00.0,100,2,27,67,47,645481,57984,11472,7809,2110,2202,957,636,,,,,
30:12.0,00:00.0,100,2,43,70,56,344115,21361,19493,7312,10023,14711,12926,4870,,,,,
30:13.0,00:00.0,100,2,41,61,51,1096465,120137,46425,30025,10214,13967,13023,18773,,,,,
30:14.0,00:00.0,100,2,40,60,50,1856240,512847,105312,20589,14509,22338,11119,4492,,,,,
30:15.0,00:00.0,100,2,40,54,47,1084354,219576,33981,13659,21738,8919,10561,3908,,,,,
30:16.0,00:00.0,100,2,40,37,38,25234,15787,1236,2101,11046,6144,9421,5861,,,,,
30:17.0,00:00.0,100,4,43,29,36,2696170,359766,69878,54441,52225,48174,27537,11543,,,,,
30:18.0,00:00.0,100,1,57,41,49,977612,2501,971,2655,1166,1239,362,160,,,,,
30:19.0,00:00.0,100,1,61,40,50,137379,248650,22568,15435,10254,13266,22065,4796,,,,,
30:20.0,00:00.0,100,1,61,56,58,462915,24949,33550,8742,35975,18494,16327,8265,,,,,
30:21.0,00:00.0,100,1,69,63,66,194417,8969,12411,929,11306,6009,5657,5903,,,,,
30:22.0,00:00.0,100,1,80,54,67,97356,6957,7675,6054,19437,12809,2066,2922,,,,,
30:23.0,00:00.0,100,1,93,70,81,302939,8597,1445,10665,1357,4425,762,654,,,,,
30:24.0,00:00.0,100,1,90,61,75,7718,57147,9879,4273,3678,13641,11940,7585,,,,,
30:25.0,00:00.0,100,1,83,57,70,52547,40200,20960,5803,12988,9707,5591,1866,,,,,
30:26.0,00:00.0,100,1,70,64,67,469177,51467,47437,9108,7637,16908,7542,1289,,,,,
30:27.0,00:00.0,100,1,70,56,63,350038,34923,12380,3443,9131,9665,3211,4285,,,,,
30:28.0,00:00.0,100,1,83,64,73,13179,17890,9738,11569,8137,27206,5503,2172,,,,,
30:29.0,00:00.0,100,2,67,56,61,2231696,619032,81845,49488,187594,18069,14190,1910,,,,,
30:30.0,00:00.0,100,1,56,51,53,444385,19340,1816,8037,2364,1436,1554,2451,,,,,
30:31.0,00:00.0,100,1,54,50,52,95156,38245,2859,14790,19711,9116,5323,1668,,,,,
30:32.0,00:00.0,100,1,40,38,39,754545,23130,1433,2413,2556,3349,2527,469,,,,,
30:33.0,00:00.0,100,1,51,54,52,600482,34146,39996,7835,5186,8065,4767,5189,,,,,
30:34.0,00:00.0,100,1,67,53,60,717705,34165,10100,8880,6662,13678,6947,2531,,,,,
30:35.0,00:00.0,100,1,70,63,66,80351,19738,12485,23484,15720,14116,5729,3076,,,,,
30:36.0,00:00.0,100,1,69,81,75,31235,49903,18127,42358,9950,11509,2596,2091,,,,,
30:37.0,00:00.0,100,1,69,74,71,168923,97245,15647,45515,18664,15138,8557,1741,,,,,
30:38.0,00:00.0,100,1,70,78,74,42935,27349,25914,5140,11230,21047,6920,733,,,,,
30:39.0,00:00.0,100,1,63,75,69,7937,36035,13972,11002,11569,5296,5064,1878,,,,,
30:40.0,00:00.0,100,1,67,63,65,31607,38051,685,12599,5588,8883,10550,4569,,,,,
30:41.0,00:00.0,100,1,66,66,66,347624,10966,6106,1763,457,1659,451,344,,,,,
30:42.0,00:00.0,100,1,44,50,47,548538,239004,11833,17706,16318,10092,6216,2810,,,,,
30:43.0,00:00.0,100,1,43,35,39,150681,13945,1228,342,625,1068,347,180,,,,,
30:44.0,00:00.0,100,1,34,38,36,1033031,128141,36387,23186,23783,11640,18115,11844,,,,,
30:45.0,00:00.0,100,1,40,40,40,41845,32668,28333,14375,10969,12915,3882,4918,,,,,
30:46.0,00:00.0,100,1,54,48,51,98280,17068,2081,4316,4235,4385,1614,323,,,,,
30:47.0,00:00.0,100,1,67,57,62,22974,16301,3706,6896,14564,7650,3867,2542,,,,,
30:48.0,00:00.0,100,1,60,64,62,36863,15296,9742,4545,1733,819,669,187,,,,,
30:49.0,00:00.0,100,1,40,47,43,149480,318833,17990,15432,5504,6111,7388,2645,,,,,
30:50.0,00:00.0,100,1,29,43,36,123857,88300,11170,9266,7175,6254,2321,1693,,,,,
30:51.0,00:00.0,100,1,16,51,33,2333947,91295,32015,55982,22310,10743,7511,4397,,,,,
30:52.0,00:00.0,100,1,26,56,41,1410793,41131,74643,17609,22359,13259,6648,4314,,,,,
30:53.0,00:00.0,100,1,40,78,59,104786,42107,23264,30037,6222,7063,6809,3877,,,,,
30:54.0,00:00.0,100,1,50,84,67,17652,17372,7319,13382,27117,6376,4731,3625,,,,,
30:55.0,00:00.0,100,1,53,81,67,70789,12755,4013,3799,3577,2274,1658,459,,,,,
30:56.0,00:00.0,100,1,69,67,68,17532,9444,7073,5055,16150,11501,4436,1726,,,,,
30:57.0,00:00.0,100,1,67,63,65,25800,58049,24638,16545,3833,7028,3568,3840,,,,,
30:58.0,00:00.0,100,1,74,56,65,155863,8188,2278,750,3424,2692,2108,1577,,,,,
30:59.0,00:00.0,100,1,75,50,62,21835,33443,10177,5916,34067,6494,3472,1560,,,,,
31:00.0,00:00.0,100,1,67,53,60,9017,19220,6034,10591,12013,9647,9686,1729,,,,,
31:01.0,00:00.0,100,1,80,60,70,104429,6512,5086,6568,717,3883,2136,582,,,,,
