'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
50:55.0,00:00.0,100,3,24,81,52,143246,78909,28243,28378,22634,7574,4354,3695,,18332.10381,15531.28178,6190.200212,3888.068856
50:56.0,00:00.0,100,3,38,78,58,44072,40320,24374,8348,6618,16053,4520,1100,,,,,
50:57.0,00:00.0,100,2,40,66,53,705094,189718,30604,20282,27568,30815,9431,1441,,,,,
50:58.0,00:00.0,100,2,41,53,47,1506366,57580,3608,2552,4312,2745,702,356,,,,,
50:59.0,00:00.0,100,2,43,51,47,727442,115188,26057,34038,10532,9907,3362,1064,,,,,
51:00.0,00:00.0,100,2,47,51,49,104320,3769,8747,2240,11243,5018,1383,690,,,,,
51:01.0,00:00.0,100,2,53,67,60,1627009,27353,60156,9331,9986,21792,6109,2543,,,,,
51:02.0,00:00.0,100,2,57,83,70,341459,72627,35680,18853,6616,9282,7467,2273,,,,,
51:03.0,00:00.0,100,2,66,78,72,1469189,71110,12109,7412,11464,11394,3955,2558,,,,,
51:04.0,00:00.0,100,2,47,64,55,362389,121583,4372,11303,3775,6941,1721,641,,,,,
51:05.0,00:00.0,100,2,38,41,39,50326,132092,12073,1719,17911,15709,3080,4059,,,,,
51:06.0,00:00.0,100,2,38,27,32,871925,119155,3494,15276,7772,11078,8732,809,,,,,
51:07.0,00:00.0,100,2,29,34,31,43209,73270,28873,6257,12026,6541,4417,3759,,,,,
51:08.0,00:00.0,100,2,34,37,35,114207,75259,6907,6742,15775,4681,2159,1693,,,,,
51:09.0,00:00.0,100,2,24,66,45,311980,5922,29346,3064,3798,2076,771,398,,,,,
51:10.0,00:00.0,100,2,26,74,50,1903113,87548,26717,8584,2369,10307,1744,831,,,,,
51:11.0,00:00.0,100,2,44,70,57,413802,45309,14997,8181,11650,18725,5120,2260,,,,,
51:12.0,00:00.0,100,2,47,77,62,104545,26285,2919,5307,2413,2374,1617,454,,,,,
51:13.0,00:00.0,100,2,47,50,48,383825,155433,2300,21134,15624,10953,2128,2064,,,,,
51:14.0,00:00.0,100,2,54,43,48,1479144,88068,3049,15434,10672,19739,5128,3272,,,,,
51:15.0,00:00.0,100,2,30,41,35,48516,53615,9637,4320,7094,2444,1843,1279,,,,,
51:16.0,00:00.0,100,2,37,48,42,302957,11244,3229,5088,993,2299,863,249,,,,,
51:17.0,00:00.0,100,2,50,53,51,1199200,110676,34773,8904,35168,32349,21632,7923,,,,,
51:18.0,00:00.0,100,2,40,57,48,1123528,28021,7501,2471,2894,2710,1954,603,,,,,
51:19.0,00:00.0,100,2,64,61,62,30519,25141,6236,13875,23385,15897,11595,1754,,,,,
51:20.0,00:00.0,100,2,60,53,56,224117,220132,36044,29861,46352,20884,11070,2574,,,,,
51:21.0,00:00.0,100,2,47,51,49,237269,62482,9677,5166,4943,4970,787,448,,,,,
51:22.0,00:00.0,74,3,47,51,49,890045,106052,1836,9588,18005,20023,2207,1427,,,,,
51:23.0,00:00.0,87,3,47,51,49,170506,56228,10498,2659,1567,2205,554,191,,,,,
51:24.0,00:00.0,100,3,47,61,54,1263854,318627,86272,221888,27721,37806,9222,8412,,,,,
51:25.0,00:00.0,100,3,30,63,46,190155,82861,32596,14328,40307,13244,10938,1952,,,,,
51:26.0,00:00.0,100,3,26,67,46,316776,111561,58777,7674,13688,7175,5431,1839,,,,,
51:27.0,00:00.0,100,3,29,57,43,166184,174042,2622,9454,5444,16221,8864,3562,,,,,
51:28.0,00:00.0,100,3,26,53,39,597358,231374,72982,54258,60028,15153,5356,8781,,,,,
51:29.0,00:00.0,100,2,16,53,34,924818,134187,22741,30427,11786,6819,2894,2475,,,,,
51:30.0,00:00.0,100,2,13,48,30,249516,44098,1593,11824,2843,1995,1405,727,,,,,
51:31.0,00:00.0,100,2,20,61,40,60618,43142,18021,5166,19783,12125,6065,1315,,,,,
51:32.0,00:00.0,100,2,35,61,48,18646,19732,7912,7103,9995,6453,3941,1592,,,,,
51:33.0,00:00.0,100,1,53,70,61,199182,36113,25305,49802,10428,20845,7605,1233,,,,,
51:34.0,00:00.0,100,1,64,69,66,598938,29012,4277,4902,5244,3910,445,616,,,,,
51:35.0,00:00.0,74,5,64,69,66,1392254,104896,37499,106248,67813,32843,8103,4871,,,,,
51:36.0,00:00.0,87,5,64,69,66,65146,43648,9731,6125,5348,3374,1119,519,,,,,
51:37.0,00:00.0,100,5,57,78,67,143149,6946,6013,2582,2141,1498,196,142,,,,,
51:38.0,00:00.0,100,5,43,80,61,62500,77909,26199,22775,14579,5482,6205,1713,,,,,
51:39.0,00:00.0,87,5,43,80,61,989784,17522,6265,7220,7841,2925,657,350,,,,,
51:40.0,00:00.0,100,5,24,66,45,1780506,304423,77295,12043,38267,15069,6748,2804,,,,,
51:41.0,00:00.0,100,5,34,77,55,1260392,28220,19290,20758,11155,15528,6903,1748,,,,,
51:42.0,00:00.0,100,5,29,81,55,2080833,49422,74937,42237,23424,12267,9250,3375,,,,,
51:43.0,00:00.0,100,1,40,87,63,756884,75164,63034,30990,7403,16253,4928,1465,,,,,
51:44.0,00:00.0,100,2,47,97,72,1613657,110423,47550,124082,50276,22207,15812,4681,,,,,
51:45.0,00:00.0,74,5,47,97,72,1696447,231713,42987,45595,16283,27017,5394,2351,,,,,
51:46.0,00:00.0,100,5,34,96,65,380164,87211,32105,27347,8378,9299,2190,1115,,,,,
51:47.0,00:00.0,100,2,30,84,57,910903,212126,65322,51105,65088,17542,4913,2498,,,,,
51:48.0,00:00.0,100,2,14,78,46,601932,138810,41252,21243,9008,4224,2114,1533,,,,,
51:49.0,00:00.0,100,2,11,84,47,379912,113753,170650,122020,25885,20558,8564,6552,,,,,
51:50.0,00:00.0,100,2,10,69,39,1459632,284196,13269,23488,36047,19134,11802,4866,,,,,
51:51.0,00:00.0,74,6,10,69,39,663403,15948,1528,2456,2507,3575,712,579,,,,,
51:52.0,00:00.0,100,6,8,69,38,1302979,82357,29883,12194,6344,5710,1117,1028,,,,,
51:53.0,00:00.0,100,6,27,69,48,34004,44691,13401,12764,9474,10172,3582,5068,,,,,
51:54.0,00:00.0,100,6,44,63,53,821524,39003,45646,13932,5486,24739,10221,7811,,,,,
51:55.0,00:00.0,100,2,51,74,62,620304,135668,28471,27789,19823,19369,8534,4460,,,,,
51:56.0,00:00.0,100,2,57,74,65,367173,55328,20368,25839,33731,8671,5555,6706,,,,,
51:57.0,00:00.0,100,2,40,69,54,838514,151257,31498,10926,13499,4388,3743,5936,,,,,
51:58.0,00:00.0,100,2,13,50,31,227251,125452,5413,5696,1677,2945,1054,397,,,,,
51:59.0,00:00.0,100,2,1,54,27,1433181,165880,59468,40388,9393,7104,2956,2501,,,,,
52:00.0,00:00.0,100,2,1,60,30,1776899,634135,509128,240604,18292,83597,27644,10845,,,,,
52:01.0,00:00.0,100,5,8,67,37,2226615,200378,142620,48692,38573,33880,7736,4025,,,,,
52:02.0,00:00.0,100,5,23,75,49,976812,162325,10576,21298,9997,14588,21720,6712,,,,,
52:03.0,00:00.0,100,5,40,70,55,353958,110025,34094,30050,41670,20366,12303,9906,,,,,
52:04.0,00:00.0,100,5,29,61,45,273955,139136,34905,9312,7239,4601,2478,1225,,,,,
