'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
07:55.0,00:00.0,87,4,34,54,44,380125,68728,6673,24483,14179,26941,1733,970,,46086.52733,23190.76849,7142.488746,6148.578778
07:56.0,00:00.0,100,4,24,53,38,1990862,82769,50034,8828,9183,6285,3713,1786,,,,,
07:57.0,00:00.0,100,3,27,61,44,2115893,519377,373976,72912,57920,86302,19144,16105,,,,,
07:58.0,00:00.0,100,3,30,47,38,680204,29579,1074,2168,4284,5422,2720,1808,,,,,
07:59.0,00:00.0,100,3,50,51,50,428288,37896,11029,11718,7884,20376,8717,2850,,,,,
08:00.0,00:00.0,100,3,54,48,51,604619,77409,35621,11286,16007,12178,8315,6016,,,,,
08:01.0,00:00.0,100,3,56,43,49,530236,77177,26427,14850,19687,12952,10539,3672,,,,,
08:02.0,00:00.0,100,3,37,41,39,1048474,714395,32728,17214,9690,9221,8572,3815,,,,,
08:03.0,00:00.0,100,3,30,44,37,395432,71763,16716,31977,5364,21485,3607,6536,,,,,
08:04.0,00:00.0,100,2,30,37,33,786664,196252,8221,43719,29068,24044,9695,2912,,,,,
08:05.0,00:00.0,100,4,23,37,30,885148,340651,80413,81679,31006,22159,3090,1777,,,,,
08:06.0,00:00.0,74,4,23,37,30,646153,5518,3247,5048,442,1334,543,153,,,,,
08:07.0,00:00.0,87,4,23,37,30,154411,7917,4949,2259,3497,1996,1103,828,,,,,
08:08.0,00:00.0,100,4,38,50,44,41102,52908,10080,10699,27801,6507,8837,4958,,,,,
08:09.0,00:00.0,100,4,29,44,36,722673,129418,27887,19924,17330,9633,1686,1325,,,,,
08:10.0,00:00.0,100,2,35,38,36,676627,25015,401,2816,3557,4349,643,327,,,,,
08:11.0,00:00.0,74,2,35,38,36,1330724,181337,38223,55564,31456,23183,3682,1035,,,,,
08:12.0,00:00.0,74,2,35,38,36,1446859,456164,178956,114363,90746,105842,5815,4592,,,,,
08:13.0,00:00.0,87,2,35,38,36,1590050,17141,1036,5019,1130,3921,623,220,,,,,
08:14.0,00:00.0,87,2,35,38,36,2364098,153334,35655,23312,25605,19909,4970,1706,,,,,
08:15.0,00:00.0,87,2,35,38,36,1798264,94445,14104,24171,19365,6951,904,325,,,,,
08:16.0,00:00.0,74,2,35,38,36,919276,14881,1289,5437,7948,6517,1270,590,,,,,
08:17.0,00:00.0,87,2,35,38,36,671554,18729,19270,24532,7652,14101,2827,606,,,,,
08:18.0,00:00.0,74,2,35,38,36,1590095,43989,1722,5126,4645,3862,1842,1237,,,,,
08:19.0,00:00.0,100,2,38,41,39,1298641,236128,88408,47958,33321,21846,8993,6044,,,,,
08:20.0,00:00.0,100,3,34,43,38,156559,35132,4672,7666,929,2109,786,576,,,,,
08:21.0,00:00.0,87,2,34,43,38,10605,6395,2633,2343,1865,1944,205,79,,,,,
08:22.0,00:00.0,74,2,34,43,38,1275430,14550,11848,12500,10693,10000,992,700,,,,,
08:23.0,00:00.0,74,2,34,43,38,1581855,16455,30073,1034,27774,5135,2200,687,,,,,
08:24.0,00:00.0,74,2,34,43,38,894192,81560,25992,26481,38389,18064,3055,1493,,,,,
08:25.0,00:00.0,74,2,34,43,38,254715,83430,21641,21804,6605,5408,1034,446,,,,,
08:26.0,00:00.0,74,2,34,43,38,1441218,67783,942,7300,12528,9711,3231,1545,,,,,
08:27.0,00:00.0,74,2,34,43,38,698989,42148,33024,23246,19402,10479,6915,3367,,,,,
08:28.0,00:00.0,74,2,0,0,0,1258358,12944,6420,3278,760,1542,784,981,,,,,
08:29.0,00:00.0,100,2,0,0,0,1119614,23002,54690,7500,21046,9564,2326,1545,,,,,
08:30.0,00:00.0,87,5,0,0,0,304708,12524,5865,4926,3911,3534,925,678,,,,,
08:31.0,00:00.0,74,5,0,0,0,1939000,25429,9121,38763,4566,6133,2422,733,,,,,
08:32.0,00:00.0,87,5,0,0,0,1352849,70122,22551,10919,8274,4143,1139,250,,,,,
08:33.0,00:00.0,87,5,0,0,0,1156264,28249,11679,12126,28136,7787,4432,3068,,,,,
08:34.0,00:00.0,100,5,0,0,0,375708,143840,3468,3368,11597,1899,1723,1181,,,,,
08:35.0,00:00.0,87,3,0,0,0,635555,96107,20415,48802,32333,53737,2796,1152,,,,,
08:36.0,00:00.0,74,3,0,0,0,3188673,224494,107863,125829,67388,60854,7322,6262,,,,,
08:37.0,00:00.0,74,3,0,0,0,493210,17534,6333,16999,9655,2849,1322,228,,,,,
08:38.0,00:00.0,100,3,0,0,0,3164957,85025,11873,6021,9722,9665,2261,1075,,,,,
08:39.0,00:00.0,100,2,30,50,40,309622,75620,43705,19591,8260,2505,1260,1978,,,,,
