'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
08:55.0,00:00.0,100,2,93,21,57,880002,73882,7851,4078,7395,4478,2349,5811,,22128.48393,23327.13553,16168.51781,6587.528236
08:56.0,00:00.0,100,2,100,23,61,265932,18390,2885,310,4087,2536,2602,1522,,,,,
08:57.0,00:00.0,100,2,100,38,69,786684,23118,14197,19081,3742,6342,4972,5023,,,,,
08:58.0,00:00.0,100,2,94,30,62,572592,107628,22728,3930,5254,4353,4378,1303,,,,,
08:59.0,00:00.0,100,2,100,51,75,37410,15960,17935,24595,7283,14627,12472,3522,,,,,
09:00.0,00:00.0,100,2,90,60,75,945040,163999,8887,40739,9272,7731,4383,1588,,,,,
09:01.0,00:00.0,100,2,75,47,61,1154685,102524,28452,4231,5005,7185,5823,1400,,,,,
09:02.0,00:00.0,100,2,75,34,54,679491,314504,11066,9460,8425,15317,7839,2857,,,,,
09:03.0,00:00.0,100,2,64,24,44,104422,17584,6146,3703,1729,2752,1293,615,,,,,
09:04.0,00:00.0,100,2,77,34,55,1222661,80529,52807,11760,5546,13941,5648,2477,,,,,
09:05.0,00:00.0,100,2,87,30,58,2263610,249276,35135,36556,11732,40777,14599,5954,,,,,
09:06.0,00:00.0,100,2,84,30,57,2555309,887678,30973,24212,23070,37148,16711,6765,,,,,
09:07.0,00:00.0,100,2,94,23,58,1472793,35898,9249,6619,24345,13601,26269,6128,,,,,
09:08.0,00:00.0,100,2,90,13,51,314338,117280,23215,5583,3303,8899,5091,1222,,,,,
09:09.0,00:00.0,100,2,74,8,41,994227,282094,20796,24755,15872,10979,23027,11058,,,,,
09:10.0,00:00.0,100,2,67,23,45,1019694,553353,86612,49841,23463,16614,36461,11015,,,,,
09:11.0,00:00.0,100,2,54,34,44,442880,55486,14239,31917,6530,8099,5226,1614,,,,,
09:12.0,00:00.0,100,2,54,43,48,207828,14543,3850,6489,1937,1621,2929,651,,,,,
09:13.0,00:00.0,100,2,60,47,53,1130519,521149,58921,56178,16491,36577,14856,11180,,,,,
09:14.0,00:00.0,100,2,77,43,60,916749,177060,10401,21846,14427,24080,51994,7748,,,,,
09:15.0,00:00.0,100,2,63,37,50,1700812,498834,162863,42509,34158,16183,22171,14724,,,,,
09:16.0,00:00.0,100,2,50,24,37,1901835,1191714,156054,58983,35239,25606,20147,6851,,,,,
09:17.0,00:00.0,100,2,51,21,36,610130,104991,8571,12871,20045,9622,3934,2783,,,,,
09:18.0,00:00.0,100,2,38,30,34,217135,42574,12372,7024,3753,2172,1311,582,,,,,
09:19.0,00:00.0,100,2,51,26,38,135981,26529,4821,1947,1026,3006,864,641,,,,,
09:20.0,00:00.0,100,1,61,34,47,1144553,79431,7719,23362,6910,5060,1840,1923,,,,,
09:21.0,00:00.0,100,1,56,40,48,2998074,389849,58876,61859,36569,23268,17638,8311,,,,,
09:22.0,00:00.0,100,1,54,43,48,723410,354619,21991,210951,42633,16752,19573,11028,,,,,
09:23.0,00:00.0,100,2,53,61,57,835463,58948,98446,13923,6404,10738,5126,2999,,,,,
09:24.0,00:00.0,100,2,74,64,69,1080751,150341,76363,118071,130875,99376,15928,4660,,,,,
09:25.0,00:00.0,87,4,74,64,69,2125087,319426,50534,158792,57187,144272,29916,25657,,,,,
09:26.0,00:00.0,100,4,81,66,73,546653,47941,4906,13652,5558,7652,2297,1205,,,,,
09:27.0,00:00.0,100,4,94,56,75,973232,193697,23713,24798,6824,25953,7766,6520,,,,,
09:28.0,00:00.0,100,4,100,34,67,346241,7194,825,646,1463,2104,691,708,,,,,
09:29.0,00:00.0,100,4,93,17,55,999417,731362,22257,68720,57585,48730,24025,5754,,,,,
09:30.0,00:00.0,100,2,81,23,52,1838643,418765,145961,68895,15392,23826,8164,4390,,,,,
09:31.0,00:00.0,100,2,75,17,46,515616,53584,4539,3372,1907,3834,6035,1441,,,,,
09:32.0,00:00.0,100,2,56,30,43,329754,154614,79858,10637,12719,11282,17937,3809,,,,,
09:33.0,00:00.0,100,2,75,43,59,1685914,22115,6462,10452,7133,24557,20106,7816,,,,,
09:34.0,00:00.0,100,1,81,40,60,123478,80550,17297,25930,19553,14425,16837,9857,,,,,
09:35.0,00:00.0,100,2,93,51,72,1099704,423062,69910,200291,85354,202071,36621,29006,,,,,
09:36.0,00:00.0,100,1,93,41,67,363119,23952,1342,4017,2457,2218,963,345,,,,,
09:37.0,00:00.0,100,1,70,37,53,198448,75754,6830,11515,8134,5107,1901,2316,,,,,
09:38.0,00:00.0,100,2,80,34,57,1447882,84659,25227,32906,76282,40463,13539,4003,,,,,
09:39.0,00:00.0,100,2,67,40,53,1097914,208325,185330,42608,8499,37489,26606,12365,,,,,
09:40.0,00:00.0,100,2,74,54,64,2848178,85809,69218,13692,6871,19040,10438,8719,,,,,
09:41.0,00:00.0,100,2,78,57,67,8312,34092,10902,3261,5379,4685,3670,1653,,,,,
09:42.0,00:00.0,100,2,77,60,68,254604,27400,9082,5820,7608,8879,4156,2007,,,,,
09:43.0,00:00.0,100,2,77,35,56,528250,229309,14105,3209,8894,25287,16990,4571,,,,,
09:44.0,00:00.0,100,2,83,35,59,7546,8239,23490,20036,32316,11403,18711,9057,,,,,
09:45.0,00:00.0,100,2,87,34,60,386645,160822,24110,40658,52691,29802,19674,9793,,,,,
09:46.0,00:00.0,100,2,78,30,54,1678876,41195,4514,16374,19105,6001,3886,2192,,,,,
09:47.0,00:00.0,100,3,77,47,62,180022,69648,13035,11728,14735,8003,2797,2857,,,,,
09:48.0,00:00.0,100,2,61,24,42,221403,49072,2762,2861,2460,2174,1482,287,,,,,
09:49.0,00:00.0,100,2,63,34,48,527604,56977,41165,9788,11749,17694,8706,5827,,,,,
09:50.0,00:00.0,100,2,60,34,47,650979,45604,10710,6577,4387,3726,5867,1302,,,,,
09:51.0,00:00.0,100,2,57,38,47,808257,94812,25849,31398,15088,11693,4381,6360,,,,,
