'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
29:31.0,00:00.0,87,3,48,54,51,186681,32794,10373,5196,2658,3988,1710,914,,28408.63048,24811.99582,14603.34864,6411.480167
29:32.0,00:00.0,87,3,48,54,51,256023,246595,30669,70143,103009,59002,42279,5855,,,,,
29:33.0,00:00.0,87,3,48,54,51,1096234,29395,19334,23776,21596,11308,15075,10976,,,,,
29:34.0,00:00.0,100,3,35,56,45,44875,18280,5646,1429,1154,725,448,93,,,,,
29:35.0,00:00.0,100,3,10,50,30,937668,217805,27391,22809,5613,4670,10104,2752,,,,,
29:36.0,00:00.0,100,4,23,56,39,1332405,1809212,512619,1077839,595536,1052506,495577,162029,,,,,
29:37.0,00:00.0,87,3,23,56,39,2247853,1548471,627388,566449,214399,104060,51947,21383,,,,,
29:38.0,00:00.0,100,3,11,48,29,343172,166834,27628,9163,2534,12557,5953,4853,,,,,
29:39.0,00:00.0,100,1,16,63,39,546279,109784,195001,57872,26884,18940,27670,11929,,,,,
29:40.0,00:00.0,100,1,17,54,35,1450769,281562,9878,16194,6316,6613,6260,2309,,,,,
29:41.0,00:00.0,87,2,17,54,35,905346,20277,7930,49869,44205,30848,11219,9255,,,,,
29:42.0,00:00.0,87,2,17,54,35,2160851,217355,176059,45588,98196,143586,37767,17311,,,,,
29:43.0,00:00.0,87,2,17,54,35,630969,40838,12701,13147,19100,7845,17521,2898,,,,,
29:44.0,00:00.0,100,2,16,40,28,530682,65223,4922,5872,14013,22011,2001,1735,,,,,
29:45.0,00:00.0,100,2,14,56,35,783135,140161,149679,17652,20007,18127,13703,3534,,,,,
29:46.0,00:00.0,100,2,20,47,33,2107322,49868,19368,21098,5525,8587,2388,324,,,,,
29:47.0,00:00.0,100,2,27,53,40,1661139,268035,20351,40247,34512,17979,6175,5305,,,,,
29:48.0,00:00.0,100,2,17,64,40,589627,89108,16888,24270,25903,12179,3137,1371,,,,,
29:49.0,00:00.0,100,2,8,67,37,442674,130190,174587,51432,15118,6039,8569,3034,,,,,
29:50.0,00:00.0,100,2,1,54,27,671428,158877,9782,14928,8681,7205,4619,3431,,,,,
29:51.0,00:00.0,100,2,3,54,28,479748,325739,6440,73524,40839,27508,8679,4650,,,,,
29:52.0,00:00.0,100,1,1,37,19,368845,536926,5265,21435,9883,17160,4656,3505,,,,,
29:53.0,00:00.0,100,2,1,17,9,1090770,295419,67986,9918,22048,16270,4133,1672,,,,,
29:54.0,00:00.0,100,2,1,21,11,494276,166703,16443,20345,14589,6246,2569,1228,,,,,
29:55.0,00:00.0,100,3,11,21,16,1235566,27761,3048,6690,10341,10144,2179,1990,,,,,
29:56.0,00:00.0,100,2,26,44,35,1397000,8260,2250,5236,3689,2985,1983,694,,,,,
