'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
49:14.0,00:00.0,100,2,30,35,32,517055,255154,14393,37135,10404,9304,6585,2945,,18065.20102,17791.84162,9121.388832,4034.622335
49:15.0,00:00.0,100,2,47,40,43,79523,41890,23549,9281,19974,15047,5656,1098,,,,,
49:16.0,00:00.0,100,2,47,40,43,2214579,189199,27083,12948,21278,20802,7094,3044,,,,,
49:17.0,00:00.0,100,2,29,61,45,95268,47539,145401,27501,8176,8646,12975,2579,,,,,
49:18.0,00:00.0,100,2,37,67,52,114932,146813,19130,38688,9613,13044,6274,2885,,,,,
49:19.0,00:00.0,100,2,29,64,46,243394,48653,22126,13765,18935,7631,7522,1940,,,,,
49:20.0,00:00.0,100,2,26,70,48,613490,206989,60927,13300,9135,20510,3875,2012,,,,,
49:21.0,00:00.0,100,2,37,44,40,358656,87533,6175,19352,15326,12891,2851,1212,,,,,
49:22.0,00:00.0,100,2,51,50,50,7017,25929,20777,17204,19536,18618,3807,2526,,,,,
49:23.0,00:00.0,100,1,60,47,53,224248,12631,4778,3520,10045,4405,1336,611,,,,,
49:24.0,00:00.0,100,1,60,51,55,36449,61114,15897,26158,15102,6745,4167,1790,,,,,
49:25.0,00:00.0,100,1,69,61,65,557849,19351,11192,35164,39131,26378,3614,3062,,,,,
49:26.0,00:00.0,100,1,56,67,61,73854,48988,58088,11038,14360,8202,2926,2471,,,,,
49:27.0,00:00.0,100,1,44,51,47,250828,293186,4168,18657,16118,17185,3898,1807,,,,,
49:28.0,00:00.0,100,1,40,47,43,1268724,227880,55184,33412,16940,12466,7428,4025,,,,,
49:29.0,00:00.0,100,1,26,50,38,145674,56023,29676,23320,6348,10955,4237,2124,,,,,
49:30.0,00:00.0,100,2,29,40,34,205920,120053,29939,34381,21321,19210,5715,908,,,,,
49:31.0,00:00.0,100,2,43,50,46,103767,78531,9496,13870,28918,23522,10379,4571,,,,,
49:32.0,00:00.0,100,2,56,50,53,13029,108615,52175,5393,31165,26390,10297,2238,,,,,
49:33.0,00:00.0,100,1,47,44,45,2011440,240031,39453,81967,25946,13038,3813,2937,,,,,
49:34.0,00:00.0,100,1,35,34,34,672445,290061,23548,22661,9829,10482,6682,2007,,,,,
49:35.0,00:00.0,100,2,27,43,35,277463,30023,6503,13802,4560,6580,1006,919,,,,,
49:36.0,00:00.0,100,2,29,53,41,67234,54529,73145,7502,11224,25955,12662,2349,,,,,
49:37.0,00:00.0,100,2,35,47,41,114860,47397,3639,9602,4080,3236,1591,190,,,,,
49:38.0,00:00.0,100,2,47,50,48,7031,99941,22246,10161,44677,14613,7959,2201,,,,,
49:39.0,00:00.0,100,2,44,43,43,127001,27337,5555,2375,4065,3989,1874,1233,,,,,
49:40.0,00:00.0,100,2,41,43,42,168866,12086,11778,4170,1635,3419,566,433,,,,,
49:41.0,00:00.0,100,2,47,44,45,99853,80348,24996,7673,37831,8213,3638,3429,,,,,
49:42.0,00:00.0,100,2,50,56,53,32952,108119,31981,59265,21692,31925,5355,1047,,,,,
49:43.0,00:00.0,100,2,51,61,56,488174,98829,31575,21536,15311,18736,8296,3943,,,,,
49:44.0,00:00.0,100,2,47,56,51,1837918,73814,28051,33065,8090,12166,3347,1032,,,,,
49:45.0,00:00.0,100,2,53,57,55,205321,110324,29667,17670,14137,24726,10450,2028,,,,,
49:46.0,00:00.0,100,2,53,56,54,91601,27967,11620,8748,2708,6736,990,799,,,,,
49:47.0,00:00.0,100,2,60,67,63,258365,39363,7660,66415,12100,28738,5008,1984,,,,,
49:48.0,00:00.0,100,2,56,56,56,2216563,248339,44039,24339,50580,16955,4783,4305,,,,,
49:49.0,00:00.0,100,2,61,53,57,90282,7598,302,1695,782,2417,715,352,,,,,
49:50.0,00:00.0,100,2,50,44,47,235173,77186,15093,6428,4898,4354,1100,996,,,,,
49:51.0,00:00.0,100,2,51,29,40,678087,41826,17401,7562,27630,23000,13875,4454,,,,,
49:52.0,00:00.0,100,2,61,41,51,648550,17576,5516,17872,15021,7601,3601,2143,,,,,
49:53.0,00:00.0,100,2,61,57,59,45730,16461,45263,5764,20938,16500,10976,2692,,,,,
49:54.0,00:00.0,100,2,75,50,62,244073,96785,99,14985,6531,18208,22121,2399,,,,,
49:55.0,00:00.0,100,2,57,67,62,91073,9681,15196,8266,3677,2278,2070,464,,,,,
49:56.0,00:00.0,100,2,57,64,60,8063,59792,23319,18540,19834,16037,15770,6126,,,,,
49:57.0,00:00.0,100,2,56,60,58,49058,43346,34317,8710,10836,18099,5364,4508,,,,,
49:58.0,00:00.0,100,2,47,88,67,47542,41472,119157,29855,49184,11388,5512,1592,,,,,
49:59.0,00:00.0,100,2,54,81,67,117153,14810,5609,13899,4509,5613,1321,513,,,,,
50:00.0,00:00.0,100,2,54,87,70,176820,15572,14091,5521,5939,5557,2073,733,,,,,
50:01.0,00:00.0,100,2,48,83,65,500292,21150,8971,7869,12949,3954,2453,260,,,,,
50:02.0,00:00.0,100,2,53,74,63,97786,54458,36216,14131,11350,11325,1386,1393,,,,,
50:03.0,00:00.0,100,2,51,64,57,65022,80633,8311,21699,3816,12681,2028,1700,,,,,
50:04.0,00:00.0,100,1,30,51,40,270471,550408,92054,39061,43621,13827,10275,8903,,,,,
50:05.0,00:00.0,100,1,38,54,46,10936,64707,36859,16528,7175,26028,5976,4122,,,,,
50:06.0,00:00.0,100,1,40,48,44,1049028,103251,30731,21040,20419,20657,24981,6777,,,,,
50:07.0,00:00.0,100,1,44,57,50,34887,38276,18717,32833,7364,15337,23411,1911,,,,,
50:08.0,00:00.0,100,1,64,70,67,32235,43208,29616,27398,5913,16475,6169,2021,,,,,
50:09.0,00:00.0,100,1,70,70,70,37882,28375,38390,6742,22198,26663,3926,783,,,,,
50:10.0,00:00.0,100,1,78,77,77,43665,39253,16831,18837,11315,20499,3231,2764,,,,,
50:11.0,00:00.0,100,1,78,61,69,230216,14666,3162,1700,2500,3751,1318,595,,,,,
50:12.0,00:00.0,100,1,81,64,72,19764,18547,40200,15947,14046,18871,1839,1465,,,,,
50:13.0,00:00.0,100,1,70,63,66,18032,45688,17451,16614,22091,9839,5821,1808,,,,,
50:14.0,00:00.0,100,1,83,64,73,95470,9522,11727,25321,11976,42139,4479,3759,,,,,
50:15.0,00:00.0,100,1,78,83,80,17555,24170,29358,35112,18827,9860,3483,1269,,,,,
50:16.0,00:00.0,100,1,63,75,69,106619,26773,13486,2885,3184,2489,1416,388,,,,,
50:17.0,00:00.0,100,1,67,80,73,14648,29108,18169,16630,7878,12890,3341,1298,,,,,
50:18.0,00:00.0,100,1,44,87,65,548246,70373,73359,37137,17307,16112,12771,16764,,,,,
50:19.0,00:00.0,100,1,53,69,61,16509,59300,12138,15886,15196,21131,3939,2675,,,,,
50:20.0,00:00.0,100,1,70,67,68,19736,23100,18875,9526,31713,18766,6350,1891,,,,,
50:21.0,00:00.0,100,1,66,57,61,13033,127102,24816,21784,4498,20272,4202,4411,,,,,
50:22.0,00:00.0,100,1,69,50,59,49134,66240,28548,17639,7284,14118,2313,2198,,,,,
50:23.0,00:00.0,100,1,56,69,62,109546,7507,19892,1985,2892,1934,1461,675,,,,,
50:24.0,00:00.0,100,1,37,74,55,509485,150168,72545,28704,27007,13244,5413,2333,,,,,
50:25.0,00:00.0,100,1,38,83,60,44491,27269,10093,24328,15445,8345,3212,706,,,,,
50:26.0,00:00.0,100,1,38,77,57,1377350,180902,50297,22772,14928,31321,7036,2938,,,,,
50:27.0,00:00.0,100,1,43,67,55,430527,90134,47793,38543,10899,19582,3698,3033,,,,,
50:28.0,00:00.0,100,1,48,60,54,234954,179659,23634,35522,22598,18428,9526,7788,,,,,
50:29.0,00:00.0,100,1,37,48,42,545889,226734,1968,56297,12498,11616,4626,2610,,,,,
50:30.0,00:00.0,100,1,24,67,45,33997,82314,189724,30405,8731,13125,3701,1542,,,,,
50:31.0,00:00.0,100,1,29,63,46,15595,62930,13892,28109,13847,19034,7489,5520,,,,,
50:32.0,00:00.0,100,1,20,70,45,167863,199735,94211,21203,8234,7521,4581,1909,,,,,
50:33.0,00:00.0,100,1,24,63,43,167013,117890,7667,7221,16234,11049,7269,3478,,,,,
50:34.0,00:00.0,100,1,41,41,41,541933,41364,22176,4666,28671,16301,13494,2881,,,,,
50:35.0,00:00.0,100,1,26,34,30,474347,372614,57523,39799,34668,19336,12885,6069,,,,,
50:36.0,00:00.0,100,1,38,23,30,1013867,176025,33399,14299,19423,17681,5504,8753,,,,,
50:37.0,00:00.0,100,1,40,27,33,17723,110337,20682,4731,12990,12367,13581,988,,,,,
50:38.0,00:00.0,100,1,34,29,31,344445,129176,25099,35678,13967,22070,4729,2245,,,,,
50:39.0,00:00.0,100,1,38,41,39,279424,21117,9031,6950,3664,2350,2210,517,,,,,
50:40.0,00:00.0,100,1,40,43,41,204409,79317,5839,19616,10618,9567,4920,1261,,,,,
50:41.0,00:00.0,100,1,38,69,53,19679,38777,96935,18922,8066,11762,6900,2005,,,,,
50:42.0,00:00.0,100,1,43,66,54,118044,55922,6181,17061,8259,14859,5067,6553,,,,,
50:43.0,00:00.0,100,1,38,77,57,98647,74467,14243,102657,14567,6910,20858,3414,,,,,
50:44.0,00:00.0,100,2,40,97,68,146837,11606,23953,38236,13299,9577,4281,1140,,,,,
50:45.0,00:00.0,100,2,29,66,47,1673193,743550,63733,26971,28148,20340,7116,9839,,,,,
50:46.0,00:00.0,100,2,30,77,53,22690,10416,15154,7305,7539,8841,16702,1533,,,,,
50:47.0,00:00.0,100,2,38,78,58,307498,28846,94477,2540,19242,9881,1746,1774,,,,,
50:48.0,00:00.0,100,2,30,77,53,5452,56793,50918,68374,11965,9797,4162,2157,,,,,
50:49.0,00:00.0,100,2,38,78,58,393033,148271,17055,6645,20486,8139,7401,1864,,,,,
50:50.0,00:00.0,100,2,24,61,42,211635,55101,3547,6925,5363,4562,1024,604,,,,,
50:51.0,00:00.0,100,2,21,41,31,388071,272631,66549,8517,34019,18123,6358,2801,,,,,
50:52.0,00:00.0,100,2,30,35,32,14084,26906,22892,15385,7801,11890,3453,2118,,,,,
50:53.0,00:00.0,100,2,38,47,42,173280,59020,27463,6746,17321,7694,4466,845,,,,,
50:54.0,00:00.0,100,2,40,67,53,27263,44238,33211,40265,4272,9969,3428,1994,,,,,
50:55.0,00:00.0,100,2,51,80,65,441701,57563,46400,9140,9688,18329,6074,3488,,,,,
50:56.0,00:00.0,100,2,43,66,54,280583,123089,22349,16949,26114,11291,2992,1477,,,,,
