'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
07:31.0,00:00.0,100,2,74,80,77,9444,57439,29634,29265,14560,17193,5645,3606,,22510.18027,21498.6945,12567.67362,5347.836812
07:32.0,00:00.0,100,2,78,66,72,49706,33545,3208,27199,6839,26934,12704,6924,,,,,
07:33.0,00:00.0,100,2,74,81,77,10319,39942,61235,8236,10413,26109,5398,2862,,,,,
07:34.0,00:00.0,100,2,64,84,74,34933,47215,30792,29890,6490,18418,9935,1167,,,,,
07:35.0,00:00.0,100,2,63,83,73,1955655,145004,83432,33092,37469,30281,12954,7567,,,,,
07:36.0,00:00.0,100,2,53,75,64,120228,75629,3899,17573,30946,12564,7241,1407,,,,,
07:37.0,00:00.0,100,2,44,70,57,13945,52383,29272,34641,36356,10847,7447,3606,,,,,
07:38.0,00:00.0,100,2,48,66,57,41895,21109,17401,6951,24000,11893,5250,1483,,,,,
07:39.0,00:00.0,100,2,35,69,52,181078,107622,29408,71393,2484,4406,2733,751,,,,,
07:40.0,00:00.0,100,2,35,70,52,93850,84717,6699,14340,9003,14509,6237,1198,,,,,
07:41.0,00:00.0,100,2,27,63,45,955046,212453,19610,50848,22476,10789,6265,2093,,,,,
07:42.0,00:00.0,100,2,10,60,35,528695,305918,41173,38474,5697,12063,17760,3297,,,,,
07:43.0,00:00.0,100,2,14,53,33,1851193,143543,65257,22703,27749,8477,7913,3336,,,,,
07:44.0,00:00.0,100,2,11,66,38,94319,45100,59397,9326,35137,11276,3697,3919,,,,,
07:45.0,00:00.0,100,3,11,66,38,994683,335944,76022,85201,124071,22141,28872,7629,,,,,
07:46.0,00:00.0,100,2,21,74,47,903482,237146,151875,24775,79367,32771,7909,5946,,,,,
07:47.0,00:00.0,100,2,40,69,54,523431,101829,5897,66563,47162,57853,35464,12708,,,,,
07:48.0,00:00.0,100,2,47,66,56,117789,107332,68709,35662,44480,46946,31630,11480,,,,,
07:49.0,00:00.0,100,2,60,64,62,142506,80121,7432,28897,21185,24491,10861,4136,,,,,
07:50.0,00:00.0,100,2,74,50,62,171883,109746,3933,17848,33018,55371,18837,10325,,,,,
07:51.0,00:00.0,100,2,64,56,60,145803,18002,12106,8110,6019,5060,8199,2707,,,,,
07:52.0,00:00.0,100,2,56,53,54,866661,145825,9241,64273,28680,21031,24622,8047,,,,,
07:53.0,00:00.0,100,2,60,53,56,1008967,23518,6139,7181,17575,11172,2812,3403,,,,,
07:54.0,00:00.0,100,2,56,66,61,270770,25435,10114,7717,4718,10027,6104,1024,,,,,
07:55.0,00:00.0,100,2,56,57,56,1241071,164226,33057,48414,79923,32594,13141,5093,,,,,
07:56.0,00:00.0,100,2,50,63,56,982342,81939,45991,12967,5595,5656,12114,2630,,,,,
07:57.0,00:00.0,100,2,53,67,60,628676,38506,44531,16388,41878,42266,37012,9166,,,,,
07:58.0,00:00.0,100,2,57,54,55,27376,70721,5290,5495,15721,31971,13439,3600,,,,,
07:59.0,00:00.0,100,2,63,61,62,19216,14285,8485,19333,23094,10380,6038,3925,,,,,
08:00.0,00:00.0,100,2,80,63,71,26201,26297,24847,29636,18397,21006,3863,5811,,,,,
08:01.0,00:00.0,100,2,83,64,73,19795,20617,9356,48327,20924,54088,10772,5207,,,,,
08:02.0,00:00.0,100,2,70,74,72,17843,74432,9676,8759,14409,9788,6783,3148,,,,,
08:03.0,00:00.0,100,2,69,74,71,42758,38976,21250,16715,8397,18006,5987,9462,,,,,
08:04.0,00:00.0,100,2,69,69,69,1126148,48626,39117,11563,20511,26763,16219,8464,,,,,
08:05.0,00:00.0,100,2,69,61,65,8342,32605,16182,10281,31017,39808,8641,5039,,,,,
08:06.0,00:00.0,100,2,75,75,75,35770,11939,37026,28291,34270,15297,7812,7574,,,,,
08:07.0,00:00.0,100,2,54,63,58,250245,235354,25688,9226,18029,6329,10566,2624,,,,,
08:08.0,00:00.0,100,2,44,60,52,289736,56183,22550,4474,4610,6186,2367,3956,,,,,
08:09.0,00:00.0,100,2,38,69,53,943694,26745,27928,34191,22355,26936,16246,5733,,,,,
08:10.0,00:00.0,100,2,30,54,42,945446,45269,2140,8703,4463,5322,4475,888,,,,,
08:11.0,00:00.0,100,2,57,67,62,23512,10411,4575,27005,23233,21600,18371,1988,,,,,
08:12.0,00:00.0,100,2,63,54,58,382473,69814,2837,4680,6788,9217,5488,1829,,,,,
08:13.0,00:00.0,100,2,61,50,55,7373,55591,26471,16301,20248,24682,16681,3049,,,,,
08:14.0,00:00.0,100,2,66,57,61,8942,33537,26773,8841,18398,13257,8671,7850,,,,,
08:15.0,00:00.0,100,2,63,51,57,667136,106232,12211,35959,27440,49385,25868,9374,,,,,
08:16.0,00:00.0,100,2,66,66,66,785709,58976,8640,56366,30903,25055,16738,8212,,,,,
08:17.0,00:00.0,100,2,63,70,66,21412,40854,31975,27569,26011,18332,20881,12194,,,,,
08:18.0,00:00.0,100,2,57,56,56,561452,91233,3540,7845,7797,9773,6649,3773,,,,,
08:19.0,00:00.0,100,2,61,63,62,93298,7606,1068,13099,10016,10257,11884,1799,,,,,
08:20.0,00:00.0,100,2,56,60,58,142281,432279,170118,39437,57655,70231,23257,12922,,,,,
08:21.0,00:00.0,100,2,56,51,53,1163151,131489,34936,35030,51912,33779,41312,25839,,,,,
08:22.0,00:00.0,100,2,66,63,64,447349,40693,15159,8792,1411,20425,19106,3125,,,,,
08:23.0,00:00.0,100,2,60,64,62,26554,42052,19345,32898,12310,20783,20160,3947,,,,,
08:24.0,00:00.0,100,2,60,60,60,80035,9298,991,820,801,1129,2837,221,,,,,
08:25.0,00:00.0,100,2,63,51,57,1836671,227936,21382,26983,74211,74656,21990,8380,,,,,
08:26.0,00:00.0,100,2,57,41,49,541209,83218,7508,5725,8132,15059,15506,4582,,,,,
08:27.0,00:00.0,100,2,57,47,52,1412211,13401,15086,16772,2890,11355,5004,10071,,,,,
08:28.0,00:00.0,100,2,63,48,55,1192310,172553,22326,34143,46030,39038,20008,8611,,,,,
08:29.0,00:00.0,100,2,63,41,52,97651,127879,3333,7864,15864,38811,35706,11022,,,,,
08:30.0,00:00.0,100,2,57,44,50,677468,267425,33707,25049,22960,24653,16658,7543,,,,,
08:31.0,00:00.0,100,2,44,41,42,148300,120350,61566,60628,29583,12682,12265,4989,,,,,
08:32.0,00:00.0,100,2,44,53,48,86612,11224,3579,11360,1897,4680,2993,1373,,,,,
08:33.0,00:00.0,100,2,47,70,58,96986,7873,12064,1133,14522,7209,2362,1296,,,,,
08:34.0,00:00.0,100,2,60,78,69,432064,48559,16666,25986,24591,35606,14738,3770,,,,,
08:35.0,00:00.0,100,2,78,70,74,982997,115026,38688,34525,13901,76328,14441,11340,,,,,
08:36.0,00:00.0,100,2,83,61,72,11083,64985,33428,3305,21753,32974,28936,12468,,,,,
08:37.0,00:00.0,100,2,80,70,75,15416,30828,29108,36816,8289,20589,14090,2346,,,,,
08:38.0,00:00.0,100,2,78,81,79,20272,21321,71278,22945,16499,34799,11155,6989,,,,,
08:39.0,00:00.0,100,2,78,88,83,506628,5858,7175,31795,27192,20839,10603,12587,,,,,
08:40.0,00:00.0,100,2,75,97,86,28005,23742,12683,53889,26540,20324,7575,2552,,,,,
08:41.0,00:00.0,100,2,66,100,83,22335,45416,70199,43698,17442,14170,14761,3769,,,,,
08:42.0,00:00.0,100,2,51,84,67,1917203,1195631,53214,250687,281022,77891,225236,43415,,,,,
08:43.0,00:00.0,100,2,51,78,64,615441,69933,27888,24449,9730,56601,30361,8293,,,,,
08:44.0,00:00.0,100,2,54,69,61,820608,15631,2524,9093,5941,8474,9333,790,,,,,
08:45.0,00:00.0,100,2,66,54,60,447692,52007,12684,29646,61604,33968,18987,11864,,,,,
08:46.0,00:00.0,100,2,84,60,72,1673678,93121,28992,35066,35821,60821,17578,9905,,,,,
08:47.0,00:00.0,100,2,83,60,71,552177,77836,19301,29860,14285,52454,23154,2767,,,,,
08:48.0,00:00.0,100,2,78,60,69,1607437,88249,39886,21244,41412,31554,35689,14792,,,,,
