'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
07:04.0,00:00.0,100,2,57,61,59,26868,14164,24811,19490,25824,24586,22728,14194,,22607.97806,27592.58501,17533.81901,8003.989031
07:05.0,00:00.0,100,2,60,56,58,78855,106096,6042,70114,71574,49717,29898,4285,,,,,
07:06.0,00:00.0,100,2,63,60,61,405463,50596,11254,10468,12155,9552,9569,3196,,,,,
07:07.0,00:00.0,100,2,67,60,63,215131,137884,36354,24177,14512,48038,25667,12208,,,,,
07:08.0,00:00.0,100,2,57,51,54,771902,162334,54295,22294,37370,36002,27403,7090,,,,,
07:09.0,00:00.0,100,2,67,56,61,304498,21001,36876,10500,14306,53202,13161,25663,,,,,
07:10.0,00:00.0,100,2,64,61,62,1286094,43965,14829,15106,10257,7360,12404,9620,,,,,
07:11.0,00:00.0,100,2,69,67,68,87465,38904,19508,29922,8103,35742,27430,13453,,,,,
07:12.0,00:00.0,100,2,77,64,70,225816,23804,2927,6283,3730,10448,7198,3399,,,,,
07:13.0,00:00.0,100,2,69,69,69,13851,27945,40707,34937,32859,33402,28061,5480,,,,,
07:14.0,00:00.0,100,2,63,64,63,1217267,1162573,174153,211419,53836,71555,118390,14434,,,,,
07:15.0,00:00.0,100,2,47,51,49,200930,104240,14958,5911,3888,10877,8283,4097,,,,,
07:16.0,00:00.0,100,2,40,56,48,127671,73093,29088,23202,41327,18998,15033,5185,,,,,
07:17.0,00:00.0,100,2,34,37,35,1601649,198903,16612,24043,48992,45960,24318,7470,,,,,
07:18.0,00:00.0,100,2,44,53,48,13471,12545,9975,40261,13232,9643,13730,4540,,,,,
07:19.0,00:00.0,100,2,57,57,57,26633,37781,7596,13935,19660,17915,24589,10359,,,,,
07:20.0,00:00.0,100,2,64,53,58,429451,107939,1702,38735,23850,43088,28572,22273,,,,,
07:21.0,00:00.0,100,2,69,57,63,532132,114020,28049,5907,12172,53027,18173,9125,,,,,
07:22.0,00:00.0,100,2,81,47,64,23432,20631,6231,22785,7607,28121,57460,7602,,,,,
07:23.0,00:00.0,100,2,80,56,68,535774,54574,42450,17447,25028,26501,18394,7834,,,,,
07:24.0,00:00.0,100,2,70,56,63,270580,33833,2673,8250,4727,5426,6399,2351,,,,,
07:25.0,00:00.0,100,2,56,67,61,31204,70306,48218,14375,29668,9882,7000,3286,,,,,
07:26.0,00:00.0,100,2,48,66,57,31253,35112,7054,21434,14049,15381,8016,3967,,,,,
07:27.0,00:00.0,100,2,40,60,50,436953,109623,42942,6273,36783,14879,26546,4891,,,,,
07:28.0,00:00.0,100,2,38,61,49,432953,150726,41351,29297,60057,24508,10615,2501,,,,,
07:29.0,00:00.0,100,2,50,57,53,147880,29850,12729,13662,15806,13030,6823,3446,,,,,
07:30.0,00:00.0,100,2,43,57,50,224647,14885,3870,6211,5265,3545,5673,542,,,,,
07:31.0,00:00.0,100,2,44,61,52,70712,110648,51100,14732,12584,18448,9907,4443,,,,,
07:32.0,00:00.0,100,1,54,64,59,518064,86735,10953,66282,72650,42128,32297,22091,,,,,
07:33.0,00:00.0,100,1,57,66,61,39583,35615,36663,9515,19803,27139,10831,10076,,,,,
07:34.0,00:00.0,100,1,61,77,69,77676,12000,14992,9883,6100,7252,2859,2617,,,,,
07:35.0,00:00.0,100,1,78,57,67,457903,65909,12485,1785,19501,46563,23435,2510,,,,,
07:36.0,00:00.0,100,1,77,47,62,112326,93964,5390,15315,33742,23660,13591,9214,,,,,
07:37.0,00:00.0,100,1,63,35,49,688680,100081,5930,13895,9953,11251,4975,1898,,,,,
07:38.0,00:00.0,100,1,56,3,29,170451,431431,4354,25025,24748,49680,35587,12484,,,,,
07:39.0,00:00.0,100,1,50,29,39,276921,2600,1442,23573,12704,7301,3272,2163,,,,,
07:40.0,00:00.0,100,1,53,48,50,50686,44796,47515,19932,10254,36772,7990,5348,,,,,
07:41.0,00:00.0,100,1,57,61,59,226522,23186,7847,9781,5086,5970,2295,3175,,,,,
07:42.0,00:00.0,100,1,69,84,76,17294,42265,23347,23316,16651,25736,15390,5947,,,,,
07:43.0,00:00.0,100,1,75,80,77,15945,14323,28723,13251,19784,25544,17010,8795,,,,,
07:44.0,00:00.0,100,1,69,64,66,89112,42473,5823,4502,2701,9266,7438,2083,,,,,
07:45.0,00:00.0,100,1,78,54,66,255921,109991,21635,22234,40598,57648,19357,9667,,,,,
07:46.0,00:00.0,100,1,67,53,60,98632,122279,26168,35328,11057,19858,13150,4860,,,,,
07:47.0,00:00.0,100,1,51,44,47,111256,15275,6509,3220,11663,2124,2168,1140,,,,,
07:48.0,00:00.0,100,1,56,56,56,17199,18164,40161,9886,55581,24167,28954,9234,,,,,
07:49.0,00:00.0,100,1,53,48,50,495260,158919,15356,9829,35536,47965,29109,11000,,,,,
07:50.0,00:00.0,100,1,63,53,58,452744,48438,57433,12920,26311,34688,18206,25255,,,,,
07:51.0,00:00.0,100,1,83,60,71,58448,14925,6417,46035,21484,50153,29686,4029,,,,,
07:52.0,00:00.0,100,1,81,61,71,170437,52915,16634,48365,15154,32457,10355,9364,,,,,
07:53.0,00:00.0,100,1,78,78,78,134414,95990,28650,38875,17792,28600,13725,2746,,,,,
07:54.0,00:00.0,100,1,78,81,79,56356,12079,1663,14806,2799,8167,2970,1268,,,,,
07:55.0,00:00.0,100,1,70,64,67,160546,52751,9851,4451,23067,23313,13406,5673,,,,,
07:56.0,00:00.0,100,1,56,54,55,48446,27722,3565,4356,2463,2255,1705,798,,,,,
07:57.0,00:00.0,100,1,56,61,58,38265,26592,33507,14253,10745,13868,8474,4014,,,,,
