'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
47:57.0,00:00.0,100,1,57,88,72,77678,45108,236404,20749,55426,8653,6783,3073,,16763.27027,10323.1109,5625.687791,2320.945946
47:58.0,00:00.0,100,1,51,100,75,31912,12129,104336,30798,15475,11123,8393,2395,,,,,
47:59.0,00:00.0,100,1,47,81,64,304029,151566,4722,24776,10668,19280,9183,4434,,,,,
48:00.0,00:00.0,100,1,60,80,70,105972,41094,47961,25910,18317,38772,3876,3456,,,,,
48:01.0,00:00.0,100,1,67,60,63,973377,189560,33046,28057,24336,20684,14078,2951,,,,,
48:02.0,00:00.0,100,1,60,37,48,1121974,458603,42021,79554,30416,15716,8483,2285,,,,,
48:03.0,00:00.0,100,1,61,50,55,945021,15064,15924,9115,11835,4801,1715,524,,,,,
48:04.0,00:00.0,100,1,54,51,52,22317,45014,16043,53832,15760,17858,3571,747,,,,,
48:05.0,00:00.0,100,1,48,63,55,111244,77502,90084,31439,31353,7825,3947,1182,,,,,
48:06.0,00:00.0,100,1,54,78,66,33819,64163,79844,32583,7951,9893,4512,891,,,,,
48:07.0,00:00.0,100,1,51,78,64,97536,77802,57154,22940,10210,13826,7811,1700,,,,,
48:08.0,00:00.0,100,1,40,70,55,165518,76472,27343,9690,2676,4104,2677,857,,,,,
48:09.0,00:00.0,100,1,56,70,63,41647,6801,10905,22173,23557,10230,3891,2142,,,,,
48:10.0,00:00.0,100,1,60,70,65,20648,29221,50284,22983,8999,8282,3850,1140,,,,,
48:11.0,00:00.0,100,1,60,69,64,570006,79647,29565,40724,22687,13666,3946,6116,,,,,
48:12.0,00:00.0,100,1,66,69,67,441719,136843,38619,36521,41460,17591,4587,2211,,,,,
48:13.0,00:00.0,100,1,57,64,60,47855,69103,60357,17929,70273,13236,5275,1084,,,,,
48:14.0,00:00.0,100,1,53,69,61,33307,11986,123057,28553,33971,7926,4326,1004,,,,,
48:15.0,00:00.0,100,1,51,84,67,23340,10242,33239,94366,12245,11783,2786,1160,,,,,
48:16.0,00:00.0,100,1,54,80,67,106235,100754,11988,26924,42998,17607,3612,2543,,,,,
48:17.0,00:00.0,100,1,57,88,72,161991,68795,104110,25792,8976,24824,12860,7641,,,,,
48:18.0,00:00.0,100,1,67,75,71,40496,33874,20934,17597,22350,9834,5624,1613,,,,,
48:19.0,00:00.0,100,1,56,75,65,9713,37148,171741,37202,7772,6801,3962,1624,,,,,
48:20.0,00:00.0,100,1,53,91,72,18482,41977,94369,21601,13475,12849,3157,2025,,,,,
48:21.0,00:00.0,100,1,47,78,62,165829,39625,11344,2555,7644,3460,1004,916,,,,,
48:22.0,00:00.0,100,1,38,78,58,153621,103439,58804,15710,20739,10149,4565,1474,,,,,
48:23.0,00:00.0,100,1,51,57,54,385619,131010,22842,33485,9484,17376,2733,1033,,,,,
48:24.0,00:00.0,100,1,43,64,53,4529,20731,119462,37166,17778,6150,1523,1587,,,,,
48:25.0,00:00.0,100,1,41,70,55,203431,161017,39261,72509,15185,14580,1612,4006,,,,,
48:26.0,00:00.0,100,1,38,63,50,335198,286160,33471,32281,13170,12858,11242,1546,,,,,
48:27.0,00:00.0,100,1,47,67,57,16030,12994,12881,12344,18699,8418,3976,1533,,,,,
48:28.0,00:00.0,100,1,57,53,55,17162,27167,22124,8289,17320,8343,4653,1349,,,,,
48:29.0,00:00.0,100,1,60,44,52,1936558,185565,53490,14685,74366,15275,3434,1457,,,,,
48:30.0,00:00.0,100,1,63,56,59,655946,68124,62249,6494,10966,8147,5032,1226,,,,,
48:31.0,00:00.0,100,1,53,56,54,469025,37987,8351,48217,37705,6657,12280,1681,,,,,
48:32.0,00:00.0,100,1,54,51,52,18636,69671,14967,22415,25827,17554,3468,4017,,,,,
48:33.0,00:00.0,100,1,48,63,55,265380,141575,97383,52300,34546,7942,6010,1843,,,,,
48:34.0,00:00.0,100,1,38,69,53,26593,41009,146491,45904,52962,5514,3772,1044,,,,,
48:35.0,00:00.0,100,1,26,63,44,372114,192090,47185,24667,20358,6023,5773,884,,,,,
48:36.0,00:00.0,100,1,17,70,43,253990,58328,20340,47676,10409,7185,1699,2451,,,,,
48:37.0,00:00.0,100,1,37,64,50,11442,20710,15688,6601,29056,9090,3269,1329,,,,,
48:38.0,00:00.0,100,1,51,60,55,13699,13059,7241,41222,17614,7410,10049,1446,,,,,
48:39.0,00:00.0,100,2,66,54,60,367699,164280,27157,9740,38919,24077,11330,1553,,,,,
48:40.0,00:00.0,100,2,81,50,65,63236,15734,7905,17575,23853,12722,3588,2949,,,,,
48:41.0,00:00.0,100,2,80,60,70,8693,23193,48030,25168,22154,15824,5080,2562,,,,,
48:42.0,00:00.0,100,2,74,56,65,42745,76554,21780,60823,32869,7299,1801,2331,,,,,
48:43.0,00:00.0,100,2,60,75,67,30418,43017,115237,40492,45976,6474,6802,1171,,,,,
48:44.0,00:00.0,100,2,37,87,62,111518,21642,41543,6405,3034,1645,812,572,,,,,
48:45.0,00:00.0,100,2,24,81,52,12324,54516,16517,28965,11932,4932,6241,1012,,,,,
48:46.0,00:00.0,100,2,17,93,55,27781,27502,112820,33903,15521,4577,4561,1621,,,,,
48:47.0,00:00.0,100,2,8,70,39,955702,768136,87659,11489,22795,7868,2954,2861,,,,,
48:48.0,00:00.0,100,2,13,75,44,34380,38435,110828,98323,29860,10298,4446,1415,,,,,
48:49.0,00:00.0,100,2,14,88,51,6003,30202,49149,80322,7842,8632,7583,2861,,,,,
48:50.0,00:00.0,100,2,30,74,52,18158,27642,17399,12531,9572,8948,4350,2204,,,,,
48:51.0,00:00.0,100,2,54,87,70,554335,54022,30992,58704,79919,18347,8951,1836,,,,,
48:52.0,00:00.0,100,2,61,77,69,48048,73053,62886,35696,29672,15318,7066,1949,,,,,
48:53.0,00:00.0,100,2,70,70,70,10452,21427,65657,28555,21877,16612,6818,1113,,,,,
48:54.0,00:00.0,100,2,64,64,64,874237,227523,72890,20095,35474,24142,3261,2164,,,,,
48:55.0,00:00.0,100,2,44,83,63,10707,35248,140414,43607,8451,3531,5656,2132,,,,,
48:56.0,00:00.0,100,2,38,81,59,48712,63371,19445,38156,12798,5432,6189,1156,,,,,
48:57.0,00:00.0,100,2,35,74,54,14742,47606,33070,14266,26392,8416,2673,2762,,,,,
48:58.0,00:00.0,100,2,35,75,55,217293,41534,3942,15017,3569,3935,756,1228,,,,,
48:59.0,00:00.0,100,2,54,63,58,327414,89326,94795,32829,25951,29501,3070,2317,,,,,
49:00.0,00:00.0,100,2,61,53,57,67643,22620,4540,1623,2166,2956,1172,467,,,,,
49:01.0,00:00.0,100,2,57,54,55,221373,86788,62029,12179,12632,10386,6874,3069,,,,,
49:02.0,00:00.0,100,2,48,75,61,20314,20782,246279,14692,12400,6679,6190,2383,,,,,
49:03.0,00:00.0,100,1,41,70,55,211533,77351,43664,37432,18598,11215,18850,2631,,,,,
49:04.0,00:00.0,100,1,37,83,60,202806,27819,25179,20491,7209,3389,1827,1409,,,,,
49:05.0,00:00.0,100,1,48,75,61,77111,6618,630,3220,4947,2853,1372,507,,,,,
49:06.0,00:00.0,100,1,63,57,60,144965,23423,11548,37816,18381,8910,6217,4303,,,,,
49:07.0,00:00.0,100,1,69,67,68,1341853,39948,120544,30935,6873,25927,7716,3956,,,,,
49:08.0,00:00.0,100,1,66,70,68,88746,11912,24854,5300,2947,1464,1159,466,,,,,
49:09.0,00:00.0,100,1,56,84,70,68974,9962,26039,4305,8856,3587,692,780,,,,,
49:10.0,00:00.0,100,1,56,90,73,13486,28249,65082,50716,17024,15587,2463,1690,,,,,
49:11.0,00:00.0,100,1,43,91,67,700260,26340,100537,21107,14694,5112,4673,1134,,,,,
49:12.0,00:00.0,100,1,40,81,60,3605474,199151,71808,46353,25063,7949,4081,2818,,,,,
49:13.0,00:00.0,100,1,27,63,45,1145860,152444,18940,8684,16119,4881,2837,925,,,,,
49:14.0,00:00.0,100,2,16,60,38,842648,171825,220080,37355,40948,12352,2575,2404,,,,,
49:15.0,00:00.0,100,2,23,44,33,2812009,323569,80547,96082,37652,34349,15489,4694,,,,,
49:16.0,00:00.0,100,2,29,56,42,44318,27588,87740,19244,14643,6942,4018,3714,,,,,
49:17.0,00:00.0,100,2,38,75,56,305083,29255,64203,23516,22105,9694,3519,1439,,,,,
49:18.0,00:00.0,100,2,51,61,56,19421,86173,8080,15931,7606,12348,4440,4063,,,,,
49:19.0,00:00.0,100,2,54,53,53,188181,53963,2699,9280,8170,7095,2013,385,,,,,
49:20.0,00:00.0,100,2,53,56,54,8730,22568,102646,7189,8291,6398,14118,1046,,,,,
49:21.0,00:00.0,100,2,56,47,51,64090,52123,9849,19284,8700,8958,7057,1691,,,,,
49:22.0,00:00.0,100,2,54,50,52,114211,87856,38930,13010,25827,12775,1521,6237,,,,,
49:23.0,00:00.0,100,2,54,64,59,22232,68250,98503,14841,18611,17508,2779,1773,,,,,
49:24.0,00:00.0,100,2,51,60,55,32044,43188,69398,29329,20437,4344,4854,1636,,,,,
49:25.0,00:00.0,100,2,48,69,58,19160,27370,52328,16981,12984,7974,10795,1031,,,,,
49:26.0,00:00.0,100,2,47,67,57,278691,74714,22332,8833,33397,6360,1868,2339,,,,,
49:27.0,00:00.0,100,2,38,69,53,58897,12025,20468,5420,6005,1551,1462,729,,,,,
49:28.0,00:00.0,100,2,47,66,56,44961,61622,58550,33813,24705,12659,5157,1132,,,,,
49:29.0,00:00.0,100,2,43,54,48,213921,213337,44061,56974,24404,17848,9970,2377,,,,,
