'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
12:48.0,00:00.0,100,2,63,43,53,133091,11141,19590,15059,21754,16030,7236,3825,,16621.72041,11214.78099,5968.054986,3226.674744
12:49.0,00:00.0,100,2,50,51,50,39890,81482,47057,28883,25086,8366,7964,1540,,,,,
12:50.0,00:00.0,100,2,50,54,52,175441,154482,21410,36075,13235,13973,30315,7079,,,,,
12:51.0,00:00.0,100,2,43,64,53,123533,91889,111880,28759,30817,13289,11204,1217,,,,,
12:52.0,00:00.0,100,2,43,56,49,99385,26017,4477,19377,20168,17677,7030,2564,,,,,
12:53.0,00:00.0,100,2,53,61,57,39300,15633,20585,12688,12444,7052,8569,2428,,,,,
12:54.0,00:00.0,100,2,57,61,59,94286,70083,17142,14827,20216,10761,3451,2552,,,,,
12:55.0,00:00.0,100,2,61,57,59,24060,23195,37720,4549,31783,5520,6270,3009,,,,,
12:56.0,00:00.0,100,2,60,66,63,27539,9270,9640,19437,21039,11450,3288,4826,,,,,
12:57.0,00:00.0,100,2,50,48,49,289997,222195,19322,28007,23732,15559,5363,1777,,,,,
12:58.0,00:00.0,100,2,50,40,45,187143,256989,26934,18381,24940,28915,6193,2607,,,,,
12:59.0,00:00.0,100,2,51,40,45,33558,56429,42118,24684,32948,13131,10741,2961,,,,,
13:00.0,00:00.0,100,2,43,37,40,96185,37967,16615,10497,7118,8747,7702,3270,,,,,
13:01.0,00:00.0,100,2,54,48,51,51837,28113,12969,11184,7188,8702,9369,3610,,,,,
13:02.0,00:00.0,100,2,51,63,57,27477,40311,23693,15941,13719,5829,3564,3318,,,,,
13:03.0,00:00.0,100,2,57,60,58,29344,18540,602,16692,10173,6236,3899,1441,,,,,
13:04.0,00:00.0,100,2,64,57,60,7421,39349,11053,29300,33217,17442,4658,1575,,,,,
13:05.0,00:00.0,100,2,67,56,61,16915,11797,12686,8077,27621,7903,7022,2307,,,,,
13:06.0,00:00.0,100,2,74,56,65,37662,20724,20538,8109,16253,6589,7076,5618,,,,,
13:07.0,00:00.0,100,2,66,56,61,65148,39513,10868,15899,12534,7167,3448,3149,,,,,
13:08.0,00:00.0,100,2,61,61,61,54988,31485,40704,3862,11428,11658,5533,840,,,,,
13:09.0,00:00.0,100,2,56,60,58,199742,109581,46928,13443,13252,28648,6428,9561,,,,,
13:10.0,00:00.0,100,2,54,57,55,74499,56085,29928,12906,11806,9810,3608,2590,,,,,
13:11.0,00:00.0,100,2,41,50,45,184663,385491,55937,41253,22010,13054,7422,4328,,,,,
13:12.0,00:00.0,100,2,29,53,41,127731,48551,73534,2493,11938,6882,1855,907,,,,,
13:13.0,00:00.0,100,2,20,54,37,37013,95318,17193,38558,23200,8761,6859,3037,,,,,
13:14.0,00:00.0,100,2,27,48,37,54073,26403,1112,13642,18616,8644,4463,3940,,,,,
13:15.0,00:00.0,100,2,48,56,52,55210,38530,15418,24128,20380,14792,8724,1882,,,,,
13:16.0,00:00.0,100,2,67,50,58,180276,25831,35261,3350,13094,22631,1865,2300,,,,,
13:17.0,00:00.0,100,2,91,53,72,25303,12156,14005,13494,17124,20938,7586,6520,,,,,
13:18.0,00:00.0,100,2,64,48,56,443218,284017,23874,25880,19478,3790,4320,3784,,,,,
13:19.0,00:00.0,100,2,61,47,54,57428,42336,12728,25311,33849,10991,3096,2239,,,,,
13:20.0,00:00.0,100,2,54,51,52,57718,16501,22443,21463,13347,8696,2636,1951,,,,,
13:21.0,00:00.0,100,2,29,50,39,887821,79091,9703,28257,8590,4840,2080,865,,,,,
13:22.0,00:00.0,100,2,51,61,56,29332,58747,16548,24842,7914,9693,4927,3918,,,,,
13:23.0,00:00.0,100,2,48,74,61,101698,26457,20267,34385,6250,7653,6229,5880,,,,,
13:24.0,00:00.0,100,2,51,69,60,38436,26275,14534,20540,10307,14278,1823,3917,,,,,
13:25.0,00:00.0,100,2,63,78,70,156542,26970,23011,17291,6612,8347,6138,2857,,,,,
13:26.0,00:00.0,100,2,69,67,68,158050,57247,13608,12072,45804,15044,9713,8494,,,,,
