'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
32:02.0,00:00.0,100,2,54,40,47,70054,173162,34541,6690,16995,9998,5227,2885,,19606.13118,13003.30108,7095.522581,3635.101075
32:03.0,00:00.0,100,2,57,48,52,29522,9282,22405,11054,10663,12327,12647,4402,,,,,
32:04.0,00:00.0,100,2,51,61,56,106677,73104,26393,36137,18276,15023,11601,3594,,,,,
32:05.0,00:00.0,100,2,51,60,55,30662,35620,7174,15832,8524,10316,3758,3269,,,,,
32:06.0,00:00.0,100,2,70,54,62,15677,15640,301,4046,11389,7006,5872,1646,,,,,
32:07.0,00:00.0,100,2,74,44,59,16775,16590,6342,12767,14043,14219,2289,4449,,,,,
32:08.0,00:00.0,100,2,74,40,57,22870,57393,15901,20329,16256,9696,3045,1879,,,,,
32:09.0,00:00.0,100,2,81,35,58,44230,35744,3620,12378,5748,20950,9633,2503,,,,,
32:10.0,00:00.0,100,2,74,48,61,19548,19513,15525,3636,22353,6384,7281,3010,,,,,
32:11.0,00:00.0,100,2,57,37,47,32380,104085,10199,11474,21060,9181,5041,2105,,,,,
32:12.0,00:00.0,100,2,60,44,52,20046,33461,16387,36784,7285,11928,15329,8592,,,,,
32:13.0,00:00.0,100,2,44,61,52,225399,122455,159000,48201,15407,25686,8369,8561,,,,,
32:14.0,00:00.0,100,2,37,61,49,562846,177021,77015,15624,22980,19829,21249,6493,,,,,
32:15.0,00:00.0,100,2,41,75,58,14876,75815,41655,14088,17861,16950,10819,10281,,,,,
32:16.0,00:00.0,100,2,47,66,56,187718,14632,8197,3265,7642,5439,1381,1036,,,,,
32:17.0,00:00.0,100,2,40,53,46,261609,26596,7976,3954,1257,1499,1628,735,,,,,
32:18.0,00:00.0,100,2,43,56,49,28834,53469,17450,21073,4109,8254,4396,1113,,,,,
32:19.0,00:00.0,100,2,50,51,50,30935,25606,3339,12716,11430,10639,2813,2032,,,,,
32:20.0,00:00.0,100,2,44,60,52,79139,28938,29070,29914,21749,11441,3649,3109,,,,,
32:21.0,00:00.0,100,2,37,69,53,136922,68983,63865,10666,9580,2161,1670,2474,,,,,
32:22.0,00:00.0,100,2,51,60,55,20258,27747,8988,7315,20236,18668,5184,2654,,,,,
32:23.0,00:00.0,100,2,40,66,53,1151373,71876,28478,45099,36160,9676,8657,3266,,,,,
32:24.0,00:00.0,100,2,44,53,48,317328,150651,18440,45146,30626,56111,13248,9054,,,,,
32:25.0,00:00.0,100,1,56,47,51,607458,233892,71864,87853,27037,22294,28963,9182,,,,,
32:26.0,00:00.0,100,1,50,51,50,246728,64876,16719,33652,65898,28292,17903,8619,,,,,
32:27.0,00:00.0,100,1,61,61,61,60898,16093,7501,62746,12224,19205,4475,3090,,,,,
32:28.0,00:00.0,100,1,50,60,55,1070084,148775,8767,36981,27364,12960,8685,1915,,,,,
32:29.0,00:00.0,100,2,61,53,57,267855,96948,25079,13437,21592,26672,5710,8503,,,,,
32:30.0,00:00.0,100,2,56,47,51,473414,27994,6989,2446,20941,5713,10278,2322,,,,,
32:31.0,00:00.0,100,2,44,27,35,731056,110145,25650,17090,37454,8975,8744,3738,,,,,
32:32.0,00:00.0,100,2,57,35,46,66404,10099,3953,5414,7198,6212,2242,1615,,,,,
32:33.0,00:00.0,100,1,44,40,42,177688,77747,27961,20543,9287,5655,3252,1206,,,,,
32:34.0,00:00.0,100,1,43,50,46,151537,5645,1982,1741,2295,1112,798,319,,,,,
