'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
12:50.0,00:00.0,100,1,66,75,70,21727,28182,1718,7031,4659,5009,4562,12193,,10451.30419,7447.937674,3497.409302,4002.35814
12:51.0,00:00.0,100,1,66,69,67,805180,245543,56498,10797,13565,6637,3159,18102,,,,,
12:52.0,00:00.0,100,1,44,63,53,631816,83450,75033,2679,3023,2060,1860,3560,,,,,
12:53.0,00:00.0,100,1,51,63,57,119884,21859,2344,2740,1250,2685,933,4052,,,,,
12:54.0,00:00.0,100,1,44,64,54,574637,74112,3712,24666,20251,6267,1913,13496,,,,,
12:55.0,00:00.0,100,1,51,74,62,408345,32696,23293,4311,4113,2406,1539,2825,,,,,
12:56.0,00:00.0,100,2,51,57,54,170729,43826,5457,1991,1564,845,369,840,,,,,
12:57.0,00:00.0,100,2,38,57,47,164753,28202,4005,1170,734,633,617,603,,,,,
12:58.0,00:00.0,100,2,34,60,47,556188,20551,4479,4088,6887,1140,485,2800,,,,,
12:59.0,00:00.0,100,2,23,43,33,623303,235528,22505,3212,3757,3281,1403,3846,,,,,
13:00.0,00:00.0,100,2,26,44,35,267040,93539,16384,2173,6708,2800,1689,4331,,,,,
13:01.0,00:00.0,100,2,30,43,36,2028440,251001,34325,12363,26776,9334,6637,10121,,,,,
13:02.0,00:00.0,100,2,29,37,33,280048,72571,5607,7560,2567,2850,985,3256,,,,,
13:03.0,00:00.0,100,2,43,48,45,320737,56984,19991,8292,5865,5158,679,2773,,,,,
13:04.0,00:00.0,100,2,48,50,49,2090726,267663,32710,39572,9141,15032,5273,14274,,,,,
13:05.0,00:00.0,100,2,43,43,43,236456,111413,6904,1379,2114,1823,1385,2067,,,,,
13:06.0,00:00.0,100,2,48,53,50,488004,44749,18855,8317,5656,4334,1346,3246,,,,,
13:07.0,00:00.0,100,2,41,56,48,54352,12942,6436,596,644,559,126,894,,,,,
13:08.0,00:00.0,100,2,37,51,44,1687226,52785,7377,3693,7404,1476,598,2583,,,,,
13:09.0,00:00.0,100,2,47,64,55,679712,33712,5097,6498,1999,2732,609,757,,,,,
13:10.0,00:00.0,100,2,44,57,50,1101318,175176,38440,6006,7892,11959,6379,10303,,,,,
13:11.0,00:00.0,100,2,50,40,45,225669,40632,2950,453,2997,2016,910,3709,,,,,
13:12.0,00:00.0,100,1,63,40,51,1149982,320858,28823,34294,49729,37450,11336,7210,,,,,
13:13.0,00:00.0,100,1,60,17,38,209824,159170,1195,2790,3205,5692,1355,2179,,,,,
13:14.0,00:00.0,100,1,61,11,36,1691663,63719,5597,2720,17211,5122,3184,11932,,,,,
13:15.0,00:00.0,100,1,56,7,31,245946,101112,2367,2040,1611,2623,1409,4501,,,,,
13:16.0,00:00.0,100,1,47,17,32,27311,12539,5573,3208,3196,538,1037,1133,,,,,
13:17.0,00:00.0,100,1,47,37,42,811456,131913,27129,2626,12525,6089,3103,7561,,,,,
13:18.0,00:00.0,100,1,44,30,37,210786,61663,2862,1140,1094,4660,820,3445,,,,,
13:19.0,00:00.0,100,1,64,54,59,6683,5932,12912,5963,16775,7008,6294,8392,,,,,
13:20.0,00:00.0,100,1,75,37,56,289453,128068,3004,8075,16175,14024,1065,13808,,,,,
13:21.0,00:00.0,100,1,83,47,65,527168,44668,5787,36888,13869,9101,3477,14595,,,,,
13:22.0,00:00.0,100,1,78,63,70,1923247,189795,56572,24088,15011,9674,2662,10533,,,,,
13:23.0,00:00.0,100,1,74,64,69,12748,21535,13934,18448,10219,9036,1689,14130,,,,,
13:24.0,00:00.0,100,1,61,67,64,739436,686288,33283,41976,35904,15773,4544,25886,,,,,
13:25.0,00:00.0,100,1,54,60,57,746547,318837,59865,9151,12348,16986,6586,10196,,,,,
13:26.0,00:00.0,100,1,56,51,53,972388,186873,21984,6832,7071,8243,3288,11859,,,,,
13:27.0,00:00.0,100,1,37,35,36,1374423,533040,35062,41395,22824,8276,4567,7773,,,,,
