'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
32:04.0,00:00.0,100,1,50,80,65,216339,86231,28292,2098,8291,5241,3917,1826,,13691.74588,8876.261176,3826.821176,2150.065882
32:05.0,00:00.0,100,1,48,69,58,40786,68973,10261,6677,9695,6369,3611,2140,,,,,
32:06.0,00:00.0,100,1,53,66,59,10297,14633,16827,10219,10840,5008,1124,2724,,,,,
32:07.0,00:00.0,100,1,54,77,65,7843,6104,14283,12079,12607,8144,1226,1892,,,,,
32:08.0,00:00.0,100,1,63,87,75,12818,9578,15844,8924,8686,4702,3137,1052,,,,,
32:09.0,00:00.0,100,1,54,100,77,9101,29219,13678,35345,8517,2000,2203,2305,,,,,
32:10.0,00:00.0,100,1,60,100,80,26815,15105,9795,10635,2774,7904,4786,1395,,,,,
32:11.0,00:00.0,100,1,60,93,76,5374,21380,11897,3679,6883,9500,4685,802,,,,,
32:12.0,00:00.0,100,1,57,84,70,4000,21994,8411,6005,8742,3717,4090,2426,,,,,
32:13.0,00:00.0,100,1,67,81,74,30105,42402,21583,20177,6667,7271,1910,1312,,,,,
32:14.0,00:00.0,100,1,66,78,72,12652,15255,16882,5489,21520,7576,3396,1513,,,,,
32:15.0,00:00.0,100,1,57,67,62,44311,105567,4437,13031,5604,11567,7873,985,,,,,
32:16.0,00:00.0,100,1,64,78,71,3560,8425,17424,10194,7001,8294,5739,1244,,,,,
32:17.0,00:00.0,100,1,67,80,73,14125,18914,25314,5093,7953,6147,2758,2590,,,,,
32:18.0,00:00.0,100,1,70,78,74,52696,3596,3237,1329,3055,2776,1017,961,,,,,
32:19.0,00:00.0,100,1,83,90,86,30441,12685,5567,12303,6746,11732,1817,1020,,,,,
32:20.0,00:00.0,100,1,70,78,74,299666,52073,10156,6468,5001,3772,1221,475,,,,,
32:21.0,00:00.0,100,1,70,67,68,49816,36810,4356,9832,5418,7077,1983,975,,,,,
32:22.0,00:00.0,100,1,64,69,66,14494,22789,17700,4119,12462,5326,3389,4180,,,,,
32:23.0,00:00.0,100,1,48,51,49,113290,23273,1262,412,3822,1134,700,488,,,,,
32:24.0,00:00.0,100,1,51,63,57,287387,23960,7760,31648,5517,5812,4901,1641,,,,,
32:25.0,00:00.0,100,1,41,70,55,342523,186645,170074,40281,60221,15085,3887,4170,,,,,
32:26.0,00:00.0,100,1,44,78,61,53515,13239,24436,28178,11260,13922,3874,1525,,,,,
32:27.0,00:00.0,100,1,63,93,78,20102,22065,5460,14206,10682,20884,10258,2210,,,,,
32:28.0,00:00.0,100,1,77,78,77,26181,8317,4804,615,12126,6450,5531,709,,,,,
32:29.0,00:00.0,100,1,91,75,83,50218,12524,9717,5009,10028,6744,3660,2946,,,,,
32:30.0,00:00.0,100,1,93,67,80,4558,14480,10339,10738,10585,7754,5377,1839,,,,,
32:31.0,00:00.0,100,1,83,78,80,4960,18247,12931,31398,5667,10485,8055,4874,,,,,
32:32.0,00:00.0,100,1,74,87,80,24915,9091,19441,5555,37395,4434,3404,1481,,,,,
32:33.0,00:00.0,100,1,69,87,78,27136,25843,7771,9522,8227,6067,2569,1096,,,,,
32:34.0,00:00.0,100,1,63,90,76,12520,18145,10447,15326,7403,4181,3271,1781,,,,,
32:35.0,00:00.0,100,1,60,70,65,1658,46122,7043,2775,12437,5415,4679,3486,,,,,
