'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
52:41.0,00:00.0,100,1,48,84,66,139144,13883,4383,15768,6702,2861,1457,547,,14927.4147,12076.45712,6664.795476,3275.624882
52:41.0,00:00.0,100,1,47,80,63,86202,11197,26725,28934,36556,7597,5550,2758,,,,,
52:43.0,00:00.0,100,2,34,83,58,587471,34223,10686,23679,10295,2549,3101,1831,,,,,
52:43.0,00:00.0,100,2,30,67,48,339618,182952,25569,32991,58986,22087,35024,10371,,,,,
52:44.0,00:00.0,100,2,27,60,43,43008,121643,15843,36053,27558,9786,5078,4329,,,,,
52:45.0,00:00.0,100,2,26,51,38,15449,49140,14596,20714,22914,7809,6717,2198,,,,,
52:46.0,00:00.0,100,2,43,26,34,970247,126569,4326,3372,46570,22824,9354,2367,,,,,
52:48.0,00:00.0,100,2,41,38,39,338610,261923,189694,62152,30887,36112,8122,4608,,,,,
52:48.0,00:00.0,100,2,29,17,23,142377,137394,1577,3176,4777,2968,7591,1737,,,,,
52:49.0,00:00.0,100,2,29,21,25,2096315,135060,26913,79802,10020,24508,6118,1491,,,,,
52:50.0,00:00.0,100,2,14,47,30,313803,20934,14812,4137,2591,1618,1302,638,,,,,
52:51.0,00:00.0,100,2,20,35,27,137657,50414,10145,4884,12412,7528,2017,916,,,,,
52:53.0,00:00.0,100,2,47,70,58,9202,11844,10469,73758,8300,22481,7828,945,,,,,
52:53.0,00:00.0,100,2,50,81,65,13472,22116,32717,73754,12977,17095,30552,4068,,,,,
52:54.0,00:00.0,100,2,75,84,79,3790,24400,13523,72959,20889,41624,11185,11570,,,,,
52:55.0,00:00.0,100,2,69,81,75,794604,91990,8613,11611,20894,7794,5312,1228,,,,,
52:56.0,00:00.0,100,2,56,70,63,1069267,48417,7818,26118,6812,5618,2263,652,,,,,
52:57.0,00:00.0,100,2,70,56,63,1942032,51654,37987,29204,61637,65919,17870,8439,,,,,
52:58.0,00:00.0,87,4,70,56,63,2612356,104352,7529,49668,13484,6174,2675,1638,,,,,
52:59.0,00:00.0,100,4,63,54,58,102094,30664,11318,34694,17106,12808,10176,4881,,,,,
53:00.0,00:00.0,100,4,81,67,74,35229,16771,19411,13481,13460,21377,6210,6016,,,,,
53:01.0,00:00.0,100,4,94,66,80,141344,55331,8257,47557,31403,23798,9264,5317,,,,,
