'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
11:28.0,00:00.0,100,1,60,77,68,4087,12230,41833,18888,35505,15876,12472,7474,,12087.71338,9818.772293,5676.501592,2909.119427
11:29.0,00:00.0,100,1,54,77,65,130125,45945,20736,49908,27029,13558,9594,5389,,,,,
11:30.0,00:00.0,100,1,51,80,65,16557,41282,47708,54206,10221,27488,11043,6428,,,,,
11:31.0,00:00.0,100,1,44,69,56,469077,224719,50704,17821,13907,35999,11554,2457,,,,,
11:32.0,00:00.0,100,1,30,64,47,265335,73344,14326,32181,6825,6397,5797,1732,,,,,
11:33.0,00:00.0,100,1,38,60,49,9530,14305,3449,7198,3293,5796,1884,1796,,,,,
11:34.0,00:00.0,100,2,35,57,46,2112955,74896,84190,47604,39641,28027,12054,5935,,,,,
11:35.0,00:00.0,100,2,44,56,50,183706,21521,5225,4926,10875,12621,8811,1346,,,,,
11:36.0,00:00.0,100,2,57,50,53,666055,110930,23407,21069,36159,40580,8865,4820,,,,,
11:37.0,00:00.0,100,2,53,47,50,2491114,106406,17458,30565,14692,17085,14069,9803,,,,,
11:38.0,00:00.0,100,2,47,27,37,1698868,261944,22417,25220,37104,18930,12726,2070,,,,,
11:39.0,00:00.0,100,2,35,41,38,116084,12475,4545,16976,5697,3960,3115,1549,,,,,
11:40.0,00:00.0,100,2,34,56,45,4598,28078,35222,21334,6811,14632,7790,4412,,,,,
11:41.0,00:00.0,100,2,35,66,50,407317,55002,8263,83863,22720,23363,11679,11582,,,,,
11:42.0,00:00.0,100,2,41,78,59,857432,171258,106866,38946,61216,43917,33103,7760,,,,,
11:43.0,00:00.0,100,2,50,63,56,750962,29596,2569,7353,5477,10917,3452,2319,,,,,
11:44.0,00:00.0,100,2,48,69,58,37058,23538,2031,129009,8698,25534,8679,13203,,,,,
11:45.0,00:00.0,100,2,50,77,63,542754,7059,3369,53027,8860,11817,15935,15385,,,,,
11:46.0,00:00.0,100,2,53,87,70,11731,17164,49368,26410,13944,18824,2645,1241,,,,,
11:47.0,00:00.0,100,2,56,94,75,423029,21085,7594,30426,21699,23214,19836,4107,,,,,
11:48.0,00:00.0,100,2,53,90,71,870378,61978,75155,29222,13754,20835,5581,5324,,,,,
11:49.0,00:00.0,100,2,47,80,63,675229,84399,2464,78581,16206,13310,5687,2011,,,,,
11:50.0,00:00.0,100,2,43,56,49,77112,39540,3855,2353,3962,6947,1933,2487,,,,,
11:51.0,00:00.0,100,2,29,57,43,239114,85012,21145,55297,24607,13373,21916,6375,,,,,
11:52.0,00:00.0,100,2,16,43,29,1760158,375855,47427,48967,15109,10860,4834,2719,,,,,
11:53.0,00:00.0,100,2,21,41,31,11852,14821,7503,6138,4325,3885,3643,1128,,,,,
11:54.0,00:00.0,100,2,11,48,29,1363259,65479,10296,11787,6963,4029,2290,2064,,,,,
11:55.0,00:00.0,100,2,11,41,26,123750,21540,4107,3150,2658,2236,1020,890,,,,,
11:56.0,00:00.0,100,2,27,38,32,412074,156403,8804,33991,68735,31464,21960,5718,,,,,
11:57.0,00:00.0,100,2,27,38,32,18535,27555,17254,24028,37527,12017,6249,5671,,,,,
11:58.0,00:00.0,100,2,38,53,45,583556,54814,35196,110833,9677,29633,11145,6907,,,,,
11:59.0,00:00.0,100,2,48,54,51,111911,28872,5726,7804,2765,10907,4701,531,,,,,
12:00.0,00:00.0,100,2,48,78,63,293495,20270,13348,95334,13414,19803,17156,8648,,,,,
12:01.0,00:00.0,100,2,44,75,59,18903,46360,5963,22851,13523,9740,7499,4809,,,,,
12:02.0,00:00.0,100,2,53,70,61,44962,20054,15705,42302,15756,27393,12306,6959,,,,,
12:03.0,00:00.0,100,2,50,78,64,706338,58443,23329,53143,31397,23469,8298,1415,,,,,
12:04.0,00:00.0,100,2,60,64,62,10446,18844,5132,12158,4898,16412,11030,4053,,,,,
12:05.0,00:00.0,100,2,57,66,61,442899,88664,22478,36532,16936,15877,12321,7821,,,,,
12:06.0,00:00.0,100,2,56,60,58,17676,28843,2331,29588,24013,15965,4095,9955,,,,,
12:07.0,00:00.0,100,2,53,57,55,8208,73260,82616,9227,45502,18981,6978,3802,,,,,
12:08.0,00:00.0,100,2,43,47,45,635508,147684,2205,18528,8247,25222,9997,10787,,,,,
12:09.0,00:00.0,100,2,51,37,44,110311,19471,2159,4749,6901,7493,2444,835,,,,,
12:10.0,00:00.0,100,2,44,40,42,149097,9170,2176,8723,4441,2661,1179,742,,,,,
12:11.0,00:00.0,100,2,56,30,43,2142621,90768,13512,23363,21122,49349,10766,5861,,,,,
12:12.0,00:00.0,100,2,53,41,47,75536,2882,2597,517,4872,684,807,740,,,,,
12:13.0,00:00.0,100,2,56,56,56,29477,11209,4424,37918,19084,20869,6059,6510,,,,,
12:14.0,00:00.0,100,2,43,47,45,272983,131731,25890,8023,5658,4882,2662,4065,,,,,
12:15.0,00:00.0,100,2,30,57,43,7968,18372,8606,19245,9189,4911,2739,1233,,,,,
12:16.0,00:00.0,100,2,30,66,48,6597,24012,28232,10694,13855,7834,1590,2905,,,,,
12:17.0,00:00.0,100,2,16,54,35,429676,241953,59463,10356,29973,18879,10141,3716,,,,,
12:18.0,00:00.0,100,2,27,51,39,156842,111910,14260,21181,77272,17244,9495,6068,,,,,
12:19.0,00:00.0,100,2,27,47,37,138878,94135,22635,28045,6572,13422,14009,4418,,,,,
12:20.0,00:00.0,100,2,26,53,39,81135,27323,25704,70025,7000,12402,18660,2538,,,,,
12:21.0,00:00.0,100,2,44,60,52,5569,24777,15307,23530,11410,39868,5021,3955,,,,,
12:22.0,00:00.0,100,2,48,77,62,15756,40718,50364,28489,18749,20463,9629,5204,,,,,
12:23.0,00:00.0,100,2,44,80,62,53313,60146,23568,51195,46819,9051,11980,3586,,,,,
12:24.0,00:00.0,100,2,54,57,55,35633,18611,7073,1082,13159,8254,9098,2356,,,,,
12:25.0,00:00.0,100,2,41,66,53,19954,19251,20292,38272,21033,10188,12529,7136,,,,,
12:26.0,00:00.0,100,2,34,57,45,247827,31313,5738,7940,2385,2781,2826,1496,,,,,
12:27.0,00:00.0,100,2,40,63,51,25638,15196,12783,25298,12675,7412,5645,1698,,,,,
12:28.0,00:00.0,100,2,26,69,47,83262,82495,6638,58768,41241,10980,6661,3744,,,,,
12:29.0,00:00.0,100,2,26,74,50,40098,29155,15909,83032,13455,15637,11173,5818,,,,,
12:30.0,00:00.0,100,2,30,75,52,114631,9666,3476,2820,2115,1968,1498,753,,,,,
12:31.0,00:00.0,100,2,26,53,39,252802,190040,12482,12052,19064,15607,8200,3615,,,,,
12:32.0,00:00.0,100,2,41,53,47,12395,14317,4062,13685,9314,14072,2949,2078,,,,,
12:33.0,00:00.0,100,2,38,34,36,141149,98032,5018,16611,6080,9062,11485,1086,,,,,
12:34.0,00:00.0,100,2,38,35,36,49739,34122,6547,20368,4071,7742,2806,3166,,,,,
12:35.0,00:00.0,100,2,38,48,43,54680,47708,2854,21379,6892,4983,4370,1788,,,,,
12:36.0,00:00.0,100,2,20,43,31,620527,98430,9435,24970,11475,7483,8962,2257,,,,,
12:37.0,00:00.0,100,2,24,64,44,2585,10202,17054,23682,3035,6207,2499,992,,,,,
12:38.0,00:00.0,100,2,21,64,42,106827,27322,12448,7525,5051,4041,2240,1384,,,,,
12:39.0,00:00.0,100,2,20,57,38,646984,304354,32885,39355,28667,22084,11592,5041,,,,,
12:40.0,00:00.0,100,2,20,57,38,550709,144575,29147,18112,13416,11451,4935,3540,,,,,
12:41.0,00:00.0,100,2,13,48,30,612829,49224,31797,12366,8390,4243,3452,3940,,,,,
12:42.0,00:00.0,100,2,24,51,37,985814,30036,23143,35032,17871,29089,15369,8268,,,,,
12:43.0,00:00.0,100,2,30,54,42,110618,21108,6480,3439,5371,4532,1758,921,,,,,
12:44.0,00:00.0,100,2,44,63,53,26524,11023,16655,9697,13573,11282,6796,4895,,,,,
12:45.0,00:00.0,100,2,51,60,55,421809,85560,50977,16299,33723,15086,3792,2075,,,,,
12:46.0,00:00.0,100,2,44,64,54,21458,19201,16068,39999,10254,14295,7220,5152,,,,,
12:47.0,00:00.0,100,2,54,70,62,467271,7527,5685,8417,7834,8842,6694,2981,,,,,
12:48.0,00:00.0,100,2,44,63,53,238058,66901,13861,12216,15972,8790,4581,1313,,,,,
12:49.0,00:00.0,100,2,53,63,58,7734,38558,21166,15183,13975,19614,6773,3498,,,,,
12:50.0,00:00.0,100,2,53,63,58,89090,5276,5639,11342,3823,3525,2563,883,,,,,
12:51.0,00:00.0,100,2,38,64,51,177397,79810,35519,31314,18594,9563,5909,1667,,,,,
12:52.0,00:00.0,100,2,41,69,55,9970,28950,8219,18912,18774,8896,6458,1697,,,,,
12:53.0,00:00.0,100,2,41,75,58,7167,12274,7171,22395,9167,9512,6870,2977,,,,,
12:54.0,00:00.0,100,2,35,66,50,186905,82837,35821,18907,5938,11181,1866,2353,,,,,
