'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
08:26.0,00:00.0,100,2,30,61,45,67955,26914,5266,3178,7406,2264,2676,890,,18496.35154,15139.74347,9497.28266,4167.812352
08:27.0,00:00.0,100,2,24,60,42,26412,38914,31129,15879,10306,12363,8973,1958,,,,,
08:28.0,00:00.0,100,2,43,66,54,31894,21386,20093,22044,13798,19078,11477,1679,,,,,
08:29.0,00:00.0,100,2,60,67,63,26358,11067,32444,12853,32015,22662,7918,1312,,,,,
08:30.0,00:00.0,100,2,67,81,74,39832,29757,21609,19255,7777,10611,15044,5371,,,,,
08:31.0,00:00.0,100,2,69,78,73,26793,13151,12877,7520,13839,7037,10961,1273,,,,,
08:32.0,00:00.0,100,2,67,81,74,20274,26270,20701,37578,7581,21614,7518,3477,,,,,
08:33.0,00:00.0,100,2,50,93,71,25337,19010,64119,13722,13058,5648,5773,6423,,,,,
08:34.0,00:00.0,100,2,44,84,64,598717,116909,23308,25357,15727,13124,14657,16021,,,,,
08:35.0,00:00.0,100,2,44,88,66,27893,28507,38373,17592,19255,17771,8843,1536,,,,,
08:36.0,00:00.0,100,2,34,83,58,70685,75173,51599,10378,9876,9554,5554,2191,,,,,
08:37.0,00:00.0,100,2,41,84,62,7319,13007,50672,36701,6670,15181,8012,1636,,,,,
08:38.0,00:00.0,100,2,40,90,65,36120,52258,32428,5817,12769,6636,5975,2678,,,,,
08:39.0,00:00.0,100,2,34,83,58,112710,81590,22121,34576,29397,15199,4509,2416,,,,,
08:40.0,00:00.0,100,2,29,84,56,397466,17129,10194,6990,5152,1534,1495,1012,,,,,
08:41.0,00:00.0,100,2,23,69,46,106874,110471,48269,25977,18310,15326,3487,6088,,,,,
08:42.0,00:00.0,100,2,26,67,46,963042,60341,29490,4433,7349,8443,12378,4607,,,,,
08:43.0,00:00.0,100,2,27,69,48,14009,59895,11042,34864,18872,13259,6040,4730,,,,,
08:44.0,00:00.0,100,2,44,67,55,9401,22566,14808,9905,8388,10630,11588,2863,,,,,
08:45.0,00:00.0,100,2,40,83,61,530137,19780,145437,35463,11749,8595,7758,890,,,,,
08:46.0,00:00.0,100,5,38,75,56,1664880,124121,15859,17539,25280,13803,2003,1253,,,,,
08:47.0,00:00.0,100,5,30,66,48,303701,64284,13519,12722,19772,5720,9290,4625,,,,,
08:48.0,00:00.0,100,5,34,61,47,8160,45835,24322,13024,18744,20529,6585,4970,,,,,
08:49.0,00:00.0,100,5,43,51,47,17086,56106,94592,31679,20895,26812,6904,4012,,,,,
08:50.0,00:00.0,100,5,54,51,52,23664,43416,6342,16220,40073,22874,6303,2485,,,,,
08:51.0,00:00.0,100,5,63,64,63,64244,22867,44534,13116,11639,10328,12781,1436,,,,,
08:52.0,00:00.0,100,5,54,75,64,6725,24024,49131,6961,13748,7239,11065,2438,,,,,
08:53.0,00:00.0,100,5,44,70,57,22003,56689,56035,24327,14142,7300,6895,2594,,,,,
08:54.0,00:00.0,100,5,37,84,60,434665,46183,94942,12344,40517,21579,7752,5506,,,,,
08:55.0,00:00.0,100,5,41,67,54,16586,23638,11733,5624,43232,10377,14317,3313,,,,,
08:56.0,00:00.0,100,5,53,54,53,60271,52318,8922,21353,22117,24646,10943,2766,,,,,
08:57.0,00:00.0,100,5,54,61,57,436609,29841,61771,43407,10222,9127,5907,5851,,,,,
08:58.0,00:00.0,100,5,43,57,50,39170,147097,35983,77249,10192,10472,5798,2787,,,,,
08:59.0,00:00.0,100,5,37,74,55,28527,9990,30209,13829,12957,6778,6572,2210,,,,,
09:00.0,00:00.0,100,5,29,75,52,12725,85637,9491,32099,11962,19053,4835,1579,,,,,
09:01.0,00:00.0,100,5,35,70,52,43527,27874,44890,14909,15532,8681,4661,4509,,,,,
09:02.0,00:00.0,100,5,47,75,61,27849,47585,63485,3979,10646,15482,15925,4194,,,,,
09:03.0,00:00.0,100,5,44,57,50,20978,129510,8446,24384,12248,16923,6951,3590,,,,,
09:04.0,00:00.0,100,5,44,61,52,50327,50358,15743,32432,41685,12589,4561,1625,,,,,
09:05.0,00:00.0,100,5,43,53,48,68235,21976,6996,8852,4208,3449,2481,735,,,,,
09:06.0,00:00.0,100,5,40,48,44,26868,48042,47324,11667,60714,12063,11459,7839,,,,,
09:07.0,00:00.0,100,5,47,63,55,25218,24202,25836,48921,12281,22799,8679,4845,,,,,
09:08.0,00:00.0,100,5,54,66,60,78105,19615,22244,18779,27343,18372,6230,865,,,,,
09:09.0,00:00.0,100,5,61,69,65,49292,10208,3373,14381,5225,5170,1725,416,,,,,
09:10.0,00:00.0,100,5,60,67,63,1725632,161508,74573,30781,62681,25181,4680,9440,,,,,
09:11.0,00:00.0,100,5,43,41,42,2595599,284214,6890,13872,21588,13261,11318,8552,,,,,
09:12.0,00:00.0,100,5,38,35,36,186187,5360,1154,1780,2229,1609,376,1047,,,,,
09:13.0,00:00.0,100,5,37,34,35,127031,49735,49924,5602,32715,14732,4153,5696,,,,,
09:14.0,00:00.0,100,5,35,34,34,57497,17016,5638,2721,4217,1794,2572,1049,,,,,
09:15.0,00:00.0,100,3,35,53,44,839898,36730,16997,15313,5480,3153,757,342,,,,,
09:16.0,00:00.0,100,3,16,56,36,142677,61788,31787,7368,12073,2460,1905,655,,,,,
09:17.0,00:00.0,100,3,1,44,22,152597,102799,13690,4085,4621,2113,1879,577,,,,,
09:18.0,00:00.0,100,3,10,48,29,4854,12947,10836,2936,6757,7088,833,978,,,,,
09:19.0,00:00.0,100,3,24,44,34,268956,32132,16524,16529,14525,15566,15920,4474,,,,,
09:20.0,00:00.0,100,3,41,48,44,21008,31281,11222,25340,13380,10826,3498,5768,,,,,
09:21.0,00:00.0,100,3,75,57,66,27899,11041,13190,6003,3660,21451,10860,2697,,,,,
09:22.0,00:00.0,100,3,75,50,62,41569,54910,7192,10655,33270,17182,5926,6783,,,,,
09:23.0,00:00.0,100,3,80,48,64,28927,16208,11263,13985,16752,16279,4570,3590,,,,,
09:24.0,00:00.0,100,3,81,54,67,99873,25588,40112,25596,13419,16723,5425,1330,,,,,
09:25.0,00:00.0,100,3,67,50,58,42493,32510,3683,14501,12661,8118,5328,3730,,,,,
09:26.0,00:00.0,100,3,67,60,63,46650,21996,12915,7939,7649,10160,13295,2752,,,,,
09:27.0,00:00.0,100,3,54,60,57,143414,23087,13956,3781,7395,3864,2197,1350,,,,,
09:28.0,00:00.0,100,3,53,50,51,169731,43023,20952,18173,29096,11487,10043,2246,,,,,
09:29.0,00:00.0,100,3,47,53,50,147106,55902,30046,14851,38645,7998,11735,8076,,,,,
09:30.0,00:00.0,100,2,30,53,41,959325,86897,42872,18334,18218,7613,7063,1745,,,,,
09:31.0,00:00.0,100,2,29,47,38,1573251,912452,139592,144255,49873,107240,21186,8197,,,,,
09:32.0,00:00.0,100,2,29,43,36,221334,20420,3563,8164,7778,4876,3437,422,,,,,
09:33.0,00:00.0,100,2,24,60,42,19702,42214,150049,16615,18362,9745,5275,7132,,,,,
09:34.0,00:00.0,100,2,43,61,52,302890,29073,14221,38685,13120,27191,15002,4789,,,,,
09:35.0,00:00.0,100,2,48,66,57,206061,214499,113982,10024,56805,50690,24866,9341,,,,,
09:36.0,00:00.0,100,2,41,54,47,210053,192779,3463,15330,13067,14109,8955,4736,,,,,
09:37.0,00:00.0,100,2,56,43,49,7993,33004,855,37016,10384,16403,7107,1425,,,,,
09:38.0,00:00.0,100,2,43,38,40,10244,82341,14439,27595,7886,10854,7649,1577,,,,,
09:39.0,00:00.0,100,1,34,26,30,728394,363796,31001,14960,27512,17740,3829,4248,,,,,
09:40.0,00:00.0,100,1,29,48,38,1944836,63585,45703,34652,12365,7341,13078,2908,,,,,
09:41.0,00:00.0,100,1,35,47,41,483108,19602,5499,25265,16757,20235,9525,7036,,,,,
09:42.0,00:00.0,100,1,48,53,50,56685,24420,52892,15983,29037,33582,10884,3970,,,,,
09:43.0,00:00.0,100,1,70,60,65,26140,26950,5644,17876,27112,28102,4954,3393,,,,,
09:44.0,00:00.0,100,1,88,48,68,10248,44833,12312,4122,16253,17499,9173,3886,,,,,
09:45.0,00:00.0,100,1,84,40,62,33058,39239,8114,5483,6333,13339,13004,4647,,,,,
09:46.0,00:00.0,100,1,81,41,61,220964,22944,36175,14562,8255,18983,20433,1935,,,,,
09:47.0,00:00.0,100,1,70,60,65,412538,9903,30417,41041,11646,13733,8569,5477,,,,,
09:48.0,00:00.0,100,1,57,61,59,94446,83691,11027,19296,13844,7867,6869,14655,,,,,
09:49.0,00:00.0,100,1,53,69,61,97144,47644,19671,30794,24342,15116,15474,3190,,,,,
09:50.0,00:00.0,100,1,50,69,59,23075,43292,43078,40630,23990,25641,4163,6596,,,,,
09:51.0,00:00.0,100,1,43,56,49,28633,65964,26579,27034,39833,9716,4740,2223,,,,,
09:52.0,00:00.0,100,1,51,53,52,131674,8065,790,2361,3377,1997,1776,315,,,,,
09:53.0,00:00.0,100,1,57,54,55,17353,31552,37253,15933,15457,26744,7119,4247,,,,,
09:54.0,00:00.0,100,1,64,43,53,53651,27988,17405,5548,38588,21339,9723,3661,,,,,
09:55.0,00:00.0,100,2,69,41,55,83117,109408,23751,25628,20157,21220,4300,1937,,,,,
09:56.0,00:00.0,100,2,64,41,52,16453,37662,6080,7987,11488,5583,10464,2106,,,,,
09:57.0,00:00.0,100,2,69,37,53,252909,22791,14980,4750,4363,22990,10586,3975,,,,,
09:58.0,00:00.0,100,2,61,38,49,503708,56944,3935,26562,20367,14821,4802,1456,,,,,
09:59.0,00:00.0,100,2,67,51,59,16544,6052,18281,6652,3253,8254,3006,1039,,,,,
10:00.0,00:00.0,100,2,66,51,58,655312,11498,1663,3795,8429,1766,1898,277,,,,,
10:01.0,00:00.0,100,2,57,57,57,1422733,16097,12233,12421,4218,8539,4007,1686,,,,,
