'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
47:43.0,00:00.0,100,2,77,75,76,851213,349982,95629,24738,27756,15398,12322,5331,,14278.48325,13783.03616,8013.604938,3997.422399
47:44.0,00:00.0,100,2,66,64,65,531641,198962,40569,25078,20498,8593,5965,4047,,,,,
47:45.0,00:00.0,100,2,54,57,55,19010,53126,3547,11571,5529,6376,3790,1977,,,,,
47:46.0,00:00.0,100,2,61,64,62,1580437,317121,182123,9516,67919,54733,16378,13054,,,,,
47:47.0,00:00.0,100,2,66,56,61,402578,70879,6595,6675,10755,5308,1738,1927,,,,,
47:48.0,00:00.0,100,2,77,70,73,8228,19149,24473,8114,1934,4973,5045,2765,,,,,
47:49.0,00:00.0,100,2,74,74,74,1968003,205075,11784,63690,28007,16988,15589,18646,,,,,
47:50.0,00:00.0,100,2,84,75,79,23205,15774,4481,17634,19186,13468,7908,5391,,,,,
47:51.0,00:00.0,100,2,94,83,88,482673,34079,10738,12947,14803,10581,7096,3801,,,,,
47:52.0,00:00.0,100,2,94,75,84,9943,38313,18125,12297,13077,7355,9914,2734,,,,,
47:53.0,00:00.0,100,2,97,70,83,858352,200144,36639,22030,35881,21579,8607,1492,,,,,
47:54.0,00:00.0,100,2,78,66,72,187767,19650,4859,1325,2128,1224,1293,594,,,,,
47:55.0,00:00.0,100,2,81,64,72,18860,26236,6741,7370,10848,8839,7100,1864,,,,,
47:56.0,00:00.0,100,1,78,50,64,435104,68549,4431,3993,1984,6399,5202,2135,,,,,
47:57.0,00:00.0,100,1,87,61,74,697262,40531,7988,41999,7499,16584,11101,6965,,,,,
47:58.0,00:00.0,100,1,100,54,77,370113,64789,3348,8568,5236,15538,7738,5455,,,,,
47:59.0,00:00.0,100,1,88,47,67,615045,122850,11841,10413,24125,8901,12249,2779,,,,,
48:00.0,00:00.0,100,1,93,56,74,184877,47921,8531,18706,27851,10606,11275,4262,,,,,
48:01.0,00:00.0,100,1,93,51,72,16038,22820,12090,7163,12203,7776,3151,1219,,,,,
48:02.0,00:00.0,100,1,67,61,64,1526439,414887,164662,11269,13367,8976,18195,9230,,,,,
48:03.0,00:00.0,100,1,78,75,76,318600,45024,18557,8755,2925,13091,4312,6115,,,,,
48:04.0,00:00.0,100,1,87,74,80,12143,14719,4540,5348,9436,8347,4492,2685,,,,,
48:05.0,00:00.0,100,1,70,63,66,2105492,200234,15042,22499,21580,8815,7678,7409,,,,,
48:06.0,00:00.0,100,1,93,61,77,11237,27483,7016,5965,3944,5435,9377,3522,,,,,
48:07.0,00:00.0,100,1,93,47,70,626314,88374,9227,4247,27642,17046,3173,5345,,,,,
48:08.0,00:00.0,100,1,84,53,68,188127,8351,4196,2871,1819,2807,2476,1450,,,,,
48:09.0,00:00.0,100,1,100,61,80,13928,15812,4381,9597,8650,9214,8576,3235,,,,,
48:10.0,00:00.0,100,1,91,54,72,2218394,685411,87648,41736,45896,26171,19869,7454,,,,,
48:11.0,00:00.0,100,1,87,66,76,803593,168813,31717,43417,23411,28196,29594,8283,,,,,
48:12.0,00:00.0,100,1,94,69,81,29595,14784,5773,25717,10266,20347,11602,4968,,,,,
48:13.0,00:00.0,100,1,97,77,87,10409,21728,19405,11437,3634,20708,10435,3727,,,,,
48:14.0,00:00.0,100,1,100,75,87,13253,32282,5286,4267,11860,15573,8482,9198,,,,,
48:15.0,00:00.0,100,1,100,64,82,3789,66823,5130,8249,17425,22784,6581,3619,,,,,
48:16.0,00:00.0,100,1,100,53,76,8394,24444,1031,9198,9962,12921,9601,12109,,,,,
48:17.0,00:00.0,100,2,100,50,75,2116697,183204,109863,47980,81832,27883,8786,4225,,,,,
48:18.0,00:00.0,100,2,100,57,78,16396,40054,12422,9800,7526,6462,4439,3851,,,,,
48:19.0,00:00.0,100,2,88,69,78,654583,28189,3688,7814,1506,2928,3374,2983,,,,,
48:20.0,00:00.0,100,2,69,78,73,219207,47416,19232,6036,2595,3157,5290,2404,,,,,
48:21.0,00:00.0,100,2,69,66,67,168827,155285,31212,3053,11112,15444,8036,5593,,,,,
48:22.0,00:00.0,100,2,70,74,72,121631,12656,4964,7904,3260,3053,3947,1589,,,,,
48:23.0,00:00.0,100,2,77,78,77,11250,100424,45632,36576,18675,21096,9697,5742,,,,,
48:24.0,00:00.0,100,2,78,61,69,310460,399904,24813,14866,17026,23971,12849,9691,,,,,
48:25.0,00:00.0,100,2,78,69,73,791431,96287,42021,12586,10550,15300,8729,2713,,,,,
48:26.0,00:00.0,100,2,78,67,72,117222,29921,17878,4961,7004,5485,4285,1208,,,,,
48:27.0,00:00.0,100,2,67,60,63,1189424,389391,87652,37350,37250,23824,27330,2665,,,,,
48:28.0,00:00.0,100,2,74,81,77,306259,8684,8414,1420,2867,1695,2313,1165,,,,,
48:29.0,00:00.0,100,2,87,83,85,12595,12373,15402,16717,16605,32879,20042,4280,,,,,
48:30.0,00:00.0,100,2,87,77,82,41834,78819,9111,19724,9341,18199,12243,13840,,,,,
48:31.0,00:00.0,100,2,100,83,91,1566447,25508,6377,31433,19428,26446,6414,2233,,,,,
48:32.0,00:00.0,100,2,100,80,90,175728,19074,13989,4839,8326,4992,3441,794,,,,,
48:33.0,00:00.0,100,2,96,69,82,41737,32449,4947,6121,6828,20890,7596,6042,,,,,
48:34.0,00:00.0,100,2,100,63,81,38405,53494,4510,10308,14943,22317,10824,4804,,,,,
48:35.0,00:00.0,100,2,93,60,76,29474,29301,21921,4535,26352,8818,6626,5010,,,,,
48:36.0,00:00.0,100,2,100,57,78,59548,23253,14940,5605,6933,13609,16363,1709,,,,,
48:37.0,00:00.0,100,2,97,51,74,4912,44673,3040,3382,6832,17916,7995,2764,,,,,
48:38.0,00:00.0,100,2,93,50,71,27300,66225,5322,6521,14656,11323,16593,4514,,,,,
48:39.0,00:00.0,100,2,97,40,68,25108,30864,1561,9503,20564,12594,14673,2794,,,,,
48:40.0,00:00.0,100,2,87,38,62,1342783,108123,44767,23341,41666,14519,15305,4207,,,,,
48:41.0,00:00.0,100,2,83,47,65,69149,27916,4925,2347,2865,9811,8459,2458,,,,,
48:42.0,00:00.0,100,2,77,64,70,595625,35810,26509,13035,4409,4892,1879,1447,,,,,
48:43.0,00:00.0,100,2,64,74,69,2089986,178892,33010,35924,10327,18628,11698,7635,,,,,
48:44.0,00:00.0,100,2,53,64,58,59726,203133,32058,5913,10363,5436,9369,1323,,,,,
48:45.0,00:00.0,100,1,48,61,54,71386,65247,1989,8695,5729,9403,7560,1624,,,,,
48:46.0,00:00.0,100,1,67,53,60,5705,6301,14154,6806,3365,43636,14531,3110,,,,,
48:47.0,00:00.0,100,1,75,56,65,585272,41916,21285,12467,11032,18635,14864,3367,,,,,
48:48.0,00:00.0,100,1,84,60,72,901221,99227,25535,6366,12271,13865,9166,4453,,,,,
48:49.0,00:00.0,100,1,90,70,80,27077,30478,11958,15175,11171,21063,7666,2133,,,,,
48:50.0,00:00.0,100,1,77,74,75,13211,36955,10557,15922,3224,15622,12192,1359,,,,,
48:51.0,00:00.0,100,1,75,80,77,15349,17355,16150,19990,6541,11137,7365,2937,,,,,
