'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
07:32.0,00:00.0,100,2,40,63,51,28757,22338,14603,15823,17077,8131,4714,1448,,20152.75862,13096.72605,6236.226054,2936.273946
07:33.0,00:00.0,100,2,40,69,54,461120,69821,33056,118398,15707,8058,1980,964,,,,,
07:34.0,00:00.0,100,2,37,75,56,14571,69068,20902,41424,5677,7146,2609,986,,,,,
07:35.0,00:00.0,100,2,35,81,58,29182,21754,22996,4145,16366,5987,2191,2121,,,,,
07:36.0,00:00.0,100,2,34,83,58,21597,18711,22105,11899,20731,6796,5361,1863,,,,,
07:37.0,00:00.0,100,2,50,75,62,455946,18123,5799,26306,22048,14055,2220,1570,,,,,
07:38.0,00:00.0,100,2,44,61,52,546153,72665,12364,5196,3593,2331,1301,778,,,,,
07:39.0,00:00.0,100,2,50,60,55,32366,37255,25863,10990,12411,15668,4645,4504,,,,,
07:40.0,00:00.0,100,2,56,63,59,25539,17441,13500,29067,7401,17856,5508,3456,,,,,
07:41.0,00:00.0,100,2,53,54,53,26251,44949,6852,15594,26165,12870,5464,2808,,,,,
07:42.0,00:00.0,100,2,57,78,67,28420,37118,9220,179602,26491,10093,6809,5090,,,,,
07:43.0,00:00.0,100,2,48,78,63,24126,90072,8665,63460,14183,12212,5203,2072,,,,,
07:44.0,00:00.0,100,2,44,70,57,52850,44561,23277,27783,37935,17020,4221,2223,,,,,
07:45.0,00:00.0,100,2,47,83,65,42437,18109,24963,39403,34088,16496,5425,3521,,,,,
07:46.0,00:00.0,100,2,48,74,61,29760,70462,50478,20415,4327,7937,4031,3084,,,,,
07:47.0,00:00.0,100,2,60,75,67,46413,21448,40808,12214,32557,19508,5537,2150,,,,,
07:48.0,00:00.0,100,2,63,70,66,15271,48284,3744,26914,10550,26454,8266,1932,,,,,
07:49.0,00:00.0,100,2,63,54,58,65036,73786,11955,5828,24498,17048,4573,2856,,,,,
07:50.0,00:00.0,100,2,67,41,54,396527,175917,13492,36062,49167,21541,2345,2967,,,,,
