'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
45:34.0,00:00.0,0,5,0,0,0,545698,455628,26204,253587,117398,55623,34056,13579,,154607.3379,135323.2738,69904.38447,66800.49126
45:35.0,00:00.0,0,5,0,0,0,626164,90088,9104,32915,15053,21263,6907,5929,,,,,
45:36.0,00:00.0,0,5,0,0,0,195019,486112,311188,232058,105144,63818,42418,25481,,,,,
45:37.0,00:00.0,0,5,0,0,0,1257625,571426,411627,751854,145790,252451,79932,20359,,,,,
45:38.0,00:00.0,0,5,0,0,0,406398,2662886,320230,1217612,267138,158948,79299,82889,,,,,
45:39.0,00:00.0,0,5,0,0,0,614597,2541095,318207,777985,187381,235404,201471,83918,,,,,
45:40.0,00:00.0,0,5,0,0,0,1229451,1302746,178070,706703,236612,212088,153231,40717,,,,,
45:41.0,00:00.0,0,5,0,0,0,457211,273462,77086,107957,78979,34695,31688,26068,,,,,
45:42.0,00:00.0,0,5,0,0,0,581245,279349,31278,168669,34803,50827,16012,10593,,,,,
45:43.0,00:00.0,0,5,0,0,0,895542,1141803,1165589,1609219,65629,174056,78778,51200,,,,,
45:44.0,00:00.0,0,5,0,0,0,155243,963462,1707,335468,45821,52642,12228,23857,,,,,
45:45.0,00:00.0,0,5,0,0,0,864259,1166265,183257,406964,220801,392634,60806,91442,,,,,
45:46.0,00:00.0,0,5,0,0,0,742445,1111582,252613,485843,214863,292427,46407,68424,,,,,
45:47.0,00:00.0,0,5,0,0,0,1222406,1501408,299555,280887,222635,194128,81492,90459,,,,,
45:48.0,00:00.0,0,5,0,0,0,1265117,661165,241329,638456,117119,169112,79432,64773,,,,,
45:49.0,00:00.0,0,5,0,0,0,300100,750127,13041,123082,50271,116318,21627,13640,,,,,
45:50.0,00:00.0,0,5,0,0,0,1017387,1252220,361781,642103,135170,325707,62768,86040,,,,,
45:51.0,00:00.0,0,5,0,0,0,823923,962419,274817,679979,255296,344389,116719,177397,,,,,
45:52.0,00:00.0,0,5,0,0,0,749390,723233,297990,677465,334345,313649,138526,143204,,,,,
45:53.0,00:00.0,0,5,0,0,0,533669,1081993,247006,1067318,143442,266219,52957,109317,,,,,
45:54.0,00:00.0,0,5,0,0,0,554427,1080085,214478,930897,154565,250547,69063,146240,,,,,
45:55.0,00:00.0,0,5,0,0,0,1253725,841108,319452,632253,131153,218228,100617,63501,,,,,
45:56.0,00:00.0,0,5,0,0,0,1294192,1242637,269174,856229,116294,361326,102584,83112,,,,,
45:57.0,00:00.0,0,5,0,0,0,552081,2050307,270516,220347,338538,253159,62573,41159,,,,,
45:58.0,00:00.0,0,5,0,0,0,357795,1092668,5357,75141,160525,65889,19483,15587,,,,,
45:59.0,00:00.0,0,5,0,0,0,822985,379022,128301,155405,97904,44191,23193,6022,,,,,
46:00.0,00:00.0,0,5,0,0,0,593340,1418654,419418,909739,245440,258250,67241,36772,,,,,
46:01.0,00:00.0,0,5,0,0,0,241257,1818421,163263,689223,126358,143847,89958,89185,,,,,
46:02.0,00:00.0,0,5,0,0,0,551613,268030,40076,38990,55814,38344,6744,14532,,,,,
46:03.0,00:00.0,0,5,0,0,0,308088,335084,70783,90802,106221,36224,13775,6634,,,,,
46:04.0,00:00.0,0,5,0,0,0,851793,455669,326087,152916,64830,27432,4132,8524,,,,,
46:05.0,00:00.0,0,5,0,0,0,1016491,1407508,63567,798299,123813,78006,28627,83325,,,,,
46:06.0,00:00.0,0,5,0,0,0,1513463,956320,174383,1168405,210163,114159,26036,50577,,,,,
46:07.0,00:00.0,0,5,0,0,0,36791,776034,17214,340252,18040,14665,5600,7495,,,,,
46:08.0,00:00.0,0,5,0,0,0,655166,2035093,206516,225278,185182,144456,46290,52721,,,,,
46:09.0,00:00.0,0,5,0,0,0,338888,292974,246609,84205,97954,50149,13773,12785,,,,,
46:10.0,00:00.0,0,5,0,0,0,75851,867313,4611,65825,79904,18822,12676,26244,,,,,
46:11.0,00:00.0,0,5,0,0,0,85251,855870,42975,213612,36744,47772,12561,20194,,,,,
46:12.0,00:00.0,0,5,0,0,0,592686,1288153,607537,463178,437000,104851,23630,49094,,,,,
46:13.0,00:00.0,0,5,0,0,0,495906,1811007,42933,587460,218175,152232,26654,40494,,,,,
46:14.0,00:00.0,0,5,0,0,0,21429,541369,69464,69670,57662,53602,15629,17967,,,,,
46:15.0,00:00.0,0,5,0,0,0,341625,281787,241216,199603,28127,57639,12449,6935,,,,,
46:16.0,00:00.0,0,5,0,0,0,74514,680308,17731,228134,91897,53013,7384,20071,,,,,
46:17.0,00:00.0,0,5,0,0,0,116081,749126,87749,145726,47563,34925,10920,8561,,,,,
46:18.0,00:00.0,0,5,0,0,0,89660,603457,41183,201316,46884,26034,7409,8374,,,,,
46:19.0,00:00.0,0,5,0,0,0,115811,669734,43062,202259,52310,25884,3071,10929,,,,,
46:20.0,00:00.0,0,5,0,0,0,1743734,1118713,730410,234019,543084,104875,27043,86599,,,,,
46:21.0,00:00.0,0,5,0,0,0,108140,745876,146413,136433,87301,50462,15582,32927,,,,,
46:22.0,00:00.0,0,5,0,0,0,383295,1801614,729913,370154,80924,160672,112938,60849,,,,,
46:23.0,00:00.0,0,5,0,0,0,55714,975558,32732,31984,138042,22996,6756,16069,,,,,
46:24.0,00:00.0,0,5,0,0,0,975444,1423457,890131,381041,917131,65015,78949,50885,,,,,
46:25.0,00:00.0,0,5,0,0,0,106556,406100,14417,103034,56410,28233,11753,12756,,,,,
46:26.0,00:00.0,0,5,0,0,0,1035217,914264,815434,601825,307004,153710,47768,26148,,,,,
46:27.0,00:00.0,0,5,0,0,0,242289,438944,9631,83810,83579,45677,14604,20898,,,,,
46:28.0,00:00.0,0,5,0,0,0,86683,425575,220345,184196,38858,57928,17010,18865,,,,,
46:29.0,00:00.0,0,5,0,0,0,217361,643962,57674,89623,143898,27743,15150,6855,,,,,
46:30.0,00:00.0,0,5,0,0,0,2152226,1452966,182519,812403,355933,290982,22034,33080,,,,,
46:31.0,00:00.0,0,5,0,0,0,1636287,634672,842782,251073,647359,215256,87363,31985,,,,,
46:32.0,00:00.0,0,5,0,0,0,357147,2108415,172450,425922,379180,283724,67268,121979,,,,,
46:33.0,00:00.0,0,5,0,0,0,993945,1901032,629854,664787,219235,119837,31920,86451,,,,,
46:34.0,00:00.0,0,5,0,0,0,302159,618055,9830,47853,153956,42956,14953,15545,,,,,
46:35.0,00:00.0,0,5,0,0,0,620144,504592,220004,186422,181402,70472,35990,88873,,,,,
46:36.0,00:00.0,0,5,0,0,0,1972688,835738,639254,380576,643371,339943,201736,110111,,,,,
46:37.0,00:00.0,0,5,0,0,0,843960,1274517,862893,475420,235063,89010,65096,61054,,,,,
46:38.0,00:00.0,0,5,0,0,0,380174,242322,184436,208069,24062,60166,22470,11603,,,,,
46:39.0,00:00.0,0,5,0,0,0,355142,1017253,69729,207297,97140,29501,24931,13014,,,,,
46:40.0,00:00.0,0,5,0,0,0,1108450,981667,211445,493669,981104,323646,74928,86230,,,,,
46:41.0,00:00.0,0,5,0,0,0,95284,184688,134208,68363,49181,23544,17493,10911,,,,,
46:42.0,00:00.0,0,5,0,0,0,154906,194283,144620,99412,69577,39747,17335,21253,,,,,
46:43.0,00:00.0,0,5,0,0,0,408349,2093598,289126,712614,197547,173305,26148,47886,,,,,
46:44.0,00:00.0,0,5,0,0,0,811852,1351458,213831,480231,130008,189987,108055,33669,,,,,
46:45.0,00:00.0,0,5,0,0,0,787334,1419442,135436,555986,374517,245158,117973,35885,,,,,
46:46.0,00:00.0,0,5,0,0,0,327560,1743657,104547,1270747,112609,349969,100859,84659,,,,,
46:47.0,00:00.0,0,5,0,0,0,363223,486960,227418,90518,78981,51718,19896,21929,,,,,
46:48.0,00:00.0,0,5,0,0,0,147066,633701,323189,143223,68384,81692,18388,11434,,,,,
46:49.0,00:00.0,0,5,0,0,0,150127,1507665,1339356,279179,819811,194987,92584,21218,,,,,
46:50.0,00:00.0,0,5,0,0,0,837361,1672501,175546,715499,142739,454197,68580,66766,,,,,
46:51.0,00:00.0,0,5,0,0,0,98412,721833,87346,228104,37955,96899,14055,13403,,,,,
46:52.0,00:00.0,0,5,0,0,0,64924,752100,34231,275046,10252,56709,13184,16004,,,,,
46:53.0,00:00.0,0,5,0,0,0,33924,379374,154458,93477,54657,73775,30787,29804,,,,,
46:54.0,00:00.0,0,5,0,0,0,136051,507360,290072,146764,168812,53653,37557,28126,,,,,
46:55.0,00:00.0,0,5,0,0,0,152158,950160,36117,95544,157025,140095,24804,15226,,,,,
46:56.0,00:00.0,0,5,0,0,0,124314,755527,168784,208525,44706,124565,36133,20590,,,,,
46:57.0,00:00.0,0,5,0,0,0,302292,733045,491222,85313,112493,67344,21220,22915,,,,,
46:58.0,00:00.0,0,5,0,0,0,781530,170246,88414,84924,123744,87564,63683,69578,,,,,
46:59.0,00:00.0,0,5,0,0,0,195345,184868,53185,255956,52222,82994,119856,43252,,,,,
47:00.0,00:00.0,0,5,0,0,0,303495,566548,407670,262975,42046,105256,5237,18861,,,,,
47:01.0,00:00.0,0,5,0,0,0,57128,292443,166183,221798,37550,54644,19469,23851,,,,,
47:02.0,00:00.0,0,5,0,0,0,309057,892290,18599,159180,60640,78790,14134,14127,,,,,
47:03.0,00:00.0,0,5,0,0,0,1543174,1961029,138974,864269,377981,244904,148790,47336,,,,,
47:04.0,00:00.0,0,5,0,0,0,503845,1144845,1392965,531471,439188,287574,201204,88316,,,,,
47:05.0,00:00.0,0,5,0,0,0,322007,830489,161299,124251,36397,69262,33642,27322,,,,,
47:06.0,00:00.0,0,5,0,0,0,125153,1966314,755839,247918,1007069,298970,75325,72781,,,,,
47:07.0,00:00.0,0,5,0,0,0,162685,537024,152866,142861,40062,138606,34671,61210,,,,,
47:08.0,00:00.0,0,5,0,0,0,212885,565654,171644,153392,91746,173837,42733,43208,,,,,
47:09.0,00:00.0,0,5,0,0,0,72467,723200,406403,194816,60597,128941,65343,11130,,,,,
47:10.0,00:00.0,0,5,0,0,0,186190,551117,39368,193899,41076,57277,14899,34512,,,,,
47:11.0,00:00.0,0,5,0,0,0,760748,1225458,157494,420294,73418,292719,56497,72978,,,,,
47:12.0,00:00.0,0,5,0,0,0,2801420,259577,101997,100340,171857,132213,22670,37736,,,,,
47:13.0,00:00.0,0,5,0,0,0,353677,40163,10975,16619,7566,5493,1665,968,,,,,
47:14.0,00:00.0,0,5,0,0,0,1016154,142831,2025,6430,28782,75143,110258,71357,,,,,
47:15.0,00:00.0,0,5,0,0,0,1571420,336193,230230,92173,98453,102440,47966,36250,,,,,
47:16.0,00:00.0,0,5,0,0,0,6,1,0,0,1,0,0,0,,,,,
47:17.0,00:00.0,0,5,0,0,0,205125,147939,49642,146203,120447,36746,14432,7492,,,,,
47:18.0,00:00.0,0,5,0,0,0,567008,456941,750435,980984,73735,140682,121186,130884,,,,,
47:19.0,00:00.0,0,5,0,0,0,325893,557653,653098,132753,41152,91258,47234,38065,,,,,
47:20.0,00:00.0,0,5,0,0,0,1668515,1804487,202536,764067,469556,331453,200863,210492,,,,,
47:21.0,00:00.0,0,5,0,0,0,166789,153204,168179,164928,74063,103188,35459,24421,,,,,
47:22.0,00:00.0,0,5,0,0,0,1808282,2059616,310713,838655,62679,337710,90104,32337,,,,,
47:23.0,00:00.0,0,5,0,0,0,246910,950447,24569,235264,91947,54127,10036,28030,,,,,
47:24.0,00:00.0,0,5,0,0,0,244293,1055901,76503,130388,58077,76454,22855,22235,,,,,
47:25.0,00:00.0,0,5,0,0,0,1512017,545655,232262,297215,269555,475390,371328,110747,,,,,
47:26.0,00:00.0,0,5,0,0,0,507249,287528,300164,237727,142090,159741,113686,42434,,,,,
47:27.0,00:00.0,0,5,0,0,0,351121,531391,139108,116081,94458,83824,13898,8132,,,,,
47:28.0,00:00.0,0,5,0,0,0,1130994,1923678,411711,345360,392731,270255,71506,68358,,,,,
47:29.0,00:00.0,0,5,0,0,0,203886,149169,32990,325017,56709,135865,39801,28113,,,,,
47:30.0,00:00.0,0,5,0,0,0,688628,1036742,115324,327190,328890,952088,258247,171284,,,,,
