'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
04:43.0,00:00.0,100,1,48,44,46,16660,15624,9302,3186,8594,6433,2085,810,,11175.4666,8730.207724,4428.506263,2429.310021
04:44.0,00:00.0,100,1,63,50,56,28645,16330,12548,3341,9945,9938,5550,2577,,,,,
04:45.0,00:00.0,100,1,75,43,59,89812,13535,6435,14946,13207,14143,4365,1513,,,,,
04:46.0,00:00.0,100,1,87,57,72,31775,6687,14058,8880,8303,8898,1949,2873,,,,,
04:47.0,00:00.0,100,1,80,63,71,19093,22361,21621,9314,9319,5304,4154,2933,,,,,
04:48.0,00:00.0,100,1,60,63,61,11067,77630,32900,8293,10747,4804,2598,1801,,,,,
04:49.0,00:00.0,100,1,48,57,52,20460,43595,10610,4549,9065,5647,2411,1963,,,,,
04:50.0,00:00.0,100,1,26,47,36,100292,154180,29246,23997,22950,6581,10932,3039,,,,,
04:51.0,00:00.0,100,1,38,38,38,16493,36116,8223,9464,7552,16556,1432,1656,,,,,
04:52.0,00:00.0,100,1,56,44,50,28174,23240,26350,15749,8216,16500,4152,1603,,,,,
04:53.0,00:00.0,100,1,64,43,53,10434,28965,2776,8309,11618,8209,1236,3660,,,,,
04:54.0,00:00.0,100,1,75,57,66,21795,12409,34396,4261,7154,5551,3428,1986,,,,,
04:55.0,00:00.0,100,1,70,66,68,21216,5561,5381,12196,10685,5535,6263,2425,,,,,
04:56.0,00:00.0,100,1,70,61,65,32080,23865,10212,10702,9267,10646,5275,3619,,,,,
04:57.0,00:00.0,100,1,60,61,60,299932,15102,1575,2934,2473,1268,472,429,,,,,
04:58.0,00:00.0,100,1,69,57,63,9188,3681,9070,19273,13751,10738,1971,2701,,,,,
04:59.0,00:00.0,100,1,60,63,61,9601,19353,62477,5815,13670,6405,2732,2476,,,,,
05:00.0,00:00.0,100,1,53,67,60,42142,22537,24944,13222,13151,7945,5184,2013,,,,,
05:01.0,00:00.0,100,1,54,66,60,12283,30195,4941,3414,16941,2579,2916,3024,,,,,
05:02.0,00:00.0,100,1,54,63,58,8711,16554,13919,9651,8083,15221,2065,1504,,,,,
05:03.0,00:00.0,100,1,61,53,57,13992,26227,16138,20209,26688,8751,2996,3466,,,,,
05:04.0,00:00.0,100,1,60,35,47,110244,56603,1986,6572,20773,8062,3239,1512,,,,,
05:05.0,00:00.0,100,1,67,50,58,20608,9377,19655,8610,10079,6785,2977,2543,,,,,
05:06.0,00:00.0,100,1,63,43,53,33506,30229,2210,13563,24045,8933,5129,1388,,,,,
05:07.0,00:00.0,100,1,56,35,45,314302,24640,2284,3443,3267,2011,1253,210,,,,,
05:08.0,00:00.0,100,1,60,43,51,6108,20223,10734,4433,26713,6336,4269,1395,,,,,
05:09.0,00:00.0,100,1,56,30,43,42653,33778,1341,14892,22063,6929,4963,2444,,,,,
05:10.0,00:00.0,100,1,57,35,46,7864,28240,8289,15647,16776,10404,2265,1069,,,,,
05:11.0,00:00.0,100,1,61,30,45,58129,96238,2074,12507,12704,11413,5750,1078,,,,,
05:12.0,00:00.0,100,1,63,30,46,81067,33032,4938,9248,3623,9812,2496,2006,,,,,
05:13.0,00:00.0,100,1,63,26,44,464063,81677,3194,11761,19771,11513,5311,3805,,,,,
05:14.0,00:00.0,100,1,67,24,45,104512,27711,10067,6412,6165,16168,2650,1783,,,,,
05:15.0,00:00.0,100,1,69,35,52,11042,27526,11044,10318,21371,5847,4492,3196,,,,,
05:16.0,00:00.0,100,1,69,41,55,112960,13620,8343,12620,7428,7767,3151,3141,,,,,
