'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
22:14.0,00:00.0,100,1,51,47,49,15994,20080,18817,18118,7556,4856,11827,2377,,13022.03364,10260.94801,6126.137615,2745.868502
22:15.0,00:00.0,100,1,56,57,56,5706,10152,13470,4477,8411,7977,7551,1965,,,,,
22:16.0,00:00.0,100,1,57,67,62,6806,17494,20333,9877,7784,5736,1477,1567,,,,,
22:17.0,00:00.0,100,1,64,69,66,4176,13341,7910,10278,19232,5784,7176,1855,,,,,
22:18.0,00:00.0,100,1,67,66,66,23791,17920,11523,17278,11627,6728,10743,2608,,,,,
22:19.0,00:00.0,100,1,61,66,63,26231,21856,20194,6549,7842,5632,6008,3230,,,,,
22:20.0,00:00.0,100,1,67,57,62,74461,9874,2338,7508,12593,6085,7102,1585,,,,,
22:21.0,00:00.0,100,1,67,48,57,18307,27800,1719,3634,8984,6231,7487,2601,,,,,
22:22.0,00:00.0,100,1,67,43,55,13080,16519,5262,11469,12371,5513,2889,2364,,,,,
22:23.0,00:00.0,100,1,69,38,53,22588,34205,18546,9064,15967,10053,6488,3838,,,,,
22:24.0,00:00.0,100,1,66,40,53,13647,26106,10755,7222,10741,8762,4657,3201,,,,,
22:25.0,00:00.0,100,1,61,63,62,50464,8946,31492,12529,6427,4719,6691,3370,,,,,
22:26.0,00:00.0,100,1,61,66,63,28548,20337,12817,6624,3934,5995,6962,1925,,,,,
22:27.0,00:00.0,100,1,63,64,63,18058,21588,3155,9893,5079,6059,4320,1096,,,,,
22:28.0,00:00.0,100,1,60,67,63,23515,27552,7317,14275,5380,6807,4444,3233,,,,,
22:29.0,00:00.0,100,1,60,60,60,19685,32797,36679,14840,17762,8843,6777,1909,,,,,
22:30.0,00:00.0,100,1,75,54,64,10861,12327,4931,7502,6336,16968,12499,3171,,,,,
22:31.0,00:00.0,100,1,77,50,63,13579,53311,6772,7646,4169,13930,11072,4326,,,,,
22:32.0,00:00.0,100,1,87,54,70,28932,8920,8621,30683,3144,25502,4391,1885,,,,,
22:33.0,00:00.0,100,1,88,53,70,11847,25080,9213,19562,12861,7065,7742,1151,,,,,
22:34.0,00:00.0,100,1,84,57,70,21575,8458,10697,19166,19227,16483,4134,2541,,,,,
22:35.0,00:00.0,100,1,94,63,78,4613,11792,6580,8143,10821,14578,5841,1674,,,,,
22:36.0,00:00.0,100,1,93,56,74,25803,38139,15280,20813,10981,33012,3851,1713,,,,,
22:37.0,00:00.0,100,1,100,53,76,7331,26665,20549,7066,21515,17308,13840,9728,,,,,
22:38.0,00:00.0,100,1,81,53,67,105637,39319,30228,12375,13363,5139,3077,2490,,,,,
22:39.0,00:00.0,100,1,70,63,66,14753,7467,10079,14161,3366,6483,3973,1571,,,,,
22:40.0,00:00.0,100,1,64,61,62,10686,39150,15916,10236,10318,12894,4439,1076,,,,,
22:41.0,00:00.0,100,1,53,54,53,360630,140462,14499,26258,45960,16065,7236,3243,,,,,
22:42.0,00:00.0,100,1,69,51,60,33320,13415,5819,7092,3834,10462,7694,2414,,,,,
22:43.0,00:00.0,100,1,80,38,59,13015,28703,9352,18160,29649,34156,7824,5122,,,,,
22:44.0,00:00.0,100,1,83,40,61,41560,21072,5187,17522,13432,12014,7492,2418,,,,,
22:45.0,00:00.0,100,1,93,51,72,19703,16459,16697,10770,12175,13990,3670,7757,,,,,
22:46.0,00:00.0,100,1,83,53,68,36055,46686,24890,17217,6602,11156,4177,2931,,,,,
22:47.0,00:00.0,100,1,78,57,67,40848,21663,19099,2779,12267,14451,5680,3797,,,,,
22:48.0,00:00.0,100,1,75,47,61,11987,22870,3539,2127,15965,5072,3453,3242,,,,,
22:49.0,00:00.0,100,1,74,47,60,10616,17169,11666,9935,7312,11242,5639,1188,,,,,
22:50.0,00:00.0,100,1,69,53,61,19703,21909,26962,31368,11586,6619,4651,5260,,,,,
22:51.0,00:00.0,100,1,67,54,60,18778,12566,6282,10473,14911,8343,3957,3879,,,,,
22:52.0,00:00.0,100,1,63,69,66,22241,20094,8373,18241,6447,5501,1972,896,,,,,
22:53.0,00:00.0,100,1,60,69,64,4839,16005,7685,8478,5279,5515,2823,2440,,,,,
22:54.0,00:00.0,100,1,57,63,60,46399,32355,26109,9863,10805,5111,4252,1217,,,,,
22:55.0,00:00.0,100,1,48,61,54,24127,32979,19306,9078,24657,5238,1816,1007,,,,,
22:56.0,00:00.0,100,1,61,60,60,15188,12733,14418,7911,7104,20650,11751,2390,,,,,
22:57.0,00:00.0,100,1,64,60,62,13977,23348,19074,7461,2615,10268,5204,2274,,,,,
22:58.0,00:00.0,100,1,75,51,63,21279,33385,10447,8817,25414,11508,2559,2256,,,,,
22:59.0,00:00.0,100,1,81,53,67,63363,26181,5732,17189,10870,8561,2911,1447,,,,,
23:00.0,00:00.0,100,1,67,56,61,45945,5634,21002,7753,24016,4826,1951,3186,,,,,
23:01.0,00:00.0,100,1,64,60,62,18084,12781,5462,15075,3060,4140,2607,464,,,,,
23:02.0,00:00.0,100,1,66,75,70,15764,7913,15041,25263,5936,13778,5454,1282,,,,,
23:03.0,00:00.0,100,1,66,81,73,34819,7833,30248,16921,21230,10428,3590,1459,,,,,
23:04.0,00:00.0,100,1,69,78,73,20596,19485,9083,9088,10592,6702,5479,3581,,,,,
23:05.0,00:00.0,100,1,74,60,67,111640,15507,2886,1450,10436,3790,2606,740,,,,,
23:06.0,00:00.0,100,1,63,60,61,9071,21043,22119,34759,9317,9831,9141,3593,,,,,
23:07.0,00:00.0,100,1,75,47,61,6282,6279,4098,4740,20167,11288,3385,4365,,,,,
23:08.0,00:00.0,100,1,74,50,62,6059,16242,20873,6253,10650,6448,1953,967,,,,,
23:09.0,00:00.0,100,1,78,61,69,10903,6666,4558,13871,15945,8165,3071,1352,,,,,
23:10.0,00:00.0,100,1,67,44,55,149739,43506,6375,3878,3524,2245,1662,1318,,,,,
23:11.0,00:00.0,100,1,54,54,54,13310,19306,4027,27681,16931,9517,6312,6032,,,,,
23:12.0,00:00.0,100,1,56,48,52,25788,14650,9693,4359,15168,4851,2809,1668,,,,,
23:13.0,00:00.0,100,1,43,63,53,23960,8144,7862,48890,5340,5502,3903,2423,,,,,
23:14.0,00:00.0,100,1,51,75,63,8818,24502,32397,11538,18437,6969,7371,3073,,,,,
23:15.0,00:00.0,100,1,60,69,64,14285,11981,13597,1919,17097,13164,5262,5364,,,,,
23:16.0,00:00.0,100,1,66,64,65,14509,34376,3603,11811,20250,17523,10342,3192,,,,,
23:17.0,00:00.0,100,1,77,48,62,14357,30806,7440,24098,41672,17150,3284,5923,,,,,
23:18.0,00:00.0,100,1,83,51,67,23405,15166,25937,9893,2314,10255,5427,3978,,,,,
23:19.0,00:00.0,100,1,77,48,62,8274,47259,2951,19319,14201,13761,2842,5155,,,,,
23:20.0,00:00.0,100,1,61,61,61,28500,32233,32725,19252,17650,6394,8524,2968,,,,,
23:21.0,00:00.0,100,1,40,54,47,220815,255916,18660,34228,18751,6713,6183,4040,,,,,
23:22.0,00:00.0,100,1,41,53,47,318873,3639,1840,9646,1763,3840,1544,1283,,,,,
23:23.0,00:00.0,100,1,40,54,47,34875,41775,8801,15998,12906,11341,9715,4473,,,,,
23:24.0,00:00.0,100,1,47,38,42,17629,40213,3955,5474,19013,7330,2078,4365,,,,,
23:25.0,00:00.0,100,1,80,43,61,24706,9989,5342,4446,6706,16121,6101,2690,,,,,
23:26.0,00:00.0,100,1,70,34,52,2340,21228,1826,11772,7254,4280,4271,1593,,,,,
23:27.0,00:00.0,100,1,69,34,51,24761,35022,15036,9110,18990,7488,9093,2373,,,,,
