'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
04:44.0,00:00.0,100,2,40,34,37,712243,432752,34813,66464,44446,90297,18923,8459,,27537.15904,42059.39605,25179.8659,6305.400208
04:45.0,00:00.0,100,2,38,56,47,174588,18060,13911,5320,8649,5260,7580,3738,,,,,
04:46.0,00:00.0,100,2,29,51,40,759474,303212,60930,22758,37096,27966,71453,4551,,,,,
04:47.0,00:00.0,100,2,34,57,45,2317763,141602,164439,8860,16817,54820,30504,6325,,,,,
04:48.0,00:00.0,100,2,26,66,46,867390,680437,27433,266386,82689,78401,59690,18339,,,,,
04:49.0,00:00.0,100,2,16,54,35,1954401,619336,105866,46703,25325,38123,26304,9712,,,,,
04:50.0,00:00.0,100,2,26,63,44,611793,617109,194998,219002,83189,202874,70155,15383,,,,,
04:51.0,00:00.0,100,2,21,56,38,688707,136095,18826,61338,9102,25693,11291,2933,,,,,
04:52.0,00:00.0,100,2,29,70,49,600746,12323,11651,21220,7939,8664,6784,4933,,,,,
04:53.0,00:00.0,100,2,47,77,62,440329,33966,16891,15336,36240,17922,12706,2268,,,,,
04:55.0,00:00.0,100,2,43,77,60,2462881,298251,99428,76564,26473,67571,25607,4021,,,,,
04:55.0,00:00.0,100,2,40,66,53,919696,581036,35752,81725,36874,54728,15055,12610,,,,,
04:56.0,00:00.0,100,2,38,57,47,1287128,217020,190823,47674,119260,70752,29515,33107,,,,,
04:57.0,00:00.0,100,2,26,56,41,476571,82438,9915,21019,6039,9023,6833,6637,,,,,
04:58.0,00:00.0,100,2,24,51,37,1449699,142618,23282,31927,36883,24954,16982,8789,,,,,
04:59.0,00:00.0,100,2,26,37,31,634013,377394,4604,9098,17914,33084,37803,18883,,,,,
05:00.0,00:00.0,100,2,29,27,28,670109,270860,20282,66389,77557,74054,21311,7623,,,,,
05:01.0,00:00.0,100,2,37,29,33,2202773,459426,152950,66418,37772,107112,15489,3542,,,,,
05:02.0,00:00.0,100,2,37,40,38,168221,93069,42609,19947,5442,18015,5600,2728,,,,,
05:03.0,00:00.0,100,2,40,53,46,295093,55974,1214,6862,12009,8397,6068,2753,,,,,
05:04.0,00:00.0,100,2,27,47,37,2560230,1370037,61286,145824,142909,110489,67152,11420,,,,,
05:05.0,00:00.0,100,2,41,44,42,1935215,154576,71913,30065,62780,163739,22764,3771,,,,,
05:06.0,00:00.0,100,2,43,40,41,483621,195707,22737,69038,23612,39549,28971,15194,,,,,
05:07.0,00:00.0,100,2,51,51,51,1831320,122458,28267,29923,7424,58806,21698,7878,,,,,
05:08.0,00:00.0,100,2,56,67,61,105303,64801,37967,13564,11092,13788,4117,2622,,,,,
05:09.0,00:00.0,100,2,38,51,44,688513,246092,5934,10226,13730,27983,8205,3728,,,,,
05:10.0,00:00.0,100,2,29,44,36,129899,65496,8624,7618,15603,4985,4779,2412,,,,,
05:11.0,00:00.0,100,2,23,37,30,380489,83916,1615,13546,11865,15856,3348,8786,,,,,
05:12.0,00:00.0,100,2,30,27,28,51927,8417,2628,1636,4199,3413,2957,994,,,,,
05:13.0,00:00.0,100,2,43,41,42,1114641,268320,12463,64972,40240,106369,51067,16335,,,,,
05:14.0,00:00.0,100,2,53,44,48,732131,12268,4777,1337,3859,3092,4360,1499,,,,,
05:15.0,00:00.0,100,2,47,53,50,128506,115874,17496,16645,2515,11847,9247,4179,,,,,
05:16.0,00:00.0,100,2,37,40,38,1516807,307125,14174,12969,17663,38731,53982,5181,,,,,
05:17.0,00:00.0,100,2,37,41,39,1369787,231908,53306,29689,35491,85279,16208,10861,,,,,
05:18.0,00:00.0,100,2,44,41,42,277061,230073,38304,78462,49154,125411,76709,13918,,,,,
05:19.0,00:00.0,100,2,63,51,57,1041007,75296,107024,30212,22628,104689,66795,12276,,,,,
05:20.0,00:00.0,100,2,63,53,58,1483634,532353,18988,36915,86923,64364,20871,8679,,,,,
05:21.0,00:00.0,100,2,54,66,60,811888,62848,61881,15624,8824,18369,6626,1114,,,,,
05:22.0,00:00.0,100,2,57,74,65,133757,4972,6623,2716,3835,6891,1985,570,,,,,
05:23.0,00:00.0,100,2,50,75,62,127569,22693,26509,6611,7002,12342,5323,1484,,,,,
05:24.0,00:00.0,100,2,53,96,74,759806,179335,71252,64276,15255,47946,32422,4059,,,,,
05:25.0,00:00.0,100,2,53,75,64,1337482,605049,54443,49966,114707,94388,38829,19751,,,,,
05:26.0,00:00.0,100,2,30,47,38,742258,258260,5816,4588,10153,14908,11710,1122,,,,,
05:27.0,00:00.0,100,2,35,35,35,567210,177845,17946,72975,58054,92149,31126,11681,,,,,
05:28.0,00:00.0,100,2,40,29,34,753313,154758,39932,46327,18651,60654,14563,3646,,,,,
05:29.0,00:00.0,100,2,38,50,44,137649,32376,31285,13739,8764,8977,3009,1134,,,,,
05:30.0,00:00.0,100,2,51,67,59,1056736,80968,19743,8959,21011,22268,28248,2805,,,,,
05:31.0,00:00.0,100,2,43,61,52,758619,413257,28073,40243,38069,72521,53474,10575,,,,,
05:32.0,00:00.0,100,2,50,54,52,746699,209776,8335,83822,78128,146293,24263,10400,,,,,
05:33.0,00:00.0,100,2,61,26,43,697097,408422,29290,5222,85365,187711,36037,10974,,,,,
05:34.0,00:00.0,100,2,51,23,37,1585226,1064488,139878,69935,47000,85278,29285,17478,,,,,
05:35.0,00:00.0,100,2,70,26,48,43386,19310,8464,6035,23306,33231,5283,1992,,,,,
05:36.0,00:00.0,100,2,60,40,50,924794,219595,116083,99973,18974,72242,26103,24038,,,,,
05:37.0,00:00.0,100,2,48,61,54,1795944,236716,122044,41447,66515,48223,49975,8635,,,,,
05:38.0,00:00.0,100,2,74,61,67,212713,122963,13559,34938,35241,150348,12211,6741,,,,,
05:39.0,00:00.0,100,2,43,57,50,653572,509847,64098,13095,27260,26985,73133,15351,,,,,
05:40.0,00:00.0,100,2,51,38,44,1637135,121450,9570,17738,55458,53860,51807,2925,,,,,
05:41.0,00:00.0,100,2,56,50,53,15547,27860,54204,36335,22553,22826,22244,7975,,,,,
05:42.0,00:00.0,100,2,38,50,44,1485363,386694,52787,44042,69261,76424,45971,17947,,,,,
05:43.0,00:00.0,100,2,40,57,48,1170092,1037212,280256,93207,85569,66492,103693,26450,,,,,
05:44.0,00:00.0,100,2,40,57,48,2756565,407066,48051,16758,29989,196333,49766,16420,,,,,
05:45.0,00:00.0,100,2,43,54,48,636646,20251,20020,23143,3886,16955,7391,5244,,,,,
05:46.0,00:00.0,100,2,41,61,51,562661,40113,13651,2918,7048,7175,12302,1166,,,,,
05:47.0,00:00.0,100,2,47,53,50,690965,450908,57785,14487,37903,43090,86028,8365,,,,,
05:48.0,00:00.0,100,2,43,61,52,968656,67037,13814,11379,7072,26082,23022,3283,,,,,
05:49.0,00:00.0,100,2,27,48,37,692714,157222,20920,26220,11358,12652,10715,5590,,,,,
05:50.0,00:00.0,100,2,17,40,28,2037821,930295,166197,5637,37461,60736,16568,8984,,,,,
05:51.0,00:00.0,100,2,35,43,39,1837675,137180,24750,20118,53481,76562,47717,7300,,,,,
05:52.0,00:00.0,100,1,27,47,37,21924,147128,66409,15099,21793,29170,24275,6759,,,,,
05:53.0,00:00.0,100,1,29,57,43,202505,51798,41911,17191,30419,7512,3285,1845,,,,,
05:54.0,00:00.0,100,1,43,75,59,1484479,36298,33644,19050,7772,16885,6563,1736,,,,,
05:55.0,00:00.0,100,1,23,83,53,844931,265122,80452,10872,10197,16477,30696,6654,,,,,
05:56.0,00:00.0,100,1,24,84,54,641046,166970,31087,98021,31623,51087,36270,30145,,,,,
05:57.0,00:00.0,100,1,38,74,56,650532,285511,29072,73821,37853,108208,19576,9224,,,,,
05:58.0,00:00.0,100,1,37,63,50,714649,243113,30977,71556,39031,55373,76656,6304,,,,,
05:59.0,00:00.0,100,1,41,66,53,1159870,74428,15421,21554,6147,11240,8402,3554,,,,,
06:00.0,00:00.0,100,1,38,60,49,2213655,303250,61019,38539,26839,46239,15027,7665,,,,,
06:01.0,00:00.0,100,1,29,56,42,2663644,459558,22944,70946,37538,63278,34933,15195,,,,,
06:02.0,00:00.0,100,1,20,61,40,200463,162340,79453,16002,16555,15656,16448,4547,,,,,
06:03.0,00:00.0,100,1,29,51,40,1449294,51972,7218,5545,3936,17029,34685,1024,,,,,
06:04.0,00:00.0,100,1,27,41,34,380510,169063,7954,10863,15600,16639,7138,4649,,,,,
06:05.0,00:00.0,100,1,35,40,37,801483,172399,19440,15772,17975,45756,16195,7164,,,,,
06:06.0,00:00.0,100,1,40,29,34,476715,53435,10151,4364,21816,6369,9287,4837,,,,,
06:07.0,00:00.0,100,1,30,41,35,1021701,30700,21992,1063,5609,7347,6198,4221,,,,,
06:08.0,00:00.0,100,1,35,51,43,297452,261689,49865,30775,27577,42854,26547,13220,,,,,
06:09.0,00:00.0,100,1,29,57,43,158520,55227,10775,10884,7512,11198,7190,1136,,,,,
06:10.0,00:00.0,100,1,30,66,48,571539,177335,21856,91198,44367,32085,44465,11932,,,,,
06:11.0,00:00.0,100,1,29,66,47,104660,11328,6788,3328,4280,2224,2812,622,,,,,
06:12.0,00:00.0,100,1,24,81,52,1250285,211491,200310,120258,56935,43560,58491,6514,,,,,
06:13.0,00:00.0,100,1,24,80,52,628534,104118,22563,9574,24527,18739,15261,4205,,,,,
06:14.0,00:00.0,100,1,37,66,51,1108640,77807,1624,14312,7702,37327,16283,2534,,,,,
06:15.0,00:00.0,100,1,43,66,54,323942,215813,108098,65061,39558,66226,47428,18304,,,,,
06:16.0,00:00.0,100,1,47,50,48,205919,120345,18291,8500,15429,14274,6757,1669,,,,,
06:17.0,00:00.0,100,2,47,56,51,34939,17307,7554,5738,5231,4267,8212,727,,,,,
06:18.0,00:00.0,100,2,44,69,56,106380,77570,39849,29061,31713,50871,9326,2775,,,,,
06:19.0,00:00.0,100,2,47,51,49,769076,66549,6193,7035,34257,16573,19152,8225,,,,,
06:20.0,00:00.0,100,2,54,60,57,1327681,46449,17070,9699,11306,15388,10873,4991,,,,,
06:21.0,00:00.0,100,2,50,47,48,733234,251143,11064,25826,28392,23446,6431,2249,,,,,
06:22.0,00:00.0,100,1,30,37,33,1135135,1474444,50851,218598,89896,103961,19974,6643,,,,,
06:23.0,00:00.0,100,1,24,48,36,1430702,55281,8746,14937,6076,8509,7010,4872,,,,,
06:24.0,00:00.0,100,1,11,43,27,1288651,167245,27116,15951,8273,13197,4519,6565,,,,,
06:25.0,00:00.0,100,1,26,61,43,500844,75040,47675,92171,21087,91810,23950,11064,,,,,
06:26.0,00:00.0,100,1,34,66,50,213576,71143,21619,3115,9625,9370,12490,2218,,,,,
06:27.0,00:00.0,100,1,27,70,48,1500600,142940,46956,49229,8606,15786,38010,9801,,,,,
06:28.0,00:00.0,100,1,41,69,55,427723,129177,19343,11977,3040,33940,10068,3817,,,,,
06:29.0,00:00.0,100,1,27,54,40,1147579,305682,16367,57301,37525,43255,11482,10181,,,,,
06:30.0,00:00.0,100,1,53,60,56,357218,50869,100942,10138,21759,208731,16904,7462,,,,,
06:31.0,00:00.0,100,1,60,61,60,526288,35508,30817,1759,2841,10054,15038,3121,,,,,
06:32.0,00:00.0,100,1,48,61,54,1805388,308794,29297,34933,26465,25354,40136,20673,,,,,
06:33.0,00:00.0,100,1,50,56,53,2229543,67041,2393,7243,2807,10798,20016,1494,,,,,
06:34.0,00:00.0,100,1,27,51,39,1225908,87428,13177,19003,20658,16299,6713,2326,,,,,
06:35.0,00:00.0,100,1,30,48,39,481036,265229,146052,42686,50980,85523,71240,9840,,,,,
06:36.0,00:00.0,100,1,50,48,49,1576420,104834,29803,16784,83732,66582,39545,17978,,,,,
06:37.0,00:00.0,100,1,54,64,59,572445,18077,8166,14461,8085,8794,6023,2309,,,,,
06:38.0,00:00.0,100,1,51,67,59,82677,18085,4390,3047,2686,2325,1925,456,,,,,
06:39.0,00:00.0,100,1,40,56,48,1191538,766304,70623,53539,57923,50991,46253,54458,,,,,
06:40.0,00:00.0,100,2,37,53,45,2089220,72084,3605,12111,17164,27963,7023,2215,,,,,
06:41.0,00:00.0,100,2,47,47,47,567489,61460,35687,20993,30551,71678,26624,7490,,,,,
06:42.0,00:00.0,100,2,47,30,38,1059574,761680,19360,44836,57887,85781,59803,3453,,,,,
06:43.0,00:00.0,100,2,56,29,42,523464,251864,10783,37880,49288,45785,54208,5002,,,,,
06:44.0,00:00.0,100,2,35,37,36,959517,992051,206337,112652,110664,53298,77188,22300,,,,,
06:45.0,00:00.0,100,2,14,40,27,1781401,444349,124896,129668,25868,56015,75025,13040,,,,,
06:47.0,00:00.0,100,2,11,43,27,838608,43215,1466,4691,13565,3739,10853,1994,,,,,
06:47.0,00:00.0,100,2,8,53,30,494403,91431,17273,26415,10200,14443,15488,3074,,,,,
06:48.0,00:00.0,100,2,20,53,36,891439,33675,3220,8403,6119,5436,11809,3315,,,,,
06:49.0,00:00.0,100,1,17,53,35,468739,219842,38582,103884,36345,27282,41583,9200,,,,,
06:50.0,00:00.0,100,1,23,63,43,530109,112739,10453,22911,11157,16533,19271,8341,,,,,
06:51.0,00:00.0,100,1,27,57,42,1689424,113135,16905,14102,17521,25108,14578,2225,,,,,
06:52.0,00:00.0,100,1,24,64,44,752944,444322,149521,117867,10351,49812,59369,15358,,,,,
06:53.0,00:00.0,100,1,20,69,44,675411,140379,73845,46053,6100,12617,19750,8944,,,,,
06:54.0,00:00.0,100,2,21,80,50,757761,113907,56912,52188,16594,33774,7267,6260,,,,,
06:55.0,00:00.0,100,2,16,83,49,3823101,596470,158415,47648,37874,75962,95375,22888,,,,,
06:56.0,00:00.0,100,2,23,88,55,463927,116033,51531,68234,5936,40044,38203,6258,,,,,
06:57.0,00:00.0,100,2,43,77,60,727207,36054,7420,12097,12481,18659,16600,1840,,,,,
06:58.0,00:00.0,100,2,29,48,38,249014,57202,1530,1508,5557,2510,7342,436,,,,,
06:59.0,00:00.0,100,2,35,54,44,112826,25036,13351,5179,3969,6235,16725,2304,,,,,
07:00.0,00:00.0,100,2,38,48,43,1123738,341441,146382,66574,32388,132714,72840,2841,,,,,
07:01.0,00:00.0,100,2,27,63,45,594073,58177,40513,96513,42638,20859,22831,17123,,,,,
07:02.0,00:00.0,100,2,44,83,63,69162,13929,3318,2878,3728,4553,3529,277,,,,,
07:03.0,00:00.0,100,2,50,78,64,270423,32507,8568,7966,8444,11759,4662,1292,,,,,
07:04.0,00:00.0,100,2,29,74,51,808965,311038,35795,52815,12902,12325,79661,4875,,,,,
07:05.0,00:00.0,100,2,27,44,35,247876,23751,1268,914,2217,2510,1423,286,,,,,
07:06.0,00:00.0,100,2,30,40,35,592995,128186,14399,26418,41152,54007,17517,3461,,,,,
07:07.0,00:00.0,100,2,27,40,33,711753,132532,27613,34295,39566,32488,7187,14435,,,,,
07:08.0,00:00.0,100,2,51,50,50,740788,70069,30845,68930,28366,59943,118282,8863,,,,,
07:09.0,00:00.0,100,2,66,64,65,1546065,174089,45002,102911,141364,139149,85139,17699,,,,,
07:10.0,00:00.0,100,2,63,70,66,1028622,255152,106733,36272,60931,85551,31922,13393,,,,,
07:11.0,00:00.0,100,2,63,66,64,1347765,138936,12143,47256,106678,33319,21694,9052,,,,,
07:12.0,00:00.0,100,2,50,57,53,670264,129854,27043,15112,5315,14478,7198,1911,,,,,
07:13.0,00:00.0,100,2,51,67,59,297739,1857,8279,18592,9002,18226,7160,6384,,,,,
07:14.0,00:00.0,100,2,50,67,58,1747234,260922,45142,85150,36813,63916,33356,16192,,,,,
07:15.0,00:00.0,100,2,44,83,63,288265,27441,22157,19745,12494,7456,6433,2709,,,,,
07:16.0,00:00.0,100,2,44,80,62,1165465,99029,17003,7875,8050,10367,6793,3615,,,,,
07:17.0,00:00.0,100,2,37,80,58,1243820,77404,103080,49432,36812,67352,24270,9227,,,,,
07:18.0,00:00.0,100,2,38,67,52,221716,461098,55564,17339,16626,113704,122871,12814,,,,,
07:19.0,00:00.0,100,2,43,66,54,523372,30718,32335,6675,7963,11371,32577,963,,,,,
07:20.0,00:00.0,100,2,50,64,57,3023293,317021,21475,59715,8326,70863,73981,12053,,,,,
07:21.0,00:00.0,100,2,41,48,44,167913,103441,10386,11177,10449,18393,7953,774,,,,,
07:22.0,00:00.0,100,1,35,66,50,510840,21440,7326,10253,1309,3580,7264,2186,,,,,
07:23.0,00:00.0,100,1,41,63,52,365362,57010,48211,35164,44826,52836,17163,7842,,,,,
07:24.0,00:00.0,100,1,40,78,59,1019266,341810,70522,290205,43121,92174,51330,8991,,,,,
07:25.0,00:00.0,100,1,47,70,58,1118137,456757,30630,27087,161260,137084,29697,37021,,,,,
07:27.0,00:00.0,100,1,57,64,60,224252,47254,16578,15110,3133,24526,8072,4990,,,,,
07:27.0,00:00.0,100,1,66,63,64,886252,55172,45488,42257,34122,108911,23192,7417,,,,,
07:28.0,00:00.0,100,1,54,30,42,95789,207432,3233,5911,5162,8718,4786,1993,,,,,
07:29.0,00:00.0,100,1,48,50,49,1696472,202822,80105,48290,50961,50975,27634,10311,,,,,
07:30.0,00:00.0,100,1,44,50,47,3100543,27633,19473,6272,15032,12103,23244,2603,,,,,
07:31.0,00:00.0,100,1,38,38,38,271195,32103,3362,6269,18689,16089,9548,7059,,,,,
07:32.0,00:00.0,100,2,47,48,47,95807,38895,2412,1804,2758,3770,3390,564,,,,,
07:33.0,00:00.0,100,1,40,53,46,269030,30113,19030,7715,5006,4436,2711,798,,,,,
07:34.0,00:00.0,100,1,40,54,47,1177851,55253,29367,16932,12031,22248,6905,4044,,,,,
07:35.0,00:00.0,100,1,27,56,41,1876559,82506,7251,12182,20322,12739,6860,6239,,,,,
07:36.0,00:00.0,100,1,44,63,53,1346177,40397,2554,10193,7743,21680,10783,5296,,,,,
07:38.0,00:00.0,100,1,57,43,50,749248,181195,20771,16372,99390,75585,44220,7950,,,,,
07:38.0,00:00.0,100,1,60,41,50,459366,275888,139101,25945,31023,108962,33478,6745,,,,,
07:39.0,00:00.0,100,1,66,51,58,1992338,388963,155319,175672,215948,163638,157644,29374,,,,,
07:40.0,00:00.0,100,1,63,53,58,335060,83061,5468,18058,4505,28949,3722,2146,,,,,
07:41.0,00:00.0,100,1,74,50,62,344446,44398,3581,6362,10258,59622,10100,1806,,,,,
07:42.0,00:00.0,100,1,88,47,67,81912,12291,2131,12120,10109,27264,13499,2126,,,,,
07:43.0,00:00.0,100,1,83,27,55,803137,321079,32313,7895,71053,56596,58265,10153,,,,,
07:44.0,00:00.0,100,1,78,26,52,639286,54430,6581,5129,6124,11700,15368,3241,,,,,
07:45.0,00:00.0,100,1,75,47,61,89428,21465,38347,7099,9746,51565,7035,3369,,,,,
07:46.0,00:00.0,100,1,48,43,45,103322,20810,347,5123,2270,1935,1763,695,,,,,
07:47.0,00:00.0,100,1,41,51,46,122975,26175,4093,2275,1982,2056,4823,769,,,,,
07:48.0,00:00.0,100,1,44,63,53,48096,6242,1071,3075,1200,2745,1627,850,,,,,
07:49.0,00:00.0,100,1,24,51,37,213856,92848,8068,12455,5518,9703,9587,2150,,,,,
07:50.0,00:00.0,100,1,17,50,33,1926153,496429,69009,30574,61101,26549,77342,18599,,,,,
07:51.0,00:00.0,100,2,37,48,42,610521,59379,16533,3570,13602,38861,14796,2889,,,,,
07:52.0,00:00.0,100,2,13,30,21,1019513,577010,27758,30798,14158,11923,13049,7618,,,,,
07:53.0,00:00.0,100,2,24,40,32,1641947,224083,47301,67800,20206,79515,17732,10018,,,,,
07:54.0,00:00.0,100,2,53,56,54,63288,4757,11961,3101,2476,10417,1755,571,,,,,
07:55.0,00:00.0,100,2,40,60,50,435937,33861,9036,2895,5501,4852,12106,3197,,,,,
07:56.0,00:00.0,100,2,63,74,68,1954927,264923,66984,49070,41451,79823,87482,19056,,,,,
07:58.0,00:00.0,100,2,56,69,62,1072961,547844,63524,126051,50359,82922,33832,24711,,,,,
07:58.0,00:00.0,100,2,43,60,51,140081,13731,2917,3627,2861,2659,1878,776,,,,,
07:59.0,00:00.0,100,2,35,38,36,1345136,960684,22196,16838,33624,51491,23424,5397,,,,,
08:00.0,00:00.0,100,2,43,20,31,631164,76345,3333,5059,31971,40038,10450,3417,,,,,
08:01.0,00:00.0,100,2,51,20,35,661768,43787,12470,5628,4511,16935,6209,2415,,,,,
08:02.0,00:00.0,100,2,60,20,40,1577058,270393,24570,116682,45677,141850,22237,6138,,,,,
08:03.0,00:00.0,100,2,83,41,62,288755,52803,26723,26630,81835,54590,17601,5900,,,,,
08:04.0,00:00.0,100,2,75,74,74,140002,78304,38836,110135,11200,40209,87185,11835,,,,,
08:05.0,00:00.0,100,2,70,81,75,256160,46655,22067,17014,7758,17794,6523,1285,,,,,
08:06.0,00:00.0,100,2,69,78,73,391932,111307,20596,28263,26433,47707,80980,4663,,,,,
08:07.0,00:00.0,100,2,54,74,64,307643,330407,61749,13582,26725,48299,16966,5349,,,,,
08:08.0,00:00.0,100,2,53,61,57,464775,112209,22373,34439,24359,23439,54289,9675,,,,,
08:09.0,00:00.0,100,2,54,60,57,641216,13563,8265,2465,2760,6273,2284,378,,,,,
08:10.0,00:00.0,100,2,57,60,58,614394,51977,7789,13737,9018,27483,10126,2574,,,,,
08:11.0,00:00.0,100,1,63,67,65,889204,43305,18203,15198,22936,14881,18137,7809,,,,,
08:12.0,00:00.0,100,1,54,57,55,2497581,796107,70260,47621,77886,51494,47201,9158,,,,,
08:13.0,00:00.0,100,1,48,47,47,336906,121940,6396,18486,12039,18958,38459,10482,,,,,
08:14.0,00:00.0,100,1,38,50,44,2004528,349303,117535,30589,35753,74765,20185,8434,,,,,
08:15.0,00:00.0,100,1,34,48,41,915622,240877,60373,47208,15992,33386,8510,23546,,,,,
08:16.0,00:00.0,100,1,48,50,49,551960,37096,4693,5212,9134,13861,9276,1482,,,,,
08:17.0,00:00.0,100,1,50,66,58,2264824,226634,30128,194855,32686,64611,100165,13383,,,,,
08:18.0,00:00.0,100,1,53,70,61,2025147,141282,68700,93105,79714,66700,38656,9871,,,,,
08:19.0,00:00.0,100,2,51,64,57,439529,131051,19044,18684,44291,14444,8914,3163,,,,,
08:20.0,00:00.0,100,2,37,67,52,150962,142579,15414,24711,15243,11914,4100,517,,,,,
08:21.0,00:00.0,100,2,27,61,44,577613,235173,72268,28211,31690,20633,20220,12039,,,,,
08:22.0,00:00.0,100,2,20,56,38,1714415,371228,106990,60021,56776,52783,27284,11482,,,,,
08:23.0,00:00.0,100,2,24,53,38,569247,20199,1071,3445,2614,3813,5535,708,,,,,
08:24.0,00:00.0,100,2,37,51,44,129732,18461,952,4819,6511,5400,1800,1026,,,,,
08:25.0,00:00.0,100,2,54,44,49,162653,58579,8092,12370,11113,29483,13540,3275,,,,,
08:26.0,00:00.0,100,2,47,30,38,621197,433171,32182,12606,13212,20083,9761,6194,,,,,
08:27.0,00:00.0,100,2,44,44,44,528401,254858,130183,77312,15378,58610,25979,12675,,,,,
08:28.0,00:00.0,100,2,34,40,37,340833,205874,8922,18552,10727,16252,9912,2040,,,,,
08:29.0,00:00.0,100,2,21,53,37,646161,123373,99440,47574,49778,31747,34635,6710,,,,,
08:30.0,00:00.0,100,2,26,61,43,655703,488671,73536,43077,10116,44411,52366,10646,,,,,
08:31.0,00:00.0,100,2,35,40,37,1032906,407101,22641,17383,11948,116136,27805,19900,,,,,
08:32.0,00:00.0,100,2,56,50,53,108942,14924,6863,6022,10315,16998,10797,2597,,,,,
08:33.0,00:00.0,100,2,57,27,42,41988,29422,501,2585,1409,4357,758,830,,,,,
08:34.0,00:00.0,100,2,75,27,51,190359,116695,3317,39681,30797,63774,22519,13542,,,,,
08:35.0,00:00.0,100,2,69,21,45,1221218,407756,2159,16164,15577,67316,33143,14806,,,,,
08:37.0,00:00.0,100,2,64,17,40,1990068,251323,51905,38331,16051,130080,80487,9700,,,,,
08:37.0,00:00.0,100,2,64,23,43,525130,74464,6852,6221,10061,11867,8502,6648,,,,,
08:38.0,00:00.0,100,2,64,20,42,77213,20180,2029,3773,5917,10474,8331,2630,,,,,
08:39.0,00:00.0,100,2,67,29,48,599263,459035,47661,12993,88024,113264,36807,12657,,,,,
