'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
22:13.0,00:00.0,100,2,40,43,41,2516895,544768,20748,101203,92631,59430,21736,14695,,25778.96875,45191.91106,24132.19952,8033.995192
22:14.0,00:00.0,100,2,29,53,41,599556,143006,27599,62153,27798,35382,37709,11263,,,,,
22:15.0,00:00.0,100,2,24,50,37,1551213,146253,9769,59618,55408,39806,15817,7987,,,,,
22:16.0,00:00.0,100,2,35,56,45,585455,63089,1503,16410,11913,18219,11838,2586,,,,,
22:17.0,00:00.0,100,2,44,61,52,497860,221688,41196,63786,38770,83463,17885,17933,,,,,
22:18.0,00:00.0,100,2,44,47,45,812787,511250,11442,47639,40596,95410,30317,2994,,,,,
22:19.0,00:00.0,100,2,35,40,37,150922,50214,4904,3774,3796,3192,3330,736,,,,,
22:20.0,00:00.0,100,2,38,47,42,383108,282959,85038,47187,32042,132433,38458,26705,,,,,
22:21.0,00:00.0,100,2,24,37,30,1682498,425300,38368,20157,23952,26206,16179,6271,,,,,
22:22.0,00:00.0,100,2,21,54,37,207042,56996,11780,33685,6527,11651,8590,1565,,,,,
22:23.0,00:00.0,100,2,30,50,40,823456,457082,28094,23317,34938,90997,24761,5831,,,,,
22:24.0,00:00.0,100,2,29,51,40,374635,102134,52079,6525,6110,42454,8880,2533,,,,,
22:25.0,00:00.0,100,2,43,44,43,527707,623605,35028,15382,40360,180424,70731,13951,,,,,
22:26.0,00:00.0,100,2,41,40,40,879959,104442,24653,24825,10814,14449,7458,1817,,,,,
22:27.0,00:00.0,100,2,41,43,42,816669,109165,10787,9239,7984,21439,61493,15464,,,,,
22:28.0,00:00.0,100,2,38,47,42,1531680,106883,30468,58181,16446,30957,36276,12121,,,,,
22:29.0,00:00.0,100,2,34,61,47,466166,116603,23407,26690,64778,25718,26462,5863,,,,,
22:30.0,00:00.0,100,2,54,57,55,4604,28080,5574,23481,8507,74588,19298,8309,,,,,
22:31.0,00:00.0,100,2,70,67,68,44825,33365,35937,24881,29464,110518,33396,6595,,,,,
22:32.0,00:00.0,100,2,75,56,65,199839,110751,7727,22591,26107,37351,14148,8499,,,,,
22:33.0,00:00.0,100,2,84,57,70,129903,63166,16417,27539,15839,53291,17902,3556,,,,,
22:34.0,00:00.0,100,2,74,66,70,601406,115831,136737,19801,40643,93206,35627,6526,,,,,
22:35.0,00:00.0,100,2,57,63,60,353237,143907,47205,22497,64781,44722,16531,2915,,,,,
22:36.0,00:00.0,100,2,50,70,60,545070,57920,28077,6602,14225,10788,8055,3445,,,,,
22:37.0,00:00.0,100,2,40,83,61,1054857,29075,28897,14200,6242,11095,11296,5289,,,,,
22:38.0,00:00.0,100,2,27,74,50,440362,248907,18218,41585,19728,21905,70056,10707,,,,,
22:39.0,00:00.0,100,2,29,77,53,1498423,70703,8290,51522,40734,31047,17889,3185,,,,,
22:40.0,00:00.0,100,2,30,75,52,1872034,322609,90656,45797,16151,68446,20175,8830,,,,,
22:41.0,00:00.0,100,2,37,61,49,680019,38707,8450,4147,5267,12452,7953,1341,,,,,
22:42.0,00:00.0,100,2,30,57,43,726501,163710,24257,2681,4118,7372,5005,3919,,,,,
22:44.0,00:00.0,100,2,17,64,40,1083812,219417,165540,45871,22954,24244,40547,16962,,,,,
22:44.0,00:00.0,100,2,13,51,32,98832,155699,7533,9808,8630,12773,7011,5653,,,,,
22:45.0,00:00.0,100,2,3,47,25,1740376,536999,55532,21104,33608,51695,36386,20210,,,,,
22:46.0,00:00.0,100,2,13,43,28,3000192,169344,8008,18262,29405,23217,64827,7585,,,,,
22:47.0,00:00.0,100,2,14,37,25,946107,286987,54672,81546,19880,26798,42928,8125,,,,,
22:48.0,00:00.0,100,2,29,51,40,1534091,159193,37900,89936,13598,116212,19424,7551,,,,,
22:49.0,00:00.0,100,2,41,67,54,93920,3341,2907,1900,1379,2888,1891,554,,,,,
22:50.0,00:00.0,100,2,40,94,67,887159,15215,58020,9296,8289,7250,11531,3157,,,,,
22:51.0,00:00.0,100,2,41,87,64,183728,50536,6370,3918,5171,5201,8002,1238,,,,,
22:52.0,00:00.0,100,2,26,83,54,1289115,539763,148324,74613,60928,46321,11083,6691,,,,,
22:53.0,00:00.0,100,2,21,80,50,436716,75697,22342,51896,29869,31628,19657,8922,,,,,
22:54.0,00:00.0,100,2,23,57,40,2350440,314424,31002,58283,47309,42113,45926,5102,,,,,
22:55.0,00:00.0,100,2,24,70,47,1685365,41393,22820,31860,28335,10230,13264,8066,,,,,
22:56.0,00:00.0,100,2,34,61,47,249128,240388,11344,23581,20298,50883,65400,8282,,,,,
22:57.0,00:00.0,100,2,40,51,45,1436486,21234,7695,2727,12975,18225,5990,3282,,,,,
22:58.0,00:00.0,100,2,53,51,52,53729,42976,14814,3304,10629,28668,6846,2075,,,,,
22:59.0,00:00.0,100,2,67,35,51,188599,208316,29431,21778,39593,170131,21511,15176,,,,,
23:00.0,00:00.0,100,2,64,51,57,583583,257669,85830,159300,34155,72666,55693,26394,,,,,
23:01.0,00:00.0,100,2,56,53,54,1019275,54908,6867,10752,13549,12884,23293,1564,,,,,
23:02.0,00:00.0,100,2,40,38,39,1000230,755495,22572,14062,24010,52645,28940,21150,,,,,
23:03.0,00:00.0,100,2,26,43,34,968171,313376,70298,24224,59928,50995,17977,9192,,,,,
23:04.0,00:00.0,100,2,29,40,34,88913,25073,12318,6176,6903,9583,13671,1619,,,,,
23:05.0,00:00.0,100,2,24,35,29,296140,41761,4475,1727,784,4142,2729,670,,,,,
23:06.0,00:00.0,100,2,26,60,43,1238201,118183,55343,21125,11057,13815,16894,4278,,,,,
23:07.0,00:00.0,100,2,44,53,48,2684311,68718,12699,12972,42519,104300,6716,13878,,,,,
23:08.0,00:00.0,100,2,41,47,44,74254,32457,3138,7232,4936,6702,6524,1158,,,,,
23:09.0,00:00.0,100,2,44,51,47,214452,33488,1816,9850,11630,5872,17374,2681,,,,,
23:10.0,00:00.0,100,2,51,48,49,242945,43251,14023,12383,14156,11366,10497,2904,,,,,
23:11.0,00:00.0,100,2,35,60,47,311424,112360,47466,26787,37409,31524,39778,12451,,,,,
23:12.0,00:00.0,100,2,37,64,50,660740,63144,25998,8713,13107,16498,18433,1672,,,,,
23:13.0,00:00.0,100,1,40,56,48,187574,156167,13959,4208,7192,26633,10733,1362,,,,,
23:14.0,00:00.0,100,1,43,56,49,1438158,68026,13828,24551,11701,27145,35148,10164,,,,,
23:15.0,00:00.0,100,1,44,44,44,535429,156467,12360,29820,117648,43988,32819,9853,,,,,
23:16.0,00:00.0,100,1,50,35,42,1394743,399791,38938,36539,38574,167092,22253,6952,,,,,
23:17.0,00:00.0,100,2,50,50,50,1732082,278679,135927,63575,50161,79197,16070,24763,,,,,
23:18.0,00:00.0,100,2,35,38,36,1398927,761864,49040,29887,44148,36889,29600,28257,,,,,
23:19.0,00:00.0,100,2,35,43,39,917551,208454,20440,55629,61521,60571,39246,9378,,,,,
23:20.0,00:00.0,100,2,40,56,48,1164556,54847,52780,21029,12114,76808,29197,3587,,,,,
23:21.0,00:00.0,100,2,48,50,49,91293,20752,11107,1560,13118,16135,6709,1964,,,,,
23:22.0,00:00.0,100,2,57,66,61,529048,186402,95293,38488,21192,46674,32913,5125,,,,,
23:23.0,00:00.0,100,2,47,64,55,867036,158753,11811,19156,12054,10646,16677,3020,,,,,
23:24.0,00:00.0,100,2,29,50,39,1283930,416617,28265,33063,18561,35628,93315,13003,,,,,
23:25.0,00:00.0,100,2,26,60,43,1376699,98304,28372,94993,23711,63221,17295,7372,,,,,
23:26.0,00:00.0,100,2,20,48,34,406274,363598,28874,36313,26385,29121,40625,12948,,,,,
23:27.0,00:00.0,100,2,26,57,41,1136470,100130,25797,52438,37223,22047,18110,5876,,,,,
23:28.0,00:00.0,100,2,40,66,53,739253,124106,55947,16173,44678,68170,25832,9297,,,,,
23:29.0,00:00.0,100,2,38,64,51,38268,4828,3662,2192,3430,2742,2535,833,,,,,
23:30.0,00:00.0,100,2,51,64,57,1308785,63990,10939,16470,55881,29522,9826,10591,,,,,
23:31.0,00:00.0,100,2,60,64,62,865503,15965,4767,14530,8672,12692,2247,3112,,,,,
23:32.0,00:00.0,100,2,63,64,63,487971,61848,15875,26717,27048,53307,50584,9092,,,,,
23:33.0,00:00.0,100,2,57,64,60,713370,130846,59389,40480,23326,33035,42071,17122,,,,,
23:34.0,00:00.0,100,2,56,77,66,73964,35065,13886,17781,4335,17794,9579,650,,,,,
23:35.0,00:00.0,100,2,57,74,65,158958,59209,4453,46981,36617,50572,35860,10568,,,,,
23:36.0,00:00.0,100,2,60,63,61,378856,239133,27026,19282,38607,194688,62150,7367,,,,,
23:37.0,00:00.0,100,2,64,66,65,663755,19630,25280,22490,16670,21255,5808,2921,,,,,
23:38.0,00:00.0,100,2,54,61,57,594487,35283,10251,5744,3317,3165,1930,825,,,,,
23:39.0,00:00.0,100,2,47,56,51,285721,182340,17616,41202,41376,38760,23387,10534,,,,,
23:40.0,00:00.0,100,1,30,74,52,1738977,160626,94351,74855,115038,39004,36167,14586,,,,,
23:41.0,00:00.0,100,1,24,61,42,1491830,52395,2242,13303,4379,9273,7616,2315,,,,,
23:42.0,00:00.0,100,1,24,54,39,500690,113119,8076,17734,13619,9917,11828,6214,,,,,
