'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
57:01.0,00:00.0,100,1,35,63,49,20259,47269,10253,8510,10847,6369,5313,2753,,16676.66783,14721.93217,9142.575652,4241.236522
57:03.0,00:00.0,100,1,30,47,38,537428,118817,7357,4730,6245,10583,6572,5391,,,,,
57:04.0,00:00.0,100,1,27,61,44,3628,17257,22033,13493,6548,6074,3060,841,,,,,
57:05.0,00:00.0,100,1,40,63,51,15472,14858,8606,20536,7938,6142,9900,7171,,,,,
57:05.0,00:00.0,100,1,37,67,52,77773,14408,2022,6555,1423,1491,949,577,,,,,
57:07.0,00:00.0,100,1,40,78,59,20958,61869,12449,9742,20075,8636,4526,4112,,,,,
57:07.0,00:00.0,100,1,48,69,58,12799,18471,9452,8364,11617,9533,5752,6344,,,,,
57:09.0,00:00.0,100,1,48,56,52,42099,49042,6893,10233,15044,8876,8244,1318,,,,,
57:10.0,00:00.0,100,1,43,43,43,105786,28123,1304,3104,3828,1330,1167,930,,,,,
57:10.0,00:00.0,100,1,56,54,55,1869273,65964,34247,120307,70374,86635,35241,13146,,,,,
57:12.0,00:00.0,100,1,43,50,46,379910,525442,131993,52019,90797,51223,55073,18375,,,,,
57:13.0,00:00.0,100,1,44,53,48,2332606,240162,28927,118018,60418,60294,39840,4065,,,,,
57:14.0,00:00.0,100,1,63,56,59,27781,41030,2354,15009,55039,13232,14299,3060,,,,,
57:15.0,00:00.0,100,1,56,53,54,61069,46746,15444,30889,17808,18890,15696,2794,,,,,
57:16.0,00:00.0,100,1,63,57,60,17820,64311,20612,39311,34921,17759,17622,3147,,,,,
57:16.0,00:00.0,100,1,77,56,66,7640,9764,11000,1573,24748,12886,3567,4426,,,,,
57:18.0,00:00.0,100,1,84,64,74,50655,11874,3608,9466,5278,10677,10760,3062,,,,,
57:19.0,00:00.0,100,1,84,64,74,15230,30495,13602,15843,15140,13622,4895,2487,,,,,
57:20.0,00:00.0,100,1,100,66,83,9777,10545,19091,11241,9612,32225,10919,3955,,,,,
57:21.0,00:00.0,100,1,93,80,86,26770,11679,15121,15790,6700,8494,2443,2069,,,,,
57:21.0,00:00.0,100,1,88,87,87,13144,22207,29352,17169,6107,18608,2306,3545,,,,,
57:23.0,00:00.0,100,1,88,90,89,19058,32689,28275,20833,19237,17399,3836,2875,,,,,
57:23.0,00:00.0,100,1,69,93,81,25853,27942,23556,11535,6562,8691,4560,2814,,,,,
57:25.0,00:00.0,100,1,64,80,72,21203,25310,2700,7774,2780,5050,4920,1695,,,,,
57:26.0,00:00.0,100,1,63,78,70,12181,17774,6069,21649,7794,9520,4953,1737,,,,,
57:27.0,00:00.0,100,1,77,80,78,31362,4821,5189,32968,10312,33369,10962,3149,,,,,
57:28.0,00:00.0,100,1,78,75,76,33187,65209,10615,35177,15051,20184,8144,4288,,,,,
57:29.0,00:00.0,100,1,81,78,79,43502,38674,7480,26627,26156,13018,9899,1920,,,,,
57:30.0,00:00.0,100,1,64,74,69,358024,164759,53970,41942,26646,12440,13227,8634,,,,,
57:31.0,00:00.0,100,1,50,53,51,1030439,82748,8465,4597,23118,17341,12377,7291,,,,,
57:32.0,00:00.0,100,1,61,47,54,24129,100260,23903,23798,33815,82742,18010,11170,,,,,
57:32.0,00:00.0,100,1,70,41,55,138698,78225,9606,31355,27998,56260,29079,18935,,,,,
57:34.0,00:00.0,100,1,84,38,61,134479,36413,3568,12644,6838,8139,3250,836,,,,,
57:35.0,00:00.0,100,1,81,61,71,76468,28616,69222,22649,29981,16073,15738,7339,,,,,
57:36.0,00:00.0,100,1,53,57,55,274540,291619,9849,36500,17305,13838,21442,7532,,,,,
57:37.0,00:00.0,100,1,41,70,55,397048,58015,93574,48841,29779,28075,13154,11305,,,,,
57:37.0,00:00.0,100,1,51,70,60,33675,27220,4290,17877,9467,24352,19262,13461,,,,,
57:39.0,00:00.0,100,1,60,67,63,123837,7587,3691,7134,2631,4652,3327,2909,,,,,
57:40.0,00:00.0,100,1,80,75,77,15586,24307,6078,15584,21716,12330,11494,2980,,,,,
57:41.0,00:00.0,100,1,78,66,72,57808,68177,22436,15199,16995,12503,6992,5252,,,,,
57:42.0,00:00.0,100,1,61,69,65,57388,118112,61464,10170,9747,16025,8733,6381,,,,,
57:43.0,00:00.0,100,1,53,70,61,24849,25922,15696,48974,29067,11598,11236,6900,,,,,
57:44.0,00:00.0,100,1,51,66,58,50249,20065,4817,1498,5412,5636,3352,1894,,,,,
57:45.0,00:00.0,100,1,56,61,58,15448,58781,10221,12235,10721,14347,7576,5443,,,,,
