'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
37:23.0,00:00.0,100,3,57,63,60,39560,29916,5849,12976,10891,8185,3130,4763,,19865.54396,15492.46429,7193.832418,3449.18956
37:24.0,00:00.0,100,2,66,41,53,892221,225033,12766,31460,36981,40075,25580,7087,,,,,
37:25.0,00:00.0,100,2,78,37,57,16393,25812,1792,24127,29398,29509,22297,9379,,,,,
37:26.0,00:00.0,100,2,78,24,51,223628,182041,52868,14261,28295,37885,4827,5030,,,,,
37:27.0,00:00.0,100,2,78,30,54,87273,84248,80279,21504,13791,31515,6518,3520,,,,,
37:28.0,00:00.0,100,2,96,44,70,35901,23381,10895,28911,14275,39911,11621,1879,,,,,
37:29.0,00:00.0,100,2,56,34,45,583401,479607,32737,16771,27925,11423,11549,8076,,,,,
37:30.0,00:00.0,100,2,60,41,50,14898,38094,31294,14031,16259,15523,7508,6555,,,,,
37:31.0,00:00.0,100,2,56,37,46,554454,31213,12619,18975,28932,8249,3659,2017,,,,,
37:32.0,00:00.0,100,2,34,34,34,292851,70911,29415,8456,24306,9994,8344,2608,,,,,
37:33.0,00:00.0,100,2,50,44,47,102155,19980,1758,6139,8081,2152,2192,634,,,,,
37:34.0,00:00.0,100,2,43,50,46,36670,41168,57914,18430,26271,13031,7421,1218,,,,,
37:35.0,00:00.0,100,2,30,63,46,14266,37398,108161,11803,23443,8225,12631,1198,,,,,
37:36.0,00:00.0,100,2,29,77,53,22857,80368,141713,13430,10158,18142,4471,471,,,,,
37:37.0,00:00.0,100,2,44,75,59,19425,83448,5837,26080,12813,32398,6051,1892,,,,,
37:38.0,00:00.0,100,2,29,60,44,135678,217016,26525,31817,25707,7839,5406,2497,,,,,
37:39.0,00:00.0,100,2,38,48,43,1025216,27010,18096,18186,35886,8013,3147,2018,,,,,
37:40.0,00:00.0,100,2,53,23,38,12062,40705,5552,2263,6337,11375,12741,760,,,,,
37:41.0,00:00.0,100,2,26,27,26,414028,137120,38697,20085,10204,5444,4289,1355,,,,,
37:42.0,00:00.0,100,2,63,27,45,533833,37518,5545,30190,25352,72180,18498,5016,,,,,
37:43.0,00:00.0,100,2,60,26,43,294375,132599,54166,36652,62782,25543,11028,1940,,,,,
37:44.0,00:00.0,100,2,40,30,35,147741,66983,10245,5915,2192,4093,909,571,,,,,
37:45.0,00:00.0,100,2,69,43,56,27570,2380,44023,11388,19336,26710,8151,3087,,,,,
37:46.0,00:00.0,100,2,38,29,33,119890,166852,4555,6239,22504,8859,7933,4548,,,,,
37:47.0,00:00.0,100,2,43,29,36,179416,25495,11170,3356,2731,7648,2692,424,,,,,
37:48.0,00:00.0,100,2,64,41,52,106499,5845,7586,1158,3850,4807,1927,980,,,,,
37:49.0,00:00.0,100,2,43,41,42,242123,38289,82997,17562,39250,8345,5553,2572,,,,,
37:50.0,00:00.0,100,2,51,64,57,33112,58253,18361,20550,6240,12039,1942,2892,,,,,
37:51.0,00:00.0,100,2,64,61,62,27085,20706,4683,20500,30017,30119,2668,2393,,,,,
37:52.0,00:00.0,100,2,70,43,56,24725,17795,3413,1979,25456,12528,3582,3137,,,,,
37:53.0,00:00.0,100,2,84,27,55,464758,201649,50944,46165,64727,64240,11780,5434,,,,,
