'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:14.0,00:00.0,100,1,40,74,57,22511,27409,11391,13324,8497,10676,5698,1798,,12389.33925,10792.18442,6160.556213,3179.47929
00:15.0,00:00.0,100,1,43,64,53,88238,26277,51040,8104,36232,13766,6130,2318,,,,,
00:16.0,00:00.0,100,1,48,70,59,154855,18260,6765,7801,4178,8648,2603,1405,,,,,
00:17.0,00:00.0,100,1,56,78,67,31446,11413,7201,31518,18354,9320,3510,5084,,,,,
00:18.0,00:00.0,100,1,60,81,70,26841,24661,15229,17444,6566,16781,9714,6569,,,,,
00:19.0,00:00.0,100,1,57,78,67,75598,39364,6032,27998,16011,9610,6692,2994,,,,,
00:20.0,00:00.0,100,1,47,83,65,190881,72942,60561,17035,20150,9594,5017,4130,,,,,
00:21.0,00:00.0,100,1,34,90,62,50682,25778,53845,27912,9449,5348,4166,2809,,,,,
00:22.0,00:00.0,100,1,27,81,54,39779,33955,5001,10751,10104,9930,11367,3819,,,,,
00:23.0,00:00.0,100,1,27,78,52,10181,56874,14700,17398,5314,11949,3589,2470,,,,,
00:24.0,00:00.0,100,1,37,75,56,205418,91605,33643,40256,18163,23663,3877,3127,,,,,
00:25.0,00:00.0,100,1,40,69,54,18370,60095,77188,24962,12449,12388,5235,1911,,,,,
00:26.0,00:00.0,100,1,35,69,52,133176,28714,6950,6915,9780,3856,2993,1512,,,,,
00:27.0,00:00.0,100,1,24,88,56,24326,6868,74909,26060,4974,5825,3833,1912,,,,,
00:28.0,00:00.0,100,1,20,90,55,4785,24177,12880,32169,4580,5726,3029,2651,,,,,
00:29.0,00:00.0,100,1,16,66,41,103230,42804,1321,5103,1112,2626,1024,440,,,,,
00:30.0,00:00.0,100,1,20,63,41,20208,52594,22105,5983,5720,11055,6962,2472,,,,,
00:31.0,00:00.0,100,1,21,47,34,13352,26627,23575,22794,28902,4160,6355,1808,,,,,
00:32.0,00:00.0,100,1,21,30,25,62736,30130,4736,3461,4182,3103,2568,1422,,,,,
00:33.0,00:00.0,100,1,38,41,39,56871,19111,17663,4583,18534,15245,5171,1077,,,,,
00:34.0,00:00.0,100,1,37,51,44,32408,14412,42168,4351,16133,7072,3733,2274,,,,,
00:35.0,00:00.0,100,1,40,43,41,225818,165336,32902,25007,21278,17823,3126,949,,,,,
00:36.0,00:00.0,100,1,47,60,53,39366,18965,16213,57069,11474,15874,2016,4061,,,,,
00:37.0,00:00.0,100,1,30,56,43,12189,109204,26102,14156,3503,10409,8877,3406,,,,,
00:38.0,00:00.0,100,1,23,47,35,18816,100671,15318,29716,6309,6942,6503,2031,,,,,
00:39.0,00:00.0,100,1,23,44,33,135208,31395,4919,2261,1419,2854,1166,413,,,,,
00:40.0,00:00.0,100,1,16,40,28,39905,44431,52201,11078,7511,9925,7570,4781,,,,,
00:41.0,00:00.0,100,1,14,60,37,20338,25424,99326,18329,6249,9041,6550,4149,,,,,
00:42.0,00:00.0,100,1,17,75,46,36979,30688,100441,30944,21318,10164,6581,6636,,,,,
00:43.0,00:00.0,100,1,24,87,55,189309,43916,24398,26291,12385,13373,9726,5167,,,,,
00:44.0,00:00.0,100,1,30,67,48,80244,15106,1289,1689,2811,3347,2600,1332,,,,,
00:45.0,00:00.0,100,1,29,34,31,109290,68429,3196,524,4037,3725,1305,609,,,,,
00:46.0,00:00.0,100,1,44,23,33,71190,6052,6230,5074,3833,5589,801,2677,,,,,
00:47.0,00:00.0,100,1,53,21,37,67630,38148,26273,21978,12584,29169,5427,2489,,,,,
00:48.0,00:00.0,100,1,48,26,37,285376,233106,16425,54065,11470,40230,67480,7690,,,,,
00:49.0,00:00.0,100,1,50,51,50,57987,17179,12277,9593,5015,2098,3704,1004,,,,,
00:50.0,00:00.0,100,1,43,40,41,122788,14581,1557,2084,5325,2931,2274,1286,,,,,
00:51.0,00:00.0,100,1,47,37,42,32344,20391,11624,7936,7427,20188,2941,4255,,,,,
00:52.0,00:00.0,100,1,41,41,41,13763,78206,31599,14018,20383,8346,5094,4279,,,,,
00:53.0,00:00.0,100,1,57,34,45,19022,31056,13521,10195,9029,19625,6992,4918,,,,,
00:54.0,00:00.0,100,1,66,40,53,45189,25240,13580,4982,14527,17460,9831,3948,,,,,
00:55.0,00:00.0,100,1,64,41,52,13237,18859,15651,9237,10391,18207,6945,3315,,,,,
00:56.0,00:00.0,100,1,66,47,56,12081,34475,29553,13990,15797,6267,3146,2685,,,,,
00:57.0,00:00.0,100,1,64,48,56,16470,17030,8518,15035,22759,11920,4301,3729,,,,,
00:58.0,00:00.0,100,1,56,53,54,71212,33401,25151,15379,23512,13552,8112,5731,,,,,
00:59.0,00:00.0,100,1,48,40,44,23063,83215,5426,8447,10033,13338,9584,5957,,,,,
01:00.0,00:00.0,100,1,47,40,43,762561,99745,31961,70486,10873,13547,5340,4594,,,,,
01:01.0,00:00.0,100,1,43,40,41,18733,24112,3729,19228,17166,10030,11654,4562,,,,,
01:02.0,00:00.0,100,1,51,35,43,666245,34488,12236,11810,17113,26722,11242,7155,,,,,
01:03.0,00:00.0,100,1,53,44,48,92615,156750,56840,22901,8376,36959,8691,4839,,,,,
01:04.0,00:00.0,100,1,60,37,48,75105,48230,15535,6427,10196,10922,6628,4137,,,,,
01:05.0,00:00.0,100,1,51,27,39,55041,25181,1140,4434,1332,2696,2148,2587,,,,,
01:06.0,00:00.0,100,1,40,34,37,62290,73191,27025,31054,27666,18159,10833,4782,,,,,
01:07.0,00:00.0,100,1,26,41,33,142558,123088,123375,25710,8219,11524,6262,2069,,,,,
01:08.0,00:00.0,100,1,20,50,35,224851,49681,24469,31703,9988,8029,5617,11239,,,,,
01:09.0,00:00.0,100,1,23,56,39,101536,7574,6031,966,7383,1766,969,1624,,,,,
01:10.0,00:00.0,100,1,13,67,40,22390,30742,76291,13533,8625,5018,7090,4979,,,,,
01:11.0,00:00.0,100,1,35,61,48,26599,10629,8180,11924,9826,14050,7021,4175,,,,,
01:12.0,00:00.0,100,1,41,51,46,54040,76950,10557,21797,39907,15649,10505,1592,,,,,
01:13.0,00:00.0,100,1,43,51,47,40451,75831,23581,27533,31201,16940,8852,5177,,,,,
01:14.0,00:00.0,100,1,53,41,47,125935,76754,26100,32293,8763,16489,6960,17650,,,,,
01:15.0,00:00.0,100,1,34,40,37,77507,27450,11438,3123,5175,2132,3178,586,,,,,
01:16.0,00:00.0,100,1,30,50,40,93099,8920,8762,3475,3532,2431,1255,763,,,,,
01:17.0,00:00.0,100,1,26,54,40,30966,23051,35168,5776,27652,6070,9146,1929,,,,,
01:18.0,00:00.0,100,1,27,53,40,30222,41205,24589,6484,19543,10639,6651,2027,,,,,
01:19.0,00:00.0,100,1,37,51,44,15803,74059,25881,4938,18888,12009,18463,4778,,,,,
01:20.0,00:00.0,100,1,38,57,47,13486,20217,73091,39783,21141,19306,6988,3258,,,,,
01:21.0,00:00.0,100,1,41,53,47,92211,36009,17765,1822,5770,7131,2471,1867,,,,,
01:22.0,00:00.0,100,1,43,50,46,39425,59599,9955,17485,23511,17100,6132,4098,,,,,
01:23.0,00:00.0,100,1,37,63,50,110090,41230,35705,67052,9402,7936,6692,4447,,,,,
01:24.0,00:00.0,100,1,34,44,39,100838,18576,2348,1772,3220,2116,2661,1218,,,,,
01:25.0,00:00.0,100,1,24,43,33,59397,119209,46835,8140,5122,8042,2274,2994,,,,,
01:26.0,00:00.0,100,1,11,50,30,103225,16537,9561,2690,1263,1380,650,927,,,,,
01:27.0,00:00.0,100,1,24,37,30,23930,51978,10862,20147,10806,20553,9284,3321,,,,,
01:28.0,00:00.0,100,1,24,41,32,731763,80604,20270,14175,13193,11585,13290,2434,,,,,
01:29.0,00:00.0,100,1,37,41,39,237444,49166,7396,22011,17462,13891,15859,7350,,,,,
01:30.0,00:00.0,100,1,40,51,45,75989,42103,84146,31503,15143,9401,6364,3790,,,,,
01:31.0,00:00.0,100,1,26,40,33,723255,250386,9645,20584,5639,19788,6988,2157,,,,,
01:32.0,00:00.0,100,1,35,44,39,366965,21711,11393,15411,14224,11221,5673,14158,,,,,
01:33.0,00:00.0,100,1,38,43,40,85739,86014,11794,31765,10107,30159,7802,5106,,,,,
01:34.0,00:00.0,100,1,41,37,39,23615,47346,16140,29467,9627,8184,9826,3657,,,,,
01:35.0,00:00.0,100,1,47,56,51,37121,19112,18097,30063,12298,9121,9941,3975,,,,,
01:36.0,00:00.0,100,1,34,64,49,35445,48197,68858,31423,15271,8061,14074,3760,,,,,
01:37.0,00:00.0,100,1,23,75,49,50477,35445,57909,14346,15068,7330,3870,5545,,,,,
01:38.0,00:00.0,100,1,29,78,53,60931,12422,24786,24301,18983,9683,3588,3153,,,,,
01:39.0,00:00.0,100,1,35,74,54,62877,41465,19348,18821,8141,15033,6400,2889,,,,,
01:40.0,00:00.0,100,1,51,63,57,164965,44953,28191,11834,19253,25439,8815,7852,,,,,
01:41.0,00:00.0,100,1,51,51,51,1581971,802301,131493,118508,47605,76081,23054,9191,,,,,
01:42.0,00:00.0,100,1,37,41,39,30004,229180,72935,21806,5915,10840,6922,1762,,,,,
01:43.0,00:00.0,100,1,26,50,38,4933,25920,9818,59296,8316,5919,2353,1871,,,,,
01:44.0,00:00.0,100,1,20,54,37,625757,21995,15965,26647,18331,10412,9485,1927,,,,,
01:45.0,00:00.0,100,1,34,61,47,24751,19001,7275,19111,11212,12312,5246,2890,,,,,
01:46.0,00:00.0,100,1,50,66,58,111739,10291,5260,5068,5850,3745,1502,650,,,,,
01:47.0,00:00.0,100,1,54,54,54,110097,48546,11832,27950,22583,8637,5019,2975,,,,,
01:48.0,00:00.0,100,1,53,57,55,7865,39850,44962,43768,21072,18984,3507,2446,,,,,
01:49.0,00:00.0,100,1,27,64,45,109131,26421,34241,4147,1936,1405,903,511,,,,,
01:50.0,00:00.0,100,1,29,61,45,110084,10420,3585,3101,2060,3448,2470,741,,,,,
01:51.0,00:00.0,100,1,24,64,44,6669,53226,17202,39474,9193,7537,8319,2879,,,,,
01:52.0,00:00.0,100,1,11,48,29,142794,47750,7967,1167,6391,1958,2505,654,,,,,
01:53.0,00:00.0,100,1,27,43,35,16107,37530,13778,23323,14349,8054,6226,2751,,,,,
01:54.0,00:00.0,100,1,14,34,24,160134,42488,3730,2527,3933,2321,2899,923,,,,,
01:55.0,00:00.0,100,1,26,29,27,26383,44597,18947,22898,30382,18196,2531,2637,,,,,
01:56.0,00:00.0,100,1,35,40,37,37299,56043,46767,10754,49660,10473,3415,1538,,,,,
01:57.0,00:00.0,100,1,29,27,28,251459,100820,12939,10478,10848,7327,3632,1840,,,,,
01:58.0,00:00.0,100,1,48,41,44,14586,18948,26887,11060,23151,20830,3529,3013,,,,,
01:59.0,00:00.0,100,1,30,47,38,98273,14991,14299,3155,3255,1279,807,720,,,,,
02:00.0,00:00.0,100,1,40,48,44,91176,49587,18217,29954,14865,20714,9976,5897,,,,,
02:01.0,00:00.0,100,1,43,51,47,386282,111793,27666,21317,12878,11866,11727,3104,,,,,
02:02.0,00:00.0,100,1,27,53,40,40881,45855,30722,19987,15897,8093,4875,4167,,,,,
02:03.0,00:00.0,100,1,47,40,43,18063,45291,10554,3852,26755,13720,6326,2604,,,,,
02:04.0,00:00.0,100,1,37,44,40,71887,12556,12232,3714,1783,2192,1484,415,,,,,
02:05.0,00:00.0,100,1,43,51,47,44398,20042,27750,6627,20268,8781,3485,2772,,,,,
02:06.0,00:00.0,100,1,35,41,38,468660,139875,24116,9198,7328,6441,5037,3077,,,,,
02:07.0,00:00.0,100,1,26,56,41,16251,40788,54583,17636,17120,9737,5141,2881,,,,,
02:08.0,00:00.0,100,1,24,63,43,17372,13902,62897,14616,12947,6643,4177,2179,,,,,
02:09.0,00:00.0,100,1,20,64,42,45045,62626,69275,12838,15848,15112,7204,1119,,,,,
02:10.0,00:00.0,100,1,24,80,52,25832,48358,32168,55967,18953,7950,8914,5102,,,,,
02:11.0,00:00.0,100,1,30,70,50,33956,25553,16307,19643,51535,11561,13594,2625,,,,,
02:12.0,00:00.0,100,1,37,63,50,60527,30971,31564,13639,15340,10041,5811,3004,,,,,
02:13.0,00:00.0,100,1,34,64,49,31565,16809,31111,15646,16437,4659,2589,2446,,,,,
02:14.0,00:00.0,100,1,44,60,52,75609,50372,22395,25529,21648,16877,7722,1040,,,,,
02:15.0,00:00.0,100,1,54,56,55,118523,6137,471,3395,3770,4164,1833,502,,,,,
02:16.0,00:00.0,100,1,44,38,41,274126,152636,4012,10816,3041,7187,10816,7298,,,,,
02:17.0,00:00.0,100,1,48,29,38,16851,54011,28854,20694,41958,12141,5903,2109,,,,,
02:18.0,00:00.0,100,1,47,26,36,56778,13143,1221,5689,3768,2971,1396,1120,,,,,
02:19.0,00:00.0,100,1,30,29,29,80400,15891,4038,6658,6213,2654,938,267,,,,,
02:20.0,00:00.0,100,1,29,37,33,273959,217614,33110,23713,15657,10099,4054,1567,,,,,
02:21.0,00:00.0,100,1,20,34,27,172474,195742,40657,23296,14023,10388,5528,4645,,,,,
02:22.0,00:00.0,100,1,20,35,27,32087,43462,5697,23958,16837,11230,3785,1709,,,,,
02:23.0,00:00.0,100,1,14,51,32,13593,21315,59321,81098,13940,10390,4506,4544,,,,,
