'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
19:14.0,00:00.0,100,2,51,43,47,19773,28096,18157,24554,4038,7342,6059,6051,,12343.24,9828.026667,4834.1,2523.036667
19:15.0,00:00.0,100,2,50,54,52,41578,34666,21634,21609,12228,9976,5573,2731,,,,,
19:16.0,00:00.0,100,2,50,63,56,45070,31964,34743,15707,12742,12475,10600,3204,,,,,
19:17.0,00:00.0,100,2,60,66,63,38813,32770,19495,5368,4366,15468,3885,4662,,,,,
19:18.0,00:00.0,100,2,69,54,61,47286,37875,8023,18685,31714,18328,11215,4333,,,,,
19:19.0,00:00.0,100,2,70,54,62,144540,36558,23196,25275,7537,11343,15901,4253,,,,,
19:20.0,00:00.0,100,2,75,51,63,15893,54319,44742,4736,10396,20984,15117,1453,,,,,
19:21.0,00:00.0,100,2,60,53,56,951467,79408,50488,10323,15993,9790,5515,2029,,,,,
19:22.0,00:00.0,100,2,50,43,46,1391552,208637,12860,15923,19503,24188,12644,6875,,,,,
19:23.0,00:00.0,100,2,47,26,36,543750,96317,14941,10251,23248,12568,5176,2785,,,,,
19:24.0,00:00.0,100,2,51,16,33,39726,20895,7530,2305,17302,11400,17896,7048,,,,,
19:25.0,00:00.0,100,2,53,8,30,459962,139991,15434,35129,9627,15058,12488,7006,,,,,
19:26.0,00:00.0,100,2,64,23,43,79771,3154,1496,3495,3795,2474,1517,899,,,,,
19:27.0,00:00.0,100,2,69,41,55,44904,39413,55695,12226,8497,17815,3207,3569,,,,,
19:28.0,00:00.0,100,2,60,53,56,18100,10976,4926,18688,16500,4127,2374,4171,,,,,
19:29.0,00:00.0,100,2,60,67,63,88103,13364,14357,10872,4270,3101,1053,938,,,,,
19:30.0,00:00.0,100,2,54,69,61,16615,32481,20193,12980,7388,14174,3610,2597,,,,,
19:31.0,00:00.0,100,2,43,56,49,63628,176733,41684,8019,16661,12088,4919,1775,,,,,
19:32.0,00:00.0,100,2,47,60,53,22388,25560,25480,32454,18020,14502,3553,2635,,,,,
19:33.0,00:00.0,100,2,47,53,50,46443,22804,4679,11800,4618,2845,1676,726,,,,,
19:34.0,00:00.0,100,2,51,48,49,6569,20086,13061,8176,18608,13570,8704,1982,,,,,
19:35.0,00:00.0,100,2,51,56,53,511552,158657,49998,57751,18206,15936,9944,3313,,,,,
19:36.0,00:00.0,100,2,43,50,46,77651,27518,5257,10962,2376,3265,2341,752,,,,,
19:37.0,00:00.0,100,2,47,54,50,11091,25979,33346,23219,21226,8009,2345,7684,,,,,
19:38.0,00:00.0,100,2,37,57,47,6837,31887,1215,30754,17051,8326,5627,1226,,,,,
19:39.0,00:00.0,100,2,57,47,52,19546,25629,4900,4725,10803,14727,5382,3014,,,,,
19:40.0,00:00.0,100,2,64,43,53,48722,23691,6288,4256,4887,5189,2085,382,,,,,
19:41.0,00:00.0,100,2,78,35,56,9575,13763,9536,7387,15675,10093,11072,2316,,,,,
19:42.0,00:00.0,100,2,67,26,46,10348,91124,18368,8478,6405,6918,5981,755,,,,,
19:43.0,00:00.0,100,2,56,44,50,174737,39291,37948,29035,3287,14054,3612,2192,,,,,
19:44.0,00:00.0,100,2,54,51,52,48839,30792,15021,30941,43096,9691,8322,3337,,,,,
19:45.0,00:00.0,100,2,47,44,45,57680,12608,1005,2939,3608,2763,1852,505,,,,,
19:46.0,00:00.0,100,2,56,56,56,20629,38499,48792,14579,13252,13797,7874,3119,,,,,
19:47.0,00:00.0,100,2,60,43,51,82263,20343,2493,9712,3953,6666,1939,1745,,,,,
19:48.0,00:00.0,100,2,69,43,56,15314,10666,11944,10424,21138,11792,11633,2263,,,,,
19:49.0,00:00.0,100,2,63,38,50,49157,106635,9176,9101,10677,9455,4278,3954,,,,,
19:50.0,00:00.0,100,2,74,37,55,3303,5567,9217,15190,12022,10555,3406,1037,,,,,
19:51.0,00:00.0,100,2,70,43,56,72657,36271,24407,22345,20413,14401,2271,1679,,,,,
19:52.0,00:00.0,100,2,63,47,55,5112,25739,22108,5254,4736,7709,4429,1154,,,,,
19:53.0,00:00.0,100,2,70,54,62,79290,11083,3374,1413,2279,2563,488,305,,,,,
19:54.0,00:00.0,100,2,63,51,57,29797,47188,24780,22032,9732,13767,3923,2775,,,,,
19:55.0,00:00.0,100,2,50,50,50,75055,38603,15421,25970,32637,3797,2190,2552,,,,,
19:56.0,00:00.0,100,2,34,64,49,78270,40042,160141,18103,11052,7264,6807,2206,,,,,
19:57.0,00:00.0,100,2,38,66,52,21940,67098,30464,6273,8619,25689,3148,4996,,,,,
19:58.0,00:00.0,100,2,23,61,42,45279,34954,3504,12434,3832,1808,733,188,,,,,
19:59.0,00:00.0,100,2,34,70,52,85785,23123,55387,12786,15539,12350,3957,6588,,,,,
20:00.0,00:00.0,100,2,40,64,52,22541,54003,69468,49434,14578,10516,10987,6364,,,,,
20:01.0,00:00.0,100,2,26,56,41,135141,37425,3549,2703,3919,2817,1876,390,,,,,
20:02.0,00:00.0,100,2,41,66,53,38629,26731,7761,41301,6518,11275,12969,4437,,,,,
20:03.0,00:00.0,100,2,38,57,47,86563,11562,6933,4844,3331,2377,2239,3306,,,,,
20:04.0,00:00.0,100,2,56,48,52,6718,8426,14157,5752,16179,9847,6977,4524,,,,,
20:05.0,00:00.0,100,2,53,51,52,55124,72486,11477,5204,5499,4104,1790,2456,,,,,
20:06.0,00:00.0,100,2,40,41,40,26119,81760,26019,13069,9372,4806,7932,2723,,,,,
20:07.0,00:00.0,100,2,53,41,47,66512,20347,9926,20446,8817,16696,3435,3062,,,,,
20:08.0,00:00.0,100,2,40,47,43,15253,36208,38454,20536,23899,9718,8833,2798,,,,,
20:09.0,00:00.0,100,2,43,54,48,97170,26220,7018,10446,4632,3283,1107,858,,,,,
20:10.0,00:00.0,100,2,50,53,51,69845,146114,37660,20994,14946,14838,12434,2529,,,,,
20:11.0,00:00.0,100,2,41,50,45,26051,30398,12854,10329,11948,8030,15059,8740,,,,,
20:12.0,00:00.0,100,2,43,48,45,35590,19715,6831,13062,3325,4166,1046,326,,,,,
20:13.0,00:00.0,100,2,60,48,54,9648,10660,3623,10928,8598,9702,2291,1802,,,,,
20:14.0,00:00.0,100,2,77,48,62,29858,33590,8320,14584,7731,20162,6827,4074,,,,,
20:15.0,00:00.0,100,2,80,56,68,61547,17540,30067,19149,9674,16187,6692,1809,,,,,
20:16.0,00:00.0,100,2,69,74,71,26883,16680,10765,80710,5280,5025,6916,1894,,,,,
20:17.0,00:00.0,100,2,54,67,60,161323,206765,61718,20082,11187,25633,5668,3112,,,,,
20:18.0,00:00.0,100,2,47,70,58,8650,51085,13441,20240,7779,12709,2008,1615,,,,,
20:19.0,00:00.0,100,2,37,74,55,34504,17443,26855,29619,18726,7350,6567,1459,,,,,
20:20.0,00:00.0,100,2,37,51,44,34617,84089,42780,11687,37910,6529,3302,1792,,,,,
20:21.0,00:00.0,100,2,50,57,53,28325,13500,22544,10201,23893,14566,3262,2613,,,,,
20:22.0,00:00.0,100,2,53,63,58,50246,39843,19143,36607,14237,18298,5141,2258,,,,,
20:23.0,00:00.0,100,2,48,53,50,59559,27006,9009,6424,3445,2399,1249,1005,,,,,
20:24.0,00:00.0,100,2,47,57,52,23660,64817,39489,33742,26583,5289,3354,4742,,,,,
20:25.0,00:00.0,100,2,47,60,53,30150,18299,16109,15653,13254,16745,6165,3495,,,,,
20:26.0,00:00.0,100,2,34,67,50,62020,30117,33093,28467,4504,5068,8102,2624,,,,,
20:27.0,00:00.0,100,2,34,69,51,5268,48648,24931,20437,23455,5693,5545,2107,,,,,
20:28.0,00:00.0,100,2,51,74,62,31873,17645,15750,21902,3577,12067,2699,4986,,,,,
20:29.0,00:00.0,100,2,37,77,57,39944,39725,49276,15760,21087,7477,2238,1971,,,,,
20:30.0,00:00.0,100,2,53,67,60,43992,16454,2745,25758,12934,11480,7704,1498,,,,,
20:31.0,00:00.0,100,2,63,74,68,23184,20746,20091,37775,20364,13489,14977,3847,,,,,
20:32.0,00:00.0,100,2,54,66,60,81189,18531,2600,11302,3611,3092,1873,425,,,,,
20:33.0,00:00.0,100,2,51,63,57,275604,81738,45534,35780,27953,7849,10062,1333,,,,,
20:34.0,00:00.0,100,2,47,61,54,12802,31783,24134,7925,11353,12096,4541,3206,,,,,
20:35.0,00:00.0,100,2,35,48,41,32549,96734,19184,17511,18484,7706,3596,3225,,,,,
20:36.0,00:00.0,100,2,47,51,49,37374,15268,24687,6464,10360,12325,3156,3154,,,,,
20:37.0,00:00.0,100,2,61,50,55,98674,36436,22955,9447,5279,16291,15312,2272,,,,,
20:38.0,00:00.0,100,2,57,30,43,154280,80829,7102,2540,21691,11813,5968,3379,,,,,
20:39.0,00:00.0,100,2,57,34,45,104437,121469,33082,14337,15366,9721,9396,3955,,,,,
20:40.0,00:00.0,100,2,50,16,33,31794,117343,13825,10523,6681,16968,2015,1971,,,,,
20:41.0,00:00.0,100,2,38,14,26,472838,58643,31568,27024,53301,9101,9527,7265,,,,,
20:42.0,00:00.0,100,2,30,23,26,671136,85381,7574,12240,6700,6823,7660,1684,,,,,
20:43.0,00:00.0,100,2,40,29,34,4647,41597,22706,15243,6927,9979,2097,4423,,,,,
20:44.0,00:00.0,100,2,27,47,37,17670,37560,37667,6629,9346,2934,6359,1583,,,,,
20:45.0,00:00.0,100,2,34,54,44,17623,43058,15107,60535,15292,14477,2831,1967,,,,,
20:46.0,00:00.0,100,2,29,60,44,49801,96592,23111,15910,9971,7616,1787,3245,,,,,
20:47.0,00:00.0,100,2,24,44,34,332071,249127,1627,39442,21920,21113,2449,3776,,,,,
20:48.0,00:00.0,100,2,35,37,36,96647,81392,16280,30402,32320,11273,6635,7333,,,,,
20:49.0,00:00.0,100,2,44,26,35,19831,51802,14651,25577,11009,29100,5041,843,,,,,
20:50.0,00:00.0,100,2,48,29,38,29830,69779,2385,50221,28066,9260,7113,5769,,,,,
20:51.0,00:00.0,100,2,56,51,53,17838,14429,19785,39093,23011,11643,10402,3343,,,,,
20:52.0,00:00.0,100,2,67,51,59,46167,75512,24617,17207,14932,31915,10051,5738,,,,,
20:53.0,00:00.0,100,2,61,56,58,41642,54670,30998,23003,11906,17012,6553,2423,,,,,
20:54.0,00:00.0,100,2,50,47,48,46960,185810,11645,21561,13186,6476,6530,1931,,,,,
20:55.0,00:00.0,100,2,47,38,42,36936,16881,3180,14026,12280,3862,1480,511,,,,,
20:56.0,00:00.0,100,2,34,43,38,988,63666,35727,10872,8968,7750,5034,1991,,,,,
20:57.0,00:00.0,100,2,40,41,40,9719,8674,6493,19080,25495,11145,4706,2161,,,,,
20:58.0,00:00.0,100,2,48,57,52,30677,77237,86516,27500,26132,12698,2327,4381,,,,,
20:59.0,00:00.0,100,2,43,60,51,94656,12198,3434,8035,3729,1790,1156,669,,,,,
21:00.0,00:00.0,100,2,43,56,49,48995,26234,7565,11820,18376,3200,10812,1714,,,,,
21:01.0,00:00.0,100,2,44,56,50,16403,16755,8338,15822,11590,14493,6432,1146,,,,,
21:02.0,00:00.0,100,2,47,50,48,405418,63963,20357,15883,2703,7348,2628,1817,,,,,
21:03.0,00:00.0,100,2,57,53,55,45526,22802,8005,38192,12260,15767,3414,2549,,,,,
21:04.0,00:00.0,100,2,60,50,55,93609,35922,7275,5099,2217,3389,1793,1040,,,,,
21:05.0,00:00.0,100,2,47,60,53,52041,10519,17053,60290,28070,9447,4195,3160,,,,,
21:06.0,00:00.0,100,2,57,70,63,20611,14990,12311,31692,2610,13682,2474,917,,,,,
21:07.0,00:00.0,100,2,43,67,55,60255,92201,54583,20299,19317,8832,4230,2037,,,,,
21:08.0,00:00.0,100,2,56,80,68,36489,14607,23631,19510,15842,14426,5549,3503,,,,,
21:09.0,00:00.0,100,2,60,63,61,79229,14511,5846,1379,2887,3743,838,321,,,,,
21:10.0,00:00.0,100,2,41,50,45,125414,29415,7308,4765,4326,1560,1300,793,,,,,
21:11.0,00:00.0,100,2,47,51,49,3008,33514,11001,29060,16823,6982,1954,1272,,,,,
21:12.0,00:00.0,100,2,34,60,47,107607,11111,34135,7360,2385,3138,750,917,,,,,
21:13.0,00:00.0,100,2,26,78,52,36238,20806,33544,52016,6852,10300,4661,1453,,,,,
21:14.0,00:00.0,100,2,37,91,64,24454,42342,50658,31512,13659,12271,4083,2272,,,,,
21:15.0,00:00.0,100,2,37,80,58,74239,15659,3374,1897,5819,2030,682,500,,,,,
21:16.0,00:00.0,100,2,44,56,50,7960,47941,11256,6008,11976,9737,3478,2846,,,,,
21:17.0,00:00.0,100,2,41,48,44,13584,43684,12954,30156,2781,5962,5548,3179,,,,,
21:18.0,00:00.0,100,2,35,41,38,53194,99236,48133,27976,9445,8070,2379,1452,,,,,
21:19.0,00:00.0,100,2,17,43,30,49673,55816,4199,11363,3419,1370,2114,831,,,,,
