'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:12.0,00:00.0,100,5,57,53,55,144395,64255,33603,14465,7426,29521,14906,6554,,16516.09011,11856.75612,6871.268364,3210.427032
00:13.0,00:00.0,100,5,64,54,59,75951,44851,14480,5597,17384,19250,3838,1473,,,,,
00:14.0,00:00.0,100,2,61,54,57,1764718,116234,10142,8730,14814,6071,7124,2079,,,,,
00:15.0,00:00.0,100,2,61,44,52,85218,58584,7846,993,7750,9133,2061,473,,,,,
00:16.0,00:00.0,100,2,53,34,43,88217,112074,15816,6267,23520,16168,7081,1889,,,,,
00:17.0,00:00.0,100,2,37,24,30,204595,42160,2951,1876,6706,3444,3689,2314,,,,,
00:18.0,00:00.0,100,2,38,26,32,756017,574326,80313,31095,112339,31573,38167,13591,,,,,
00:19.0,00:00.0,100,2,50,38,44,1055795,59807,40322,12600,20880,36445,28744,21580,,,,,
00:20.0,00:00.0,100,2,51,51,51,5184,36452,5420,22717,9502,9518,11748,2672,,,,,
00:21.0,00:00.0,100,2,63,69,66,11823,33273,19751,18125,6566,14510,14638,3834,,,,,
00:22.0,00:00.0,100,2,67,81,74,412976,76575,30719,12603,3662,8702,9792,8808,,,,,
00:23.0,00:00.0,100,2,67,78,72,108202,48299,12305,13701,7251,24856,11324,7011,,,,,
00:24.0,00:00.0,100,2,67,77,72,17709,28796,1990,18141,9574,7109,3499,2414,,,,,
00:25.0,00:00.0,100,2,57,81,69,481493,21765,19169,26262,11480,5658,5680,1376,,,,,
00:26.0,00:00.0,100,2,56,83,69,904920,102470,48375,20228,12774,11059,2824,1192,,,,,
00:27.0,00:00.0,100,2,38,83,60,16627,101582,18186,26297,11821,8390,8411,4428,,,,,
00:28.0,00:00.0,100,2,41,84,62,38711,22710,6508,16669,19387,9107,14902,2674,,,,,
00:29.0,00:00.0,100,1,27,67,47,85600,23649,3066,2734,2312,818,254,146,,,,,
00:30.0,00:00.0,100,1,37,69,53,187965,73920,48594,24918,20516,18422,8106,2983,,,,,
00:31.0,00:00.0,100,1,41,63,52,24662,70481,11316,5381,15598,8506,7335,3253,,,,,
00:32.0,00:00.0,100,1,41,67,54,43034,32203,24868,13190,11021,12945,3221,1036,,,,,
00:33.0,00:00.0,100,1,63,78,70,25867,27952,5618,19555,6878,9646,3664,1588,,,,,
00:34.0,00:00.0,100,1,67,66,66,5305,31541,5551,7404,17597,8501,3906,1500,,,,,
00:35.0,00:00.0,100,1,81,74,77,46645,23654,8316,17748,26322,16453,7858,3017,,,,,
00:36.0,00:00.0,100,1,74,69,71,123132,59548,23621,14807,4930,7527,5674,2354,,,,,
00:37.0,00:00.0,100,1,64,56,60,246454,61498,5685,6642,21558,7663,6423,1477,,,,,
00:38.0,00:00.0,100,1,37,50,43,406635,442942,15659,36978,7720,7126,9445,11472,,,,,
00:39.0,00:00.0,100,1,23,38,30,342698,71725,1865,6877,10462,6739,4203,2994,,,,,
00:40.0,00:00.0,100,1,30,30,30,24614,22689,3409,6043,10171,5275,5210,1760,,,,,
00:41.0,00:00.0,100,1,16,27,21,231900,509447,40261,20913,30008,11696,7317,2104,,,,,
00:42.0,00:00.0,100,1,47,44,45,76806,64870,32034,28172,9455,31497,16389,2789,,,,,
00:43.0,00:00.0,100,1,51,66,58,27106,30093,16583,38099,15333,11860,6926,4039,,,,,
00:44.0,00:00.0,100,1,48,69,58,13184,42570,15868,7099,6039,9717,4617,5150,,,,,
00:45.0,00:00.0,100,1,70,87,78,7244,16366,8388,17062,17208,7434,3710,1786,,,,,
00:46.0,00:00.0,100,1,61,87,74,73320,12460,6343,2390,1701,1882,673,330,,,,,
00:47.0,00:00.0,100,1,63,78,70,75981,23592,6945,8822,8889,6577,2179,1640,,,,,
00:48.0,00:00.0,100,1,56,81,68,16028,38830,13212,14079,5504,5182,4663,2001,,,,,
00:49.0,00:00.0,100,1,44,77,60,24606,81220,8310,27566,12053,6937,3689,1590,,,,,
00:50.0,00:00.0,100,1,38,74,56,46672,73591,29305,5745,7765,5224,8664,3067,,,,,
00:51.0,00:00.0,100,1,34,53,43,159060,101275,2294,4812,15218,10708,7364,1163,,,,,
00:52.0,00:00.0,100,1,30,61,45,123836,55382,37344,61392,11218,11061,4164,2183,,,,,
00:53.0,00:00.0,100,1,38,67,52,27646,32675,12154,20215,7167,6549,11793,3434,,,,,
00:54.0,00:00.0,100,1,48,75,61,35617,30770,16834,17032,8981,9012,4843,351,,,,,
00:55.0,00:00.0,100,1,47,93,70,35447,57777,11254,15190,5261,6811,2439,1490,,,,,
00:56.0,00:00.0,100,1,44,69,56,313004,139703,9235,10728,25046,8706,12940,2880,,,,,
00:57.0,00:00.0,100,1,50,61,55,12391,40949,11849,4415,6664,8414,3918,1485,,,,,
00:58.0,00:00.0,100,1,50,50,50,30137,57633,10013,10042,8998,10808,4342,2469,,,,,
00:59.0,00:00.0,100,1,53,61,57,151765,14998,20203,13066,8743,4960,2000,1324,,,,,
01:00.0,00:00.0,100,1,56,69,62,57460,21077,871,6313,5890,2277,884,887,,,,,
01:01.0,00:00.0,100,2,40,64,52,1294479,437712,51988,33557,29133,15605,10686,6963,,,,,
01:02.0,00:00.0,100,2,40,64,52,323560,108295,9741,23653,8585,19863,6152,1689,,,,,
