'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
38:10.0,00:00.0,100,2,47,63,55,938881,144563,7512,15789,16385,16092,9006,3183,,37277.56887,30833.94434,18616.07925,10504.93019
38:11.0,00:00.0,100,2,35,61,48,419926,133333,19414,24159,5356,4820,7914,3349,,,,,
38:12.0,00:00.0,100,2,38,48,43,71831,4211,1436,1174,1796,1228,366,504,,,,,
38:13.0,00:00.0,100,2,37,40,38,655976,6620,4567,573,3495,1693,2022,605,,,,,
38:14.0,00:00.0,100,2,30,43,36,87644,105373,6457,15796,1665,6865,4598,1960,,,,,
38:15.0,00:00.0,100,2,47,37,42,1116778,102935,10881,11458,8347,20557,5366,2703,,,,,
38:16.0,00:00.0,100,2,43,29,36,1607648,249592,34386,26198,42740,35781,34130,12509,,,,,
38:17.0,00:00.0,100,2,35,17,26,1440924,341184,31161,24575,21210,24656,19434,5230,,,,,
38:18.0,00:00.0,100,2,43,35,39,189128,20317,20164,18208,13408,6863,1846,1355,,,,,
38:19.0,00:00.0,100,2,37,53,45,938927,108471,33213,98908,23278,18763,10373,4288,,,,,
38:20.0,00:00.0,100,2,35,57,46,813237,133417,12436,40116,21526,16617,17197,9915,,,,,
38:21.0,00:00.0,100,2,38,74,56,353462,26568,7536,18336,3786,4089,2794,954,,,,,
38:22.0,00:00.0,100,2,27,53,40,593909,429380,30826,29197,23076,19449,21011,5099,,,,,
38:23.0,00:00.0,100,2,38,37,37,1159074,126813,20663,14690,18843,39410,6938,3182,,,,,
38:24.0,00:00.0,100,2,35,35,35,2515499,422059,23000,107892,51232,39504,24211,5167,,,,,
38:25.0,00:00.0,100,2,29,11,20,840428,300883,9724,14391,58746,13530,10972,4946,,,,,
38:26.0,00:00.0,100,2,30,14,22,1670992,240017,37706,19021,15037,16445,7529,4424,,,,,
38:27.0,00:00.0,100,1,27,7,17,1839138,66925,1830,5804,16808,14128,8788,4116,,,,,
38:28.0,00:00.0,100,1,29,11,20,2556100,75237,13021,28797,18979,10099,5127,10197,,,,,
38:29.0,00:00.0,100,2,37,48,42,75266,13253,36122,17709,6957,5675,1507,2547,,,,,
38:30.0,00:00.0,100,2,43,51,47,1149793,110351,9446,33408,19637,19560,10975,1540,,,,,
38:31.0,00:00.0,87,5,43,51,47,1396418,263684,80826,26109,93246,45826,13922,7199,,,,,
38:32.0,00:00.0,100,5,47,70,58,440103,13759,12461,5096,7237,7519,3208,1507,,,,,
38:33.0,00:00.0,100,2,48,69,58,925179,89068,41330,9414,35652,14419,14881,7073,,,,,
38:34.0,00:00.0,100,2,43,47,45,2873972,351591,58764,32592,63186,22270,28016,14140,,,,,
38:35.0,00:00.0,100,2,40,37,38,646146,574026,36504,36408,43929,50033,20479,8212,,,,,
38:36.0,00:00.0,100,2,38,27,32,1938396,358557,112001,21781,49360,100765,24451,6080,,,,,
38:37.0,00:00.0,100,3,37,24,30,662630,23222,1999,6475,5262,2844,1685,963,,,,,
38:38.0,00:00.0,100,3,48,35,41,728281,95902,63095,7926,22693,27834,9357,6578,,,,,
38:39.0,00:00.0,100,3,56,44,50,83100,25274,10583,5287,15767,9772,3877,1423,,,,,
38:40.0,00:00.0,100,3,53,61,57,222169,81717,146241,62815,42944,32765,16463,4623,,,,,
38:41.0,00:00.0,100,3,54,66,60,897581,67202,38919,13682,30687,12752,11143,9488,,,,,
38:42.0,00:00.0,100,2,51,67,59,484680,11413,4802,7464,7148,2634,3417,1187,,,,,
38:43.0,00:00.0,100,2,50,53,51,3459562,520908,37696,12422,90680,102229,20651,6496,,,,,
38:44.0,00:00.0,100,2,56,41,48,1323395,107961,7069,62179,24400,36983,19785,7845,,,,,
