'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
57:42.0,00:00.0,100,1,88,40,64,803478,128353,49645,71826,28087,39349,8162,2874,,15455.71124,12168.75388,8300.189922,3974.077519
57:43.0,00:00.0,100,1,69,43,56,736993,65050,16214,1421,9017,6215,7956,1057,,,,,
57:43.0,00:00.0,100,1,34,21,27,231611,1227837,35415,25319,22172,34315,20067,18114,,,,,
57:45.0,00:00.0,100,1,29,21,25,72465,26058,4715,4655,3304,4465,2208,1251,,,,,
57:45.0,00:00.0,100,1,17,11,14,683323,52149,9962,6345,16017,4790,4120,1368,,,,,
57:46.0,00:00.0,100,1,34,4,19,1083205,60214,3048,5180,13258,14083,2759,1312,,,,,
57:48.0,00:00.0,100,1,38,29,33,1678523,131490,24183,70988,22275,8799,6959,4755,,,,,
57:48.0,00:00.0,100,1,37,29,33,134067,104686,13039,28919,18162,14961,7410,2458,,,,,
57:49.0,00:00.0,100,1,48,40,44,166581,17354,7300,7520,3316,4310,1810,1334,,,,,
57:50.0,00:00.0,100,1,51,54,52,32355,38978,11550,25873,19219,19614,21606,8670,,,,,
57:51.0,00:00.0,100,1,80,61,70,53392,7286,24141,8061,12656,8371,8994,2136,,,,,
57:52.0,00:00.0,100,1,70,63,66,64404,43149,11157,9516,8948,3988,2633,1337,,,,,
57:53.0,00:00.0,100,1,64,67,65,30352,35024,17087,28058,7041,7008,9066,4241,,,,,
57:55.0,00:00.0,100,1,37,83,60,41454,19107,53609,6894,5366,3356,9255,1947,,,,,
57:56.0,00:00.0,100,1,43,75,59,35865,24267,11124,9489,5005,14618,7831,3844,,,,,
57:57.0,00:00.0,100,1,53,91,72,40743,12944,35828,25772,5392,9741,4382,3840,,,,,
57:58.0,00:00.0,100,1,60,81,70,30598,59117,13985,10968,9979,10285,7860,3227,,,,,
57:58.0,00:00.0,100,1,70,69,69,35761,46542,31991,7386,6186,8152,8746,5573,,,,,
58:00.0,00:00.0,100,1,61,77,69,30997,31766,21936,29893,6339,14821,9307,3901,,,,,
58:00.0,00:00.0,100,1,75,66,70,71768,12313,2759,34770,15726,15075,7428,2555,,,,,
58:01.0,00:00.0,100,1,81,77,79,7476,18071,11193,19690,7583,8819,8078,1148,,,,,
58:02.0,00:00.0,100,1,84,80,82,43136,21125,5110,31177,16722,6799,7923,2802,,,,,
58:03.0,00:00.0,100,1,74,70,72,17120,41200,4519,22981,11730,5698,5385,3688,,,,,
58:04.0,00:00.0,100,1,64,70,67,92352,16963,12163,29041,19753,10722,7740,3676,,,,,
58:05.0,00:00.0,100,1,57,75,66,66976,33596,10626,79742,24677,18125,4679,5132,,,,,
58:06.0,00:00.0,100,1,75,67,71,43697,69053,43072,14767,15170,44540,6321,4079,,,,,
58:07.0,00:00.0,100,1,87,67,77,57410,33521,24083,12221,29223,11348,20728,1413,,,,,
58:08.0,00:00.0,100,1,67,69,68,20210,24301,31291,12862,10762,4072,8245,4932,,,,,
58:09.0,00:00.0,100,1,61,61,61,29476,61987,27098,15446,12983,9333,10224,2306,,,,,
58:11.0,00:00.0,100,1,56,63,59,21945,16714,8874,12031,12672,9097,12500,3775,,,,,
58:11.0,00:00.0,100,1,40,75,57,65574,31414,55813,9757,14238,5599,11481,2678,,,,,
58:12.0,00:00.0,100,1,70,67,68,39766,14893,14764,10698,11340,18774,9655,2194,,,,,
58:14.0,00:00.0,100,1,51,47,49,820399,446918,4001,13811,12934,8506,5484,4747,,,,,
58:14.0,00:00.0,100,1,41,44,42,147082,59681,22682,12779,17682,11451,6436,2534,,,,,
58:16.0,00:00.0,100,1,53,30,41,846283,23964,9885,3065,9989,3937,7368,4261,,,,,
