'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
53:41.0,00:00.0,100,4,57,77,67,1795233,303416,130868,54869,45803,28255,7963,3301,,17749.20462,14352.9234,6665.439664,3521.156348
53:42.0,00:00.0,87,5,57,77,67,627645,27125,4140,3542,6378,7187,1106,318,,,,,
53:43.0,00:00.0,87,5,57,77,67,411505,452935,20291,91520,90244,109868,13323,8327,,17749.20462,,,
53:44.0,00:00.0,74,5,57,77,67,450682,48095,9444,3127,6741,5812,1001,735,,332546,,,
53:45.0,00:00.0,100,5,64,91,77,1100515,19957,26080,25976,11779,23646,3606,1138,,250,,,
53:46.0,00:00.0,100,1,63,100,81,1907340,51233,34254,26749,26501,10023,5165,990,,,,,
53:47.0,00:00.0,100,1,77,91,84,24032,16491,2886,8848,15706,8856,8235,681,,,,,
53:48.0,00:00.0,100,1,78,100,89,35860,29276,6898,32093,7280,5187,4071,3065,,,,,
53:49.0,00:00.0,100,2,70,100,85,240518,26875,21908,10375,1886,6881,2503,2268,,,,,
53:50.0,00:00.0,100,3,70,80,75,1139437,368139,4166,50868,49249,33697,7170,1266,,,,,
53:51.0,00:00.0,100,2,61,84,72,2034273,129117,61847,16410,21593,13370,5071,2909,,,,,
53:52.0,00:00.0,87,3,61,84,72,839717,65474,8982,46502,48989,33971,5155,4640,,,,,
53:53.0,00:00.0,87,3,61,84,72,650494,78306,4464,13018,8054,7244,1929,585,,,,,
53:54.0,00:00.0,87,3,61,84,72,999020,383164,58128,28272,59396,59808,4813,5925,,,,,
53:55.0,00:00.0,87,3,61,84,72,738773,334609,59594,32549,10856,7500,4693,13630,,,,,
53:56.0,00:00.0,100,3,61,64,62,1680603,444711,45256,31421,23222,40517,4306,2575,,,,,
53:57.0,00:00.0,100,2,47,47,47,1128298,413160,66337,21676,12721,6698,4322,1544,,,,,
53:58.0,00:00.0,100,2,48,50,49,256261,73112,2950,11226,4492,8439,1858,419,,,,,
53:59.0,00:00.0,74,5,48,50,49,1330428,29497,12142,7875,6671,10188,1147,744,,,,,
54:00.0,00:00.0,100,5,43,47,45,1920409,416306,111406,38210,18032,16470,29147,6826,,,,,
54:01.0,00:00.0,100,5,47,67,57,82958,13185,17604,7509,7102,5798,6606,3613,,,,,
54:02.0,00:00.0,100,5,56,75,65,356018,164387,7432,56891,19925,12242,23418,17948,,,,,
54:03.0,00:00.0,100,2,53,87,70,1233865,96326,54897,8822,39063,8530,3723,984,,,,,
54:04.0,00:00.0,100,2,61,84,72,483298,88731,15982,20471,18085,16045,623,558,,,,,
54:05.0,00:00.0,100,2,60,70,65,1600964,686580,184836,58980,56811,108529,29717,7011,,,,,
54:06.0,00:00.0,100,2,63,64,63,925330,40377,4541,3924,3560,4086,1654,1065,,,,,
54:07.0,00:00.0,100,2,64,51,57,900502,69410,3453,10080,12110,6386,4763,3453,,,,,
54:08.0,00:00.0,100,2,64,48,56,62357,34551,4181,6025,5694,5608,16164,2884,,,,,
54:09.0,00:00.0,100,2,56,38,47,561373,725771,37637,59037,29129,28556,6420,3733,,,,,
54:10.0,00:00.0,100,2,60,40,50,223021,4616,412,980,535,815,238,656,,,,,
54:11.0,00:00.0,100,2,69,54,61,6885,7231,1006,9243,7025,5322,4420,1281,,,,,
54:12.0,00:00.0,100,2,66,54,60,122459,51090,5200,8637,4565,5586,888,1322,,,,,
54:13.0,00:00.0,100,2,66,67,66,367664,39840,13064,4343,11153,2178,692,796,,,,,
54:14.0,00:00.0,100,2,69,77,73,46166,22870,7009,17017,14220,9849,3363,2692,,,,,
54:15.0,00:00.0,100,2,66,80,73,33843,15159,14501,4233,6575,5908,2731,5496,,,,,
54:16.0,00:00.0,100,2,74,87,80,618583,28056,13907,5716,10254,9379,8335,3425,,,,,
54:17.0,00:00.0,100,2,75,84,79,876803,107531,19871,17627,13699,7778,4074,5962,,,,,
54:18.0,00:00.0,100,2,60,61,60,120000,282630,3678,17125,6329,6400,2939,2965,,,,,
54:19.0,00:00.0,100,2,54,43,48,13270,65559,5342,8869,22900,6557,5914,3283,,,,,
54:20.0,00:00.0,100,2,44,30,37,166098,146141,10696,15001,18876,8835,3603,2621,,,,,
54:21.0,00:00.0,100,2,61,40,50,10208,1192,8841,2929,10575,7225,4187,2554,,,,,
