'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
10:54.0,00:00.0,100,2,51,83,67,3735,37862,16198,19612,19676,9184,2435,2278,,15900.97254,13990.84211,9002.395881,4737.524027
10:55.0,00:00.0,100,2,48,78,63,74809,29101,20022,3526,12672,4703,4250,1666,,,,,
10:56.0,00:00.0,100,2,43,67,55,217120,80300,9181,32173,10164,15962,11108,2581,,,,,
10:57.0,00:00.0,100,2,40,63,51,130193,152425,22580,36408,12933,14845,19714,1839,,,,,
10:58.0,00:00.0,100,2,29,60,44,2362291,302838,85540,32749,30819,15887,8005,3425,,,,,
10:59.0,00:00.0,100,2,23,61,42,156167,15570,8643,4029,2314,1278,1438,357,,,,,
11:00.0,00:00.0,100,2,34,56,45,27833,9535,4698,2251,13094,7876,4221,1779,,,,,
11:01.0,00:00.0,100,2,40,51,45,572240,38084,10892,11006,47407,9822,13386,4027,,,,,
11:02.0,00:00.0,100,2,57,61,59,9685,15939,21413,18842,5047,16936,3106,2097,,,,,
11:03.0,00:00.0,100,2,67,60,63,10162,38140,22291,8017,11906,11000,8104,1582,,,,,
11:04.0,00:00.0,100,2,60,48,54,96466,43647,1822,1843,5729,9096,3851,1886,,,,,
11:05.0,00:00.0,100,2,51,43,47,136645,40056,5073,964,1658,2396,1238,798,,,,,
11:06.0,00:00.0,100,2,48,38,43,32412,12243,3619,8784,5763,6060,6853,2407,,,,,
11:07.0,00:00.0,100,2,61,30,45,15986,9314,3001,5394,10964,12351,6305,1241,,,,,
11:08.0,00:00.0,100,2,67,57,62,13164,4362,14607,9498,5293,12228,3853,2988,,,,,
11:09.0,00:00.0,100,2,81,69,75,49817,36049,9261,26237,8582,18364,3040,2360,,,,,
11:10.0,00:00.0,100,2,81,69,75,16799,18369,2380,18421,12824,8730,4324,1911,,,,,
11:11.0,00:00.0,100,2,60,77,68,62058,15314,8853,2892,2625,1630,1796,719,,,,,
11:12.0,00:00.0,100,2,43,61,52,71547,19637,3069,1184,1869,1379,1502,285,,,,,
11:13.0,00:00.0,100,2,38,61,49,70849,9277,4905,3089,2221,2378,3069,714,,,,,
11:14.0,00:00.0,100,2,41,57,49,30626,18131,8583,7172,12989,12392,8132,1852,,,,,
11:15.0,00:00.0,100,2,54,53,53,29705,32211,2073,16206,13277,15203,5311,3108,,,,,
11:16.0,00:00.0,100,2,74,56,65,10326,26917,8856,7755,12022,20645,6874,3126,,,,,
11:17.0,00:00.0,100,2,75,50,62,43170,56628,8393,12321,8158,12846,7461,1832,,,,,
11:18.0,00:00.0,100,2,70,50,60,195331,31938,12236,8280,12749,11492,5959,3310,,,,,
11:19.0,00:00.0,100,2,69,48,58,188337,58373,15140,10778,33209,19595,23067,3560,,,,,
11:20.0,00:00.0,100,2,60,54,57,253447,17208,12015,3092,1499,5265,7252,3080,,,,,
11:21.0,00:00.0,100,1,44,51,47,1880551,1341289,190842,91840,52420,39720,78764,41896,,,,,
11:22.0,00:00.0,100,1,38,43,40,472386,163440,2445,28189,41994,18848,30513,12812,,,,,
11:23.0,00:00.0,100,1,30,47,38,68951,33495,6230,7391,3589,4942,1497,1572,,,,,
11:24.0,00:00.0,100,1,34,47,40,228201,27024,15251,13963,6348,12116,15401,7394,,,,,
11:25.0,00:00.0,100,1,43,50,46,103635,61359,22705,4571,10377,7189,2884,1162,,,,,
11:26.0,00:00.0,100,1,44,64,54,10534,36691,12837,20132,7466,8729,4051,2219,,,,,
11:27.0,00:00.0,100,1,48,74,61,22067,21355,14832,10348,4704,6685,2791,3105,,,,,
11:28.0,00:00.0,100,1,48,75,61,69931,37544,43538,7853,8124,17770,12671,9608,,,,,
11:29.0,00:00.0,100,1,48,67,57,79681,97199,10049,8390,10543,9219,6910,4882,,,,,
11:30.0,00:00.0,100,1,43,50,46,220115,437860,19748,24506,7998,33777,10010,2987,,,,,
11:31.0,00:00.0,100,1,44,47,45,658782,86379,18113,60892,35782,32341,20318,3381,,,,,
11:32.0,00:00.0,100,1,37,34,35,531200,177645,31178,9413,8889,17022,13015,6975,,,,,
11:33.0,00:00.0,100,1,41,43,42,27866,54593,20550,18217,20715,12236,9733,11723,,,,,
11:34.0,00:00.0,100,1,44,63,53,25161,54732,24122,35669,4675,13200,6748,5447,,,,,
11:35.0,00:00.0,100,1,40,63,51,79470,10160,4083,2329,799,1763,837,1366,,,,,
11:36.0,00:00.0,100,1,47,69,58,8119,28581,8252,8512,6473,8591,6801,4727,,,,,
11:37.0,00:00.0,100,1,47,64,55,692666,101890,22097,18372,38127,18798,6021,3749,,,,,
11:38.0,00:00.0,100,1,50,67,58,21897,13387,10326,21480,5004,7423,2950,3290,,,,,
11:39.0,00:00.0,100,1,51,77,64,10488,12649,26358,11274,8437,6289,6133,2062,,,,,
11:40.0,00:00.0,100,1,51,84,67,21207,16634,15088,17259,9820,8591,4518,3672,,,,,
11:41.0,00:00.0,100,1,56,88,72,17629,23391,10676,5458,12551,8799,9066,1292,,,,,
11:42.0,00:00.0,100,1,51,78,64,70259,17920,4558,3871,2295,2268,1865,718,,,,,
11:43.0,00:00.0,100,1,48,69,58,113874,61574,30149,13145,2806,8820,3291,1049,,,,,
11:44.0,00:00.0,100,1,51,57,54,11202,34383,3244,9507,11070,10465,1193,1701,,,,,
11:45.0,00:00.0,100,1,44,63,53,166721,54970,42306,11944,12111,11511,4637,1861,,,,,
11:46.0,00:00.0,100,1,56,69,62,19722,7378,10762,3761,2526,6497,8102,2036,,,,,
11:47.0,00:00.0,100,1,51,54,52,187653,60443,2030,6515,4876,3640,512,500,,,,,
11:48.0,00:00.0,100,1,53,63,58,12837,19793,16614,6216,15410,11757,6374,1371,,,,,
11:49.0,00:00.0,100,1,57,54,55,27326,32998,5009,10203,15500,8686,4578,4770,,,,,
11:50.0,00:00.0,100,1,60,51,55,24202,4623,5974,5407,9660,5138,6175,2349,,,,,
11:51.0,00:00.0,100,1,77,63,70,11865,17217,15092,3577,4797,13567,6658,2489,,,,,
11:52.0,00:00.0,100,1,56,50,53,116034,56611,4961,1812,4064,1671,846,796,,,,,
11:53.0,00:00.0,100,1,53,50,51,69570,46989,15244,6699,16810,10133,4304,1877,,,,,
11:54.0,00:00.0,100,1,53,51,52,38636,16431,13357,14353,4381,13700,5674,1291,,,,,
11:55.0,00:00.0,100,1,34,41,37,281564,275686,12685,41968,8625,12578,6992,4044,,,,,
11:56.0,00:00.0,100,1,47,54,50,52866,93958,9073,44689,5526,18205,7243,3948,,,,,
11:57.0,00:00.0,100,1,40,64,52,378194,62505,19213,53430,23286,8799,13881,3830,,,,,
11:58.0,00:00.0,100,1,34,61,47,28106,47851,34598,8522,20902,13464,20245,1290,,,,,
11:59.0,00:00.0,100,1,51,70,60,39662,25152,10984,18171,9549,18019,9248,2667,,,,,
12:00.0,00:00.0,100,1,48,69,58,66181,20568,5934,2810,2909,2324,1885,743,,,,,
12:01.0,00:00.0,100,1,63,54,58,9917,16558,3385,2004,8658,7633,15271,1962,,,,,
12:02.0,00:00.0,100,1,74,51,62,3221,6305,2852,5215,7725,6706,5161,1615,,,,,
12:03.0,00:00.0,100,1,70,50,60,9998,12117,14777,1769,20015,7061,9430,2190,,,,,
12:04.0,00:00.0,100,1,80,50,65,26019,16053,5002,6342,11514,7095,8436,2486,,,,,
12:05.0,00:00.0,100,1,70,54,62,29956,42394,11657,3772,4390,7587,4644,1233,,,,,
12:06.0,00:00.0,100,1,61,53,57,87236,13232,1258,3532,2298,2158,1048,765,,,,,
12:07.0,00:00.0,100,1,61,51,56,479744,32408,4966,14920,6034,13807,5229,2253,,,,,
12:08.0,00:00.0,100,1,60,53,56,19123,38150,13494,11505,13930,12575,10109,3527,,,,,
12:09.0,00:00.0,100,1,64,60,62,4382,17396,9760,9755,2927,8409,7227,1634,,,,,
12:10.0,00:00.0,100,1,70,67,68,78036,6950,4359,3924,1464,4813,2159,467,,,,,
12:11.0,00:00.0,100,1,66,78,72,12426,4736,13257,16913,16054,4668,8054,1871,,,,,
12:12.0,00:00.0,100,1,60,78,69,83032,99564,18723,32898,12506,14110,5319,3474,,,,,
12:13.0,00:00.0,100,1,57,67,62,17731,36089,5771,4358,2348,9905,9878,2197,,,,,
12:14.0,00:00.0,100,1,53,57,55,9540,22995,7667,2183,12686,7145,4272,2194,,,,,
12:15.0,00:00.0,100,1,56,44,50,37280,41897,10798,6452,4717,11003,12530,2500,,,,,
