'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
38:08.0,00:00.0,100,2,57,47,52,780579,71178,75607,51759,100274,74815,5303,4676,,19544.57678,12583.02341,5530.86985,2886.846442
38:09.0,00:00.0,100,2,56,20,38,90106,332270,24966,13311,57255,49823,10169,5043,,,,,
38:10.0,00:00.0,87,2,56,20,38,1248350,51788,19643,15457,3931,13570,1608,638,,,,,
38:11.0,00:00.0,100,2,70,24,47,14282,17804,5019,3396,14109,7305,3170,3733,,,,,
38:12.0,00:00.0,100,2,83,40,61,4704,12987,23005,9400,3503,15335,3223,1635,,,,,
38:13.0,00:00.0,100,2,81,37,59,20538,44390,8131,22325,9514,25768,3703,2022,,,,,
38:14.0,00:00.0,100,2,90,47,68,6905,36269,11985,6413,29979,16651,9872,2985,,,,,
38:15.0,00:00.0,100,2,64,64,64,381505,142744,136519,73383,13815,8491,8681,1462,,,,,
38:16.0,00:00.0,100,2,47,50,48,107175,56427,8151,9335,6623,3994,632,1180,,,,,
38:17.0,00:00.0,100,2,29,54,41,653345,13971,4093,6166,1725,1426,1333,386,,,,,
38:18.0,00:00.0,100,2,16,78,47,87510,20141,39995,17804,9170,6436,4753,2607,,,,,
38:19.0,00:00.0,100,2,40,64,52,5851,21861,5821,8137,4838,9231,3497,1265,,,,,
38:20.0,00:00.0,100,2,54,80,67,29023,24533,15007,20562,6032,13515,3361,1157,,,,,
38:21.0,00:00.0,100,2,64,90,77,13590,18507,52615,8274,7048,14173,10077,2737,,,,,
38:22.0,00:00.0,100,2,75,84,79,29518,18108,22562,12205,5383,11441,3013,1594,,,,,
38:23.0,00:00.0,100,2,61,88,74,67366,154166,29698,65303,13226,18652,7228,2585,,,,,
38:24.0,00:00.0,100,2,51,84,67,32615,55763,37031,13191,9293,7785,3743,1361,,,,,
38:25.0,00:00.0,100,2,50,74,62,39617,20274,9844,7197,9657,5424,3744,802,,,,,
38:26.0,00:00.0,100,2,44,54,49,34050,22673,2430,5187,5480,4210,666,401,,,,,
38:27.0,00:00.0,100,2,40,60,50,43446,85233,33518,39397,9406,7016,2694,1089,,,,,
38:28.0,00:00.0,100,2,50,56,53,1439713,30303,26946,18534,33527,17995,1714,1289,,,,,
38:29.0,00:00.0,100,2,40,51,45,1702102,174114,29311,58359,77497,11946,8191,1866,,,,,
38:30.0,00:00.0,100,2,27,60,43,37480,74846,32075,23858,27608,6288,3339,3498,,,,,
38:31.0,00:00.0,100,2,44,60,52,28741,28772,22497,10521,7141,16143,3346,1408,,,,,
38:32.0,00:00.0,100,2,30,56,43,428699,155595,40946,55660,49799,16100,5087,2268,,,,,
38:33.0,00:00.0,100,2,35,57,46,410950,389271,50425,91258,30145,34841,6043,1091,,,,,
38:34.0,00:00.0,100,2,37,61,49,108212,90395,52855,29960,17205,9877,5982,877,,,,,
38:35.0,00:00.0,100,2,29,60,44,485929,35026,14535,25463,20933,9504,5894,1638,,,,,
38:36.0,00:00.0,100,2,47,51,49,14306,16403,6839,2187,15039,7798,4524,1492,,,,,
38:37.0,00:00.0,100,2,56,56,56,3791,19117,8196,6883,6235,5297,1840,1186,,,,,
38:38.0,00:00.0,100,2,60,40,50,121923,232808,35245,7173,15458,25365,3764,2877,,,,,
38:39.0,00:00.0,100,2,67,34,50,334780,250062,56503,279738,543732,173009,52906,7890,,,,,
38:40.0,00:00.0,100,3,51,35,43,1205301,121449,18677,20423,13874,9520,3293,981,,,,,
38:41.0,00:00.0,100,3,37,37,37,464496,55080,19553,20439,6191,3216,1230,2798,,,,,
38:42.0,00:00.0,100,3,38,61,49,231751,55735,64328,43090,13944,15991,8005,1982,,,,,
38:43.0,00:00.0,100,3,24,60,42,1016617,171594,41127,15680,15044,15741,1575,3189,,,,,
38:44.0,00:00.0,100,2,29,77,53,187722,11701,22536,4367,4977,3903,1373,700,,,,,
38:45.0,00:00.0,100,2,41,75,58,492629,79369,39150,25805,28672,16244,3868,3886,,,,,
38:46.0,00:00.0,100,2,38,61,49,861864,162376,51278,21275,15120,18200,2543,1957,,,,,
38:47.0,00:00.0,100,2,40,60,50,393497,45968,3510,11788,13430,5530,5297,1576,,,,,
38:48.0,00:00.0,100,2,43,53,48,146114,34194,8397,26220,7692,9891,4052,878,,,,,
38:49.0,00:00.0,100,2,30,48,39,1518259,119067,33112,12194,14783,6512,9608,3627,,,,,
38:50.0,00:00.0,100,2,38,57,47,12218,18890,3358,30321,8016,7179,2606,3608,,,,,
38:51.0,00:00.0,100,2,40,67,53,403926,6419,669,4634,2058,1208,388,118,,,,,
38:52.0,00:00.0,100,2,43,63,53,44807,48809,14138,14494,2279,13510,1641,1308,,,,,
38:53.0,00:00.0,100,2,48,67,57,229841,79508,52747,17191,39493,10083,3062,677,,,,,
38:54.0,00:00.0,100,2,37,50,43,39763,57996,9786,5539,8895,3252,1933,3972,,,,,
38:55.0,00:00.0,100,2,38,50,44,81790,41729,10870,18428,6146,8372,2944,3378,,,,,
38:56.0,00:00.0,100,2,40,54,47,76029,12163,4388,10104,6322,5418,4998,1474,,,,,
38:57.0,00:00.0,100,2,50,40,45,77936,54520,8524,2282,1371,11760,2052,1480,,,,,
38:58.0,00:00.0,100,2,56,50,53,373917,249648,125981,17240,5535,34625,4663,5180,,,,,
38:59.0,00:00.0,100,2,43,60,51,2076745,70821,31125,113148,28463,7422,6939,1102,,,,,
39:00.0,00:00.0,100,2,30,75,52,176431,30837,14915,90471,7822,7590,1846,1219,,,,,
39:01.0,00:00.0,100,2,21,90,55,92316,73023,32351,16366,7299,8009,7136,1312,,,,,
39:02.0,00:00.0,100,2,24,83,53,274315,120106,28855,20226,14633,21642,7172,866,,,,,
39:03.0,00:00.0,100,2,43,74,58,19933,17159,3556,18911,10623,8013,3587,1920,,,,,
39:04.0,00:00.0,100,2,53,53,53,952403,157887,88494,13105,81070,39984,11747,9073,,,,,
39:05.0,00:00.0,100,2,61,56,58,429103,6783,3883,8569,7203,3213,4858,2068,,,,,
39:06.0,00:00.0,100,2,44,54,49,120765,207991,9314,46432,12412,6262,5122,2432,,,,,
39:07.0,00:00.0,100,2,27,43,35,1910432,282669,26077,38143,31463,13463,14491,2576,,,,,
39:08.0,00:00.0,100,2,30,43,36,47267,42630,7291,15339,6020,14173,3122,1589,,,,,
39:09.0,00:00.0,100,2,26,37,31,213302,154746,28773,40897,15029,22343,25269,5229,,,,,
39:10.0,00:00.0,100,2,23,34,28,489400,84773,11201,6064,5573,1695,2040,1182,,,,,
39:11.0,00:00.0,100,2,34,50,42,45120,15632,19517,24615,19147,7162,2247,1006,,,,,
39:12.0,00:00.0,100,2,26,54,40,44792,51978,25695,9212,2960,7871,1939,1704,,,,,
39:13.0,00:00.0,100,2,30,70,50,18901,10974,13152,28426,6518,7865,5033,2596,,,,,
39:14.0,00:00.0,100,2,53,88,70,53436,21038,14558,25283,20963,8909,3908,2823,,,,,
39:15.0,00:00.0,100,2,53,87,70,14488,30492,47026,1283,12840,8663,2616,503,,,,,
39:16.0,00:00.0,100,2,70,80,75,10689,20311,7669,5857,8694,22084,2375,1595,,,,,
39:17.0,00:00.0,100,2,70,70,70,22307,49436,45182,13314,5429,17624,2855,2192,,,,,
39:18.0,00:00.0,100,2,61,60,60,87530,78104,15830,7367,5735,5977,2404,1344,,,,,
39:19.0,00:00.0,100,2,66,64,65,6185,7310,33644,5541,8874,9031,3564,841,,,,,
39:20.0,00:00.0,100,2,51,74,62,106806,49151,10633,27241,10207,11890,3134,2094,,,,,
39:21.0,00:00.0,100,2,51,44,47,164405,32471,1649,1813,12575,5511,639,1242,,,,,
39:22.0,00:00.0,100,2,51,50,50,163488,95556,32425,35798,46908,9573,4722,1992,,,,,
39:23.0,00:00.0,100,2,41,34,37,54605,92843,1921,29181,2534,8148,4848,997,,,,,
39:24.0,00:00.0,100,2,40,35,37,538233,79688,50229,23018,8827,16485,2904,2605,,,,,
39:25.0,00:00.0,100,2,27,41,34,255714,174951,11779,16827,59177,9722,1873,917,,,,,
39:26.0,00:00.0,100,2,30,51,40,29101,30984,32549,17298,8426,7537,3619,2228,,,,,
39:27.0,00:00.0,100,2,35,53,44,484514,61602,19115,21108,30786,8892,2117,1823,,,,,
39:28.0,00:00.0,100,2,35,51,43,508766,74040,29620,42635,33821,14746,3232,1525,,,,,
39:29.0,00:00.0,100,2,34,48,41,1799410,794221,16566,80840,219907,40135,17110,5773,,,,,
39:30.0,00:00.0,100,2,38,37,37,54077,36521,4407,28878,34779,10640,7407,2296,,,,,
39:31.0,00:00.0,100,2,43,43,43,10156,24788,12249,15078,6678,7533,1039,972,,,,,
39:32.0,00:00.0,100,2,43,44,43,62186,32257,13043,16933,3732,6841,3055,870,,,,,
39:33.0,00:00.0,100,2,63,69,66,2918,8561,13025,12582,15942,11710,3488,1715,,,,,
39:34.0,00:00.0,100,2,70,61,65,16537,28462,1402,8401,4833,13261,3941,1562,,,,,
39:35.0,00:00.0,100,2,80,61,70,6100,11107,9734,8729,7975,10453,2033,971,,,,,
39:36.0,00:00.0,100,2,80,64,72,10469,21326,12455,26637,9336,6317,3558,2302,,,,,
39:37.0,00:00.0,100,2,57,53,55,5500,202785,25742,24493,5397,9491,2503,1334,,,,,
39:38.0,00:00.0,100,2,53,64,58,4845,35848,46899,1475,17577,15712,1536,1732,,,,,
39:39.0,00:00.0,100,2,47,56,51,11415,34401,10644,5503,9937,11181,2686,1595,,,,,
39:40.0,00:00.0,100,2,47,43,45,45457,64992,21966,5104,8608,8343,1734,3003,,,,,
39:41.0,00:00.0,100,2,61,50,55,20057,21874,10014,4272,6296,6141,3380,2314,,,,,
39:42.0,00:00.0,100,2,61,44,52,7047,23688,7163,9994,12747,8056,8468,7889,,,,,
39:43.0,00:00.0,100,2,56,56,56,418083,34386,28910,4497,2474,8432,15081,6174,,,,,
39:44.0,00:00.0,100,2,53,61,57,17578,84009,13020,36808,11721,9820,3077,4158,,,,,
39:45.0,00:00.0,100,2,56,57,56,9707,24346,8846,6667,18059,8025,2691,1458,,,,,
39:46.0,00:00.0,100,2,56,63,59,11894,10994,11782,8532,10130,7668,8179,1792,,,,,
39:47.0,00:00.0,100,2,60,51,55,3319,36308,11014,3928,14981,8337,4513,1310,,,,,
39:48.0,00:00.0,100,2,54,40,47,639059,224580,32571,13310,6323,11342,8069,6372,,,,,
39:49.0,00:00.0,100,2,53,41,47,680526,74646,27293,19781,20249,21506,8660,3449,,,,,
39:50.0,00:00.0,100,2,38,30,34,106789,73684,14448,7089,6016,4375,2429,920,,,,,
39:51.0,00:00.0,100,2,41,38,39,70953,15492,5820,16321,22024,8388,8787,1628,,,,,
39:52.0,00:00.0,100,2,54,44,49,166939,39850,12441,11036,11594,11345,4885,2069,,,,,
39:53.0,00:00.0,100,2,48,40,44,13100,64690,12263,8655,6592,6964,6810,2073,,,,,
39:54.0,00:00.0,100,2,56,40,48,95402,43703,6314,9952,16815,7274,8022,3618,,,,,
39:55.0,00:00.0,100,2,44,40,42,407998,69314,22453,23295,14965,7195,6730,2278,,,,,
39:56.0,00:00.0,100,2,41,50,45,23583,33378,15178,23207,9328,8813,2516,1510,,,,,
39:57.0,00:00.0,100,2,37,67,52,30213,42176,54456,11155,10938,6110,3971,2398,,,,,
39:58.0,00:00.0,100,2,27,78,52,433768,41996,7383,38254,33227,4241,3357,2025,,,,,
39:59.0,00:00.0,100,2,29,77,53,95049,94751,28012,17709,7016,11119,3217,2454,,,,,
40:00.0,00:00.0,100,2,29,56,42,615552,1915065,45198,314517,195601,316703,10405,4092,,,,,
40:01.0,00:00.0,100,2,35,43,39,730559,159543,54461,24903,34145,19090,5163,5251,,,,,
40:02.0,00:00.0,100,2,40,47,43,108856,20112,12898,10375,3671,3610,2158,1224,,,,,
40:03.0,00:00.0,100,2,47,53,50,374729,35498,16895,14578,2149,9597,2396,1917,,,,,
40:04.0,00:00.0,100,2,50,78,64,22299,22011,33524,30810,17554,16374,7588,1038,,,,,
40:05.0,00:00.0,100,2,57,78,67,63490,38221,3941,19935,8360,12564,6947,2335,,,,,
40:06.0,00:00.0,100,2,64,77,70,55828,21819,4759,19726,5921,7855,2725,1953,,,,,
40:07.0,00:00.0,100,2,51,70,60,109599,79060,39426,3789,8825,3870,5189,916,,,,,
40:08.0,00:00.0,100,2,40,70,55,40489,56007,102412,9402,14330,11867,2097,767,,,,,
40:09.0,00:00.0,100,2,29,77,53,17002,73151,52154,4493,14753,8321,3075,1701,,,,,
40:10.0,00:00.0,100,3,21,57,39,828100,154783,3184,19447,12097,12307,1971,1755,,,,,
40:11.0,00:00.0,100,3,35,56,45,354574,37105,11175,13565,14658,9148,1025,878,,,,,
40:12.0,00:00.0,100,3,24,56,40,256019,51429,31604,39952,6244,3282,1922,1549,,,,,
40:13.0,00:00.0,100,4,10,35,22,1777266,325173,6897,26899,5681,5178,1805,935,,,,,
