'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
57:43.0,00:00.0,100,2,43,57,50,14296,25231,30465,4269,6095,13599,3045,1815,,14927.00399,10572.42116,5221.393214,2629.764471
57:44.0,00:00.0,100,2,53,48,50,15543,24702,8021,6457,9625,15722,4951,5159,,,,,
57:45.0,00:00.0,100,2,44,61,52,125864,149454,14000,59749,8922,11084,4088,2716,,,,,
57:46.0,00:00.0,100,2,38,48,43,117838,112449,17251,7460,21522,6069,2196,1401,,,,,
57:47.0,00:00.0,100,2,48,41,44,6832,9799,5003,7548,3142,16230,4171,3157,,,,,
57:48.0,00:00.0,100,2,43,43,43,53293,34927,6949,13501,9530,13760,6138,2500,,,,,
57:49.0,00:00.0,100,2,51,29,40,197484,59647,653,8541,6700,9592,2796,811,,,,,
57:50.0,00:00.0,100,2,54,40,47,136227,18158,5491,8577,7977,1794,2620,1461,,,,,
57:51.0,00:00.0,100,2,44,40,42,65450,9942,6523,4288,8176,4906,8320,4469,,,,,
57:52.0,00:00.0,100,2,38,44,41,38361,26929,14491,11315,14720,6479,4367,1297,,,,,
57:53.0,00:00.0,100,2,37,66,51,287168,61070,80190,38409,37095,16577,11341,6893,,,,,
57:54.0,00:00.0,100,2,41,74,57,19991,20653,19464,23553,16623,7140,3972,2883,,,,,
57:55.0,00:00.0,100,2,41,69,55,13590,41303,9955,27686,49092,16274,3969,1040,,,,,
57:56.0,00:00.0,100,2,41,60,50,10962,49132,9406,4298,7999,8909,1829,1492,,,,,
57:57.0,00:00.0,100,2,41,51,46,8726,45883,12829,17456,21428,7443,2089,1116,,,,,
57:58.0,00:00.0,100,2,41,48,44,32271,21435,11762,25384,23254,7086,1874,1364,,,,,
57:59.0,00:00.0,100,2,34,53,43,6583,31168,23467,6245,14368,4960,622,1722,,,,,
58:00.0,00:00.0,100,2,26,69,47,15869,30165,4717,34337,3171,4110,2364,1214,,,,,
58:01.0,00:00.0,100,2,35,75,55,18358,10844,8238,17770,14099,10069,1168,1661,,,,,
58:02.0,00:00.0,100,2,43,67,55,67847,18417,2556,11278,5849,9613,3540,1120,,,,,
58:03.0,00:00.0,100,2,50,63,56,20025,38959,15263,5028,9631,11168,2242,1057,,,,,
58:04.0,00:00.0,100,2,50,67,58,39291,27277,42351,39976,15571,6541,2767,1633,,,,,
58:05.0,00:00.0,100,2,44,51,47,358191,23887,2201,2069,3566,4325,1920,1170,,,,,
58:06.0,00:00.0,100,2,37,64,50,20390,27327,24438,37194,11985,8440,17492,6602,,,,,
58:07.0,00:00.0,100,2,26,75,50,30558,25083,23966,17144,12467,3931,4537,2178,,,,,
58:08.0,00:00.0,100,2,37,77,57,35303,8724,34627,5744,3831,7214,4126,1904,,,,,
58:09.0,00:00.0,100,2,35,100,67,17926,14922,32382,22268,9098,10531,4133,2328,,,,,
58:10.0,00:00.0,100,2,38,94,66,32376,24417,37453,6360,19476,10942,3471,3747,,,,,
58:11.0,00:00.0,100,2,40,90,65,483834,74488,25405,45439,22349,10497,1436,2128,,,,,
58:12.0,00:00.0,100,2,48,70,59,49327,38279,13050,6092,9673,25176,2875,687,,,,,
58:13.0,00:00.0,100,2,44,64,54,16503,15845,22850,5364,15948,4156,2868,1979,,,,,
58:14.0,00:00.0,100,2,48,54,51,9560,17603,8586,11673,43699,8056,3152,1815,,,,,
