'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
15:14.0,00:00.0,100,2,44,67,55,1144165,43850,38754,41111,10774,6869,6608,5543,,14890.60492,11657.44426,6660.12377,3440.806557
15:15.0,00:00.0,100,4,34,63,48,669259,104554,12508,30563,5906,5229,2401,1755,,,,,
15:16.0,00:00.0,100,1,26,63,44,1866723,38004,15639,21179,5856,2286,2594,2176,,,,,
15:17.0,00:00.0,100,1,16,61,38,471801,151841,28482,15157,4431,5247,3405,1158,,,,,
15:18.0,00:00.0,100,2,27,56,41,1779138,115318,161018,41862,92872,43725,14031,10148,,,,,
15:19.0,00:00.0,100,2,35,44,39,388430,73920,4105,9771,13669,5490,2299,767,,,,,
15:20.0,00:00.0,100,1,37,43,40,1354519,70486,34032,21905,9292,4035,5811,2243,,,,,
15:21.0,00:00.0,100,3,40,43,41,509545,433542,94018,32435,52010,21155,5720,7095,,,,,
15:22.0,00:00.0,100,2,23,30,26,103537,58889,15089,7352,2200,2937,869,332,,,,,
15:23.0,00:00.0,100,2,24,40,32,2566697,154525,19678,36682,19383,13725,2467,1212,,,,,
15:24.0,00:00.0,100,2,43,43,43,36420,4118,3996,3225,2557,1551,352,105,,,,,
15:25.0,00:00.0,100,2,54,47,50,355369,35275,7815,6123,1105,4649,1292,2081,,,,,
15:26.0,00:00.0,100,2,78,64,71,43654,7384,27253,4053,5788,10460,2445,1958,,,,,
15:27.0,00:00.0,100,2,60,64,62,404829,526057,162060,50394,73727,10652,6103,4035,,,,,
15:28.0,00:00.0,100,2,51,61,56,79242,66458,16327,43845,22214,8812,6866,3306,,,,,
15:29.0,00:00.0,100,2,44,53,48,322011,85941,6378,9613,17115,6121,4178,1657,,,,,
15:30.0,00:00.0,100,2,27,34,30,1479615,99447,19234,13382,6120,10121,10288,5344,,,,,
15:31.0,00:00.0,100,2,43,30,36,1224288,161629,7021,38384,8034,9475,7300,8833,,,,,
15:32.0,00:00.0,100,2,57,26,41,79462,32278,6476,18111,14560,13124,7064,9770,,,,,
15:33.0,00:00.0,100,2,69,38,53,4427,51215,5761,27454,20272,14041,4697,1910,,,,,
15:34.0,00:00.0,100,2,75,23,49,814252,239968,8334,14961,37747,28858,8482,12035,,,,,
15:35.0,00:00.0,100,3,69,13,41,1191078,1135801,93812,50873,35133,39462,15269,12826,,,,,
15:36.0,00:00.0,100,2,70,14,42,182439,1274,247,1951,2056,947,302,339,,,,,
15:37.0,00:00.0,100,2,63,23,43,1009977,35746,41172,15068,15466,7176,8222,3947,,,,,
15:38.0,00:00.0,100,2,78,48,63,128936,21492,30703,3505,18447,19394,5992,10060,,,,,
15:39.0,00:00.0,100,2,100,75,87,331156,36240,31683,34156,12083,19123,7173,6932,,,,,
15:40.0,00:00.0,100,2,84,70,77,229615,18884,1294,7208,4505,1942,1668,2396,,,,,
15:41.0,00:00.0,100,2,93,70,81,144641,23786,25132,18052,6527,12880,4483,1860,,,,,
15:42.0,00:00.0,100,2,90,70,80,62761,24759,22660,13365,18143,15247,4213,4140,,,,,
15:43.0,00:00.0,100,2,96,54,75,27216,22281,1154,9183,14092,11295,6485,5784,,,,,
15:44.0,00:00.0,100,2,94,67,80,217645,82347,42037,109885,33822,15987,22818,6705,,,,,
15:45.0,00:00.0,100,2,81,53,67,856198,77874,22242,4104,6424,5720,3277,2063,,,,,
15:46.0,00:00.0,100,2,77,51,64,1812061,98567,55203,31054,29718,29260,9331,7850,,,,,
15:47.0,00:00.0,100,2,51,54,52,786796,308920,93266,19382,36699,16895,11683,3463,,,,,
