'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
37:35.0,00:00.0,100,2,50,44,47,467114,39449,9874,5345,5587,17068,9314,6238,,15331.95132,14277.31643,8479.397566,3861.574037
37:36.0,00:00.0,100,2,37,44,40,351513,87786,14320,9634,4891,6127,4884,781,,,,,
37:37.0,00:00.0,100,2,51,51,51,72186,17625,13035,17477,15024,9309,11871,7311,,,,,
37:38.0,00:00.0,100,2,60,48,54,43839,52084,15037,5475,11163,15547,12113,7840,,,,,
37:39.0,00:00.0,100,2,60,48,54,18634,28225,8302,4794,11756,14789,14006,7384,,,,,
37:40.0,00:00.0,100,2,69,57,63,8356,30168,21269,7802,7952,8254,15308,3409,,,,,
37:41.0,00:00.0,100,2,56,48,52,288432,63792,6827,9541,5587,3690,1699,765,,,,,
37:42.0,00:00.0,100,2,57,56,56,24501,17014,18349,12045,17274,13910,16514,3045,,,,,
37:43.0,00:00.0,100,2,57,56,56,23664,50724,11805,11802,19693,27595,8825,11801,,,,,
37:44.0,00:00.0,100,2,60,50,55,57165,75386,30342,6571,21831,19371,12894,4700,,,,,
37:45.0,00:00.0,100,2,69,57,63,134331,21641,13869,4088,8830,5591,1930,1763,,,,,
37:46.0,00:00.0,100,2,66,53,59,68131,45080,13848,20057,22405,15585,9845,4755,,,,,
37:47.0,00:00.0,100,2,60,69,64,94632,24287,32572,32718,13623,14005,8068,2348,,,,,
37:48.0,00:00.0,100,2,63,81,72,28320,9613,8798,23148,11087,12057,7664,2805,,,,,
37:49.0,00:00.0,100,2,67,80,73,22859,19128,13128,10200,25042,10037,9981,2604,,,,,
37:50.0,00:00.0,100,2,77,81,79,16317,14737,15174,7816,7000,20646,14574,2228,,,,,
37:51.0,00:00.0,100,2,74,66,70,63773,70580,18033,13954,26276,11171,9519,7205,,,,,
37:52.0,00:00.0,100,2,61,69,65,27717,36900,61580,8283,5012,8915,6407,6302,,,,,
37:53.0,00:00.0,100,2,48,60,54,588710,99461,8679,6749,6298,6637,3729,886,,,,,
37:54.0,00:00.0,100,2,35,51,43,34877,38626,4855,14797,28854,6859,12837,6435,,,,,
37:55.0,00:00.0,100,1,30,48,39,191050,196869,25224,31207,35438,20106,6379,7785,,,,,
37:56.0,00:00.0,100,1,26,30,28,976854,345183,52132,50258,31831,21394,12544,11523,,,,,
37:57.0,00:00.0,100,1,44,40,42,42525,38665,22185,9066,17317,27292,14681,11874,,,,,
37:58.0,00:00.0,100,1,57,47,52,12379,14907,13105,6169,16119,17132,10258,6499,,,,,
37:59.0,00:00.0,100,1,69,54,61,20127,36704,30754,9083,21444,20706,7619,3165,,,,,
38:00.0,00:00.0,100,1,77,60,68,263392,51354,11783,18842,13897,7985,6067,6351,,,,,
38:01.0,00:00.0,100,1,74,60,67,17092,15759,12441,8416,29366,9087,7248,4834,,,,,
38:02.0,00:00.0,100,1,54,51,52,139979,202933,30475,18371,23706,16729,12215,4707,,,,,
38:03.0,00:00.0,100,1,56,60,58,79942,8913,27681,10411,11322,14874,9962,2802,,,,,
38:04.0,00:00.0,100,1,67,57,62,125959,23056,16678,8343,38900,16625,8869,3559,,,,,
