'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
56:49.0,00:00.0,100,2,44,81,62,65275,10448,22463,83286,8579,22357,22491,23146,,17262.72508,15422.77575,9176.430233,4393.769103
56:50.0,00:00.0,100,1,29,74,51,595068,180266,17951,15090,3935,14424,11634,3926,,,,,
56:51.0,00:00.0,100,2,37,80,58,305936,89784,47296,16155,15225,41935,35723,7498,,,,,
56:52.0,00:00.0,100,2,34,69,51,483274,40873,7573,9915,8227,6549,2821,2721,,,,,
56:53.0,00:00.0,100,2,23,48,35,582331,100568,19275,10851,6015,7851,3707,1764,,,,,
56:54.0,00:00.0,100,2,16,43,29,656558,371750,11370,36157,50651,14085,8216,8133,,,,,
56:55.0,00:00.0,100,2,14,48,31,22189,26882,18348,16188,5866,14164,4958,6136,,,,,
56:56.0,00:00.0,100,2,13,53,33,452390,81534,52924,24527,48971,13530,4328,2573,,,,,
56:57.0,00:00.0,100,2,27,61,44,21668,17287,19429,15875,17306,14864,6175,4540,,,,,
56:58.0,00:00.0,100,2,34,69,51,520725,202666,20025,40161,14417,15462,7326,2549,,,,,
56:59.0,00:00.0,100,2,30,69,49,13900,16005,1620,17214,4436,6705,4920,2612,,,,,
57:00.0,00:00.0,100,2,37,75,56,341074,21764,25614,8561,9954,8667,10183,1559,,,,,
57:01.0,00:00.0,100,2,26,67,46,73506,36249,8056,8788,10455,4651,4686,2459,,,,,
57:02.0,00:00.0,100,2,44,74,59,51772,28987,12416,15258,12894,24565,17491,3944,,,,,
57:03.0,00:00.0,100,2,44,80,62,13525,18623,18428,45367,13074,14530,19879,7702,,,,,
57:04.0,00:00.0,100,2,38,74,56,417472,33417,15241,4821,2776,4106,2134,1193,,,,,
57:05.0,00:00.0,100,2,44,90,67,18212,9174,35269,12106,7266,11069,6231,5816,,,,,
57:06.0,00:00.0,100,2,41,93,67,38529,17892,6851,16105,6164,13098,5726,4667,,,,,
57:07.0,00:00.0,100,2,48,91,69,19456,19479,17855,41831,9563,28075,3957,3580,,,,,
57:08.0,00:00.0,100,2,37,81,59,206664,122064,22401,6257,4038,3681,2663,1036,,,,,
57:09.0,00:00.0,100,2,34,75,54,19963,21696,9808,22324,11118,6846,5831,4522,,,,,
57:10.0,00:00.0,100,2,29,75,52,23317,24621,6306,18682,5662,11807,3306,1318,,,,,
57:11.0,00:00.0,100,2,26,60,43,310271,29483,10466,2979,15885,10445,8184,3728,,,,,
57:12.0,00:00.0,100,2,54,66,60,15824,11765,2481,10681,10798,12568,3625,5246,,,,,
57:13.0,00:00.0,100,2,57,64,60,11059,13981,13812,4152,4211,5383,6518,5029,,,,,
57:14.0,00:00.0,100,2,41,60,50,161735,27229,7111,5287,3156,1775,1398,725,,,,,
57:15.0,00:00.0,100,2,40,70,55,14508,24685,11404,22622,9318,11930,6836,8018,,,,,
57:16.0,00:00.0,100,2,38,77,57,25834,17556,13740,16708,16731,20864,6830,5140,,,,,
57:17.0,00:00.0,100,2,37,69,53,37671,36179,9440,12487,7564,7336,4988,4731,,,,,
57:18.0,00:00.0,100,2,53,70,61,41842,42432,16746,13477,10936,17185,5617,1139,,,,,
57:19.0,00:00.0,100,1,51,70,60,103216,62888,48867,25368,19069,23387,9964,3147,,,,,
57:20.0,00:00.0,100,1,50,75,62,14384,8076,9972,10365,7762,10451,8038,4914,,,,,
57:21.0,00:00.0,100,2,40,80,60,97034,27529,11825,12583,2545,2470,3469,2060,,,,,
57:22.0,00:00.0,100,2,29,63,46,669823,474970,26618,28055,152488,46208,24378,17039,,,,,
57:23.0,00:00.0,100,2,27,61,44,99113,18022,9118,8074,4844,5042,3478,2381,,,,,
57:24.0,00:00.0,100,2,21,64,42,153077,25159,41263,8826,3999,14715,1936,608,,,,,
57:25.0,00:00.0,100,2,20,53,36,536277,219725,11747,38389,14064,13150,9577,4800,,,,,
57:26.0,00:00.0,100,2,26,80,53,19862,24213,26134,28720,10736,12547,8930,2859,,,,,
57:27.0,00:00.0,100,2,20,69,44,409235,274967,36451,30186,18051,22394,9038,2770,,,,,
57:28.0,00:00.0,100,2,23,60,41,7157,10994,9052,8515,20025,7202,7300,14714,,,,,
57:29.0,00:00.0,100,2,37,64,50,189337,24587,3056,8456,4126,6179,3941,802,,,,,
57:30.0,00:00.0,100,2,35,57,46,51049,23761,15009,31373,32788,10416,7416,10194,,,,,
57:31.0,00:00.0,100,2,38,75,56,285700,44769,55530,14492,9557,10805,6652,2563,,,,,
57:32.0,00:00.0,100,2,34,78,56,13399,22734,15280,9801,4043,6804,3293,864,,,,,
57:33.0,00:00.0,100,2,24,81,52,431906,82959,11608,29810,13796,9415,19040,3487,,,,,
57:34.0,00:00.0,100,2,23,81,52,405998,60486,42950,24803,25267,16325,6844,1439,,,,,
57:35.0,00:00.0,100,2,30,70,50,223765,22513,8711,6604,12864,8807,2821,511,,,,,
57:36.0,00:00.0,100,2,41,57,49,32131,29201,6532,10716,36489,16585,13515,2515,,,,,
57:37.0,00:00.0,100,2,37,60,48,797538,216309,68882,54864,22526,15417,5457,2602,,,,,
57:38.0,00:00.0,100,2,35,50,42,239734,150773,12760,29115,13467,19634,4362,4272,,,,,
