'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
13:44.0,00:00.0,100,1,23,40,31,518487,214900,34679,30008,9218,12050,30317,4064,,29914.8399,39925.46552,41735.14532,17077.133
13:46.0,00:00.0,100,1,29,38,33,289166,28322,2107,2870,2431,3888,3225,3141,,,,,
13:46.0,00:00.0,100,1,50,40,45,430931,76233,16308,16443,9549,50017,42879,7300,,,,,
13:47.0,00:00.0,100,1,44,27,35,798767,369901,57862,7514,16812,63064,81750,10728,,,,,
13:48.0,00:00.0,100,1,60,24,42,475529,184118,32906,16306,13674,53908,15420,8203,,,,,
13:49.0,00:00.0,100,1,80,27,53,42886,51684,10404,22689,59040,93690,35167,8695,,,,,
13:50.0,00:00.0,100,1,75,35,55,620497,81365,21518,53007,47073,36877,43245,18719,,,,,
13:51.0,00:00.0,100,1,87,41,64,11105,46036,5959,27849,19477,42549,28584,7115,,,,,
13:52.0,00:00.0,100,1,81,37,59,163763,91511,5822,7085,13183,13266,19648,4495,,,,,
13:53.0,00:00.0,100,1,63,40,51,151260,47332,4138,12405,10197,8289,6835,8219,,,,,
13:54.0,00:00.0,100,1,54,24,39,124266,75120,4248,4224,6874,9899,8276,7304,,,,,
13:55.0,00:00.0,100,1,48,23,35,895938,68909,24663,3721,3805,21281,20357,3943,,,,,
13:56.0,00:00.0,100,1,48,34,41,918569,344319,89159,25728,39620,63153,28379,42690,,,,,
13:57.0,00:00.0,100,1,56,23,39,1470862,42582,5636,2027,14687,18216,7427,4705,,,,,
13:58.0,00:00.0,100,1,64,35,49,1222800,113419,31645,17640,17508,38188,26435,14968,,,,,
13:59.0,00:00.0,100,1,75,24,49,247705,17154,1758,2538,9316,16078,6737,2653,,,,,
14:00.0,00:00.0,100,2,77,30,53,1112845,263823,131044,69420,15997,84729,33598,7077,,,,,
14:01.0,00:00.0,100,2,75,54,64,317330,4924,3008,17137,4354,6608,3294,1599,,,,,
14:02.0,00:00.0,100,2,84,56,70,17803,6966,6138,6789,15695,16973,3797,2412,,,,,
14:03.0,00:00.0,100,2,67,61,64,2909995,646286,48094,76696,35008,78240,50941,51314,,,,,
14:04.0,00:00.0,100,2,53,57,55,1072902,841776,49783,293875,27011,45913,48586,60699,,,,,
14:05.0,00:00.0,100,2,51,43,47,1384642,274794,60373,36483,14964,70879,56915,8940,,,,,
14:06.0,00:00.0,100,2,40,53,46,588550,12055,8402,9409,727,7245,3749,5916,,,,,
14:07.0,00:00.0,100,2,43,61,52,2124710,840969,275200,192959,68374,177211,170902,68963,,,,,
14:08.0,00:00.0,100,2,50,63,56,510180,1105732,510223,110679,82542,157801,96395,97175,,,,,
14:09.0,00:00.0,100,2,43,64,53,358473,49886,6866,12310,3975,7066,6650,5209,,,,,
14:10.0,00:00.0,100,2,27,60,43,105747,47868,22141,6885,4613,3605,5380,7315,,,,,
14:11.0,00:00.0,100,2,27,57,42,1177871,325955,155773,20419,100831,62232,72283,39427,,,,,
14:12.0,00:00.0,100,2,30,54,42,1056625,240126,22199,63349,9780,41909,39255,7114,,,,,
14:13.0,00:00.0,100,2,35,53,44,1972298,901436,245296,112205,145051,156840,105478,41976,,,,,
14:14.0,00:00.0,100,2,40,53,46,1042834,779613,383680,145988,96925,102894,146875,15095,,,,,
14:15.0,00:00.0,100,2,34,41,37,1390374,364647,36218,8235,6637,24961,38385,6934,,,,,
14:16.0,00:00.0,100,2,35,48,41,515277,127986,52951,40294,12740,33846,25633,15192,,,,,
14:17.0,00:00.0,100,2,24,48,36,385755,370445,84484,25373,7763,18981,23025,7697,,,,,
14:18.0,00:00.0,100,2,27,44,35,683533,89411,25250,29648,15399,17251,47870,6706,,,,,
14:19.0,00:00.0,100,2,29,60,44,1409317,748846,440667,44126,88683,85761,104508,62085,,,,,
14:20.0,00:00.0,100,2,26,51,38,821852,286082,67964,12549,10290,43476,34500,14261,,,,,
14:21.0,00:00.0,100,2,40,53,46,309370,34377,7555,6803,2587,8773,9943,1651,,,,,
14:22.0,00:00.0,100,2,30,43,36,13280,23802,1042,2738,522,1516,537,977,,,,,
14:23.0,00:00.0,100,2,27,35,31,899821,203131,13956,31177,4836,11494,28790,12705,,,,,
14:24.0,00:00.0,100,2,20,27,23,896742,441514,32433,26901,10173,23439,32493,20022,,,,,
14:25.0,00:00.0,100,2,11,43,27,1846202,173265,280812,93685,25813,37473,61468,57653,,,,,
14:26.0,00:00.0,100,2,4,43,23,167926,82338,7424,3869,1450,2281,4865,2315,,,,,
14:27.0,00:00.0,100,2,4,40,22,2151577,142964,17991,6679,6058,8240,11695,4528,,,,,
14:28.0,00:00.0,100,2,26,40,33,1249602,241301,17836,29493,18377,140709,11504,13607,,,,,
