'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
13:46.0,00:00.0,100,2,69,24,46,86135,16960,7644,1731,12513,7889,4224,3835,,11740.83632,10498.05627,6596.452685,3298.396419
13:47.0,00:00.0,100,2,81,35,58,2377,3288,15325,8484,11786,15189,5014,1704,,,,,
13:48.0,00:00.0,100,2,83,40,61,9512,10592,16664,1458,2896,9801,5458,2249,,,,,
13:49.0,00:00.0,100,2,80,69,74,47090,22597,6286,28007,7300,8093,5262,3844,,,,,
13:50.0,00:00.0,100,2,75,78,76,27127,15994,4836,11512,6000,5935,4338,2096,,,,,
13:51.0,00:00.0,100,2,61,69,65,47989,57898,10565,17196,27265,11880,6348,4931,,,,,
13:52.0,00:00.0,100,2,54,60,57,972487,123605,30607,23742,45990,22996,7803,2487,,,,,
13:53.0,00:00.0,100,2,53,66,59,6702,18265,58459,4249,7074,9954,4010,2316,,,,,
13:54.0,00:00.0,100,2,48,74,61,18996,16684,25841,5977,8780,4986,2997,2629,,,,,
13:55.0,00:00.0,100,2,47,84,65,5210,17273,19666,9248,7773,5532,4225,2010,,,,,
13:56.0,00:00.0,100,2,37,80,58,542170,191486,17630,25949,33198,9716,6686,5125,,,,,
13:57.0,00:00.0,100,2,35,67,51,164941,19699,12924,3095,6506,3826,1514,769,,,,,
13:58.0,00:00.0,100,2,34,51,42,1877,31886,8473,4083,23033,3596,3287,2939,,,,,
13:59.0,00:00.0,100,2,35,43,39,21199,47946,24122,9447,27132,11826,4332,1296,,,,,
14:00.0,00:00.0,100,2,56,47,51,23264,20027,6946,2577,9533,13315,7146,2495,,,,,
14:01.0,00:00.0,100,2,67,53,60,20586,10158,37090,4799,3691,22193,12294,2808,,,,,
14:02.0,00:00.0,100,2,77,61,69,13407,15312,8780,4583,9161,6038,6896,2116,,,,,
14:03.0,00:00.0,100,2,81,67,74,11469,11418,6173,18330,4233,10918,6966,2787,,,,,
14:04.0,00:00.0,100,2,87,64,75,14092,17649,1828,5437,15569,18987,6057,1967,,,,,
14:05.0,00:00.0,100,2,87,50,68,7563,14982,1456,7276,9414,8248,8312,4369,,,,,
14:06.0,00:00.0,100,2,77,56,66,53366,23300,12228,19340,6215,3678,5120,1774,,,,,
14:07.0,00:00.0,100,2,69,48,58,576674,20572,5299,7421,7211,4329,4928,1691,,,,,
14:08.0,00:00.0,100,2,57,69,63,6360,7789,13247,11729,4046,7333,5187,1932,,,,,
14:09.0,00:00.0,100,2,44,57,50,38353,60930,1651,4194,6165,5920,3225,2677,,,,,
14:10.0,00:00.0,100,2,50,48,49,73980,37705,5017,12847,9028,6154,5701,3379,,,,,
