'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
48:55.0,00:00.0,100,2,88,75,81,45072,32271,4402,10779,13254,11682,13089,1978,,14133.818,9961.784,5544.916,2429.354
48:56.0,00:00.0,100,2,77,67,72,72814,77043,60264,24312,22376,8216,6614,1339,,,,,
48:57.0,00:00.0,100,2,88,83,85,161763,30050,28210,22102,5034,17067,4176,2441,,,,,
48:58.0,00:00.0,100,2,90,78,84,158528,73264,14058,25138,16868,20750,5115,3693,,,,,
48:59.0,00:00.0,100,2,74,90,82,75571,26511,14925,18562,6879,3005,3594,494,,,,,
49:00.0,00:00.0,100,2,81,87,84,9889,37651,10550,25727,15171,11275,8023,3503,,,,,
49:01.0,00:00.0,100,2,64,74,69,55130,126240,28975,10604,25708,7476,5335,1639,,,,,
49:02.0,00:00.0,100,2,60,88,74,7652,40904,121119,9826,3950,19603,3671,3498,,,,,
49:03.0,00:00.0,100,2,75,80,77,51962,7975,2092,2581,1439,2462,551,872,,,,,
49:04.0,00:00.0,100,2,75,84,79,17323,26080,32072,15307,9572,10389,8381,1194,,,,,
49:05.0,00:00.0,100,2,81,90,85,89785,49005,17348,17943,18296,7548,5291,2070,,,,,
49:06.0,00:00.0,100,2,66,63,64,67112,58469,4485,3111,2191,1868,662,470,,,,,
49:07.0,00:00.0,100,2,51,77,64,212827,68186,88848,46448,10227,8847,8331,2766,,,,,
49:08.0,00:00.0,100,2,44,75,59,54829,17450,12943,5923,3686,2535,1071,992,,,,,
49:09.0,00:00.0,100,2,29,75,52,120348,61742,8925,22388,2326,1818,1764,1114,,,,,
49:10.0,00:00.0,100,2,50,88,69,21647,67585,43152,12883,20400,25575,16692,3297,,,,,
49:11.0,00:00.0,100,2,53,81,67,151740,38661,21803,16682,7667,4647,2563,764,,,,,
49:12.0,00:00.0,100,2,37,70,53,860644,140751,32619,12640,10971,2548,3794,1269,,,,,
49:13.0,00:00.0,100,2,41,69,55,90897,52843,19818,4097,1775,2763,1057,580,,,,,
49:14.0,00:00.0,100,2,43,70,56,33414,35010,38255,14399,20565,19742,6538,3557,,,,,
49:15.0,00:00.0,100,2,47,66,56,46010,65616,26472,13399,13900,8255,7171,1723,,,,,
49:16.0,00:00.0,100,2,66,70,68,113862,32019,15521,3275,3786,4310,2452,933,,,,,
49:17.0,00:00.0,100,2,80,67,73,866128,101718,22204,10959,8503,18859,9161,8634,,,,,
49:18.0,00:00.0,100,2,67,66,66,449357,30557,12943,9772,7125,3950,2311,328,,,,,
49:19.0,00:00.0,100,2,74,75,74,795050,50211,70679,33041,21924,21701,7190,2670,,,,,
