'Time','VidTime','Raw Value','Blink','Mark'
2019/10/22 10:45:04.000,07:00:00.000,24,0,0
2019/10/22 10:45:04.001,07:00:00.001,-3,0,0
2019/10/22 10:45:04.003,07:00:00.003,-61,0,0
2019/10/22 10:45:04.005,07:00:00.005,-87,0,0
2019/10/22 10:45:04.007,07:00:00.007,-58,0,0
2019/10/22 10:45:04.009,07:00:00.009,-17,0,0
2019/10/22 10:45:04.011,07:00:00.011,1,0,0
2019/10/22 10:45:04.013,07:00:00.013,25,0,0
2019/10/22 10:45:04.015,07:00:00.015,57,0,0
2019/10/22 10:45:04.017,07:00:00.017,66,0,0
2019/10/22 10:45:04.019,07:00:00.019,24,0,0
2019/10/22 10:45:04.021,07:00:00.021,-21,0,0
2019/10/22 10:45:04.023,07:00:00.023,-21,0,0
2019/10/22 10:45:04.025,07:00:00.025,13,0,0
2019/10/22 10:45:04.027,07:00:00.027,53,0,0
2019/10/22 10:45:04.029,07:00:00.029,55,0,0
2019/10/22 10:45:04.031,07:00:00.031,12,0,0
2019/10/22 10:45:04.033,07:00:00.033,-18,0,0
2019/10/22 10:45:04.035,07:00:00.035,-1,0,0
2019/10/22 10:45:04.037,07:00:00.037,48,0,0
2019/10/22 10:45:04.039,07:00:00.039,72,0,0
2019/10/22 10:45:04.041,07:00:00.041,56,0,0
2019/10/22 10:45:04.042,07:00:00.042,25,0,0
2019/10/22 10:45:04.044,07:00:00.044,3,0,0
2019/10/22 10:45:04.046,07:00:00.046,-7,0,0
2019/10/22 10:45:04.048,07:00:00.048,17,0,0
2019/10/22 10:45:04.050,07:00:00.050,51,0,0
2019/10/22 10:45:04.052,07:00:00.052,60,0,0
2019/10/22 10:45:04.054,07:00:00.054,43,0,0
2019/10/22 10:45:04.056,07:00:00.056,33,0,0
2019/10/22 10:45:04.058,07:00:00.058,50,0,0
2019/10/22 10:45:04.060,07:00:00.060,72,0,0
2019/10/22 10:45:04.062,07:00:00.062,80,0,0
