'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
08:27.0,00:00.0,100,2,50,63,56,354998,14960,9371,3838,5581,4977,4876,529,,16333.21009,13259.01468,9607.829358,4538.6
08:28.0,00:00.0,100,1,48,56,52,754686,663583,37590,111349,98333,35631,24537,12033,,,,,
08:29.0,00:00.0,100,1,30,41,35,757182,164260,8189,16073,19685,17919,34456,10755,,,,,
08:30.0,00:00.0,100,1,37,44,40,145024,39709,12533,7643,5089,4027,4101,3838,,,,,
08:31.0,00:00.0,100,1,30,34,32,220260,122292,12193,7603,9530,14603,15956,6687,,,,,
08:32.0,00:00.0,100,1,44,30,37,104687,12631,1622,1628,3101,3028,1527,884,,,,,
08:33.0,00:00.0,100,1,60,43,51,7839,18834,10412,15109,21300,16498,14873,8113,,,,,
08:34.0,00:00.0,100,1,69,51,60,15759,20419,35809,11979,4755,13882,10911,8902,,,,,
08:35.0,00:00.0,100,2,63,66,64,567584,291984,162316,101242,24646,30072,17647,9879,,,,,
08:36.0,00:00.0,100,2,64,80,72,776195,37319,22348,33572,24739,17871,16359,9256,,,,,
08:37.0,00:00.0,100,2,63,83,73,14769,14496,11848,25334,19595,19226,16729,7019,,,,,
08:38.0,00:00.0,100,2,70,80,75,18019,11294,29533,6678,15359,19499,17732,10391,,,,,
08:39.0,00:00.0,100,2,81,78,79,153775,80918,51905,37103,17334,22559,11781,5439,,,,,
08:40.0,00:00.0,100,2,69,81,75,35001,53526,59880,37118,15506,9272,13438,4532,,,,,
08:41.0,00:00.0,100,2,74,80,77,2693,11707,4393,13372,6794,17278,5964,2747,,,,,
08:42.0,00:00.0,100,2,67,75,71,9152,36488,15068,13439,5801,15392,4455,4180,,,,,
08:43.0,00:00.0,100,2,70,74,72,141812,40030,16735,20536,15268,14147,8461,8237,,,,,
08:44.0,00:00.0,100,2,61,61,61,687874,56447,9458,6007,1050,1850,10017,1764,,,,,
08:45.0,00:00.0,100,2,54,54,54,392347,57124,18350,4094,17761,22006,14307,8410,,,,,
08:46.0,00:00.0,100,2,41,41,41,205434,42215,4011,743,3833,3329,4155,3587,,,,,
08:47.0,00:00.0,100,2,47,48,47,21015,15232,12527,54232,16291,24631,7577,3692,,,,,
08:48.0,00:00.0,100,2,66,53,59,33335,35558,6401,20276,6793,12969,2875,2597,,,,,
08:49.0,00:00.0,100,2,69,61,65,4698,21486,4901,27539,10711,18950,4599,9492,,,,,
08:50.0,00:00.0,100,2,78,77,77,63109,26605,25386,23536,36766,13134,8649,3926,,,,,
08:51.0,00:00.0,100,2,75,75,75,69467,38548,74091,11335,22012,28266,8340,4420,,,,,
08:52.0,00:00.0,100,2,74,78,76,9522,32308,20060,30770,16533,15050,3989,3957,,,,,
08:53.0,00:00.0,100,2,67,78,72,54929,44607,36339,16585,25486,18173,3561,3525,,,,,
08:54.0,00:00.0,100,2,66,69,67,551168,122633,16252,21101,17951,23969,9496,4429,,,,,
08:55.0,00:00.0,100,2,67,61,64,41978,33519,13573,5568,9390,13062,13085,6124,,,,,
08:56.0,00:00.0,100,2,74,63,68,46605,21605,13817,30054,8637,17202,9405,2861,,,,,
08:57.0,00:00.0,100,2,80,63,71,39412,16388,9246,17326,9577,15972,7855,3850,,,,,
08:58.0,00:00.0,100,2,78,67,72,294543,66121,29118,4999,10035,13671,6929,6553,,,,,
08:59.0,00:00.0,100,2,74,74,74,11538,19112,12082,32265,26037,9872,12269,4061,,,,,
09:00.0,00:00.0,100,2,66,63,64,7425,109371,4593,33206,5164,16812,8344,10346,,,,,
09:01.0,00:00.0,100,2,51,70,60,36253,32791,67711,23102,19256,12514,6241,2610,,,,,
09:02.0,00:00.0,100,2,51,70,60,13662,32800,16906,10171,20979,7958,5710,6134,,,,,
09:03.0,00:00.0,100,2,43,78,60,699638,30423,67977,16092,10558,7026,14493,4365,,,,,
09:04.0,00:00.0,100,2,40,83,61,968920,92348,30206,28361,18279,13452,15504,3737,,,,,
09:05.0,00:00.0,100,2,53,78,65,14364,9458,37856,6127,22857,21788,11022,5036,,,,,
09:06.0,00:00.0,100,2,64,77,70,21053,10577,1294,9339,10572,8667,3541,2713,,,,,
09:07.0,00:00.0,100,2,87,64,75,10107,10736,10266,11478,15811,18202,3566,3425,,,,,
09:08.0,00:00.0,100,2,100,63,81,32108,22151,6184,16467,28232,13645,5422,2422,,,,,
09:09.0,00:00.0,100,2,90,61,75,141844,64761,40372,18561,11409,17343,6070,8660,,,,,
09:10.0,00:00.0,100,2,75,70,72,960384,81296,104761,6119,13434,17795,8502,16001,,,,,
09:11.0,00:00.0,100,2,69,69,69,79716,8916,4064,4067,4841,6559,1613,674,,,,,
09:12.0,00:00.0,100,2,57,77,67,50083,45511,31157,24320,10204,9388,5268,3576,,,,,
09:13.0,00:00.0,100,2,63,67,65,756426,38974,7100,8360,12743,13275,11397,3173,,,,,
