'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
08:28.0,00:00.0,100,2,50,50,50,45060,11956,11682,9473,9939,9391,8714,4125,,13166.88483,10699.90768,7021.306216,3303.392139
08:28.0,00:00.0,100,2,57,51,54,12676,26153,4230,4568,5057,5782,6975,2188,,,,,
08:29.0,00:00.0,100,2,64,53,58,669688,118150,1906,36651,10498,15445,5475,2671,,,,,
08:30.0,00:00.0,100,2,75,54,64,122190,21590,9630,17929,2673,9637,3105,3906,,,,,
08:31.0,00:00.0,100,2,66,51,58,24538,47696,5754,21880,5840,8183,2705,6385,,,,,
08:32.0,00:00.0,100,2,56,61,58,1162327,90174,53975,12338,7099,7587,3388,3297,,,,,
08:33.0,00:00.0,100,2,57,66,61,5082,30960,9116,5628,3729,5198,2283,2434,,,,,
08:34.0,00:00.0,100,2,43,57,50,144852,79469,23530,7420,9161,4246,4114,2568,,,,,
08:35.0,00:00.0,100,2,47,57,52,20582,37307,19398,10219,17784,11827,11490,3110,,,,,
08:36.0,00:00.0,100,2,60,56,58,15520,21528,10264,16928,17155,10903,4515,2264,,,,,
08:37.0,00:00.0,100,2,60,57,58,66677,103883,17297,42220,7684,17755,13767,3558,,,,,
08:38.0,00:00.0,100,2,70,57,63,110744,42108,10408,12017,7250,9647,3666,1885,,,,,
08:39.0,00:00.0,100,2,64,53,58,855950,244677,45145,57608,106356,23293,12445,8043,,,,,
08:40.0,00:00.0,100,2,54,54,54,159742,43718,46015,12158,30402,7872,7421,5066,,,,,
08:41.0,00:00.0,100,2,66,57,61,35274,18193,23795,2777,5004,17090,8954,1726,,,,,
08:42.0,00:00.0,100,2,60,69,64,151487,42376,19409,36395,6776,7074,5557,1703,,,,,
08:43.0,00:00.0,100,2,61,61,61,884213,277565,17265,24887,35291,25775,4913,9216,,,,,
08:44.0,00:00.0,100,2,67,48,57,136147,82350,12104,12399,22591,20407,24728,1641,,,,,
08:45.0,00:00.0,100,2,50,34,42,76606,15376,2186,735,2945,877,620,181,,,,,
08:46.0,00:00.0,100,2,63,29,46,28134,14154,5802,19898,5233,13918,18566,1757,,,,,
08:47.0,00:00.0,100,2,78,41,59,90509,28871,11626,16697,11427,25007,5760,4093,,,,,
08:48.0,00:00.0,100,2,78,54,66,201265,27515,8915,23167,5420,12150,8644,5348,,,,,
08:49.0,00:00.0,100,2,83,74,78,109867,77570,39839,45569,15910,12920,5855,3625,,,,,
08:50.0,00:00.0,100,2,75,75,75,103064,17865,11390,14245,3611,6115,6809,5104,,,,,
08:51.0,00:00.0,100,2,63,75,69,186266,81940,26528,17764,14162,14848,7882,5617,,,,,
08:52.0,00:00.0,100,2,51,60,55,1934390,181642,22448,18446,24680,9674,6873,1821,,,,,
08:53.0,00:00.0,100,2,54,63,58,29571,23084,17895,25201,7056,9922,4296,1919,,,,,
08:54.0,00:00.0,100,2,47,57,52,466712,204953,68448,55292,27512,17278,9100,8804,,,,,
08:55.0,00:00.0,100,2,53,69,61,14529,10998,13955,23850,5525,11881,6884,4039,,,,,
08:56.0,00:00.0,100,2,64,75,69,257553,47731,11415,10164,11317,11867,5923,3649,,,,,
08:57.0,00:00.0,100,2,64,61,62,29727,31231,10769,4321,17721,6337,2426,2685,,,,,
08:58.0,00:00.0,100,2,64,63,63,113564,75895,43082,15751,12194,8191,6603,2882,,,,,
08:59.0,00:00.0,100,2,54,61,57,147968,10722,10339,11046,4773,2190,1582,458,,,,,
09:00.0,00:00.0,100,2,53,66,59,11659,21444,3824,11434,7124,5131,4649,795,,,,,
09:01.0,00:00.0,100,2,56,77,66,79191,22471,19872,11311,8890,12193,3977,1982,,,,,
09:02.0,00:00.0,100,2,63,67,65,9873,17060,8421,1814,10701,3268,2281,2507,,,,,
09:03.0,00:00.0,100,2,67,60,63,36421,34970,14002,12325,4663,6887,5078,1188,,,,,
09:04.0,00:00.0,100,2,70,70,70,14431,11582,20738,5892,1780,7825,3887,2878,,,,,
09:05.0,00:00.0,100,2,70,54,62,3485,24851,2129,3325,9112,6826,3353,1936,,,,,
09:06.0,00:00.0,100,2,66,67,66,167843,51176,57555,15076,6552,7696,4042,1898,,,,,
09:07.0,00:00.0,100,2,64,56,60,366008,45060,2106,7797,2787,6066,1746,4108,,,,,
09:08.0,00:00.0,100,2,50,50,50,338153,53964,35084,2738,3673,3543,1755,793,,,,,
09:09.0,00:00.0,100,2,43,53,48,256539,107333,8855,18200,23871,13537,3881,7340,,,,,
09:10.0,00:00.0,100,2,50,50,50,13602,13014,6840,8964,5445,3916,3868,1225,,,,,
09:11.0,00:00.0,100,2,41,50,45,212892,351808,37885,39262,26159,16419,8261,5784,,,,,
09:12.0,00:00.0,100,2,54,40,47,137315,43254,6040,10194,10862,11119,4317,2174,,,,,
09:13.0,00:00.0,100,2,56,50,53,597375,17153,6078,4466,2589,3141,1289,437,,,,,
09:14.0,00:00.0,100,2,64,44,54,44595,11760,11571,5906,14532,9973,5792,1649,,,,,
09:15.0,00:00.0,100,2,74,43,58,87843,51528,7915,2789,5325,7074,4564,2700,,,,,
09:16.0,00:00.0,100,2,70,48,59,5874,17030,7458,6888,13543,5560,3143,1575,,,,,
09:17.0,00:00.0,100,2,80,48,64,10241,31524,8972,12960,4331,15801,5610,2031,,,,,
09:18.0,00:00.0,100,2,70,41,55,769915,147515,7494,42859,41896,22578,17989,4083,,,,,
09:19.0,00:00.0,100,2,70,51,60,330695,17691,4314,6027,3882,2984,2343,1027,,,,,
09:20.0,00:00.0,100,2,60,56,58,155273,29471,6406,18266,1774,2785,2521,1847,,,,,
09:21.0,00:00.0,100,2,51,57,54,125755,31471,15803,6910,5996,5665,1954,3531,,,,,
09:22.0,00:00.0,100,2,66,60,63,64125,17998,9213,7739,25197,20797,20390,10957,,,,,
09:23.0,00:00.0,100,2,64,63,63,53255,56942,32755,14740,5517,9887,5435,2561,,,,,
09:24.0,00:00.0,100,2,69,60,64,7033,80992,33009,27382,14686,11269,13601,5847,,,,,
09:25.0,00:00.0,100,2,83,61,72,10486,3291,6853,7144,7559,9667,11084,6514,,,,,
09:26.0,00:00.0,100,2,66,67,66,58831,62959,18653,20493,12383,8539,6493,3370,,,,,
09:27.0,00:00.0,100,2,74,66,70,212604,49912,21071,29778,15427,18422,5178,5972,,,,,
09:28.0,00:00.0,100,2,80,41,60,132993,82401,1653,2676,7096,15538,13576,6657,,,,,
09:29.0,00:00.0,100,2,66,47,56,160268,20235,23170,10130,5604,7076,8040,3038,,,,,
09:30.0,00:00.0,100,2,77,48,62,3530,18186,3815,14625,8061,8896,2376,4298,,,,,
09:31.0,00:00.0,100,2,70,56,63,4754,14692,12248,29772,9808,5797,8612,1252,,,,,
09:32.0,00:00.0,100,2,75,83,79,92512,35500,15643,32578,19724,24342,15065,3597,,,,,
09:33.0,00:00.0,100,2,74,74,74,222368,70268,43692,10645,41491,12298,12789,4889,,,,,
09:34.0,00:00.0,100,2,60,75,67,47318,63745,22792,37015,27802,7465,8780,5692,,,,,
09:35.0,00:00.0,100,2,60,69,64,105406,64098,33269,43651,11420,14915,11805,4463,,,,,
09:36.0,00:00.0,100,2,53,78,65,303754,10207,16898,8336,2414,4843,1013,1043,,,,,
09:37.0,00:00.0,100,2,50,77,63,168936,196707,81569,25132,73769,20745,8343,3793,,,,,
09:38.0,00:00.0,100,2,47,69,58,338036,60556,14155,4284,4201,2566,1477,717,,,,,
09:39.0,00:00.0,100,2,48,63,55,3524,28913,16083,14080,31806,7341,5826,3676,,,,,
09:40.0,00:00.0,100,2,44,53,48,112462,10292,10481,2486,8315,2163,1221,487,,,,,
09:41.0,00:00.0,100,2,51,64,57,15466,9616,13927,18356,10041,7038,6375,800,,,,,
09:42.0,00:00.0,100,2,60,61,60,104746,26373,2964,3204,2508,2772,2507,421,,,,,
09:43.0,00:00.0,100,2,66,70,68,17022,14043,37721,1459,5440,15103,6852,3442,,,,,
09:44.0,00:00.0,100,2,74,67,70,162240,40595,15399,19359,24134,13623,8901,6130,,,,,
09:45.0,00:00.0,100,2,64,63,63,233464,66940,30989,22793,8986,7706,9222,3996,,,,,
09:46.0,00:00.0,100,2,70,83,76,15445,22288,52830,13645,11786,16259,6066,6651,,,,,
09:47.0,00:00.0,100,2,74,75,74,11675,24800,13809,10989,7168,16120,9395,2540,,,,,
09:48.0,00:00.0,100,2,69,80,74,287739,60924,57534,10525,26402,14997,14227,2900,,,,,
09:49.0,00:00.0,100,2,78,80,79,14907,16488,14584,10058,8376,9081,4410,4025,,,,,
09:50.0,00:00.0,100,2,77,78,77,420850,24363,45812,8020,9894,12003,3346,1602,,,,,
09:51.0,00:00.0,100,2,66,78,72,855,42708,18138,9287,4083,6881,4281,2686,,,,,
09:52.0,00:00.0,100,2,70,63,66,5093,38703,4803,6369,11040,12216,4152,1614,,,,,
09:53.0,00:00.0,100,2,67,56,61,53593,21701,7763,2166,1650,4382,2075,891,,,,,
09:54.0,00:00.0,100,2,56,51,53,1645317,133380,82436,60637,37240,12256,4555,4028,,,,,
09:55.0,00:00.0,100,2,50,56,53,806176,151338,111053,43260,19522,14147,9802,8044,,,,,
09:56.0,00:00.0,100,2,38,56,47,408657,486337,81615,4746,9993,31356,8348,4782,,,,,
09:57.0,00:00.0,100,2,50,57,53,34711,9560,6680,9473,11748,13266,7734,2183,,,,,
09:58.0,00:00.0,100,2,66,57,61,41128,24179,36712,10682,20678,19815,5591,3040,,,,,
09:59.0,00:00.0,100,2,63,47,55,223847,232146,50597,26730,22093,9839,7806,3721,,,,,
10:00.0,00:00.0,100,2,69,63,66,79084,25380,19326,19680,18688,7718,8201,3473,,,,,
10:01.0,00:00.0,100,2,64,61,62,122082,34203,15341,11335,15668,15842,6822,1651,,,,,
10:02.0,00:00.0,100,2,53,47,50,98485,113337,9871,10312,5943,10420,7001,5363,,,,,
10:03.0,00:00.0,100,2,78,54,66,2255,4695,10729,1713,5054,9319,4591,1842,,,,,
10:04.0,00:00.0,100,2,81,53,67,335804,16569,11534,5195,2580,6852,775,767,,,,,
10:05.0,00:00.0,100,2,83,54,68,186096,30320,10971,15382,12202,15506,4440,1264,,,,,
10:06.0,00:00.0,100,2,93,66,79,11912,12528,8855,2316,4592,6612,6174,2596,,,,,
10:07.0,00:00.0,100,2,78,50,64,88045,14622,1159,1250,2066,1531,816,627,,,,,
10:08.0,00:00.0,100,2,77,50,63,15612,11443,4939,15618,14524,5379,4572,3161,,,,,
10:09.0,00:00.0,100,2,57,53,55,78989,24578,14996,2828,4055,1571,1445,910,,,,,
10:10.0,00:00.0,100,2,44,50,47,11654,44573,20376,2518,15252,3966,1623,3806,,,,,
10:11.0,00:00.0,100,2,41,63,52,35441,97629,52114,6838,10030,7772,3968,3554,,,,,
10:12.0,00:00.0,100,2,35,63,49,242254,10442,9966,1862,8049,1854,2382,1168,,,,,
10:13.0,00:00.0,100,2,37,57,47,221530,150774,44017,24392,38273,8446,7946,18633,,,,,
10:14.0,00:00.0,100,2,50,57,53,314345,66147,33889,13167,28255,27098,11490,3846,,,,,
10:15.0,00:00.0,100,2,48,61,54,295405,23019,10484,11978,3841,2007,2430,1357,,,,,
10:16.0,00:00.0,100,2,61,57,59,20626,6171,7117,3992,11307,7734,3806,3761,,,,,
10:17.0,00:00.0,100,2,77,66,71,126255,27207,35340,5720,13974,15741,4276,2282,,,,,
10:18.0,00:00.0,100,2,77,64,70,9603,24492,2245,11076,5766,8316,4239,1536,,,,,
10:19.0,00:00.0,100,2,81,70,75,22795,12246,24801,5198,7175,3792,7312,1359,,,,,
10:20.0,00:00.0,100,2,69,69,69,75883,17070,5197,2919,3274,2862,1172,499,,,,,
10:21.0,00:00.0,100,2,66,61,63,37568,55440,22206,5445,12752,12611,8483,7592,,,,,
10:22.0,00:00.0,100,2,69,66,67,18892,18152,5351,13762,3342,13532,3563,3003,,,,,
10:23.0,00:00.0,100,2,60,53,56,171036,105215,18571,24597,7982,4507,4765,1754,,,,,
10:24.0,00:00.0,100,2,47,53,50,382772,186045,63511,7077,15048,5925,5679,1370,,,,,
10:25.0,00:00.0,100,2,29,44,36,389228,174868,9062,19735,10827,4227,7230,1798,,,,,
10:26.0,00:00.0,100,2,17,50,33,25365,29518,31862,3101,6216,6447,5241,1472,,,,,
10:27.0,00:00.0,100,2,29,56,42,317290,120300,70842,47157,21210,23350,13146,1189,,,,,
10:28.0,00:00.0,100,2,47,64,55,22842,16943,7008,18656,5963,6721,3394,3135,,,,,
10:29.0,00:00.0,100,2,63,77,70,171394,34284,20517,15504,19980,11724,3266,3185,,,,,
10:30.0,00:00.0,100,2,66,63,64,17650,37217,9193,2097,3510,7116,5900,1102,,,,,
10:31.0,00:00.0,100,2,61,47,54,125820,69346,6385,3230,2625,3742,1271,256,,,,,
10:32.0,00:00.0,100,2,57,43,50,32591,20930,4219,13290,4756,4964,6591,2033,,,,,
10:33.0,00:00.0,100,2,43,35,39,234776,133509,28713,2604,10329,5100,3657,2244,,,,,
10:34.0,00:00.0,100,2,43,35,39,55652,48100,15513,3415,17598,9275,4508,2666,,,,,
10:35.0,00:00.0,100,2,53,44,48,107397,4446,1579,605,739,985,547,84,,,,,
10:36.0,00:00.0,100,2,57,44,50,5041,18403,16790,4973,8527,8519,1392,4209,,,,,
10:37.0,00:00.0,100,2,61,50,55,38274,362090,86200,36277,12986,17540,11574,1565,,,,,
10:38.0,00:00.0,100,2,56,64,60,16484,14552,37099,10187,21993,5376,2757,5849,,,,,
10:39.0,00:00.0,100,2,48,67,57,95658,73881,23050,19266,7313,7014,2624,1376,,,,,
10:40.0,00:00.0,100,2,41,69,55,12378,16293,20867,2396,10097,3840,1982,2694,,,,,
10:41.0,00:00.0,100,2,51,70,60,40771,30472,7046,14650,17207,6146,2314,2739,,,,,
10:42.0,00:00.0,100,2,54,57,55,124812,77939,17625,12821,10174,12535,3629,3128,,,,,
10:43.0,00:00.0,100,2,60,66,63,4731,13162,10025,15735,6694,4182,2676,3521,,,,,
