'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
43:47.0,00:00.0,100,2,61,96,78,210336,54844,105474,24189,20452,25068,3909,4017,,11546.31263,8913.638947,4507.235789,2296.029474
43:48.0,00:00.0,100,2,63,66,64,1129176,339858,25507,19531,36208,15872,9099,2897,,,,,
43:49.0,00:00.0,100,2,74,74,74,267423,41308,9563,59646,32514,9066,4223,5172,,,,,
43:50.0,00:00.0,100,2,61,81,71,224265,28012,21974,27220,9969,8051,2131,1127,,,,,
43:51.0,00:00.0,100,2,56,67,61,288282,16572,7333,1667,1269,2428,848,1355,,,,,
43:52.0,00:00.0,100,2,74,87,80,26101,49795,21602,8530,4514,9317,4115,3749,,,,,
43:53.0,00:00.0,100,2,70,80,75,139719,58212,29681,3769,8210,6647,6550,2410,,,,,
43:54.0,00:00.0,100,2,70,75,72,26190,36839,29862,7822,8105,7856,2562,2244,,,,,
43:55.0,00:00.0,100,2,63,87,75,167335,69448,78646,23318,18482,10278,4807,4313,,,,,
43:56.0,00:00.0,100,2,75,77,76,150543,23592,8596,4189,15471,16918,6529,1992,,,,,
43:57.0,00:00.0,100,2,77,78,77,7775,27890,16151,12177,16675,6470,3626,1579,,,,,
43:58.0,00:00.0,100,2,66,66,66,38428,78981,24309,7510,14863,7852,3846,2116,,,,,
43:59.0,00:00.0,100,2,60,54,57,50097,125125,39754,24456,12697,8280,3280,1333,,,,,
44:00.0,00:00.0,100,2,17,66,41,1069384,322464,148261,17068,15061,9906,6794,3730,,,,,
44:01.0,00:00.0,100,2,24,63,43,39087,36447,18888,10799,12338,13010,4337,3708,,,,,
44:02.0,00:00.0,100,2,27,78,52,7194,63886,67827,12081,7956,15046,2271,2492,,,,,
44:03.0,00:00.0,100,2,38,84,61,23072,35935,4069,39568,8615,7410,3732,4531,,,,,
44:04.0,00:00.0,100,2,53,94,73,38247,40050,64161,20393,39115,8655,4448,1406,,,,,
44:05.0,00:00.0,100,2,30,96,63,91164,38688,15768,5348,2086,1930,656,516,,,,,
44:06.0,00:00.0,100,2,27,100,63,70848,8676,16810,6226,7508,2614,740,674,,,,,
44:07.0,00:00.0,100,2,24,81,52,427403,63483,6382,11359,10743,5668,1316,684,,,,,
44:08.0,00:00.0,100,2,34,75,54,149730,39917,4519,31339,9475,9556,7949,2886,,,,,
44:09.0,00:00.0,100,2,54,81,67,38423,39035,32926,26153,14945,16749,5751,4601,,,,,
44:10.0,00:00.0,100,2,41,64,52,197439,98164,34877,3912,16569,3710,1955,2553,,,,,
44:11.0,00:00.0,100,2,38,81,59,20934,69495,65598,5059,5576,9015,739,835,,,,,
44:12.0,00:00.0,100,2,16,78,47,104117,63824,22624,8674,6932,1934,752,760,,,,,
44:13.0,00:00.0,100,2,14,64,39,279683,13986,3986,2809,5821,3728,1269,316,,,,,
44:14.0,00:00.0,100,2,47,80,63,12172,11210,15036,15946,7859,13684,8737,2240,,,,,
44:15.0,00:00.0,100,2,57,60,58,79486,106299,13304,12995,9114,20934,14563,3906,,,,,
44:16.0,00:00.0,100,2,83,64,73,64958,42195,22067,25947,7067,14416,3661,3711,,,,,
44:17.0,00:00.0,100,1,63,70,66,113118,62143,25837,13060,13740,3395,2419,533,,,,,
44:18.0,00:00.0,100,1,41,51,46,29561,144766,14760,18926,19088,9296,6642,3219,,,,,
44:19.0,00:00.0,100,1,51,64,57,11150,11226,2400,14633,12316,9759,2434,1627,,,,,
44:20.0,00:00.0,100,1,34,64,49,8137,79151,33816,33413,7493,5210,4124,2625,,,,,
44:21.0,00:00.0,100,1,54,61,57,7741,78722,41936,4897,9713,26555,3596,1994,,,,,
44:22.0,00:00.0,100,1,54,64,59,38627,92295,10529,16877,15865,6424,7052,1758,,,,,
44:23.0,00:00.0,100,1,20,61,40,109330,163195,42116,24081,5184,5445,3231,1191,,,,,
44:24.0,00:00.0,100,1,21,47,34,16615,98925,8864,18281,8980,6638,2442,1838,,,,,
44:25.0,00:00.0,100,1,1,50,25,238169,176404,45073,69094,35881,11772,12814,6144,,,,,
44:26.0,00:00.0,100,1,8,75,41,17148,7287,19064,21066,12513,3691,5027,3161,,,,,
44:27.0,00:00.0,100,1,44,78,61,55302,17921,20890,8272,18101,19450,8494,4793,,,,,
44:28.0,00:00.0,100,2,41,93,67,58067,9173,5636,1962,1293,696,650,327,,,,,
44:29.0,00:00.0,100,2,60,96,78,19054,17991,10262,8427,5012,6424,2745,1337,,,,,
44:30.0,00:00.0,100,2,51,70,60,20659,36397,6874,2480,645,1821,1245,692,,,,,
44:31.0,00:00.0,100,2,37,77,57,310595,69849,26660,63756,24502,20417,19895,4763,,,,,
44:32.0,00:00.0,100,2,44,66,55,1074526,87486,33697,5452,19513,10052,9495,1423,,,,,
44:33.0,00:00.0,100,2,43,61,52,62835,133243,92870,15276,49951,35992,8724,12608,,,,,
44:34.0,00:00.0,100,2,54,70,62,123201,50130,28205,6951,6954,8785,1906,1342,,,,,
44:35.0,00:00.0,100,1,30,47,38,287074,777153,18150,84841,30941,14899,40664,3920,,,,,
44:36.0,00:00.0,100,2,38,41,39,159447,34719,5225,4073,6887,5222,3581,2715,,,,,
44:37.0,00:00.0,100,2,17,44,30,204132,164694,51181,71661,9995,7782,6972,3131,,,,,
44:38.0,00:00.0,100,2,27,44,35,68771,5975,2402,3339,3753,2400,2278,554,,,,,
44:39.0,00:00.0,100,2,43,40,41,1344629,1181191,40822,81249,178296,63168,32271,32262,,,,,
44:40.0,00:00.0,100,2,26,24,25,199693,94509,4775,1677,3677,3541,1809,1536,,,,,
44:41.0,00:00.0,100,2,34,16,25,157734,130880,20343,30931,12262,8398,10309,3357,,,,,
44:42.0,00:00.0,100,2,41,11,26,1028300,47826,19070,8501,10971,29185,29042,16146,,,,,
44:43.0,00:00.0,100,2,56,26,41,254020,65385,13503,12407,12031,15916,11663,5806,,,,,
44:44.0,00:00.0,100,2,69,44,56,70090,80882,12483,17149,16863,11460,6448,4677,,,,,
44:45.0,00:00.0,100,2,80,38,59,80316,104440,18728,10866,19226,14941,6130,1393,,,,,
44:46.0,00:00.0,100,2,64,60,62,12936,25415,44730,24472,8298,9737,2080,3823,,,,,
44:47.0,00:00.0,100,2,51,61,56,121940,20213,4025,3754,3143,1818,2155,669,,,,,
44:48.0,00:00.0,100,2,61,64,62,16499,38628,2367,21909,9435,14408,5377,3481,,,,,
44:49.0,00:00.0,100,2,38,50,44,392875,694692,5421,24376,19785,10038,6529,4543,,,,,
44:50.0,00:00.0,100,2,27,37,32,938209,140154,41182,40725,24503,9070,6732,2390,,,,,
44:51.0,00:00.0,100,2,27,47,37,21052,30776,27237,7742,22516,3892,8508,1472,,,,,
44:52.0,00:00.0,100,2,27,56,41,32566,24878,8108,23095,12049,13801,5140,2197,,,,,
44:53.0,00:00.0,100,2,51,90,70,451914,100811,46178,53741,6428,20869,2390,2342,,,,,
44:54.0,00:00.0,100,2,77,77,77,373939,88870,16408,5695,16692,33448,5460,1810,,,,,
44:55.0,00:00.0,100,2,80,84,82,27295,30145,59278,31114,34069,8517,7473,1449,,,,,
44:56.0,00:00.0,100,2,69,77,73,180063,29172,6235,4152,1875,4065,2094,963,,,,,
44:57.0,00:00.0,100,2,66,69,67,126603,41192,9223,9566,1048,4958,2168,968,,,,,
44:58.0,00:00.0,100,2,53,84,68,15924,31757,10856,12230,5927,5919,3630,4720,,,,,
44:59.0,00:00.0,100,2,43,78,60,70259,25558,13242,7617,393,1349,1620,376,,,,,
45:00.0,00:00.0,100,2,37,93,65,12778,31872,42725,13990,7741,5466,4308,4999,,,,,
45:01.0,00:00.0,100,2,41,100,70,32479,46308,39145,7298,3645,11969,5551,1490,,,,,
45:02.0,00:00.0,100,2,53,87,70,41890,41523,8174,5794,29424,16187,3814,1507,,,,,
45:03.0,00:00.0,100,2,81,74,77,13956,40933,10287,5869,4411,18772,5840,1456,,,,,
45:04.0,00:00.0,100,2,96,69,82,12780,18799,30738,6851,14774,12165,3706,1871,,,,,
45:05.0,00:00.0,100,2,87,51,69,73733,46316,2074,4728,3431,2667,1083,581,,,,,
45:06.0,00:00.0,100,2,75,53,64,226347,73628,12841,10455,34167,11173,6353,3482,,,,,
45:07.0,00:00.0,100,2,78,60,69,24423,7374,442,10099,8084,8188,2440,2222,,,,,
45:08.0,00:00.0,100,2,67,40,53,124006,369242,45788,27850,30719,36649,6033,1864,,,,,
45:09.0,00:00.0,100,2,80,57,68,239912,35146,12717,24784,14993,10433,9391,5920,,,,,
45:10.0,00:00.0,100,2,56,44,50,265444,134878,3187,4700,3432,2109,2236,1374,,,,,
45:11.0,00:00.0,100,2,41,38,39,511162,210365,38812,45946,52277,38511,14124,14886,,,,,
45:12.0,00:00.0,100,2,29,37,33,293656,69182,6285,4663,3589,2389,1030,498,,,,,
45:13.0,00:00.0,100,2,3,11,7,568036,533883,28400,9720,23513,3703,7399,1493,,,,,
45:14.0,00:00.0,100,2,16,27,21,72436,17082,4250,943,723,710,354,181,,,,,
45:15.0,00:00.0,100,2,23,37,30,105496,15826,5436,6567,2965,5078,2489,446,,,,,
45:16.0,00:00.0,100,2,43,56,49,7037,34761,32030,11886,4084,11396,5816,5896,,,,,
45:17.0,00:00.0,100,2,74,74,74,46478,96810,24634,12474,9996,20173,5700,1366,,,,,
45:18.0,00:00.0,100,2,84,81,82,13784,48860,16330,24458,6051,9525,3264,1643,,,,,
45:19.0,00:00.0,100,2,84,93,88,30763,13334,13236,32151,9783,12043,2486,2304,,,,,
