'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
01:17.0,00:00.0,100,2,53,66,59,115534,9889,3457,2362,5221,4031,1965,1020,,13776.33557,10274.23993,5923.387584,3104.536913
01:18.0,00:00.0,100,2,57,57,57,54524,51180,29985,14369,5484,20585,28982,3018,,,,,
01:19.0,00:00.0,100,2,66,53,59,387059,99501,33012,14959,4818,23049,10410,6538,,,,,
01:20.0,00:00.0,100,2,66,40,53,643747,462375,73844,33438,31385,29141,29909,10347,,,,,
01:21.0,00:00.0,100,2,57,35,46,912260,119789,10289,18326,11071,14981,6389,2707,,,,,
01:22.0,00:00.0,100,2,53,24,38,101461,15919,2620,2000,11540,2967,1653,741,,,,,
01:23.0,00:00.0,100,2,47,35,41,270406,64711,19458,137808,50441,16021,10319,2926,,,,,
01:24.0,00:00.0,100,2,51,41,46,433790,149780,79806,17983,43725,23674,6877,12780,,,,,
01:25.0,00:00.0,100,2,53,50,51,164633,60979,21941,25737,32276,13060,4691,3962,,,,,
01:26.0,00:00.0,100,2,43,63,53,131184,109226,82318,14261,5593,8300,5813,2061,,,,,
01:27.0,00:00.0,100,2,37,54,45,257407,170544,24249,62614,23995,9837,14637,2619,,,,,
01:28.0,00:00.0,100,2,35,54,44,59483,86213,25541,21372,15917,9758,6178,2911,,,,,
01:29.0,00:00.0,100,2,41,50,45,8786,49840,12008,9259,5983,16739,4908,1748,,,,,
01:30.0,00:00.0,100,2,51,53,52,95386,37063,28460,19443,3383,11395,2658,942,,,,,
01:31.0,00:00.0,100,2,60,47,53,122447,9052,1598,1266,3298,1045,270,487,,,,,
01:32.0,00:00.0,100,2,57,54,55,57234,49502,43665,15102,3615,6195,4168,2453,,,,,
01:33.0,00:00.0,100,2,50,64,57,57045,56359,34700,34680,6253,13324,4978,1985,,,,,
01:34.0,00:00.0,100,2,37,47,42,619075,301391,31112,16500,44010,10388,6759,4762,,,,,
01:35.0,00:00.0,100,2,26,41,33,631765,244346,22489,7931,10872,8351,3326,3470,,,,,
01:36.0,00:00.0,100,2,24,35,29,1024719,34735,5797,16425,5092,2194,407,791,,,,,
01:37.0,00:00.0,100,2,11,26,18,172384,36078,12187,3407,5168,1274,1643,558,,,,,
01:38.0,00:00.0,100,2,8,26,17,325189,406357,34229,24684,16287,10162,16830,4396,,,,,
01:39.0,00:00.0,100,2,21,24,22,1994948,120541,5679,8847,22352,21362,11392,7158,,,,,
01:40.0,00:00.0,100,2,37,27,32,145075,66850,57962,22956,14506,30991,12327,4498,,,,,
01:41.0,00:00.0,100,2,54,27,40,626971,244286,69070,64369,51090,67446,9825,3439,,,,,
01:42.0,00:00.0,100,2,54,34,44,242688,110590,10815,18052,13318,2879,1342,731,,,,,
01:43.0,00:00.0,100,2,38,48,43,506730,251770,117465,27308,17851,9031,6548,2159,,,,,
01:44.0,00:00.0,100,2,24,48,36,693983,57041,22879,34046,13500,5681,4763,2217,,,,,
01:45.0,00:00.0,100,2,13,40,26,155103,140083,19106,5583,3282,8297,6322,4268,,,,,
01:46.0,00:00.0,100,2,29,43,36,616469,108733,36705,4744,5286,19481,19788,1678,,,,,
01:47.0,00:00.0,100,2,53,35,44,610928,71323,17125,8943,22800,27456,14592,11565,,,,,
01:48.0,00:00.0,100,2,54,30,42,197869,51133,16617,16862,8408,6112,10323,5385,,,,,
01:49.0,00:00.0,100,2,60,37,48,390403,147731,21888,27312,23111,19356,9777,6070,,,,,
01:50.0,00:00.0,100,2,53,20,36,82746,19868,209,850,933,1154,476,233,,,,,
01:51.0,00:00.0,100,2,40,21,30,1671700,173597,48602,7996,25247,15060,7908,3212,,,,,
01:52.0,00:00.0,100,2,30,24,27,20220,105596,64666,21840,6539,5500,6106,5876,,,,,
01:53.0,00:00.0,100,2,23,29,26,309958,44964,12116,6356,1278,2124,918,839,,,,,
01:54.0,00:00.0,100,2,17,34,25,126377,68850,4895,1473,3063,2749,678,3831,,,,,
01:55.0,00:00.0,100,2,27,40,33,45933,79502,39673,24714,21466,28657,2831,6850,,,,,
01:56.0,00:00.0,100,2,37,35,36,245508,119762,62654,1215,17314,13888,10379,4564,,,,,
01:57.0,00:00.0,100,2,54,35,44,276329,36169,1279,28323,15080,17327,13304,3835,,,,,
01:58.0,00:00.0,100,2,67,53,60,31854,25671,17184,4660,6032,7159,11882,6757,,,,,
01:59.0,00:00.0,100,2,63,61,62,526797,122033,163864,73362,31112,37481,27886,12365,,,,,
02:00.0,00:00.0,100,2,69,66,67,29716,18637,4933,20844,8712,6224,3734,4398,,,,,
02:01.0,00:00.0,100,2,51,74,62,16305,60412,46108,21567,11234,3931,3366,1437,,,,,
02:02.0,00:00.0,100,2,51,77,64,530227,35841,25494,30150,16678,13746,6755,2963,,,,,
02:03.0,00:00.0,100,2,35,77,56,49480,11552,17522,2987,3587,630,961,256,,,,,
02:04.0,00:00.0,100,2,38,75,56,12825,36840,12748,30315,14205,17940,3332,2750,,,,,
02:05.0,00:00.0,100,2,44,69,56,9318,23078,10835,23706,34725,4027,5163,990,,,,,
02:06.0,00:00.0,100,2,44,69,56,9220,42191,13716,41416,12971,12871,3753,2628,,,,,
02:07.0,00:00.0,100,2,56,61,58,446009,58452,29759,11362,23574,7675,2575,870,,,,,
02:08.0,00:00.0,100,2,51,67,59,18082,32315,60233,21304,11432,13208,4173,1629,,,,,
02:09.0,00:00.0,100,2,60,74,67,21881,34499,27391,21509,5562,15780,1808,1924,,,,,
02:10.0,00:00.0,100,2,61,63,62,70461,43353,2831,14458,15207,10500,2495,1858,,,,,
02:11.0,00:00.0,100,1,57,51,54,310473,153747,18858,8934,25095,8951,7428,2977,,,,,
02:12.0,00:00.0,100,1,41,30,35,140022,122244,10210,11031,2048,2676,2318,2736,,,,,
02:13.0,00:00.0,100,1,34,29,31,1059370,99751,58875,39604,14940,14497,7551,9273,,,,,
02:14.0,00:00.0,100,1,16,24,20,70409,217107,13158,17096,11073,6158,4009,1233,,,,,
02:15.0,00:00.0,100,1,13,41,27,18702,93682,93352,8119,10708,6358,2469,1455,,,,,
02:16.0,00:00.0,100,1,34,41,37,12658,31683,1599,6402,11286,7341,2513,1164,,,,,
02:17.0,00:00.0,100,1,34,38,36,12331,60058,11843,32515,5224,6694,3337,1533,,,,,
02:18.0,00:00.0,100,1,38,38,38,35138,127673,7128,10947,10532,6440,3342,2169,,,,,
02:19.0,00:00.0,100,1,41,14,27,742625,206556,10023,4850,9754,11519,2112,1759,,,,,
02:20.0,00:00.0,100,1,17,13,15,47451,84503,7093,5881,5197,1228,492,350,,,,,
02:21.0,00:00.0,100,1,11,4,7,423968,157903,22807,15551,6565,6509,2617,2279,,,,,
02:22.0,00:00.0,100,1,8,8,8,107688,76278,5585,9474,2548,2729,1020,1714,,,,,
02:23.0,00:00.0,100,1,11,20,15,1128022,459698,71180,55367,58005,45493,20709,5483,,,,,
02:24.0,00:00.0,100,1,26,37,31,1077624,100809,79827,23121,8459,12752,8226,10080,,,,,
02:25.0,00:00.0,100,1,30,41,35,1640346,107431,33670,26662,23465,10634,8681,3586,,,,,
02:26.0,00:00.0,100,1,38,50,44,170581,9424,2834,1631,696,888,1427,786,,,,,
02:27.0,00:00.0,100,1,43,66,54,44009,15393,23893,12088,3199,7673,3335,2601,,,,,
02:28.0,00:00.0,100,1,40,60,50,212596,30465,10821,3576,5842,1658,1372,698,,,,,
02:29.0,00:00.0,100,1,41,53,47,241326,48100,8926,3556,2677,4112,1753,319,,,,,
02:30.0,00:00.0,100,1,38,44,41,116346,48578,3681,4963,3120,2681,927,542,,,,,
02:31.0,00:00.0,100,1,24,20,22,242893,61038,5251,1861,2753,2368,418,371,,,,,
02:32.0,00:00.0,100,1,27,27,27,192577,98058,71231,49543,5306,11599,4104,1922,,,,,
02:33.0,00:00.0,100,1,29,34,31,146154,107138,45308,8852,26942,13112,6219,2897,,,,,
02:34.0,00:00.0,100,1,20,44,32,45693,154512,68373,34823,33179,4388,2824,1060,,,,,
