'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
43:49.0,00:00.0,100,2,38,41,39,108723,57985,20500,9840,11633,10473,4280,2774,,10415.31356,8395.28178,4424.076271,2225.611229
43:50.0,00:00.0,100,2,35,38,36,27350,49586,7265,10467,14889,8056,3993,5830,,,,,
43:51.0,00:00.0,100,2,47,53,50,361164,130926,35431,18708,13407,21224,14627,4960,,,,,
43:52.0,00:00.0,100,2,50,47,48,356402,299131,34147,16450,10630,31192,11548,1409,,,,,
43:53.0,00:00.0,100,2,63,44,53,10254,17863,9344,5097,12017,18737,4972,4218,,,,,
43:54.0,00:00.0,100,2,61,53,57,26265,42391,19019,19152,13829,6831,3096,878,,,,,
43:55.0,00:00.0,100,2,51,51,51,911841,235557,48840,28230,32436,9961,8146,2983,,,,,
43:56.0,00:00.0,100,2,56,67,61,178936,28447,17393,20996,13698,13449,5479,2901,,,,,
43:57.0,00:00.0,100,2,40,56,48,184134,150719,13801,6142,18211,13629,4726,2616,,,,,
43:58.0,00:00.0,100,2,53,47,50,44094,18144,2809,5186,7071,10378,4613,3221,,,,,
43:59.0,00:00.0,100,2,61,48,54,9138,35927,9875,5641,15557,4145,5460,1539,,,,,
44:00.0,00:00.0,100,2,64,29,46,7397,41423,2488,6241,9414,14018,3253,1603,,,,,
44:01.0,00:00.0,100,2,63,35,49,563682,140781,9638,17907,16090,11090,6068,2388,,,,,
44:02.0,00:00.0,100,2,51,38,44,289505,48261,17101,9474,32093,7799,8231,1108,,,,,
44:03.0,00:00.0,100,2,38,20,29,299667,331865,4575,13316,7604,6478,4968,1150,,,,,
44:04.0,00:00.0,100,2,35,40,37,18243,15831,15070,15469,4733,8958,5682,2096,,,,,
44:05.0,00:00.0,100,2,47,43,45,150752,14342,843,3619,2286,4272,1430,260,,,,,
44:06.0,00:00.0,100,2,56,56,56,7821,6074,4867,21782,5278,12274,2074,1439,,,,,
44:07.0,00:00.0,100,2,69,88,78,33229,22602,30250,5276,3678,5635,2393,2703,,,,,
44:08.0,00:00.0,100,2,67,88,77,15816,11509,6864,12600,3666,4146,4843,1782,,,,,
44:09.0,00:00.0,100,2,53,94,73,7532,35473,3129,19650,19788,2848,6407,2040,,,,,
44:10.0,00:00.0,100,2,48,63,55,23135,26485,1147,1104,9116,5733,1042,1037,,,,,
44:11.0,00:00.0,100,2,50,54,52,32307,56829,17237,20134,15269,9800,8750,4303,,,,,
44:12.0,00:00.0,100,2,48,50,49,61812,42023,19327,20995,6903,9730,8089,5068,,,,,
44:13.0,00:00.0,100,2,51,50,50,400185,160271,60157,6985,18797,14662,5351,1642,,,,,
44:14.0,00:00.0,100,2,44,74,59,4613,32699,17253,3483,4250,5618,4283,2937,,,,,
44:15.0,00:00.0,100,2,51,67,59,6602,22250,8860,3592,16974,9108,10075,1089,,,,,
44:16.0,00:00.0,100,2,50,56,53,11289,54581,10610,3810,5891,5699,2862,1208,,,,,
44:17.0,00:00.0,100,2,44,64,54,574606,47873,38822,22685,19302,4824,6598,1829,,,,,
44:18.0,00:00.0,100,2,37,64,50,19837,117578,29677,28450,6003,6333,1662,1074,,,,,
44:19.0,00:00.0,100,2,20,61,40,608024,455131,50854,58205,42153,19019,8892,3776,,,,,
44:20.0,00:00.0,100,2,10,69,39,171827,62674,10056,26571,2938,2788,1865,330,,,,,
44:21.0,00:00.0,100,2,21,63,42,10989,21747,8039,11522,16611,6589,5717,2998,,,,,
44:22.0,00:00.0,100,2,34,61,47,36704,28222,13160,4117,13552,6990,2252,6046,,,,,
44:23.0,00:00.0,100,2,51,69,60,20490,16608,16699,4614,16583,10615,4098,1235,,,,,
44:24.0,00:00.0,100,2,63,70,66,97917,81684,26209,62547,34060,16547,5854,2574,,,,,
44:25.0,00:00.0,100,2,66,70,68,2594,17259,5832,6031,5038,6282,3556,795,,,,,
44:26.0,00:00.0,100,2,60,81,70,17402,24852,27685,8598,7201,4717,9926,1396,,,,,
44:27.0,00:00.0,100,2,53,93,73,432465,9104,16028,12513,3018,5086,1441,1679,,,,,
44:28.0,00:00.0,100,2,56,100,78,41829,12853,27040,13596,8662,8761,4014,4840,,,,,
44:29.0,00:00.0,100,2,43,100,71,85969,95105,42555,14714,9506,6329,2694,1463,,,,,
44:30.0,00:00.0,100,2,40,93,66,504236,92864,25796,31342,30023,9069,4787,3240,,,,,
44:31.0,00:00.0,100,2,30,81,55,1169084,131084,44359,52718,53349,9954,15552,1509,,,,,
44:32.0,00:00.0,100,2,26,81,53,143928,39648,73050,13938,9181,12738,6026,1304,,,,,
44:33.0,00:00.0,100,2,24,81,52,638049,56940,8714,23860,3812,3025,1557,593,,,,,
44:34.0,00:00.0,100,2,29,87,58,179993,27356,21034,5127,7766,5434,779,1647,,,,,
44:35.0,00:00.0,100,2,29,83,56,380670,103165,26801,23520,24139,7002,5704,4197,,,,,
44:36.0,00:00.0,100,2,27,64,45,270463,84265,14604,10524,9153,8114,2362,853,,,,,
44:37.0,00:00.0,100,2,29,61,45,10442,75740,17170,12159,14874,4478,2511,1250,,,,,
44:38.0,00:00.0,100,2,41,61,51,1838,10094,9187,6444,5336,9618,1918,1193,,,,,
44:39.0,00:00.0,100,2,56,60,58,14283,27457,11846,2237,9041,9531,7092,1242,,,,,
44:40.0,00:00.0,100,2,66,66,66,32116,18472,11684,10017,14624,9333,2634,1427,,,,,
44:41.0,00:00.0,100,2,74,70,72,22264,24923,3005,18306,7067,5103,6169,1402,,,,,
44:42.0,00:00.0,100,2,56,64,60,38742,50638,15574,7190,12564,3694,3993,1660,,,,,
44:43.0,00:00.0,100,2,51,67,59,20422,44637,15197,11523,15059,9230,5291,2504,,,,,
44:44.0,00:00.0,100,2,40,69,54,16660,48124,23962,10248,5722,5007,3088,1112,,,,,
44:45.0,00:00.0,100,2,44,75,59,3408,16932,5028,23199,4125,9406,8145,1109,,,,,
44:46.0,00:00.0,100,2,43,70,56,215300,217620,24357,31964,8328,12001,6355,1628,,,,,
44:47.0,00:00.0,100,2,37,75,56,127271,124824,64997,24394,16653,12612,5214,1359,,,,,
44:48.0,00:00.0,100,2,44,64,54,11912,21258,4371,5464,12032,5827,4852,2170,,,,,
44:49.0,00:00.0,100,2,37,51,44,22238,30083,3016,9062,13706,3198,7354,2301,,,,,
44:50.0,00:00.0,100,2,43,75,59,66885,10058,34070,13032,6174,5004,4044,4581,,,,,
44:51.0,00:00.0,100,2,44,64,54,384774,202783,44587,7303,5833,19454,8423,3284,,,,,
44:52.0,00:00.0,100,2,43,63,53,70337,104123,23874,7881,9880,18575,7006,3220,,,,,
44:53.0,00:00.0,100,2,50,61,55,301593,136781,15924,22015,13370,29831,7721,5248,,,,,
44:54.0,00:00.0,100,1,50,35,42,423142,205106,9276,42515,42545,21314,9437,4691,,,,,
44:55.0,00:00.0,100,1,56,40,48,11492,33088,13100,8790,14505,7804,4924,8666,,,,,
44:56.0,00:00.0,100,1,63,53,58,36301,12132,21262,8661,14490,12660,2735,6501,,,,,
44:57.0,00:00.0,100,1,54,57,55,270194,99976,26706,23251,12634,12044,4272,3079,,,,,
44:58.0,00:00.0,100,1,64,61,62,55311,32033,4014,7580,6517,9638,2315,1294,,,,,
44:59.0,00:00.0,100,1,51,66,58,402323,119317,68873,18094,10352,7534,4939,2885,,,,,
45:00.0,00:00.0,100,1,44,60,52,31606,40245,6567,18066,16205,8626,3944,1308,,,,,
45:01.0,00:00.0,100,1,53,67,60,49745,25965,13133,18525,1592,11510,6211,2453,,,,,
45:02.0,00:00.0,100,1,50,77,63,10474,25279,7062,18699,14631,7186,5732,1793,,,,,
45:03.0,00:00.0,100,1,56,77,66,12626,19650,14388,7563,9548,3410,6713,3587,,,,,
45:04.0,00:00.0,100,1,56,90,73,2350,23090,49710,8554,9602,9456,7873,2032,,,,,
45:05.0,00:00.0,100,1,57,81,69,21498,22586,9738,5118,6200,9294,2303,1773,,,,,
45:06.0,00:00.0,100,2,50,70,60,127856,69821,13728,3183,7986,4855,1816,344,,,,,
45:07.0,00:00.0,100,2,51,66,58,87941,15044,4451,3517,3575,2357,1103,216,,,,,
45:08.0,00:00.0,100,2,48,56,52,65544,65498,29051,21054,31648,8366,5401,3004,,,,,
45:09.0,00:00.0,100,2,38,50,44,849993,34535,4707,3915,3067,3502,1134,471,,,,,
45:10.0,00:00.0,100,2,35,50,42,158263,144477,5104,34048,22689,7053,6785,2464,,,,,
45:11.0,00:00.0,100,2,29,61,45,21179,17921,61863,21500,45032,6218,4015,1964,,,,,
45:12.0,00:00.0,100,2,43,56,49,37111,17871,11194,476,8263,11605,4403,1054,,,,,
45:13.0,00:00.0,100,2,56,57,56,12468,14385,1930,6055,9343,7214,4537,2223,,,,,
45:14.0,00:00.0,100,2,70,74,72,14327,11083,26322,7400,15353,8215,3106,1498,,,,,
45:15.0,00:00.0,100,2,80,63,71,29917,25431,8141,13546,12635,7586,3022,1173,,,,,
45:16.0,00:00.0,100,2,61,64,62,144855,140078,39528,9740,10705,8332,4756,2462,,,,,
45:17.0,00:00.0,100,2,50,69,59,1095423,278872,97345,34552,14070,39094,4108,3184,,,,,
45:18.0,00:00.0,100,2,43,57,50,26473,42076,11962,8892,15664,5860,3938,632,,,,,
45:19.0,00:00.0,100,2,27,43,35,175820,374215,27465,13117,6921,10805,4994,2190,,,,,
45:20.0,00:00.0,100,2,43,56,49,38967,6252,11303,10468,3956,7437,2149,1626,,,,,
45:21.0,00:00.0,100,2,43,56,49,24945,35543,17704,2426,11390,5553,2799,3227,,,,,
45:22.0,00:00.0,100,2,44,57,50,22562,27180,13320,13753,28677,6617,8753,2904,,,,,
45:23.0,00:00.0,100,2,53,70,61,92361,49343,23329,2502,10944,5863,2965,1910,,,,,
45:24.0,00:00.0,100,2,41,41,41,543619,70856,173,5882,12414,5618,3902,2559,,,,,
45:25.0,00:00.0,100,2,38,41,39,19445,45692,14288,7929,5811,4454,4784,2667,,,,,
45:26.0,00:00.0,100,2,38,35,36,31527,39087,8004,5458,13538,6161,5751,1750,,,,,
45:27.0,00:00.0,100,2,43,30,36,29915,48778,11354,9435,20100,8051,3650,1179,,,,,
45:28.0,00:00.0,100,2,40,53,46,8449,50572,26047,8492,16684,4076,4563,749,,,,,
45:29.0,00:00.0,100,2,41,38,39,23625,66531,2774,5050,3433,6674,1957,1519,,,,,
45:30.0,00:00.0,100,2,41,54,47,20607,18135,17070,10189,5545,4962,4322,1290,,,,,
45:31.0,00:00.0,100,2,41,44,42,222152,104084,4685,10154,17979,14206,3052,1349,,,,,
45:32.0,00:00.0,100,2,56,50,53,42258,7061,11913,6228,8312,7475,2718,1462,,,,,
45:33.0,00:00.0,100,2,61,70,65,47707,23304,22608,11700,10310,9655,4181,1376,,,,,
45:34.0,00:00.0,100,2,53,38,45,410178,645407,11447,15847,23618,25805,11564,4257,,,,,
45:35.0,00:00.0,100,2,61,53,57,27569,18613,8863,7437,11857,10963,11781,3626,,,,,
45:36.0,00:00.0,100,2,61,38,49,26825,14287,2192,5736,19529,6359,1684,1032,,,,,
45:37.0,00:00.0,100,2,57,34,45,22820,19958,14369,5452,15838,5107,1939,935,,,,,
45:38.0,00:00.0,100,2,66,64,65,129440,29299,36693,14705,21989,7575,4915,3008,,,,,
45:39.0,00:00.0,100,2,53,83,68,42948,2944,12523,5347,3857,1333,774,1168,,,,,
45:40.0,00:00.0,100,2,53,84,68,10676,34616,3280,10874,4078,13947,8156,3797,,,,,
45:41.0,00:00.0,100,2,60,88,74,17958,23733,17617,10937,4182,13128,2611,2675,,,,,
45:42.0,00:00.0,100,2,74,81,77,5903,15075,12695,4660,9496,14558,4227,1221,,,,,
45:43.0,00:00.0,100,2,84,74,79,33742,6273,9432,10097,7662,5654,4040,3481,,,,,
45:44.0,00:00.0,100,2,67,77,72,176474,133479,41200,16958,21565,8642,6834,2792,,,,,
45:45.0,00:00.0,100,2,67,74,70,9478,20491,10859,7477,5381,9387,2339,3042,,,,,
45:46.0,00:00.0,100,2,53,75,64,129992,23607,13346,2899,5189,3037,1329,522,,,,,
45:47.0,00:00.0,100,2,43,75,59,66139,31462,44767,4036,11848,6599,5904,1523,,,,,
45:48.0,00:00.0,100,2,41,64,52,218380,413018,37695,32686,9605,18887,3644,2220,,,,,
45:49.0,00:00.0,100,2,37,66,51,67470,24108,23768,5875,26193,6856,4233,3364,,,,,
45:50.0,00:00.0,100,2,37,74,55,11621,30144,7901,44033,10473,5985,7530,4893,,,,,
45:51.0,00:00.0,100,2,43,67,55,41599,23817,23218,6094,20505,9680,5518,2337,,,,,
45:52.0,00:00.0,100,2,43,74,58,246007,29506,7418,2779,4864,1416,2100,305,,,,,
45:53.0,00:00.0,100,2,38,80,59,43914,17652,9388,12820,2411,2973,728,360,,,,,
45:54.0,00:00.0,100,2,43,87,65,11469,5336,7776,26561,4204,4931,2326,1014,,,,,
45:55.0,00:00.0,100,2,43,80,61,18175,27451,8742,4443,8407,7713,4039,4065,,,,,
45:56.0,00:00.0,100,2,44,80,62,256515,22674,5231,1766,3187,1315,1395,629,,,,,
45:57.0,00:00.0,100,2,48,69,58,49625,22514,7079,5440,8387,3636,2059,1841,,,,,
45:58.0,00:00.0,100,2,37,48,42,100964,113422,19628,16815,6224,4860,4065,1740,,,,,
45:59.0,00:00.0,100,2,38,48,43,27972,18540,6136,4161,8107,7179,4366,2787,,,,,
46:00.0,00:00.0,100,2,53,56,54,18637,10746,5114,8958,7383,5734,4598,1730,,,,,
46:01.0,00:00.0,100,2,50,67,58,7493,13190,13875,7023,4494,2955,4577,5182,,,,,
46:02.0,00:00.0,100,2,54,75,64,35979,57441,23927,11058,5385,5239,3010,3347,,,,,
46:03.0,00:00.0,100,2,48,77,62,141397,158845,78877,3924,31196,26181,4233,2477,,,,,
46:04.0,00:00.0,100,2,23,80,51,30480,104487,38147,58286,4569,2519,2378,2519,,,,,
46:05.0,00:00.0,100,2,24,83,53,11556,13975,14482,13118,4004,4394,3200,2400,,,,,
46:06.0,00:00.0,100,2,23,84,53,73642,27973,19102,3821,5855,2362,1560,1117,,,,,
46:07.0,00:00.0,100,2,17,87,52,127378,17563,2135,7991,3138,1720,1435,294,,,,,
46:08.0,00:00.0,100,2,27,96,61,191508,45233,77359,48764,3987,6098,5236,3092,,,,,
46:09.0,00:00.0,100,2,27,78,52,13313,42281,4838,7308,7898,6914,2608,1464,,,,,
46:10.0,00:00.0,100,2,37,83,60,15211,21191,16100,19601,7519,6889,1778,1334,,,,,
46:11.0,00:00.0,100,2,47,90,68,19426,29119,29678,11508,8885,14047,4277,1193,,,,,
46:12.0,00:00.0,100,2,50,53,51,73503,44216,2034,1097,2515,2289,2438,561,,,,,
46:13.0,00:00.0,100,2,48,67,57,98043,29566,23158,16520,8268,7123,7958,7130,,,,,
46:14.0,00:00.0,100,2,50,74,62,6808,9636,30880,2864,8842,6266,3571,879,,,,,
46:15.0,00:00.0,100,2,38,60,49,251523,124679,24421,11013,5928,8776,3305,1256,,,,,
46:16.0,00:00.0,100,2,40,81,60,257656,70515,19419,27155,13067,6268,3079,1860,,,,,
46:17.0,00:00.0,100,2,43,69,56,21041,26065,9155,5243,14514,5691,5937,1895,,,,,
46:18.0,00:00.0,100,2,38,63,50,16831,35906,25766,9372,4980,5986,6971,2402,,,,,
46:19.0,00:00.0,100,2,29,67,48,38401,33260,7157,5308,1483,1076,777,566,,,,,
46:20.0,00:00.0,100,2,41,67,54,50010,17991,7734,13538,11713,7040,5701,1351,,,,,
46:21.0,00:00.0,100,2,30,77,53,299672,47390,39280,19949,21509,5168,1857,1747,,,,,
46:22.0,00:00.0,100,2,37,81,59,7275,32074,40718,19716,6301,15122,3369,1380,,,,,
46:23.0,00:00.0,100,2,43,81,62,1425974,192902,54205,27261,9230,15232,6278,1705,,,,,
46:24.0,00:00.0,100,2,29,88,58,236615,46576,52024,32925,16730,5563,3340,1358,,,,,
46:25.0,00:00.0,100,2,40,80,60,38364,104049,39384,1984,6415,18554,5398,633,,,,,
46:26.0,00:00.0,100,2,37,69,53,68217,54304,19741,11880,4364,8461,1875,2309,,,,,
46:27.0,00:00.0,100,2,44,81,62,41248,24307,21777,21150,6995,9235,2361,3293,,,,,
46:28.0,00:00.0,100,2,56,67,61,41603,66067,16186,9677,5297,14947,3272,1643,,,,,
46:29.0,00:00.0,100,2,53,74,63,381357,14903,5451,5573,2111,2528,3657,568,,,,,
46:30.0,00:00.0,100,2,56,78,67,17983,17586,3867,30032,25283,7666,4988,3627,,,,,
46:31.0,00:00.0,100,2,51,66,58,104060,23116,4697,4735,1407,2259,2919,1348,,,,,
46:32.0,00:00.0,100,2,54,80,67,125273,1632,6232,3443,3570,2703,1322,819,,,,,
46:33.0,00:00.0,100,2,57,75,66,66968,27595,7390,5218,5537,6250,4301,2813,,,,,
46:34.0,00:00.0,100,2,61,70,65,11371,16835,4433,11694,7328,7359,2059,821,,,,,
46:35.0,00:00.0,100,2,74,74,74,3590,14969,4869,4491,2470,6991,2354,2337,,,,,
46:36.0,00:00.0,100,2,64,69,66,12532,22305,20439,6899,2229,4374,1890,3761,,,,,
46:37.0,00:00.0,100,2,66,77,71,38201,11980,1674,9210,2445,4435,4555,1675,,,,,
46:38.0,00:00.0,100,2,64,77,70,21501,10501,4783,13654,21562,4922,4664,1034,,,,,
46:39.0,00:00.0,100,2,66,77,71,11977,11686,9839,4237,7861,9362,3797,2381,,,,,
46:40.0,00:00.0,100,2,63,66,64,40122,59997,9663,14265,8316,4812,2698,2524,,,,,
46:41.0,00:00.0,100,2,57,63,60,6285,24322,4781,10821,5833,4368,4697,2782,,,,,
46:42.0,00:00.0,100,2,63,74,68,6724,6751,17953,4548,2441,8176,2719,1274,,,,,
46:43.0,00:00.0,100,2,51,87,69,22388,10235,35251,2684,6636,4294,2745,1323,,,,,
46:44.0,00:00.0,100,2,54,81,67,162470,88321,12860,10893,18554,9473,2068,1157,,,,,
46:45.0,00:00.0,100,2,40,74,57,498080,234526,2330,50457,4505,5133,7904,3289,,,,,
46:46.0,00:00.0,100,2,21,54,37,236551,230902,31139,19551,12623,9506,3314,3850,,,,,
46:47.0,00:00.0,100,2,11,35,23,531768,314934,46496,40579,14275,12680,3886,528,,,,,
46:48.0,00:00.0,100,2,13,30,21,179640,171951,27285,5359,17550,20390,7036,2288,,,,,
46:49.0,00:00.0,100,2,23,43,33,285811,167386,71350,37692,7116,18155,5848,2861,,,,,
46:50.0,00:00.0,100,2,29,56,42,612520,16949,2226,15708,6317,2694,1620,750,,,,,
46:51.0,00:00.0,100,2,30,53,41,538693,113870,13988,9484,8732,5429,1733,2491,,,,,
46:52.0,00:00.0,100,2,21,66,43,608382,150873,80963,20812,17404,8385,6363,3039,,,,,
46:53.0,00:00.0,100,2,20,54,37,150132,378733,63125,17838,20278,25650,4520,2793,,,,,
46:54.0,00:00.0,100,2,3,38,20,262555,279348,21293,23432,19175,1632,2884,558,,,,,
46:55.0,00:00.0,100,2,13,44,28,53268,14475,4788,1127,859,1575,974,513,,,,,
46:56.0,00:00.0,100,2,17,47,32,328551,99602,42942,35971,4892,7371,3924,1162,,,,,
46:57.0,00:00.0,100,2,24,60,42,72290,40630,27932,12359,7079,6457,4803,1105,,,,,
46:58.0,00:00.0,100,2,50,74,62,57958,15830,9983,4924,6847,4015,991,823,,,,,
46:59.0,00:00.0,100,2,50,83,66,1440926,93197,72038,27480,11270,14555,5264,4708,,,,,
47:00.0,00:00.0,100,1,50,70,60,76702,18704,3278,1701,1467,1103,444,200,,,,,
47:01.0,00:00.0,100,1,48,63,55,86352,51776,11217,5889,4061,5102,565,206,,,,,
47:02.0,00:00.0,100,1,51,66,58,27364,6966,6456,2888,2836,3165,1097,351,,,,,
47:03.0,00:00.0,100,1,53,56,54,135289,6675,658,1953,570,899,163,213,,,,,
47:04.0,00:00.0,100,1,54,74,64,248199,17055,18378,6436,2032,2222,1245,407,,,,,
47:05.0,00:00.0,100,1,56,84,70,22422,29618,31394,5194,5112,6988,3414,1096,,,,,
47:06.0,00:00.0,100,1,54,78,66,467902,55457,17571,17213,13838,14730,4560,4445,,,,,
47:07.0,00:00.0,100,1,48,87,67,144115,26544,18015,4709,2889,1909,852,800,,,,,
47:08.0,00:00.0,100,1,53,78,65,108171,118531,65578,9904,4353,16614,2419,1427,,,,,
47:09.0,00:00.0,100,1,53,64,58,141282,71382,13414,9651,11084,7859,2424,4192,,,,,
47:10.0,00:00.0,100,1,53,50,51,113643,12255,305,1359,2771,2178,714,447,,,,,
47:11.0,00:00.0,100,1,60,48,54,76903,56285,25200,11693,4689,7924,4192,4568,,,,,
47:12.0,00:00.0,100,1,63,38,50,4632,28505,3629,5818,7279,6433,5612,2782,,,,,
47:13.0,00:00.0,100,1,60,37,48,350334,43176,5213,5580,5180,3489,1662,428,,,,,
47:14.0,00:00.0,100,1,51,54,52,595109,94438,31886,24737,8834,7213,16783,15391,,,,,
47:15.0,00:00.0,100,1,51,50,50,82016,21559,5410,6780,4036,3453,782,906,,,,,
47:16.0,00:00.0,100,1,43,47,45,46203,39188,2563,3939,915,3042,2675,559,,,,,
47:17.0,00:00.0,100,1,43,61,52,108894,33962,26907,13305,4803,4702,2059,672,,,,,
47:18.0,00:00.0,100,1,44,53,48,326901,58453,9641,10577,12773,3930,2321,988,,,,,
47:19.0,00:00.0,100,2,35,47,41,452563,97361,8955,12450,6430,3216,929,844,,,,,
47:20.0,00:00.0,100,2,30,47,38,137567,55279,5075,2641,2862,2911,1278,537,,,,,
47:21.0,00:00.0,100,2,29,29,29,16550,83736,5018,14634,11970,4570,8729,2149,,,,,
47:22.0,00:00.0,100,2,37,44,40,83482,32717,29148,24415,10423,10984,8700,2610,,,,,
47:23.0,00:00.0,100,2,43,38,40,333956,151135,10894,8909,10525,11373,3923,2489,,,,,
47:24.0,00:00.0,100,2,57,53,55,55424,13091,3279,17054,12938,9468,7603,2361,,,,,
