'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
01:18.0,00:00.0,100,2,67,23,45,13655,34250,2621,8724,19812,16156,6926,10041,,10218.78667,8997.363333,5246.371667,2662.435
01:18.0,00:00.0,100,2,66,43,54,147322,10322,6103,2640,741,2208,2419,372,,,,,
01:19.0,00:00.0,100,2,63,50,56,27480,56595,9336,7237,15327,9314,6268,4237,,,,,
01:20.0,00:00.0,100,2,63,43,53,313483,41191,7191,1627,2452,3265,1779,504,,,,,
01:22.0,00:00.0,100,2,60,57,58,4550,18446,5906,12512,3026,8477,4228,3341,,,,,
01:23.0,00:00.0,100,2,77,41,59,8138,6670,1617,1728,6730,9161,4319,3286,,,,,
01:23.0,00:00.0,100,2,80,51,65,2382,15652,23233,6464,25120,8656,5406,2232,,,,,
01:24.0,00:00.0,100,2,91,60,75,11145,22705,7914,7770,9807,7905,4399,1726,,,,,
01:25.0,00:00.0,100,2,100,47,73,32051,20546,3561,6454,4576,28487,4856,680,,,,,
01:26.0,00:00.0,100,2,90,67,78,83061,7711,10396,12526,10017,5646,11589,3739,,,,,
01:27.0,00:00.0,100,2,84,60,72,25893,41783,8980,9158,10338,6368,4032,2071,,,,,
01:28.0,00:00.0,100,2,90,57,73,29619,18156,4259,9917,9135,12788,4525,2639,,,,,
01:30.0,00:00.0,100,2,78,64,71,44954,17318,5625,5107,5675,6961,7252,2517,,,,,
01:30.0,00:00.0,100,2,77,54,65,12748,36095,9602,9045,9082,7961,5786,3296,,,,,
01:31.0,00:00.0,100,2,66,56,61,263428,90634,19799,17997,12070,4936,2192,3263,,,,,
01:32.0,00:00.0,100,2,63,60,61,12782,12710,3539,14488,14095,7203,3283,1969,,,,,
01:34.0,00:00.0,100,2,75,50,62,37879,5682,509,3960,12500,13654,6241,979,,,,,
01:35.0,00:00.0,100,2,88,48,68,24249,3446,1250,7110,12793,10765,6280,1015,,,,,
01:36.0,00:00.0,100,2,100,41,70,6700,40430,5157,5500,8992,10816,3791,2342,,,,,
01:37.0,00:00.0,100,2,100,34,67,11744,23344,2566,7833,10591,12389,5185,3218,,,,,
01:37.0,00:00.0,100,2,87,50,68,16371,12043,6197,12054,8083,5777,7125,2661,,,,,
01:38.0,00:00.0,100,2,64,51,57,24133,40940,10187,6871,5723,3972,6295,4856,,,,,
01:39.0,00:00.0,100,2,64,47,55,10018,26766,1110,3829,9298,7031,6014,1792,,,,,
01:40.0,00:00.0,100,2,61,51,56,17368,33106,3150,13241,4919,12631,8097,4301,,,,,
01:41.0,00:00.0,100,2,57,43,50,40546,40124,13191,7960,14379,7506,6071,4616,,,,,
01:42.0,00:00.0,100,2,70,37,53,16514,26451,6486,2853,7231,12826,3446,3233,,,,,
01:44.0,00:00.0,100,2,66,61,63,27614,20229,8571,21548,2429,5794,7080,2126,,,,,
01:44.0,00:00.0,100,2,60,54,57,120121,32220,3005,4283,4270,3730,1029,530,,,,,
01:45.0,00:00.0,100,2,57,54,55,68605,27443,8517,4413,9748,4063,6031,1265,,,,,
01:47.0,00:00.0,100,2,51,60,55,9964,39339,11638,7073,10448,8883,2595,4164,,,,,
01:48.0,00:00.0,100,2,60,61,60,9504,6575,17564,12118,6629,11292,4813,1335,,,,,
01:48.0,00:00.0,100,2,63,70,66,18748,19267,8206,11265,9723,5995,2751,1563,,,,,
01:49.0,00:00.0,100,1,57,69,63,104794,56772,11229,4546,3768,3869,1963,732,,,,,
01:50.0,00:00.0,100,1,61,75,68,39028,27316,6541,19593,13748,11680,12730,1869,,,,,
01:51.0,00:00.0,100,1,61,57,59,21742,9731,1344,4141,2620,4920,3299,1603,,,,,
01:53.0,00:00.0,100,1,63,54,58,34257,18829,1584,14926,22705,7178,3631,3118,,,,,
01:53.0,00:00.0,100,1,78,54,66,112004,57432,12579,11573,8979,25882,3526,2607,,,,,
01:54.0,00:00.0,100,1,77,60,68,26583,25999,8393,26882,9596,11469,9884,2227,,,,,
01:55.0,00:00.0,100,1,69,75,72,32466,12849,20942,15421,13144,6208,8203,3213,,,,,
01:56.0,00:00.0,100,1,74,74,74,30291,57623,23216,10085,9017,31774,9239,9515,,,,,
01:57.0,00:00.0,100,1,66,88,77,10543,12988,17187,25107,23937,8089,6619,5333,,,,,
01:59.0,00:00.0,100,1,75,61,68,18528,19466,448,2161,11086,11696,12069,5612,,,,,
02:00.0,00:00.0,100,1,84,54,69,16822,9944,9478,12723,12493,13294,15398,9800,,,,,
02:01.0,00:00.0,100,1,83,41,62,7749,44368,2135,5203,8095,13396,5756,2829,,,,,
02:02.0,00:00.0,100,1,87,37,62,61502,21104,16381,12896,10265,12129,5916,3170,,,,,
02:03.0,00:00.0,100,1,77,61,69,26019,15322,9695,12032,13589,6581,5653,2214,,,,,
02:03.0,00:00.0,100,1,63,70,66,75209,9345,12512,3785,874,1967,925,1001,,,,,
02:04.0,00:00.0,100,1,67,83,75,28068,13800,8728,3944,20593,10616,1832,3966,,,,,
02:06.0,00:00.0,100,1,66,78,72,287054,3769,2187,1763,2484,1672,1483,719,,,,,
02:06.0,00:00.0,100,1,66,77,71,5788,22863,7669,11810,8238,7326,4688,2572,,,,,
02:07.0,00:00.0,100,1,67,67,67,6570,22331,7155,16523,5411,5372,6788,3676,,,,,
02:08.0,00:00.0,100,1,63,74,68,271317,11425,5391,12224,17696,7175,9583,2410,,,,,
02:09.0,00:00.0,100,1,56,69,62,91093,11799,3893,1584,1620,1644,5408,1036,,,,,
02:10.0,00:00.0,100,1,60,61,60,33126,40000,3315,12723,18734,14403,8521,4011,,,,,
02:12.0,00:00.0,100,1,64,56,60,11560,34577,5712,15245,8140,11726,9374,4514,,,,,
02:12.0,00:00.0,100,1,66,48,57,29343,45327,10568,8086,17143,19575,9874,5421,,,,,
02:14.0,00:00.0,100,1,70,43,56,62752,82982,6855,26807,51796,17056,4695,6210,,,,,
02:15.0,00:00.0,100,1,67,48,57,7878,31283,1762,16318,9939,9805,15722,1487,,,,,
02:16.0,00:00.0,100,1,67,54,60,12373,9639,5742,29377,26890,8842,7902,3387,,,,,
02:16.0,00:00.0,100,1,70,64,67,9019,11694,8087,10545,10769,13322,5032,1570,,,,,
02:17.0,00:00.0,100,1,78,80,79,8438,14314,17872,16565,11707,14675,7145,2062,,,,,
02:19.0,00:00.0,100,1,78,83,80,48218,31446,16572,10512,12438,10073,3963,3626,,,,,
02:20.0,00:00.0,100,1,84,67,75,7057,10756,3609,4343,17434,11181,8128,3033,,,,,
02:21.0,00:00.0,100,1,80,78,79,5868,16016,39802,14074,8443,22456,9870,1817,,,,,
02:21.0,00:00.0,100,1,81,66,73,10223,18774,4443,10674,13001,15339,9021,1961,,,,,
02:22.0,00:00.0,100,1,87,70,78,6870,9321,10287,9828,8056,8010,7361,3224,,,,,
02:24.0,00:00.0,100,1,80,87,83,9471,12939,12304,9497,4466,8968,7387,3998,,,,,
02:24.0,00:00.0,100,1,83,74,78,6208,12770,6324,4373,5473,11144,6412,1526,,,,,
02:25.0,00:00.0,100,1,75,75,75,62420,36648,10791,8968,5928,9826,5645,2167,,,,,
02:27.0,00:00.0,100,1,69,64,66,46106,27892,8516,4874,9876,6139,4671,3645,,,,,
02:28.0,00:00.0,100,1,63,64,63,18609,34062,28375,7759,2697,9314,4456,2282,,,,,
02:29.0,00:00.0,100,1,53,74,63,63312,19331,15092,10113,7677,5578,4753,1281,,,,,
02:29.0,00:00.0,100,1,51,67,59,9047,31479,3800,7797,7375,6907,2645,2761,,,,,
02:30.0,00:00.0,100,1,56,70,63,15418,13354,6176,10265,21054,7065,1290,3372,,,,,
02:31.0,00:00.0,100,1,51,75,63,37556,32026,20418,30118,12084,7147,2655,1029,,,,,
02:32.0,00:00.0,100,1,57,67,62,46306,22395,5309,13649,10865,11095,6373,2118,,,,,
02:34.0,00:00.0,100,1,51,83,67,38629,17181,2554,33737,8405,4151,3330,966,,,,,
02:34.0,00:00.0,100,1,47,83,65,152636,15491,2706,5860,2613,2869,1384,401,,,,,
02:35.0,00:00.0,100,1,57,84,70,34343,7682,21916,18365,5936,13674,11161,2890,,,,,
02:36.0,00:00.0,100,1,54,78,66,22071,28192,6275,4608,9311,6392,3176,1480,,,,,
02:37.0,00:00.0,100,1,57,75,66,1857,12851,6925,8895,3736,3241,1429,2097,,,,,
02:38.0,00:00.0,100,1,48,83,65,207830,85912,46886,39838,12073,6957,16534,4316,,,,,
02:39.0,00:00.0,100,1,40,83,61,15225,25275,37087,18270,4620,9956,8112,3825,,,,,
02:41.0,00:00.0,100,1,38,91,64,254154,29006,6309,15733,4209,6377,5783,3173,,,,,
02:42.0,00:00.0,100,1,27,90,58,347238,20494,13460,3358,2128,1618,1004,306,,,,,
02:42.0,00:00.0,100,1,35,91,63,10211,29351,19423,18018,7401,6337,4366,1140,,,,,
02:44.0,00:00.0,100,1,34,77,55,305251,66308,25887,8332,24061,10317,3182,1037,,,,,
02:44.0,00:00.0,100,1,34,70,52,21957,40514,8201,7416,201,7066,4880,2012,,,,,
02:46.0,00:00.0,100,1,47,54,50,53710,76902,4480,11856,9884,15069,10696,7756,,,,,
02:46.0,00:00.0,100,1,56,47,51,10011,16965,3940,13593,13711,10012,4499,1676,,,,,
02:47.0,00:00.0,100,1,54,40,47,37756,65205,9606,4683,9815,6722,2384,1605,,,,,
02:48.0,00:00.0,100,1,54,50,52,96260,26444,25916,13945,7250,8402,3487,1310,,,,,
