'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
10:09.0,00:00.0,100,2,54,66,60,173936,75728,39728,8076,10013,24613,13247,8575,,21776.01997,22896.43081,17977.83595,7459.734665
10:10.0,00:00.0,100,2,75,61,68,961148,23032,25316,18874,43002,39472,19787,19061,,,,,
10:11.0,00:00.0,100,2,77,54,65,100936,59802,12488,13955,15345,14819,8546,2569,,,,,
10:12.0,00:00.0,100,2,69,57,63,571408,78596,107282,41264,15112,16554,12263,5776,,,,,
10:13.0,00:00.0,100,2,84,48,66,921630,32054,8926,7255,23896,44054,23290,9938,,,,,
10:14.0,00:00.0,100,2,60,51,55,602301,190998,97863,40698,13476,20492,15570,5962,,,,,
10:15.0,00:00.0,100,2,54,35,44,275739,151249,1579,7543,12455,17411,23449,12516,,,,,
10:16.0,00:00.0,100,2,57,23,40,120538,196864,52505,49147,18802,39647,16607,9083,,,,,
10:17.0,00:00.0,100,2,44,43,43,55032,8031,4744,13799,3321,7040,4290,2168,,,,,
10:18.0,00:00.0,100,2,50,44,47,68148,50716,40820,31788,29707,12735,3616,1749,,,,,
10:19.0,00:00.0,100,2,47,69,58,1942924,110920,11746,78227,32265,18958,57625,11777,,,,,
10:20.0,00:00.0,100,2,48,53,50,556243,60364,2404,3921,3996,10039,6070,3229,,,,,
10:21.0,00:00.0,100,2,48,51,49,17934,16405,23314,13192,8818,14304,14039,5791,,,,,
10:22.0,00:00.0,100,2,56,38,47,335947,103471,6290,21410,10603,28784,22813,7249,,,,,
10:23.0,00:00.0,100,2,66,40,53,63686,43951,44406,12361,19383,21012,8040,4000,,,,,
10:24.0,00:00.0,100,2,61,63,62,415637,54757,55579,9784,13353,10310,9064,3528,,,,,
10:25.0,00:00.0,100,2,41,43,42,388041,289111,14743,28875,35214,15736,13280,2141,,,,,
10:26.0,00:00.0,100,2,34,44,39,211561,52480,8769,8483,22548,6746,14182,3172,,,,,
10:27.0,00:00.0,100,2,20,23,21,1691025,548741,25159,25896,36466,39830,21312,13804,,,,,
10:28.0,00:00.0,100,4,17,17,17,980287,125986,21344,47106,11492,13582,1882,1911,,,,,
10:29.0,00:00.0,100,4,26,16,21,1011718,177060,5684,21264,31439,22487,9360,5627,,,,,
10:30.0,00:00.0,100,2,37,16,26,959441,93176,18079,25295,85450,33148,48599,14977,,,,,
10:31.0,00:00.0,100,2,44,27,35,328590,34163,7637,4623,1761,5841,1716,951,,,,,
10:32.0,00:00.0,100,2,56,27,41,51284,50307,33602,15288,29025,23560,23117,24497,,,,,
10:33.0,00:00.0,100,2,66,29,47,72103,22198,3853,1522,8593,7263,9953,1889,,,,,
10:34.0,00:00.0,100,2,54,41,47,988058,149296,103740,42449,41432,24605,28808,29779,,,,,
10:35.0,00:00.0,100,2,51,37,44,1907604,231078,16624,30666,29797,27555,11830,7299,,,,,
10:36.0,00:00.0,100,2,44,34,39,31513,184690,87758,8955,66161,34182,23281,10682,,,,,
10:37.0,00:00.0,100,2,27,34,30,772758,406967,13252,58074,76071,28029,30350,14241,,,,,
10:38.0,00:00.0,100,2,41,26,33,166870,17587,5513,4315,3015,7394,6572,1362,,,,,
10:39.0,00:00.0,100,2,54,34,44,134373,23821,8913,4227,4876,11732,3866,6103,,,,,
10:40.0,00:00.0,100,2,64,43,53,106375,3323,4970,4847,3125,3958,14985,2204,,,,,
10:41.0,00:00.0,100,2,83,43,63,17076,41794,4672,5797,27107,15886,24366,5657,,,,,
10:42.0,00:00.0,100,2,87,53,70,102160,6329,657,15111,2208,7749,4068,1128,,,,,
10:43.0,00:00.0,100,2,81,63,72,61916,15792,5932,20167,4988,7494,2492,948,,,,,
10:44.0,00:00.0,100,2,78,57,67,165824,65783,33574,39911,22685,35041,4012,2382,,,,,
10:45.0,00:00.0,100,2,63,56,59,1500579,685582,82334,22779,180662,61875,153986,28619,,,,,
10:46.0,00:00.0,100,2,40,40,40,557379,430759,83858,10558,20895,26048,36397,17644,,,,,
10:47.0,00:00.0,100,2,50,29,39,816643,39020,8161,15603,11418,27887,17236,36258,,,,,
10:48.0,00:00.0,100,2,40,34,37,1352548,59793,49759,31998,17430,15221,17926,10070,,,,,
10:49.0,00:00.0,100,2,47,54,50,299257,61830,67305,19205,11523,23899,18012,3168,,,,,
10:50.0,00:00.0,100,2,63,63,63,156847,17508,860,13627,8381,7079,3919,1025,,,,,
10:51.0,00:00.0,100,2,56,75,65,13780,15416,17915,14443,10068,9896,9492,2603,,,,,
10:52.0,00:00.0,100,2,63,67,65,499550,74656,36878,32692,60179,28125,9918,5577,,,,,
10:53.0,00:00.0,100,2,57,57,57,2971945,201223,62853,17406,11439,27708,9027,7040,,,,,
10:54.0,00:00.0,100,2,50,50,50,96271,81961,5486,14788,7349,11201,8963,2216,,,,,
10:55.0,00:00.0,100,2,50,50,50,36057,17932,3397,29681,11811,9405,9600,3725,,,,,
10:56.0,00:00.0,100,2,40,47,43,987951,675588,149740,96624,97494,66640,23377,9453,,,,,
10:57.0,00:00.0,100,2,51,40,45,1103111,51128,5661,8190,3301,20436,14433,6600,,,,,
10:58.0,00:00.0,100,2,67,34,50,902102,74465,8145,6052,34392,38421,35960,5942,,,,,
10:59.0,00:00.0,100,2,69,8,38,462247,35438,934,3265,15163,8776,4489,2346,,,,,
11:00.0,00:00.0,100,2,84,10,47,327873,9822,4114,2609,1958,5886,3189,3431,,,,,
11:01.0,00:00.0,100,2,75,4,39,355875,260395,10755,19587,18849,31486,14841,4652,,,,,
11:02.0,00:00.0,100,2,53,13,33,1008647,477941,26992,147795,218416,40015,58059,9380,,,,,
11:03.0,00:00.0,100,2,38,27,32,468378,148918,35276,18335,15068,13287,10603,5200,,,,,
