'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
22:52.0,00:00.0,100,2,44,91,67,32774,46821,19895,9540,3941,9019,5311,4105,,17990.03476,20219.52941,12963.89305,6553.558824
22:53.0,00:00.0,100,2,40,93,66,56218,35850,4011,18832,10577,12276,2121,780,,,,,
22:54.0,00:00.0,100,2,44,74,59,5411,40080,7312,13790,9619,11519,2969,2416,,,,,
22:55.0,00:00.0,100,2,54,56,55,153524,95607,20959,19011,37046,41153,7668,8386,,,,,
22:56.0,00:00.0,100,2,44,64,54,33050,53756,72716,28295,19782,7398,4457,1444,,,,,
22:57.0,00:00.0,100,2,30,63,46,79394,72765,20181,8847,26639,5959,8736,1900,,,,,
22:58.0,00:00.0,100,1,38,64,51,546639,56608,33183,16979,14126,36649,19699,17550,,,,,
22:59.0,00:00.0,100,1,35,75,55,1545306,181159,18021,183166,94939,79746,39434,38417,,,,,
23:00.0,00:00.0,100,1,51,56,53,109309,59030,10850,6244,18827,19312,8321,865,,,,,
23:01.0,00:00.0,100,1,75,57,66,223343,14213,4499,8411,3728,12858,2036,1210,,,,,
23:02.0,00:00.0,100,1,66,53,59,72829,11777,4395,1841,9834,2753,3169,3741,,,,,
23:03.0,00:00.0,100,1,61,38,49,928755,34145,1213,4389,2253,5018,5781,1798,,,,,
23:04.0,00:00.0,100,1,57,47,52,7120,39657,13236,14604,8288,14320,8037,3416,,,,,
23:05.0,00:00.0,100,1,48,48,48,15889,57597,11006,31847,9819,18426,11094,5609,,,,,
23:06.0,00:00.0,100,1,35,40,37,210225,281023,18582,16885,19218,13602,21259,5463,,,,,
23:07.0,00:00.0,100,1,43,48,45,12512,44903,4974,21493,16988,20865,62774,7233,,,,,
23:08.0,00:00.0,100,1,38,60,49,71382,33785,65463,25239,16659,14370,10961,4128,,,,,
23:09.0,00:00.0,100,1,41,56,48,74852,32438,8575,11581,8878,13407,10712,8006,,,,,
23:10.0,00:00.0,100,1,60,54,57,49325,36772,2460,2259,2562,10116,2528,1351,,,,,
23:11.0,00:00.0,100,1,48,53,50,261726,115874,6636,29854,22144,14882,10562,1993,,,,,
23:12.0,00:00.0,100,1,43,51,47,532618,40149,17216,52441,7698,7996,15935,3531,,,,,
23:13.0,00:00.0,100,1,40,50,45,682950,38820,2925,14659,8850,10456,17451,1576,,,,,
23:14.0,00:00.0,100,1,38,61,49,104181,42269,12289,15138,42560,13404,19700,10333,,,,,
23:15.0,00:00.0,100,1,40,80,60,24104,40388,18346,106844,15367,19857,7468,4716,,,,,
23:16.0,00:00.0,100,1,57,69,63,547081,45822,13605,24606,10369,35788,13407,8397,,,,,
23:17.0,00:00.0,100,1,63,69,66,66911,27560,10447,14978,34100,14982,15291,5333,,,,,
23:18.0,00:00.0,100,1,74,67,70,144634,66130,9506,28473,47816,47776,13292,4452,,,,,
23:19.0,00:00.0,100,1,83,56,69,454057,58567,39870,16329,22318,33278,9217,14923,,,,,
23:20.0,00:00.0,100,1,75,63,69,821224,37602,59409,12146,25193,24420,8313,7353,,,,,
23:21.0,00:00.0,100,1,70,70,70,30396,62826,71049,7358,18700,29979,6795,5584,,,,,
23:22.0,00:00.0,100,1,53,74,63,101792,84480,24226,23651,48878,12781,18619,5952,,,,,
23:23.0,00:00.0,100,1,50,74,62,425509,42813,26764,15675,26125,16976,8095,4409,,,,,
23:24.0,00:00.0,100,1,44,67,55,120200,29917,11837,8937,8758,6988,4340,1884,,,,,
23:25.0,00:00.0,100,1,43,75,59,21618,28987,60877,46531,23322,22743,11071,6227,,,,,
23:26.0,00:00.0,100,1,51,74,62,1386419,93105,16835,26496,31554,26987,9579,12979,,,,,
23:27.0,00:00.0,100,1,60,78,69,20187,5028,32487,11871,19090,24193,16085,2958,,,,,
23:28.0,00:00.0,100,1,53,88,70,92212,53747,81829,9140,16651,10719,10477,4240,,,,,
23:29.0,00:00.0,100,1,57,90,73,105184,7139,13877,17445,3220,10040,3857,1368,,,,,
23:30.0,00:00.0,100,1,61,93,77,39061,36585,6261,26342,24076,20353,7289,3816,,,,,
23:31.0,00:00.0,100,1,50,81,65,281146,93010,14284,21627,25059,18992,26689,12856,,,,,
23:32.0,00:00.0,100,1,60,74,67,13773,58575,31805,16607,8709,21346,7680,7614,,,,,
23:33.0,00:00.0,100,1,66,54,60,58245,19658,13092,3559,30066,16755,14345,19038,,,,,
23:34.0,00:00.0,100,1,56,38,47,2094484,337124,14924,14749,19243,38625,12909,11528,,,,,
23:35.0,00:00.0,100,1,63,48,55,165252,23761,12433,40060,23738,21199,14690,9394,,,,,
23:36.0,00:00.0,100,1,74,53,63,160878,18387,32162,30876,15930,40732,18148,3518,,,,,
23:37.0,00:00.0,100,1,53,54,53,353761,54777,20531,2870,5635,6259,4631,711,,,,,
23:38.0,00:00.0,100,1,56,69,62,197986,133138,25530,31346,11368,22849,10323,1698,,,,,
23:39.0,00:00.0,100,1,57,63,60,149519,70302,7417,41569,16554,37219,28504,4273,,,,,
23:40.0,00:00.0,100,1,40,44,42,516942,266711,14252,29091,22431,26994,36089,10098,,,,,
23:41.0,00:00.0,100,1,47,40,43,215979,39086,6451,3666,6689,7823,5744,5668,,,,,
23:42.0,00:00.0,100,1,60,27,43,535021,97670,4613,12180,31516,43183,27879,25858,,,,,
23:43.0,00:00.0,100,1,56,34,45,103550,33608,20340,48939,63831,24596,8374,7432,,,,,
23:44.0,00:00.0,100,1,64,43,53,38338,59613,20371,15312,24958,16600,7305,4757,,,,,
23:45.0,00:00.0,100,1,61,57,59,37354,54383,24866,51845,15849,17889,12606,9290,,,,,
23:46.0,00:00.0,100,1,56,83,69,3666,10886,37110,15787,8090,16100,5006,1716,,,,,
23:47.0,00:00.0,100,1,51,77,64,12602,115873,42968,9567,28169,25595,4570,3584,,,,,
23:48.0,00:00.0,100,1,56,81,68,139607,30208,13495,39425,28788,28234,4345,3999,,,,,
23:49.0,00:00.0,100,1,70,75,72,68684,16116,11661,17024,32116,21057,9762,4524,,,,,
23:50.0,00:00.0,100,1,64,74,69,67045,10369,16261,37383,22169,8732,5609,1956,,,,,
23:51.0,00:00.0,100,1,69,83,76,59329,5915,7906,977,1737,3229,3670,1876,,,,,
23:52.0,00:00.0,100,1,70,90,80,24642,17091,55696,25979,10700,40408,6589,9196,,,,,
23:53.0,00:00.0,100,1,64,84,74,121440,66723,13331,17220,25467,25583,8904,4998,,,,,
23:54.0,00:00.0,100,1,60,74,67,652857,338382,125214,31253,35314,49629,21210,32330,,,,,
23:55.0,00:00.0,100,1,69,60,64,19677,25446,3657,15007,39443,20022,10796,8945,,,,,
23:56.0,00:00.0,100,1,61,63,62,467205,20220,30337,52864,18441,19194,28610,7760,,,,,
23:57.0,00:00.0,100,1,75,57,66,96627,5877,1085,1805,4621,7543,7062,2220,,,,,
23:58.0,00:00.0,100,1,88,50,69,359178,85097,14314,10626,25401,38409,29201,4539,,,,,
23:59.0,00:00.0,100,1,75,48,61,257729,27557,3989,3603,10354,4909,8415,2016,,,,,
24:00.0,00:00.0,100,1,77,40,58,18660,25292,16625,14293,17144,12118,13545,20286,,,,,
24:01.0,00:00.0,100,1,53,43,48,30854,116666,23274,9514,16960,16459,20641,1324,,,,,
24:02.0,00:00.0,100,1,40,60,50,15317,29808,34806,16315,12589,7748,6280,2887,,,,,
24:03.0,00:00.0,100,1,43,74,58,145426,34911,36475,5738,13476,13852,9947,2764,,,,,
24:04.0,00:00.0,100,1,35,66,50,245705,79831,30472,3000,29051,9837,4418,2199,,,,,
24:05.0,00:00.0,100,1,47,77,62,1966497,62251,79241,8033,14878,50411,10371,17537,,,,,
24:06.0,00:00.0,100,1,51,63,57,612022,100440,19372,18571,17489,24015,17688,6118,,,,,
24:07.0,00:00.0,100,1,50,67,58,37997,7901,73860,5224,50853,14053,6910,3191,,,,,
24:08.0,00:00.0,100,1,48,77,62,85355,83837,58505,23894,23399,14240,10443,9130,,,,,
24:09.0,00:00.0,100,1,37,77,57,380963,58398,18008,47998,23035,13448,10694,3177,,,,,
24:10.0,00:00.0,100,1,30,83,56,402153,16526,9493,8634,12587,3610,3222,3225,,,,,
24:11.0,00:00.0,100,1,26,83,54,101515,9118,7100,15480,3608,3832,7836,2994,,,,,
24:12.0,00:00.0,100,1,21,93,57,68939,6311,15053,13338,5934,1672,3751,696,,,,,
24:13.0,00:00.0,100,1,23,81,52,84279,15715,2195,2479,3875,2526,1749,1859,,,,,
24:14.0,00:00.0,100,1,41,80,60,17414,15377,21901,6417,21807,21289,6370,4230,,,,,
24:15.0,00:00.0,100,1,41,74,57,44882,70937,52887,22455,41514,18164,15791,6251,,,,,
24:16.0,00:00.0,100,1,53,64,58,49226,70611,70662,40368,25296,23724,9269,6535,,,,,
24:17.0,00:00.0,100,1,67,64,65,39165,29051,2877,14525,26824,23302,6935,17301,,,,,
24:18.0,00:00.0,100,1,50,69,59,9206,36693,20153,26077,18630,9028,6134,3542,,,,,
24:19.0,00:00.0,100,1,54,77,65,83690,18010,47833,29836,29184,15596,6045,2678,,,,,
24:20.0,00:00.0,100,1,70,74,72,15931,17247,15044,23023,9683,34346,16836,4860,,,,,
24:21.0,00:00.0,100,2,54,74,64,282827,255525,55522,18779,45763,31769,8112,6897,,,,,
24:22.0,00:00.0,100,2,63,56,59,12868,28189,1494,5922,18852,8132,11946,3618,,,,,
24:23.0,00:00.0,100,2,66,61,63,28923,4920,27597,11183,6599,9232,7015,3433,,,,,
24:24.0,00:00.0,100,2,60,63,61,43621,16989,10452,27296,16779,19117,9983,6121,,,,,
24:25.0,00:00.0,100,2,56,75,65,313828,122640,73317,46052,15764,19369,12419,7087,,,,,
24:26.0,00:00.0,100,2,61,91,76,18916,21111,19172,23885,12151,22731,24915,2355,,,,,
24:27.0,00:00.0,100,2,61,78,69,31923,42052,15080,27861,21200,19973,4753,11051,,,,,
24:28.0,00:00.0,100,2,38,64,51,426526,104168,10855,13076,8786,6024,8629,1994,,,,,
24:29.0,00:00.0,100,2,41,61,51,10250,41181,4516,22166,4453,7289,13171,8871,,,,,
24:30.0,00:00.0,100,2,29,60,44,50031,37941,26041,10139,13159,8657,7809,2866,,,,,
24:31.0,00:00.0,100,2,23,56,39,82889,74526,27531,10715,11816,14466,7086,4712,,,,,
24:32.0,00:00.0,100,2,38,63,50,83735,43016,10258,16488,18911,11520,13462,2703,,,,,
24:33.0,00:00.0,100,2,43,66,54,138544,16230,12255,5406,1942,6154,1738,290,,,,,
24:34.0,00:00.0,100,2,56,67,61,64201,35083,23676,21728,8462,28350,38769,12542,,,,,
24:35.0,00:00.0,100,2,60,69,64,2627861,96926,11029,55063,15789,28859,15312,7465,,,,,
24:36.0,00:00.0,100,2,64,74,69,11458,36518,9165,25934,8903,18140,25035,5027,,,,,
24:37.0,00:00.0,100,2,69,70,69,91079,9425,6453,5060,5154,5811,1033,1775,,,,,
24:38.0,00:00.0,100,2,54,57,55,499400,392333,42885,33208,38154,41191,23380,9705,,,,,
24:39.0,00:00.0,100,2,48,50,49,69741,76838,10331,8879,3985,10535,6565,3778,,,,,
24:40.0,00:00.0,100,2,48,35,41,60232,30231,3260,2320,2904,9050,3720,2432,,,,,
24:41.0,00:00.0,100,2,26,21,23,1144640,494168,55644,23857,60470,22281,41521,19526,,,,,
24:42.0,00:00.0,100,2,38,37,37,176226,36568,31265,46337,26587,27233,19727,12922,,,,,
24:43.0,00:00.0,100,2,37,44,40,81984,13196,1616,8143,4465,2462,3702,3043,,,,,
24:44.0,00:00.0,100,2,37,51,44,80856,107449,12935,29312,18645,40566,17995,9687,,,,,
24:45.0,00:00.0,100,2,57,61,59,56485,70822,44746,5070,37324,32084,15218,16116,,,,,
24:46.0,00:00.0,100,2,54,44,49,298282,121570,6243,21750,20055,27044,22616,15006,,,,,
24:47.0,00:00.0,100,2,56,29,42,1146247,273617,18518,11396,13716,39767,30014,17247,,,,,
24:48.0,00:00.0,100,2,61,20,40,89257,65171,2990,8277,20246,30290,19294,20175,,,,,
24:49.0,00:00.0,100,2,77,16,46,167295,25754,29604,13276,34044,106898,20418,17866,,,,,
24:50.0,00:00.0,100,2,78,29,53,36610,43334,16755,40019,18489,26489,28564,12182,,,,,
24:51.0,00:00.0,100,2,84,30,57,1529782,280035,15720,25144,18499,73749,26572,3565,,,,,
24:52.0,00:00.0,100,2,80,47,63,30452,46341,20550,23040,19293,25900,21803,14112,,,,,
24:53.0,00:00.0,100,2,69,50,59,71363,30045,5666,29107,33201,41243,48517,21911,,,,,
24:54.0,00:00.0,100,2,78,44,61,16145,12600,4687,12870,15947,15675,40228,7383,,,,,
24:55.0,00:00.0,100,2,88,50,69,19270,24838,6960,4981,22379,25248,7482,4925,,,,,
24:56.0,00:00.0,100,2,100,40,70,119785,12357,3013,6532,15827,32770,14757,4492,,,,,
24:57.0,00:00.0,100,2,100,30,65,89635,40210,7620,10764,36598,29764,9123,5114,,,,,
24:58.0,00:00.0,100,2,88,20,54,158013,27439,3194,1099,6474,4005,6131,1284,,,,,
24:59.0,00:00.0,100,2,75,41,58,40397,24807,39232,55884,11995,23886,17114,1924,,,,,
25:00.0,00:00.0,100,2,54,54,54,19660,39246,21094,27325,9292,18104,10299,3988,,,,,
25:01.0,00:00.0,100,2,48,74,61,6362,14464,28454,28149,18216,19553,10120,4131,,,,,
25:02.0,00:00.0,100,2,53,84,68,185377,102310,57416,20699,44167,33874,10007,10956,,,,,
25:03.0,00:00.0,100,2,54,77,65,15766,43152,63541,11249,47721,25277,12697,10595,,,,,
25:04.0,00:00.0,100,2,60,78,69,19779,26782,2155,55118,22276,30544,16469,5297,,,,,
25:05.0,00:00.0,100,2,57,75,66,48711,18062,50037,22871,49244,22751,19616,5571,,,,,
25:06.0,00:00.0,100,2,61,77,69,19936,35442,18749,14566,22016,19713,15202,4850,,,,,
25:07.0,00:00.0,100,2,57,64,60,8077,128992,13326,23449,15589,25963,14818,6954,,,,,
25:08.0,00:00.0,100,2,60,64,62,9905,8323,23051,9774,27416,16618,13748,5565,,,,,
25:09.0,00:00.0,100,2,56,63,59,857428,46290,36972,18452,25735,17130,10746,5676,,,,,
25:10.0,00:00.0,100,2,61,64,62,288427,4093,1306,3391,819,3867,1282,460,,,,,
25:11.0,00:00.0,100,2,66,77,71,29321,28503,16581,28098,11173,18257,7255,5520,,,,,
