'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
45:59.0,00:00.0,100,1,17,54,35,1027894,135053,76784,46122,21775,19507,22978,13490,,15008.10152,19686.05313,16573.19355,6979.722011
46:00.0,00:00.0,100,1,20,64,42,311288,48369,13567,1049,3763,12005,4819,3160,,,,,
46:01.0,00:00.0,100,1,17,57,37,144946,33870,900,6089,6512,3849,8677,1229,,,,,
46:02.0,00:00.0,100,1,24,38,31,181831,18690,1508,1561,2904,2060,1977,497,,,,,
46:03.0,00:00.0,100,2,14,30,22,1287785,854178,286563,57719,41006,29119,37475,9760,,,,,
46:04.0,00:00.0,100,2,16,37,26,851958,61912,24638,8598,14513,15853,31256,21658,,,,,
46:05.0,00:00.0,100,2,24,50,37,780754,105630,127423,6543,38701,37631,18277,7554,,,,,
46:06.0,00:00.0,100,2,43,53,48,151090,23589,3040,6121,9309,13405,2453,1095,,,,,
46:07.0,00:00.0,100,2,80,53,66,16460,34463,16070,9689,3422,34311,20297,7491,,,,,
46:08.0,00:00.0,100,2,70,44,57,2026174,365744,26207,29453,14793,33907,45079,30342,,,,,
46:09.0,00:00.0,100,2,54,34,44,483223,409664,82773,25759,51178,20980,26624,11249,,,,,
46:10.0,00:00.0,100,2,29,27,28,233557,56176,2657,4305,3657,3067,3650,1320,,,,,
46:11.0,00:00.0,100,2,1,16,8,314529,294815,23676,5628,13844,9752,24373,4789,,,,,
46:12.0,00:00.0,100,2,1,14,7,1360421,242112,25663,5695,25776,23986,33997,12392,,,,,
46:13.0,00:00.0,100,2,3,20,11,237323,289894,106282,30125,25215,37672,61721,21564,,,,,
46:14.0,00:00.0,100,2,4,34,19,401644,248162,107452,10194,3155,18186,12149,8743,,,,,
46:15.0,00:00.0,100,2,13,44,28,2557053,261382,101113,16495,29543,25054,25393,7958,,,,,
46:16.0,00:00.0,100,2,17,57,37,2214703,110483,49331,23627,11531,21685,33028,24645,,,,,
46:17.0,00:00.0,100,2,26,63,44,189760,20914,13299,14013,9331,8711,6441,5568,,,,,
46:18.0,00:00.0,100,2,24,47,35,522701,63402,3957,1115,3296,2973,2334,2732,,,,,
46:19.0,00:00.0,100,2,13,47,30,386663,92689,22316,10970,4759,3455,2750,2036,,,,,
46:20.0,00:00.0,100,2,11,40,25,2264255,436944,92813,61006,48045,53972,47020,18141,,,,,
46:21.0,00:00.0,100,2,23,38,30,386938,27463,30613,13451,18501,43927,76925,12017,,,,,
46:22.0,00:00.0,100,2,35,44,39,104198,18138,2371,1092,945,2078,3213,967,,,,,
46:23.0,00:00.0,100,2,47,44,45,495156,114152,34094,13936,7160,11714,8764,3947,,,,,
46:24.0,00:00.0,100,2,40,43,41,503329,40395,7751,1855,3492,2401,4381,448,,,,,
46:25.0,00:00.0,100,2,34,29,31,114723,22602,1045,2549,1804,7680,4917,2014,,,,,
46:26.0,00:00.0,100,2,26,34,30,634457,260483,72972,12179,18240,20830,26801,16217,,,,,
46:27.0,00:00.0,100,2,38,38,38,288197,14591,7052,4867,3295,5020,6857,2078,,,,,
46:28.0,00:00.0,100,2,54,47,50,1046664,70601,43062,22147,11889,31711,14903,8250,,,,,
46:29.0,00:00.0,100,2,64,44,54,302527,35732,5838,3875,33348,32397,20283,6170,,,,,
46:30.0,00:00.0,100,2,83,30,56,237181,72320,3521,3151,21241,24748,41287,8760,,,,,
46:31.0,00:00.0,100,2,78,38,58,1349766,61896,51805,50191,18399,21897,51483,10225,,,,,
46:32.0,00:00.0,100,2,94,27,60,25854,20830,9448,4941,4714,40997,48912,9101,,,,,
46:33.0,00:00.0,100,2,64,44,54,265374,93321,54185,23994,15232,10029,14567,7449,,,,,
46:34.0,00:00.0,100,2,64,61,62,140713,13011,7103,234,2369,7394,3431,2808,,,,,
46:35.0,00:00.0,100,2,74,47,60,208820,129439,24033,14332,20897,51723,8476,8778,,,,,
46:36.0,00:00.0,100,2,56,57,56,43922,27146,30825,20999,13299,17390,17192,7238,,,,,
46:37.0,00:00.0,100,2,63,61,62,16831,31429,20070,22304,8367,7772,9060,7237,,,,,
46:38.0,00:00.0,100,2,63,63,63,57760,22065,9889,3782,2338,12291,4863,1965,,,,,
46:39.0,00:00.0,100,2,57,69,63,109263,17171,7443,2116,1882,6029,4587,3743,,,,,
46:40.0,00:00.0,100,2,67,67,67,21463,6752,21850,14052,18330,22614,20102,8556,,,,,
46:41.0,00:00.0,100,2,84,60,72,37168,21310,11050,10301,12921,22173,19229,6735,,,,,
46:42.0,00:00.0,100,2,75,61,68,556200,79210,35958,10150,10028,16452,4160,5604,,,,,
46:43.0,00:00.0,100,2,87,50,68,127972,25326,1868,2385,5996,16622,8782,1689,,,,,
46:44.0,00:00.0,100,2,91,41,66,312653,18558,7525,12272,12312,32319,29179,9419,,,,,
46:45.0,00:00.0,100,2,91,48,69,11248,18144,31842,10792,5431,30224,14984,14877,,,,,
46:46.0,00:00.0,100,2,100,56,78,7273,9100,20412,13255,5475,12785,10296,8473,,,,,
46:47.0,00:00.0,100,2,78,67,72,437294,162531,76167,29433,103898,26439,23366,21535,,,,,
46:48.0,00:00.0,100,2,61,74,67,10727,34677,26244,13216,18517,13411,22472,5546,,,,,
46:49.0,00:00.0,100,2,61,77,69,41323,6762,34066,4619,5327,21563,46751,11765,,,,,
46:50.0,00:00.0,100,2,50,54,52,78066,35746,1673,3134,1750,4486,5662,1465,,,,,
46:51.0,00:00.0,100,2,69,63,66,63430,5614,6245,25985,8399,20484,40779,6171,,,,,
46:52.0,00:00.0,100,2,50,57,53,29031,56606,10384,8777,5346,2270,5832,1724,,,,,
46:53.0,00:00.0,100,2,29,53,41,105050,133403,64755,30753,15912,15722,34081,4774,,,,,
46:54.0,00:00.0,100,2,48,56,52,97616,16903,3880,2387,4612,13452,5079,3527,,,,,
46:55.0,00:00.0,100,2,43,51,47,25128,25850,7047,20172,10493,16397,24198,6553,,,,,
46:56.0,00:00.0,100,2,75,44,59,92330,24878,2729,5854,22792,16550,24040,8194,,,,,
46:57.0,00:00.0,100,2,97,37,67,49595,16789,2197,8085,12416,16534,7376,5316,,,,,
46:58.0,00:00.0,100,2,90,40,65,2593,77106,15941,16321,19690,29724,6059,3648,,,,,
46:59.0,00:00.0,100,2,74,43,58,872562,119422,83932,38993,28612,17869,13530,28310,,,,,
47:00.0,00:00.0,100,2,67,47,57,1399169,100236,3262,31507,26278,46442,30516,6823,,,,,
47:01.0,00:00.0,100,2,57,53,55,441000,37573,14160,17137,17222,16418,29723,7692,,,,,
47:02.0,00:00.0,100,2,60,56,58,3813,28469,17137,7102,17762,15894,6412,2866,,,,,
47:03.0,00:00.0,100,2,51,47,49,183535,187186,50833,8595,25294,9183,16411,9746,,,,,
47:04.0,00:00.0,100,2,47,57,52,35784,21072,8765,21861,11787,10593,5341,2677,,,,,
47:05.0,00:00.0,100,2,43,53,48,156762,11595,2308,3477,6090,3243,2424,1275,,,,,
47:06.0,00:00.0,100,2,40,53,46,118000,12393,2479,3888,2277,4772,931,2517,,,,,
47:07.0,00:00.0,100,2,64,56,60,11348,36015,18283,17854,16205,26554,16860,5529,,,,,
47:08.0,00:00.0,100,2,67,53,60,114498,42311,13110,16857,9345,19509,28984,6042,,,,,
47:09.0,00:00.0,100,2,57,63,60,76234,31405,23228,9548,1574,4728,13777,1574,,,,,
47:10.0,00:00.0,100,2,60,67,63,29760,21873,5294,25700,17053,15316,17408,6755,,,,,
47:11.0,00:00.0,100,2,43,63,53,91138,78102,15345,7478,7346,7101,4587,987,,,,,
47:12.0,00:00.0,100,2,41,63,52,29872,23312,21899,2057,17851,11555,10475,11253,,,,,
47:13.0,00:00.0,100,2,50,63,56,14727,21475,15150,21512,7222,10046,53187,11347,,,,,
47:14.0,00:00.0,100,2,56,57,56,19762,25142,12600,7959,11825,26172,11683,3234,,,,,
47:15.0,00:00.0,100,2,83,61,72,45569,18397,11985,5885,9006,27380,13036,2917,,,,,
47:16.0,00:00.0,100,2,87,53,70,65655,19848,4474,1626,3094,9117,4390,1585,,,,,
47:17.0,00:00.0,100,2,94,47,70,11960,36877,16228,22138,23736,25418,9592,3323,,,,,
47:18.0,00:00.0,100,2,84,51,67,17529,26497,6897,17797,4951,10985,7245,5193,,,,,
47:19.0,00:00.0,100,2,67,61,64,642009,30615,53303,25469,30349,16937,10401,2836,,,,,
47:20.0,00:00.0,100,2,61,69,65,123798,28951,10090,7190,5308,9309,4385,5071,,,,,
47:21.0,00:00.0,100,2,56,60,58,11632,81615,11909,6855,19818,22441,14189,3210,,,,,
47:22.0,00:00.0,100,2,40,61,50,623678,216659,176828,19902,18775,16888,32351,8605,,,,,
47:23.0,00:00.0,100,2,43,43,43,469631,124610,18198,3910,23237,31977,20268,10263,,,,,
47:24.0,00:00.0,100,2,48,56,52,29960,11870,70727,15660,7234,30027,28107,15956,,,,,
47:25.0,00:00.0,100,2,51,70,60,44986,19436,33184,6123,11898,17316,17259,3021,,,,,
47:26.0,00:00.0,100,2,88,53,70,32400,15932,728,8890,20803,54521,11529,9240,,,,,
47:27.0,00:00.0,100,2,88,63,75,8091,28763,5073,15682,17091,17586,25750,9291,,,,,
47:28.0,00:00.0,100,2,84,56,70,6908,11236,22519,10792,7941,17960,12629,6265,,,,,
47:29.0,00:00.0,100,2,80,54,67,242981,39340,18905,30603,11520,20306,18098,3523,,,,,
47:30.0,00:00.0,100,2,57,70,63,58339,41492,15719,39970,14821,19918,46306,9137,,,,,
47:31.0,00:00.0,100,2,50,80,65,393114,73840,74712,26575,15905,28441,11884,5048,,,,,
47:32.0,00:00.0,100,2,48,83,65,30021,7682,10488,31768,6762,17313,9999,1025,,,,,
47:33.0,00:00.0,100,2,48,84,66,7047,38012,26652,37246,7211,21687,7423,3069,,,,,
47:34.0,00:00.0,100,2,47,81,64,262075,23795,9603,5931,4510,6996,2192,5945,,,,,
47:35.0,00:00.0,100,2,54,74,64,28833,53828,14385,23609,14488,40082,21656,9652,,,,,
47:36.0,00:00.0,100,2,54,63,58,125402,14734,5561,6005,4057,8862,2395,980,,,,,
47:37.0,00:00.0,100,2,69,53,61,11428,24700,4050,18996,15883,45465,15313,7727,,,,,
47:38.0,00:00.0,100,2,70,53,61,48834,20341,13670,4563,3360,9395,3180,4833,,,,,
