'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
04:40.0,00:00.0,100,2,43,64,53,24026,67555,36116,20688,11511,12199,5675,4983,,11804.46192,14470.27273,10083.85995,5148.619165
04:41.0,00:00.0,100,2,34,66,50,976825,151019,177654,59449,32518,35540,18340,10001,,,,,
04:42.0,00:00.0,100,2,37,74,55,1995875,114764,33526,3148,14719,18198,10048,5378,,,,,
04:43.0,00:00.0,100,2,37,69,53,42740,30651,9882,20738,20947,20897,6237,6602,,,,,
04:44.0,00:00.0,100,2,48,66,57,66452,30967,13791,17382,17250,23342,27864,9672,,,,,
04:45.0,00:00.0,100,2,44,54,49,402186,23949,7642,1489,2852,2368,3759,1694,,,,,
04:46.0,00:00.0,100,2,60,60,60,9233,11730,4962,10061,9203,18050,7225,5751,,,,,
04:47.0,00:00.0,100,2,60,66,63,26036,8515,5405,15823,6415,9857,7588,4834,,,,,
04:48.0,00:00.0,100,2,53,63,58,24917,37700,6203,9361,7812,8860,6051,1664,,,,,
04:49.0,00:00.0,100,2,63,70,66,55370,39782,43066,18297,8222,18881,5836,10933,,,,,
04:50.0,00:00.0,100,2,53,78,65,13577,12005,25113,4004,19282,9425,4450,4491,,,,,
04:51.0,00:00.0,100,2,53,80,66,7628,9184,17050,14558,7044,11754,12926,1675,,,,,
04:52.0,00:00.0,100,2,54,83,68,230024,33362,18141,5113,12543,11191,7399,2961,,,,,
04:53.0,00:00.0,100,2,61,70,65,21917,21152,4280,5649,11382,14070,19772,7670,,,,,
04:54.0,00:00.0,100,2,67,63,65,39212,16636,8294,3793,5685,16371,3190,1575,,,,,
04:55.0,00:00.0,100,2,61,56,58,14729,49902,35395,8006,7657,12325,6234,1535,,,,,
04:56.0,00:00.0,100,2,60,50,55,12876,49025,3937,11418,12615,9268,5667,1428,,,,,
04:57.0,00:00.0,100,2,51,53,52,9947,22501,7652,5893,19501,6018,5475,1173,,,,,
04:58.0,00:00.0,100,2,37,54,45,510718,89299,26876,25042,16059,16364,5244,2565,,,,,
04:59.0,00:00.0,100,2,38,50,44,49084,18907,4283,5015,3658,4275,1082,203,,,,,
05:00.0,00:00.0,100,2,43,61,52,6583,12987,9214,16804,7281,10142,3204,4494,,,,,
05:01.0,00:00.0,100,2,53,66,59,11670,7486,6527,15509,14977,16340,5940,4351,,,,,
05:02.0,00:00.0,100,2,57,78,67,14297,9151,27206,7731,5394,7694,1411,1256,,,,,
05:03.0,00:00.0,100,2,54,88,71,20465,35880,49565,8089,11442,10095,8544,3164,,,,,
05:04.0,00:00.0,100,2,47,70,58,40293,85694,3173,10052,10853,9921,2001,1490,,,,,
05:05.0,00:00.0,100,2,40,77,58,2429,16772,27463,7704,4244,13459,2593,2414,,,,,
05:06.0,00:00.0,100,2,37,74,55,135664,34001,52825,14231,16582,12960,2137,1229,,,,,
