'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
46:02.0,00:00.0,100,1,64,61,62,193153,103439,85705,17072,20512,9227,7574,3256,,20586.44689,15120.46124,9358.350239,4262.849761
46:03.0,00:00.0,87,2,64,61,62,659498,22224,2881,6804,3584,1587,1214,455,,,,,
46:04.0,00:00.0,100,2,47,63,55,159587,32683,10537,5606,4697,1815,1321,645,,,,,
46:05.0,00:00.0,100,2,44,66,55,491107,136152,39743,19845,16065,12379,8749,4763,,,,,
46:06.0,00:00.0,100,2,41,74,57,25060,81093,41830,14422,24372,20446,7630,6659,,,,,
46:07.0,00:00.0,100,2,47,60,53,1023885,88870,15319,6613,27432,9268,9557,4499,,,,,
46:08.0,00:00.0,100,2,56,61,58,1592485,406399,247285,60947,124083,88071,40370,59765,,,,,
46:09.0,00:00.0,100,2,50,67,58,707410,38955,31563,5467,6789,2713,4027,944,,,,,
46:10.0,00:00.0,100,2,56,64,60,928390,81283,31017,8417,42627,34406,12143,18835,,,,,
46:11.0,00:00.0,100,2,69,75,72,98180,19765,3379,20216,8562,15394,5236,969,,,,,
46:12.0,00:00.0,100,2,77,77,77,184507,14434,10065,6016,5630,7449,3719,1723,,,,,
46:13.0,00:00.0,100,2,84,66,75,844984,219072,41385,34161,30410,25202,10218,3948,,,,,
46:14.0,00:00.0,100,2,70,77,73,164092,396815,197992,136270,19883,49357,43892,19677,,,,,
46:15.0,00:00.0,87,2,70,77,73,805697,37384,5100,6353,4115,1496,1011,435,,,,,
46:16.0,00:00.0,100,2,60,74,67,1629869,276363,39053,186127,164995,52634,41544,3141,,,,,
46:17.0,00:00.0,100,2,54,69,61,1083340,39175,6754,13823,8576,9950,8192,3283,,,,,
46:18.0,00:00.0,100,2,69,64,66,261369,257741,41433,28784,51993,132588,19548,7215,,,,,
46:19.0,00:00.0,100,1,78,61,69,235492,67798,56865,13033,40897,25711,18013,9265,,,,,
46:20.0,00:00.0,100,1,75,64,69,316206,29405,6278,16937,6121,3331,3191,3601,,,,,
46:21.0,00:00.0,100,1,74,70,72,22829,25989,19032,22220,16917,8292,5526,2861,,,,,
46:22.0,00:00.0,100,1,64,91,77,13599,11656,8562,37898,8130,10504,4246,3413,,,,,
46:23.0,00:00.0,100,2,60,83,71,167695,145624,20212,9765,10583,16183,1805,1323,,,,,
46:24.0,00:00.0,100,2,63,81,72,140766,10041,4521,5383,4517,1995,2439,541,,,,,
46:25.0,00:00.0,100,2,60,81,70,145440,57802,12207,69211,38941,14271,12172,5178,,,,,
46:26.0,00:00.0,100,2,63,77,70,26730,61074,15986,83939,13082,36744,13432,6954,,,,,
46:27.0,00:00.0,100,2,64,77,70,42615,118392,9431,17344,16795,17438,8831,2494,,,,,
46:28.0,00:00.0,100,2,70,74,72,1322624,100139,16863,42609,13179,33153,17656,11498,,,,,
46:29.0,00:00.0,100,2,63,67,65,310398,61900,21789,6150,14135,3654,3613,1531,,,,,
46:30.0,00:00.0,100,2,60,54,57,74375,79619,1543,21740,15276,15859,7696,1668,,,,,
46:31.0,00:00.0,100,2,60,44,52,249812,141496,1772,8630,28629,21681,2626,1839,,,,,
46:32.0,00:00.0,100,2,54,38,46,1064466,95153,15069,13565,30878,16921,7570,748,,,,,
46:33.0,00:00.0,100,2,63,40,51,720611,111871,12804,63490,38563,22505,20753,6131,,,,,
46:34.0,00:00.0,100,2,66,48,57,232221,34981,32425,20120,41043,16551,21551,5736,,,,,
46:35.0,00:00.0,100,2,67,74,70,142273,43641,34321,36083,10553,19641,12345,8767,,,,,
46:36.0,00:00.0,100,2,74,81,77,438960,10165,10702,7669,15648,6586,4014,1887,,,,,
