'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
53:43.0,00:00.0,100,2,64,77,70,164980,97561,15492,6462,11685,13740,4262,3328,,16010.38226,14399.4963,8864.01056,4575.086589
53:44.0,00:00.0,100,2,67,66,66,147571,35371,11813,6789,13331,8576,3941,2446,,,,,
53:45.0,00:00.0,100,2,67,51,59,24671,39727,21873,7886,13618,7539,5915,1797,,,,,
53:46.0,00:00.0,100,2,63,43,53,883399,609518,42818,106183,5387,53455,10457,15356,,,,,
53:47.0,00:00.0,100,2,54,50,52,519464,243438,81407,8532,22237,16358,12321,3550,,,,,
53:48.0,00:00.0,100,2,47,48,47,689543,62128,7433,20681,17994,5930,1705,2308,,,,,
53:49.0,00:00.0,100,2,41,47,44,622872,92696,26467,22586,9545,8023,13517,3279,,,,,
53:50.0,00:00.0,100,2,40,48,44,234657,162258,25542,22744,17582,13473,19694,17464,,,,,
53:51.0,00:00.0,100,2,41,50,45,286383,176594,28255,37639,21421,13091,18768,3423,,,,,
53:52.0,00:00.0,100,2,44,53,48,645242,87411,48588,16501,21376,15554,12287,6975,,,,,
53:53.0,00:00.0,100,2,44,47,45,1365917,180467,21478,23335,21575,12085,9932,3741,,,,,
53:54.0,00:00.0,100,2,51,54,52,56286,12603,7772,3522,1340,3445,777,478,,,,,
53:55.0,00:00.0,100,2,44,48,46,430241,85904,10222,6016,2277,2806,1558,664,,,,,
53:56.0,00:00.0,100,2,47,41,44,637529,25736,6682,3200,7027,3890,2209,2270,,,,,
53:57.0,00:00.0,100,2,54,40,47,33737,70018,5357,9255,17905,11500,4748,7580,,,,,
53:58.0,00:00.0,100,2,56,30,43,66663,55954,13727,9575,7123,14000,7206,2428,,,,,
53:59.0,00:00.0,100,2,70,53,61,876515,15679,49379,8556,10764,10497,6512,2470,,,,,
54:00.0,00:00.0,100,2,67,60,63,1396299,66129,39690,16941,38552,9100,5200,1748,,,,,
54:01.0,00:00.0,100,2,54,67,60,71007,108529,22253,29978,20581,5233,5595,5036,,,,,
54:02.0,00:00.0,100,2,43,84,63,119403,40503,72320,27746,18480,6329,3450,2080,,,,,
54:03.0,00:00.0,100,2,40,69,54,180136,72977,4023,26205,11061,9494,5712,2628,,,,,
54:04.0,00:00.0,100,2,40,57,48,1384172,176964,17163,19840,36658,19238,8929,5565,,,,,
