'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
10:53.0,00:00.0,100,2,56,81,68,35592,24151,30762,16460,15099,34269,10385,5097,,17683.80714,16468.95,12152.05476,5836.738095
10:54.0,00:00.0,100,2,47,63,55,25143,196299,13673,22661,7488,8644,14057,2552,,,,,
10:55.0,00:00.0,100,2,40,60,50,350181,49323,13793,3135,406,3042,1507,780,,,,,
10:56.0,00:00.0,100,2,37,50,43,82844,45896,2703,12369,1520,3799,2027,793,,,,,
10:57.0,00:00.0,100,2,27,47,37,22393,30872,10227,20913,18556,12485,5306,2372,,,,,
10:58.0,00:00.0,100,2,44,56,50,87551,22132,17866,11740,16800,14610,7055,2761,,,,,
10:59.0,00:00.0,100,2,56,70,63,45883,15325,47220,12973,7712,13812,13452,4541,,,,,
11:00.0,00:00.0,100,2,54,70,62,100106,55804,8467,12489,11867,3595,3074,1206,,,,,
11:01.0,00:00.0,100,2,56,66,61,21988,43810,13297,6278,3710,16492,5910,1772,,,,,
11:02.0,00:00.0,100,2,47,64,55,103863,88952,23693,27698,14009,10964,10263,5240,,,,,
11:03.0,00:00.0,100,2,50,56,53,25256,23455,15014,16578,10150,17441,2531,1720,,,,,
11:04.0,00:00.0,100,2,64,69,66,25857,18121,25648,29312,7432,23239,10181,5434,,,,,
11:05.0,00:00.0,100,2,44,67,55,87875,438334,91594,42935,53088,13046,16791,4152,,,,,
11:06.0,00:00.0,100,2,54,69,61,75939,10115,9760,5164,14131,5635,1499,1311,,,,,
11:07.0,00:00.0,100,2,43,61,52,721158,112387,28927,10011,15351,11275,15179,3851,,,,,
11:08.0,00:00.0,100,2,34,53,43,105696,76301,36881,6817,11128,10824,5437,4649,,,,,
11:09.0,00:00.0,100,2,41,53,47,458053,330312,66313,36535,11494,28852,16447,5135,,,,,
11:10.0,00:00.0,100,2,34,48,41,1573794,189380,39308,29160,14162,18648,28452,6112,,,,,
11:11.0,00:00.0,100,2,34,40,37,389469,342595,24483,15721,24714,30325,9278,6456,,,,,
11:12.0,00:00.0,100,1,35,34,34,86627,28078,4209,3581,3704,3347,2184,652,,,,,
11:13.0,00:00.0,100,1,35,30,32,979966,136523,18860,26371,31678,14463,29642,5534,,,,,
11:14.0,00:00.0,100,2,30,29,29,244204,167237,20008,30376,23123,8997,8473,2802,,,,,
11:15.0,00:00.0,100,2,17,34,25,1152722,1861974,100195,155106,25969,35358,51134,16145,,,,,
11:16.0,00:00.0,100,2,21,30,25,586184,216372,25794,32326,34191,41852,34559,13267,,,,,
11:17.0,00:00.0,100,2,27,44,35,5408,33585,33340,35469,14952,17664,20491,16318,,,,,
11:18.0,00:00.0,100,2,38,60,49,38584,23951,31063,55589,16848,17187,11810,9493,,,,,
11:19.0,00:00.0,100,2,51,64,57,310071,182331,33489,19684,23139,20117,13172,6751,,,,,
11:20.0,00:00.0,100,1,44,64,54,1606466,291921,25139,50422,41992,28023,23463,11030,,,,,
11:21.0,00:00.0,100,1,48,54,51,848338,12295,4515,2418,2796,4931,4978,1519,,,,,
11:22.0,00:00.0,100,1,51,43,47,1738817,49652,24354,16105,27407,24161,19758,13691,,,,,
11:23.0,00:00.0,100,1,51,53,52,60615,5665,1125,3362,221,788,887,242,,,,,
11:24.0,00:00.0,100,1,64,56,60,134504,8645,3246,2779,5234,5983,3161,1918,,,,,
11:25.0,00:00.0,100,1,51,57,54,437031,275873,105224,33225,11510,16019,25747,6753,,,,,
11:26.0,00:00.0,100,1,54,60,57,22931,21384,11959,13288,17875,21967,13813,17343,,,,,
11:27.0,00:00.0,100,1,51,53,52,92304,213343,44734,24827,14930,15148,15206,9449,,,,,
11:28.0,00:00.0,100,1,35,51,43,1507151,256158,22395,62383,35654,14242,9896,6929,,,,,
