'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
21:31.0,00:00.0,100,2,48,77,62,21480,27363,31069,14116,13043,17969,9195,3527,,18997.25112,18212.80269,13058.88879,5741.161435
21:32.0,00:00.0,100,2,48,80,64,25862,18924,11318,22227,11626,7285,9981,7286,,,,,
21:33.0,00:00.0,100,2,40,69,54,73742,24524,7773,5097,9522,2353,2029,1311,,,,,
21:34.0,00:00.0,100,2,34,77,55,71202,52781,18538,6563,3654,3752,1710,476,,,,,
21:35.0,00:00.0,100,2,13,56,34,603022,597139,74897,27437,18419,22756,13300,9689,,,,,
21:36.0,00:00.0,100,2,20,44,32,59798,23085,688,13850,13363,11377,6963,6771,,,,,
21:37.0,00:00.0,100,2,47,30,38,9410,28543,3714,5450,8336,33390,7044,11040,,,,,
21:38.0,00:00.0,100,2,61,37,49,171789,71618,58248,26375,29573,31022,14746,4158,,,,,
21:39.0,00:00.0,100,2,78,47,62,84265,7361,2325,3601,5074,2151,1860,2694,,,,,
21:40.0,00:00.0,100,2,83,35,59,23056,31959,4881,3664,20930,15857,12506,5735,,,,,
21:41.0,00:00.0,100,2,69,48,58,32685,57438,20821,11997,12267,26383,11804,6794,,,,,
21:42.0,00:00.0,100,2,67,43,55,18992,60061,12498,21450,23969,16023,18018,8488,,,,,
21:43.0,00:00.0,100,2,83,44,63,17037,21912,6632,23721,6728,34168,11485,5778,,,,,
21:44.0,00:00.0,100,2,87,63,75,14014,6234,4873,15252,8282,16349,12322,5532,,,,,
21:45.0,00:00.0,100,2,87,51,69,18757,62130,10035,1719,5650,19286,10157,6138,,,,,
21:46.0,00:00.0,100,2,97,53,75,9812,17335,7301,12988,6318,24389,18701,5547,,,,,
21:47.0,00:00.0,100,2,70,44,57,134094,66976,13340,5022,5028,3969,2774,546,,,,,
21:48.0,00:00.0,100,2,66,38,52,5942,7177,2327,6823,13807,6856,5629,1610,,,,,
21:49.0,00:00.0,100,1,57,37,47,475677,179749,16989,15767,52397,23695,9895,10245,,,,,
21:50.0,00:00.0,100,1,54,50,52,43575,3496,29816,11929,11220,16948,13294,3764,,,,,
21:51.0,00:00.0,100,1,87,43,65,16190,8618,1692,7954,29607,38798,6044,6134,,,,,
21:52.0,00:00.0,100,1,70,23,46,61616,45084,1488,3055,20818,5322,3686,1203,,,,,
21:53.0,00:00.0,100,1,77,21,49,129280,138340,15364,7241,27038,38934,56370,8191,,,,,
21:54.0,00:00.0,100,1,63,3,33,192405,110657,8158,31898,12565,19070,15713,2972,,,,,
21:55.0,00:00.0,100,1,41,26,33,211342,17836,17069,19244,11854,10607,2962,1993,,,,,
21:56.0,00:00.0,100,1,48,44,46,126362,35108,8154,5776,5475,10565,2118,528,,,,,
21:57.0,00:00.0,100,2,44,53,48,74492,101091,26188,6077,15695,26191,15809,2747,,,,,
21:58.0,00:00.0,100,2,57,56,56,22538,10282,4331,3581,3438,9986,4786,2280,,,,,
21:59.0,00:00.0,100,2,61,40,50,118163,11100,728,4651,7898,4534,4375,1565,,,,,
22:00.0,00:00.0,100,2,69,40,54,6482,27963,8488,13108,20747,32510,24115,1988,,,,,
22:01.0,00:00.0,100,2,66,47,56,9505,32759,14600,6632,12402,6915,9437,1696,,,,,
22:02.0,00:00.0,100,2,51,50,50,32264,61808,21327,19869,21414,10927,14530,2623,,,,,
22:03.0,00:00.0,100,2,50,48,49,60466,53709,10065,3685,5009,12935,7461,3334,,,,,
22:04.0,00:00.0,100,2,35,56,45,554840,89916,35392,34371,18065,20517,9766,5224,,,,,
22:05.0,00:00.0,100,2,38,66,52,16219,9848,16135,6191,9580,5139,3638,5623,,,,,
22:06.0,00:00.0,100,2,38,67,52,80228,35511,18260,7517,1232,6377,3287,358,,,,,
22:07.0,00:00.0,100,2,34,94,64,48158,15743,47415,41274,24116,11936,11810,2363,,,,,
22:08.0,00:00.0,100,2,27,90,58,338694,362391,114341,26639,14593,36707,27534,5142,,,,,
22:09.0,00:00.0,100,2,24,77,50,179959,18853,4530,2983,1203,2874,3901,627,,,,,
22:10.0,00:00.0,100,2,29,67,48,36745,21126,6685,4179,5324,6847,1631,858,,,,,
22:11.0,00:00.0,100,2,37,60,48,129305,38853,29571,48747,31912,28651,20424,8665,,,,,
22:12.0,00:00.0,100,2,44,47,45,678271,70887,898,11884,19795,13834,7950,3528,,,,,
22:13.0,00:00.0,100,2,51,51,51,49642,40260,10475,21548,9047,16921,24661,6240,,,,,
22:14.0,00:00.0,100,2,47,54,50,112516,29718,10305,4677,257,4749,3206,1553,,,,,
22:15.0,00:00.0,100,2,50,41,45,4172,18081,7267,1643,7583,8892,17756,14150,,,,,
22:16.0,00:00.0,100,2,61,56,58,3065,5763,3420,34883,59021,27757,7542,6590,,,,,
22:17.0,00:00.0,100,2,67,50,58,9823,42892,15396,8917,12293,33490,8192,4328,,,,,
22:18.0,00:00.0,100,1,64,41,52,154791,213578,44186,14331,30953,26221,6405,6837,,,,,
22:19.0,00:00.0,100,1,51,50,50,240035,17949,8053,5446,6303,2438,2437,1473,,,,,
22:20.0,00:00.0,100,1,43,56,49,26738,17686,3793,22315,6375,9646,11540,4366,,,,,
22:21.0,00:00.0,100,1,24,37,30,886153,451515,17859,6675,80845,32450,28890,12540,,,,,
22:22.0,00:00.0,100,1,41,48,44,21917,13013,18234,4934,13005,20709,12807,8271,,,,,
22:23.0,00:00.0,100,1,63,41,52,16574,26759,6172,10701,25624,33529,22173,9199,,,,,
22:24.0,00:00.0,100,1,67,40,53,18684,11491,18848,19897,32022,17973,25408,12813,,,,,
22:25.0,00:00.0,100,1,66,56,61,770674,694858,70173,62972,43896,45431,39000,27972,,,,,
22:26.0,00:00.0,100,1,51,44,47,328081,64655,7926,5300,9097,8119,25226,3577,,,,,
22:27.0,00:00.0,100,1,26,41,33,104772,24174,3836,223,1295,1536,1532,898,,,,,
22:28.0,00:00.0,100,1,23,37,30,159498,16507,8032,6837,9338,7497,5635,2618,,,,,
22:29.0,00:00.0,100,1,34,47,40,1367030,154282,36238,67061,29372,49076,20413,18251,,,,,
22:30.0,00:00.0,100,1,41,61,51,18354,23136,21834,12060,15309,14292,14537,4199,,,,,
22:31.0,00:00.0,100,1,57,77,67,6598,13096,14436,16630,25266,17160,12645,12572,,,,,
22:32.0,00:00.0,100,1,60,81,70,18594,26502,645,43455,27162,17124,16723,4376,,,,,
22:33.0,00:00.0,100,1,60,83,71,207310,19400,11892,4935,5041,7492,4049,2349,,,,,
22:34.0,00:00.0,100,1,56,83,69,122593,56454,19184,68187,35921,23100,30597,10524,,,,,
22:35.0,00:00.0,100,1,50,88,69,375058,20525,40566,24795,34732,16545,10724,3208,,,,,
22:36.0,00:00.0,100,1,48,84,66,148759,46392,17346,18128,23979,16112,16534,8634,,,,,
