'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
38:49.0,00:00.0,100,2,67,51,59,329074,30623,3997,10004,5193,3321,2976,1847,,28601.68029,22136.27568,8198.089099,4131.530398
38:50.0,00:00.0,100,2,57,35,46,279702,144658,10607,4117,3766,4907,3458,1736,,,,,
38:51.0,00:00.0,100,2,48,35,41,842555,72667,23108,3964,6168,3664,2398,1373,,,,,
38:52.0,00:00.0,100,2,56,30,43,123543,3549,914,1576,2325,2664,1845,912,,,,,
38:53.0,00:00.0,100,2,66,44,55,453842,14063,15956,41125,11762,14551,3105,2378,,,,,
38:54.0,00:00.0,100,2,74,53,63,1687501,234765,19863,36494,8528,19305,8358,2030,,,,,
38:55.0,00:00.0,100,2,74,56,65,139638,10479,3318,2140,982,758,905,192,,,,,
38:56.0,00:00.0,100,2,60,63,61,90551,42261,20331,4257,2375,6321,3570,1527,,,,,
38:57.0,00:00.0,100,2,54,47,50,711730,23974,6187,4616,4406,4064,3193,1094,,,,,
38:58.0,00:00.0,100,2,47,51,49,541268,263118,14840,68777,21369,10156,4922,1929,,,,,
38:59.0,00:00.0,100,2,50,41,45,818196,126885,16874,10749,33926,10291,6078,1414,,,,,
39:00.0,00:00.0,87,2,50,41,45,637130,13384,6538,5210,4504,1519,369,353,,,,,
39:01.0,00:00.0,100,2,47,35,41,1528731,51698,17523,2584,11589,3626,1316,797,,,,,
39:02.0,00:00.0,100,2,27,21,24,269013,253337,20903,6218,6914,4231,5762,3638,,,,,
39:03.0,00:00.0,100,2,43,23,33,174523,155692,46952,28780,50431,34430,24160,5855,,,,,
39:04.0,00:00.0,100,2,40,30,35,250844,55573,18257,4480,2648,3532,4411,823,,,,,
39:05.0,00:00.0,100,2,50,35,42,897563,128410,54271,9954,14765,31595,8313,3487,,,,,
39:06.0,00:00.0,100,2,67,54,60,1365069,36293,9336,21141,6396,9382,3207,1168,,,,,
39:07.0,00:00.0,100,3,61,54,57,1667469,384876,36903,153781,91672,37877,25344,5986,,,,,
39:08.0,00:00.0,87,2,61,54,57,507754,8935,3937,3356,1360,632,891,263,,,,,
39:09.0,00:00.0,100,2,67,41,54,519988,195636,10526,13690,24221,21807,11603,5791,,,,,
39:10.0,00:00.0,100,2,63,38,50,868682,169925,52403,13423,38737,22865,8514,2863,,,,,
39:11.0,00:00.0,100,3,63,20,41,2760136,597223,7925,69273,91811,101921,11793,4302,,,,,
39:12.0,00:00.0,100,3,56,13,34,127507,258853,48525,8696,7660,9217,2978,2974,,,,,
39:13.0,00:00.0,100,3,47,23,35,303286,124875,23430,24656,43149,5270,7682,4164,,,,,
39:14.0,00:00.0,100,3,44,17,30,1699870,360176,50237,38386,67268,31602,11970,8154,,,,,
39:15.0,00:00.0,100,2,26,21,23,646533,369532,39224,10747,41623,6475,3889,2071,,,,,
39:16.0,00:00.0,100,2,43,16,29,322382,101571,7890,12301,16661,29449,29881,2369,,,,,
39:17.0,00:00.0,100,2,47,4,25,1319087,442465,9554,35079,25934,18578,15015,4699,,,,,
39:18.0,00:00.0,100,2,35,11,23,724551,110552,29598,7954,4614,3317,9291,2908,,,,,
39:19.0,00:00.0,100,2,40,14,27,96927,176395,8297,27090,11294,5758,11667,811,,,,,
39:20.0,00:00.0,100,2,43,24,33,97591,8730,4534,1528,3424,5317,3403,714,,,,,
39:21.0,00:00.0,100,2,54,35,44,5120,44305,6900,7882,8925,10226,7908,5075,,,,,
39:22.0,00:00.0,100,2,67,23,45,935937,104749,6583,6209,12573,13161,14361,5894,,,,,
39:23.0,00:00.0,100,2,84,35,59,146120,5780,6016,2610,5993,2898,1845,673,,,,,
39:24.0,00:00.0,100,2,70,35,52,373972,103414,1695,42772,25762,10975,8443,5431,,,,,
39:25.0,00:00.0,100,2,61,37,49,1299215,263318,64208,32337,33745,16406,11806,1615,,,,,
39:26.0,00:00.0,100,2,61,40,50,1185865,906820,77534,59566,43899,109890,8808,4258,,,,,
39:27.0,00:00.0,100,2,44,29,36,2646816,288234,21734,64688,33797,10192,6409,1614,,,,,
39:28.0,00:00.0,87,5,44,29,36,845133,63886,19396,25494,12970,5781,1133,910,,,,,
39:29.0,00:00.0,100,5,51,43,47,859869,21816,19624,17755,6600,7685,2682,330,,,,,
39:30.0,00:00.0,100,5,60,41,50,577726,46488,3508,14883,10208,8871,3076,3044,,,,,
39:31.0,00:00.0,86,5,60,41,50,1268915,312526,31155,1621,4280,8726,20250,4881,,,,,
39:32.0,00:00.0,100,5,60,61,60,28080,23799,25914,5581,9268,6249,2549,1247,,,,,
39:33.0,00:00.0,100,5,70,77,73,512172,33027,62087,9949,26380,10468,8950,763,,,,,
39:34.0,00:00.0,100,5,70,70,70,50811,25716,36277,7457,26873,10532,5497,3069,,,,,
39:35.0,00:00.0,100,5,67,93,80,477547,20280,94870,2665,19322,9422,5390,4060,,,,,
39:36.0,00:00.0,100,5,67,91,79,528358,43204,36638,18018,15064,10783,6290,5415,,,,,
39:37.0,00:00.0,100,5,74,75,74,285599,53473,8233,8637,18664,14578,15460,1675,,,,,
39:38.0,00:00.0,100,2,64,69,66,748852,134357,26782,31310,15859,9676,5042,3816,,,,,
39:39.0,00:00.0,87,2,64,69,66,522494,21202,3602,3725,1074,1227,530,225,,,,,
39:40.0,00:00.0,100,2,57,54,55,1574559,607413,259508,59962,44708,36517,9832,12152,,,,,
39:41.0,00:00.0,100,1,53,53,53,597201,23842,8007,9122,1658,3054,524,298,,,,,
39:42.0,00:00.0,100,1,38,38,38,742090,323842,3455,12120,97936,13156,9212,4713,,,,,
39:43.0,00:00.0,100,1,47,44,45,362088,29339,21773,19479,16300,8672,11127,1242,,,,,
39:44.0,00:00.0,100,1,47,43,45,459527,366859,81650,42438,21950,19815,8198,6618,,,,,
39:45.0,00:00.0,100,1,38,24,31,150053,25851,1609,745,2211,596,1007,193,,,,,
39:46.0,00:00.0,100,1,37,38,37,1333888,387406,45404,13262,13254,14282,9758,1217,,,,,
39:47.0,00:00.0,100,1,41,29,35,1140436,56251,16905,15614,18605,19289,7622,2870,,,,,
39:48.0,00:00.0,100,2,35,34,34,879684,670502,159391,113833,27808,19334,18936,3507,,,,,
39:49.0,00:00.0,100,2,47,35,41,2415711,225640,16689,14948,42207,21368,10583,2576,,,,,
39:50.0,00:00.0,100,2,53,60,56,66682,45823,6000,127951,19222,12405,4328,1626,,,,,
39:51.0,00:00.0,100,2,38,53,45,797470,395125,23448,44406,8880,18479,3787,2546,,,,,
39:52.0,00:00.0,100,2,56,56,56,689933,24241,7175,13342,4889,6535,1078,525,,,,,
39:53.0,00:00.0,100,2,48,57,52,130563,28443,3048,2027,1696,1168,1904,1034,,,,,
39:54.0,00:00.0,100,2,57,34,45,347905,86554,1528,15369,24904,25091,14978,3241,,,,,
39:55.0,00:00.0,100,2,77,50,63,5703,5491,38764,22184,29513,23569,10131,9819,,,,,
39:56.0,00:00.0,100,2,88,43,65,9793,17599,20094,4122,33148,23811,20196,7374,,,,,
39:57.0,00:00.0,100,2,100,53,76,9691,46479,14645,34013,21269,33918,12839,4994,,,,,
39:58.0,00:00.0,100,2,100,57,78,122978,13934,1530,2344,3141,2587,3117,2034,,,,,
39:59.0,00:00.0,100,2,100,48,74,29402,68093,10338,19742,6001,17525,8458,5530,,,,,
40:00.0,00:00.0,100,2,90,56,73,24283,31283,21898,15967,8214,12237,12269,3799,,,,,
40:01.0,00:00.0,100,2,78,48,63,231329,41249,6144,1945,1904,5305,2182,741,,,,,
40:02.0,00:00.0,100,2,75,56,65,600985,44118,4779,28730,10058,8174,8179,6441,,,,,
40:03.0,00:00.0,100,2,70,64,67,108825,10642,6472,5421,2092,3305,2665,1092,,,,,
40:04.0,00:00.0,100,2,66,63,64,1009174,101227,64212,18258,9005,15833,8674,4213,,,,,
40:05.0,00:00.0,100,2,66,70,68,201559,387805,219384,50825,227689,59520,22370,4513,,,,,
40:06.0,00:00.0,100,1,63,74,68,951439,25372,11648,14932,7828,3884,1262,567,,,,,
40:07.0,00:00.0,100,2,61,48,54,459043,47721,1584,1426,3178,5858,672,753,,,,,
40:08.0,00:00.0,100,2,56,35,45,1012011,109463,15342,7678,6934,7092,6117,1392,,,,,
40:09.0,00:00.0,100,2,53,16,34,123131,37973,2107,701,726,2276,1352,1046,,,,,
40:10.0,00:00.0,100,2,48,16,32,2078143,39793,17939,10251,3397,3288,2737,461,,,,,
40:11.0,00:00.0,100,2,50,40,45,432448,28026,13837,28312,22884,11931,6981,2219,,,,,
40:12.0,00:00.0,100,2,61,35,48,15668,70724,4825,4001,10274,14127,10656,5235,,,,,
