'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
57:19.0,00:00.0,100,2,70,48,59,2365689,878654,9541,24078,99175,56959,9031,9776,,24611.17647,19499.23732,6649.963489,4082.604462
57:20.0,00:00.0,100,2,57,57,57,63115,9642,4423,924,262,636,307,141,,,,,
57:21.0,00:00.0,100,2,56,35,45,50399,271461,36827,1848,3565,2069,1928,1214,,,,,
57:22.0,00:00.0,100,2,38,20,29,257450,86329,6840,3024,335,1542,666,1019,,,,,
57:23.0,00:00.0,100,2,30,54,42,417960,29330,24961,5074,1225,1736,968,1037,,,,,
57:24.0,00:00.0,100,2,27,54,40,290357,210212,73033,34877,9394,8812,8623,4291,,,,,
57:25.0,00:00.0,100,2,27,48,37,232871,251183,6680,10873,4497,1939,691,617,,,,,
57:26.0,00:00.0,100,2,23,44,33,977230,661029,25414,32215,1874,6230,1986,1760,,,,,
57:27.0,00:00.0,100,2,17,30,23,110538,75957,11778,10701,1258,1918,744,677,,,,,
57:28.0,00:00.0,100,2,8,17,12,529033,445627,15541,38695,5152,5189,922,3102,,,,,
57:29.0,00:00.0,100,2,3,20,11,328497,581771,12886,36681,5418,2790,3376,1091,,,,,
57:30.0,00:00.0,100,2,16,47,31,115008,34314,38610,10288,1024,3331,415,338,,,,,
57:31.0,00:00.0,100,2,16,40,28,1035206,141244,8172,12620,1837,2908,1507,439,,,,,
57:32.0,00:00.0,100,2,37,41,39,668008,290150,16329,35131,27063,30637,8901,3309,,,,,
57:33.0,00:00.0,100,5,61,56,58,215787,394175,82664,83549,80337,32781,15225,14902,,,,,
57:34.0,00:00.0,87,2,61,56,58,744263,53365,9650,8337,9359,3991,1314,381,,,,,
57:35.0,00:00.0,74,2,61,56,58,1354063,106015,60239,38904,98636,77623,2563,4991,,,,,
57:36.0,00:00.0,87,2,61,56,58,553049,26481,3350,3929,2565,2043,265,225,,,,,
57:37.0,00:00.0,100,2,61,53,57,752423,123663,93443,30059,10215,9303,4392,4838,,,,,
57:38.0,00:00.0,100,4,67,69,68,2359633,597184,435563,51349,28806,43029,14944,12519,,,,,
57:39.0,00:00.0,74,2,67,69,68,523532,114764,51239,58198,53531,72956,16006,6473,,,,,
57:40.0,00:00.0,100,2,60,83,71,1202902,664898,321903,124101,80122,46246,13262,12097,,,,,
57:41.0,00:00.0,87,3,60,83,71,1932815,1417659,898984,764464,402556,574202,46484,26781,,,,,
57:42.0,00:00.0,100,3,61,88,74,88918,49662,9973,20181,7061,5365,957,1512,,,,,
57:43.0,00:00.0,100,2,63,91,77,362447,386773,539568,64530,22801,48996,6036,2094,,,,,
57:44.0,00:00.0,100,1,43,67,55,148356,39671,1680,1264,664,177,126,158,,,,,
57:45.0,00:00.0,100,1,37,60,48,95065,341541,76686,12391,14185,9175,3715,3939,,,,,
57:46.0,00:00.0,86,1,37,60,48,1533933,45321,7508,1779,1801,1790,1316,1333,,,,,
57:47.0,00:00.0,100,1,23,67,45,76648,7177,6110,1794,227,250,571,176,,,,,
57:48.0,00:00.0,87,2,23,67,45,260781,66182,843,1138,2379,1209,846,609,,,,,
57:49.0,00:00.0,100,2,23,70,46,1199880,8269,31960,6205,2820,1943,2952,1952,,,,,
57:50.0,00:00.0,100,2,47,83,65,989480,55930,8558,11463,1539,4081,2820,1429,,,,,
