'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
38:47.0,00:00.0,100,1,83,60,71,43550,26770,4624,4992,4621,9428,1567,470,,12850.02208,9870.562566,6239.366982,3328.745531
38:48.0,00:00.0,100,1,88,60,74,9175,33219,16779,10549,6061,9644,5579,1619,,,,,
38:49.0,00:00.0,100,1,93,61,77,36259,29924,5387,17008,17097,8004,9888,2580,,,,,
38:50.0,00:00.0,100,1,96,74,85,7970,4810,8000,23905,10426,6904,4584,2676,,,,,
38:51.0,00:00.0,100,1,97,80,88,49093,11046,3876,6854,3340,7074,4845,3055,,,,,
38:52.0,00:00.0,100,2,97,70,83,160442,137207,15027,63810,93833,39161,24914,7404,,,,,
38:53.0,00:00.0,100,2,100,74,87,6786,11448,6426,8538,14134,10543,5426,3004,,,,,
38:54.0,00:00.0,100,2,94,67,80,114859,11547,10400,4357,1799,1138,1071,397,,,,,
38:55.0,00:00.0,100,2,81,70,75,94890,49249,18732,28571,9083,8103,2821,2729,,,,,
38:56.0,00:00.0,100,2,63,69,66,283036,149319,30111,4047,7851,4117,3135,372,,,,,
38:57.0,00:00.0,100,2,48,74,61,6063,26013,8472,12883,6226,3747,5182,2364,,,,,
38:58.0,00:00.0,100,2,50,69,59,5952,58882,22764,35223,12160,5785,5728,1779,,,,,
38:59.0,00:00.0,100,2,51,75,63,29861,33737,33852,9709,3396,7769,5336,934,,,,,
39:00.0,00:00.0,100,2,66,64,65,16832,88111,1270,7849,3508,11569,5055,2915,,,,,
39:01.0,00:00.0,100,2,77,64,70,54824,34805,10161,28325,9677,17873,4323,2782,,,,,
39:02.0,00:00.0,100,2,87,56,71,553279,101382,36012,14810,14694,21665,5843,2934,,,,,
39:03.0,00:00.0,100,2,81,38,59,12842,106006,2636,15636,4019,8492,5428,5600,,,,,
39:04.0,00:00.0,100,1,67,34,50,704794,648729,27694,8011,38149,17128,1894,3175,,,,,
39:05.0,00:00.0,100,1,69,30,49,9493,6863,1396,6253,3938,4281,3648,991,,,,,
39:06.0,00:00.0,100,2,60,30,45,150949,207803,41239,48235,9441,14992,5535,1325,,,,,
39:07.0,00:00.0,100,2,78,30,54,23769,25317,3927,8213,19306,24452,12617,5104,,,,,
39:08.0,00:00.0,100,2,94,67,80,13422,6301,32386,13151,8539,8213,5435,2457,,,,,
39:09.0,00:00.0,100,2,80,67,73,7462,80933,20596,24565,5279,7791,3691,1899,,,,,
39:10.0,00:00.0,100,2,66,60,63,1782090,281081,21555,28859,19062,4532,5382,4380,,,,,
39:11.0,00:00.0,100,2,41,66,53,111032,124766,7243,35264,12398,6342,3399,3135,,,,,
39:12.0,00:00.0,100,2,29,44,36,11353,68392,11443,6658,6851,3724,3281,1669,,,,,
39:13.0,00:00.0,100,2,35,47,41,222633,122331,83385,13421,9775,26061,4915,2313,,,,,
39:14.0,00:00.0,100,2,50,56,53,71387,62516,25130,10411,11482,6283,2650,1310,,,,,
39:15.0,00:00.0,100,2,63,57,60,6560,19147,5235,6332,6138,5569,3622,1009,,,,,
39:16.0,00:00.0,100,2,75,74,74,9038,18084,23868,1962,3149,6163,2597,3164,,,,,
39:17.0,00:00.0,100,2,74,61,67,550880,208486,42183,7189,34522,25598,18394,12333,,,,,
39:18.0,00:00.0,100,2,80,57,68,86784,100576,33498,8720,8217,19569,7486,3238,,,,,
39:19.0,00:00.0,100,2,75,60,67,17061,53611,14922,21575,23692,7700,6286,3339,,,,,
39:20.0,00:00.0,100,2,57,44,50,32280,206129,26486,22227,13001,6378,6363,2311,,,,,
