'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
57:20.0,00:00.0,100,2,54,50,52,19341,12672,35152,55976,13106,10609,5779,2272,,12561.23977,9470.909357,5609,2921.321637
57:21.0,00:00.0,100,2,61,64,62,28729,42988,27005,21560,19027,8924,5591,2579,,,,,
57:22.0,00:00.0,100,2,56,81,68,20800,41465,53796,7135,3667,7341,6159,4499,,,,,
57:23.0,00:00.0,100,2,54,100,77,8159,14787,9127,17803,10789,4115,4280,2443,,,,,
57:24.0,00:00.0,100,2,50,93,71,37965,24334,31390,20318,7116,4711,2272,1552,,,,,
57:25.0,00:00.0,100,2,54,96,75,7431,11295,12171,8781,9489,5570,2278,3154,,,,,
57:26.0,00:00.0,100,2,70,90,80,26939,13914,16825,4935,2070,14959,4694,4749,,,,,
57:27.0,00:00.0,100,2,66,88,77,10703,33858,36422,6648,15546,5627,5860,2897,,,,,
57:28.0,00:00.0,100,2,69,80,74,27089,51907,20581,14820,5145,6741,5260,4750,,,,,
57:29.0,00:00.0,100,2,66,70,68,21867,36823,13955,3718,8677,5727,5350,1371,,,,,
57:30.0,00:00.0,100,2,50,57,53,26299,36556,3054,6449,16828,4073,3471,1948,,,,,
57:31.0,00:00.0,100,2,60,61,60,14539,16804,11665,24554,11625,8393,5089,2247,,,,,
57:32.0,00:00.0,100,2,75,63,69,19369,8817,2186,12559,7126,8497,1971,514,,,,,
57:33.0,00:00.0,100,2,75,64,69,18326,55041,19676,16520,13512,9596,5373,2779,,,,,
57:34.0,00:00.0,100,2,77,69,73,163245,185938,29392,45643,63454,27909,4376,4670,,,,,
57:35.0,00:00.0,100,2,66,70,68,14710,30144,30298,19138,10766,4784,5350,2701,,,,,
57:36.0,00:00.0,100,2,56,75,65,5954,12102,4793,14375,4408,4536,3273,2556,,,,,
57:37.0,00:00.0,100,2,50,77,63,47256,269485,158024,46404,60512,27408,18765,3093,,,,,
57:38.0,00:00.0,100,2,63,74,68,97235,9814,765,2443,2099,4940,1725,1422,,,,,
57:39.0,00:00.0,100,2,67,74,70,6422,20028,19685,22011,9141,6151,9031,6186,,,,,
57:40.0,00:00.0,100,2,77,63,70,11674,16155,5271,9461,19188,11451,8003,2180,,,,,
57:41.0,00:00.0,100,2,91,53,72,23268,62339,2891,13554,10893,17201,10889,3541,,,,,
57:42.0,00:00.0,100,2,77,66,71,92330,16034,4086,9766,1473,2336,2612,1287,,,,,
57:43.0,00:00.0,100,2,75,61,68,1565,63844,32796,20961,6072,10984,5879,2789,,,,,
57:44.0,00:00.0,100,2,70,70,70,22684,16041,14569,18342,8741,11448,2556,2367,,,,,
57:45.0,00:00.0,100,2,60,83,71,14022,64352,32035,22166,13907,8477,3001,7908,,,,,
57:46.0,00:00.0,100,2,47,66,56,475938,142394,11922,7478,12178,3718,4680,3096,,,,,
57:47.0,00:00.0,100,2,43,54,48,13816,92484,7878,13780,7426,8770,4696,5018,,,,,
57:48.0,00:00.0,100,2,43,41,42,8371,21444,5045,3918,10183,7200,3158,2996,,,,,
57:49.0,00:00.0,100,2,54,43,48,10332,7122,7373,4010,2872,4185,5519,2075,,,,,
57:50.0,00:00.0,100,2,70,57,63,12421,42114,19696,10777,3429,9043,8398,2952,,,,,
57:51.0,00:00.0,100,2,83,63,73,50388,19996,14581,4030,22972,10535,8351,1705,,,,,
57:52.0,00:00.0,100,2,77,67,72,15357,24952,9685,6189,10649,5614,5427,1909,,,,,
57:53.0,00:00.0,100,2,51,67,59,12315,55595,10570,57800,8777,2486,4452,3901,,,,,
57:54.0,00:00.0,100,2,44,63,53,32164,104805,30108,7843,4246,8220,4533,1854,,,,,
