'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
12:36.0,00:00.0,100,3,50,53,51,85776,45889,48975,28806,11661,9069,6700,2501,,11507.04371,10163.16631,6481.092751,2930.488273
12:38.0,00:00.0,100,2,47,60,53,55889,8267,1458,7140,10868,1037,802,659,,,,,
12:39.0,00:00.0,100,2,51,60,55,35458,32627,9131,10143,8217,14453,17856,1820,,,,,
12:40.0,00:00.0,100,2,61,48,54,17253,24063,3270,15687,9708,9258,9291,2943,,,,,
12:41.0,00:00.0,100,2,67,37,52,10265,53866,7867,9165,5053,14286,11389,3380,,,,,
12:42.0,00:00.0,100,2,81,41,61,87912,8237,6978,2207,1375,4099,2580,768,,,,,
12:43.0,00:00.0,100,2,64,60,62,27588,24125,16477,33911,6598,3972,8993,2951,,,,,
12:44.0,00:00.0,100,2,60,48,54,7924,62171,6812,8481,5940,8213,2399,833,,,,,
12:45.0,00:00.0,100,2,56,63,59,83354,32944,20024,19786,8013,11166,1983,2677,,,,,
12:46.0,00:00.0,100,2,48,56,52,6903,47958,13835,10728,3273,7134,2642,735,,,,,
12:47.0,00:00.0,100,2,56,47,51,38960,13037,6825,8590,8433,3731,3304,1697,,,,,
12:48.0,00:00.0,100,2,53,69,61,1893,24453,18214,15352,3439,4285,1327,4085,,,,,
12:49.0,00:00.0,100,2,63,63,63,5442,16690,11570,7570,7316,16226,3935,2775,,,,,
12:50.0,00:00.0,100,2,66,57,61,33936,48834,4987,12155,7732,10339,1803,1803,,,,,
12:51.0,00:00.0,100,2,69,50,59,39763,58292,20549,14519,23370,15880,3427,6950,,,,,
12:52.0,00:00.0,100,2,75,48,61,3175,10779,11096,7346,6808,4605,3865,728,,,,,
12:53.0,00:00.0,100,2,61,56,58,5716,29068,36200,4906,9397,7005,5992,3225,,,,,
12:54.0,00:00.0,100,2,54,70,62,38997,38265,29419,8799,7437,5763,2500,1473,,,,,
12:55.0,00:00.0,100,2,54,84,69,8379,3473,6045,6315,6661,2517,6273,1757,,,,,
12:56.0,00:00.0,100,2,50,88,69,21419,22739,37335,9932,10381,6749,4491,1077,,,,,
12:57.0,00:00.0,100,2,60,81,70,14278,24941,20889,2359,5187,12590,4102,2816,,,,,
12:58.0,00:00.0,100,2,57,69,63,208979,44838,8140,14535,20891,4842,9379,2293,,,,,
12:59.0,00:00.0,100,2,51,78,64,95547,22856,45639,29059,8592,6583,3752,3785,,,,,
13:00.0,00:00.0,100,2,53,64,58,84134,50879,12398,16504,7850,8842,8135,7201,,,,,
13:01.0,00:00.0,100,2,51,51,51,37088,23565,1256,7809,10422,8159,3878,1668,,,,,
13:02.0,00:00.0,100,2,50,74,62,120112,43877,56478,38793,7928,7955,9819,2893,,,,,
13:03.0,00:00.0,100,2,57,40,48,61024,50266,4284,9902,15968,10281,4553,1278,,,,,
13:04.0,00:00.0,100,2,54,43,48,18746,78768,35987,18167,9833,11394,6494,1166,,,,,
13:05.0,00:00.0,100,2,50,67,58,9300,32017,46724,16970,5585,11691,1058,1390,,,,,
13:06.0,00:00.0,100,2,50,44,47,23649,51563,14660,3191,9276,4202,3852,1365,,,,,
13:07.0,00:00.0,100,2,44,69,56,707840,25592,39819,7166,5273,6913,2623,1601,,,,,
13:08.0,00:00.0,100,2,44,60,52,746899,103740,5620,23295,7900,11092,2148,1770,,,,,
13:09.0,00:00.0,100,2,35,37,36,523825,45847,10533,2617,5059,2701,2088,804,,,,,
13:10.0,00:00.0,100,2,38,50,44,49509,27015,14326,11584,4867,4337,5003,1418,,,,,
13:11.0,00:00.0,100,2,41,41,41,414483,17307,12322,9778,7278,5408,2636,3345,,,,,
13:12.0,00:00.0,100,2,37,66,51,12508,17381,32118,4929,6419,2255,2358,723,,,,,
13:13.0,00:00.0,100,2,43,78,60,25984,33637,27456,15088,34222,6913,11081,5447,,,,,
13:14.0,00:00.0,100,2,44,81,62,7397,22842,23899,13606,12915,6737,7077,1360,,,,,
13:15.0,00:00.0,100,2,38,81,59,26310,63709,45539,10476,14216,7780,5860,3731,,,,,
13:16.0,00:00.0,100,2,50,75,62,51130,19423,7285,35817,15591,10239,5770,4901,,,,,
13:17.0,00:00.0,100,2,51,70,60,109914,13272,4745,4582,4809,2742,1120,412,,,,,
13:18.0,00:00.0,100,2,51,70,60,34354,42082,16074,30069,4185,7844,7669,3572,,,,,
13:19.0,00:00.0,100,2,53,51,52,244932,97049,8878,7477,7434,8863,9159,3508,,,,,
13:20.0,00:00.0,100,2,54,35,44,24113,53912,5115,15388,7934,13256,8238,3478,,,,,
13:21.0,00:00.0,100,2,51,43,47,101767,15952,18070,2232,3062,2958,1498,611,,,,,
13:22.0,00:00.0,100,2,50,43,46,10212,29213,17392,21686,11084,5177,2853,1520,,,,,
13:23.0,00:00.0,100,2,51,50,50,12869,35021,2046,8251,5927,4540,3428,1544,,,,,
13:24.0,00:00.0,100,2,47,57,52,12588,19962,3414,13531,8361,4331,2075,1570,,,,,
13:25.0,00:00.0,100,2,51,54,52,15628,34719,39317,25959,46958,14598,6018,2533,,,,,
13:26.0,00:00.0,100,2,54,57,55,41251,16073,31908,13799,22185,6428,6922,5332,,,,,
13:27.0,00:00.0,100,2,60,66,63,10687,27243,5271,13249,11131,6868,2816,3381,,,,,
13:28.0,00:00.0,100,2,66,70,68,17423,12723,6489,17408,8971,7727,2799,1731,,,,,
13:29.0,00:00.0,100,2,70,57,63,8021,63321,22462,1758,5282,16726,3864,2011,,,,,
13:30.0,00:00.0,100,2,63,50,56,7545,71728,24095,21333,9116,3932,3069,2000,,,,,
13:31.0,00:00.0,100,2,61,57,59,4666,23268,20771,5926,5994,6553,3463,2059,,,,,
13:32.0,00:00.0,100,2,60,48,54,8297,54853,21233,7648,9684,17154,5498,2977,,,,,
13:33.0,00:00.0,100,2,57,69,63,9086,27017,15229,44057,4265,13690,6567,1578,,,,,
13:34.0,00:00.0,100,2,69,63,66,12895,40747,13419,6098,16095,6698,9472,3318,,,,,
13:35.0,00:00.0,100,2,67,63,65,38313,35267,25977,25766,20753,8262,3394,1161,,,,,
13:36.0,00:00.0,100,2,61,83,72,29914,26111,48630,17237,3814,10166,2694,2403,,,,,
13:37.0,00:00.0,100,2,60,63,61,6681,40838,7033,9122,7258,7227,2751,513,,,,,
13:38.0,00:00.0,100,2,67,66,66,13513,9180,3791,2405,1667,4213,3074,2590,,,,,
13:39.0,00:00.0,100,2,63,44,53,114393,123748,4926,18979,19039,10980,18903,5771,,,,,
13:40.0,00:00.0,100,2,61,13,37,133303,33825,3778,2863,3829,3305,1311,531,,,,,
13:41.0,00:00.0,100,2,54,24,39,9660,54370,29607,29617,14621,7952,9868,1977,,,,,
13:42.0,00:00.0,100,2,47,35,41,134512,29353,29907,4205,7606,6696,6469,3345,,,,,
13:43.0,00:00.0,100,2,44,47,45,317001,150970,40226,22886,26242,13771,13038,3054,,,,,
13:44.0,00:00.0,100,2,51,67,59,218352,15566,9515,10942,3119,5538,2029,421,,,,,
13:45.0,00:00.0,100,2,44,66,55,109910,68997,44837,12115,8496,5027,3534,3677,,,,,
13:46.0,00:00.0,100,2,44,48,46,92413,41862,3206,9787,5078,6545,5152,1337,,,,,
13:47.0,00:00.0,100,2,48,43,45,147553,28788,1592,7025,1141,3203,771,656,,,,,
13:48.0,00:00.0,100,2,48,37,42,14093,18571,14206,1383,11591,5248,2943,1455,,,,,
13:49.0,00:00.0,100,2,53,43,48,32298,37124,46243,18225,16458,6563,4533,2684,,,,,
13:50.0,00:00.0,100,2,44,54,49,451667,75031,27873,18277,5697,5963,6619,5813,,,,,
13:51.0,00:00.0,100,2,37,41,39,159816,74985,5216,952,10157,3048,1508,722,,,,,
13:52.0,00:00.0,100,2,26,38,32,2635659,781463,149496,172800,140661,58986,85754,54772,,,,,
13:53.0,00:00.0,100,2,29,23,26,122458,302998,117029,19727,110491,38303,37392,9926,,,,,
13:54.0,00:00.0,100,2,38,23,30,361505,124758,15627,65820,26901,23157,32104,4299,,,,,
13:55.0,00:00.0,100,2,57,41,49,55209,71676,29246,23405,15486,40781,26068,8205,,,,,
13:56.0,00:00.0,100,2,57,37,47,402934,334861,41812,33428,34008,21204,5115,5493,,,,,
13:57.0,00:00.0,100,2,61,51,56,19223,28212,27225,23550,11412,8805,13043,13054,,,,,
13:58.0,00:00.0,100,2,57,43,50,17896,74039,12360,5580,2592,7961,4034,1661,,,,,
13:59.0,00:00.0,100,2,50,63,56,10342,6201,14552,26233,6315,5856,4107,1953,,,,,
14:00.0,00:00.0,100,2,61,84,72,77912,15069,37368,8890,10935,9661,2596,2655,,,,,
14:01.0,00:00.0,100,2,66,83,74,19608,14219,7167,23453,10154,7944,4022,1394,,,,,
14:02.0,00:00.0,100,2,67,100,83,27541,14395,18533,9672,5276,5106,7226,1308,,,,,
14:03.0,00:00.0,100,2,67,100,83,3372,9938,17406,39059,5188,8159,3949,2273,,,,,
14:04.0,00:00.0,100,2,64,87,75,5550,66812,9071,15925,10365,10953,3743,2125,,,,,
14:05.0,00:00.0,100,2,43,81,62,150815,126103,81422,14211,8484,4760,6530,933,,,,,
14:06.0,00:00.0,100,2,44,75,59,17492,18034,7298,14439,12080,5448,5572,2016,,,,,
14:07.0,00:00.0,100,2,48,51,49,3978,40576,7809,8886,7418,8220,2815,2300,,,,,
14:08.0,00:00.0,100,2,51,64,57,527428,47714,18961,68300,22944,21356,4236,2439,,,,,
14:09.0,00:00.0,100,2,67,47,57,141373,66975,2143,10655,7399,9489,5274,2580,,,,,
14:10.0,00:00.0,100,2,75,51,63,36784,11701,22450,12085,14253,13052,4431,2562,,,,,
14:11.0,00:00.0,100,2,67,51,59,29058,57832,14224,8384,13416,7076,2837,1453,,,,,
14:12.0,00:00.0,100,2,64,60,62,7624,10897,32906,8920,7311,5296,4770,2430,,,,,
14:13.0,00:00.0,100,2,57,53,55,30640,14751,495,1350,3243,983,1565,1189,,,,,
14:14.0,00:00.0,100,2,48,56,52,14127,33745,30214,31775,13591,10033,4371,1224,,,,,
14:15.0,00:00.0,100,2,57,61,59,25459,50134,27130,5849,3046,20434,3448,2191,,,,,
14:16.0,00:00.0,100,2,56,43,49,264278,58910,17760,10490,14029,7920,3945,2977,,,,,
14:17.0,00:00.0,100,2,60,74,67,12845,50547,64170,23024,9922,10965,3481,2860,,,,,
14:18.0,00:00.0,100,2,57,66,61,30387,48992,30790,2077,3986,7026,7125,4696,,,,,
14:19.0,00:00.0,100,2,54,51,52,10436,52617,1990,9540,8583,11404,5504,2308,,,,,
14:20.0,00:00.0,100,2,51,51,51,7058,79625,5754,24031,8194,6842,8111,1610,,,,,
14:21.0,00:00.0,100,2,64,41,52,3593,26957,8231,19757,7602,18377,8970,5375,,,,,
14:22.0,00:00.0,100,2,61,44,52,45961,19700,11873,5086,2525,2204,1172,1131,,,,,
14:23.0,00:00.0,100,2,61,53,57,38020,37485,14715,10226,22353,10923,14039,1930,,,,,
14:24.0,00:00.0,100,2,74,69,71,11231,24944,35694,26408,14312,17552,5853,2539,,,,,
14:25.0,00:00.0,100,2,70,75,72,2847,21535,37894,5580,9891,19430,7222,2963,,,,,
14:26.0,00:00.0,100,2,88,48,68,6338,32352,1486,2632,9348,12542,5386,3217,,,,,
14:27.0,00:00.0,100,2,100,50,75,22319,13420,6732,6767,4383,14476,6433,767,,,,,
14:28.0,00:00.0,100,2,97,44,70,6336,28547,29029,6299,6016,11842,5921,2928,,,,,
14:29.0,00:00.0,100,2,88,23,55,18047,43410,3989,3719,12131,5476,7786,2558,,,,,
14:30.0,00:00.0,100,2,64,41,52,5177,91040,28314,5934,1867,4016,8344,1330,,,,,
14:31.0,00:00.0,100,2,51,43,47,3794,35701,22937,6837,16677,7902,4668,1541,,,,,
14:32.0,00:00.0,100,2,48,41,44,19054,32693,20497,10283,10390,8400,4860,1901,,,,,
14:33.0,00:00.0,100,2,53,60,56,14546,31996,22807,17887,19265,11414,4410,1021,,,,,
14:34.0,00:00.0,100,2,69,67,68,14032,19150,16628,8933,4863,7638,11337,4320,,,,,
14:35.0,00:00.0,100,2,75,61,68,26416,23994,7159,4537,8115,7314,5072,2475,,,,,
14:36.0,00:00.0,100,2,77,44,60,14801,42625,5660,4050,9858,8851,3851,1955,,,,,
14:37.0,00:00.0,100,2,61,21,41,12225,254153,19004,7134,9631,8213,3320,2375,,,,,
14:38.0,00:00.0,100,2,54,4,29,4204,46221,7050,2327,5220,4821,1239,1503,,,,,
14:39.0,00:00.0,100,2,44,13,28,6695,42729,25641,9368,9792,6508,3041,1791,,,,,
14:40.0,00:00.0,100,2,47,27,37,13732,21200,12081,10182,6252,7849,2396,3087,,,,,
14:41.0,00:00.0,100,2,50,50,50,57825,15395,3613,7095,4483,1071,1588,607,,,,,
14:42.0,00:00.0,100,2,51,63,57,176542,50177,38483,12793,25112,10901,6338,3696,,,,,
14:43.0,00:00.0,100,2,61,57,59,18817,19175,9695,2905,8038,7994,5820,2332,,,,,
14:44.0,00:00.0,100,2,57,66,61,29801,26060,32472,15170,2973,9085,8117,2466,,,,,
14:45.0,00:00.0,100,2,57,60,58,56818,18386,3163,3520,3252,1223,1209,319,,,,,
14:46.0,00:00.0,100,2,60,63,61,40627,19782,15012,16665,11531,5817,1879,940,,,,,
14:47.0,00:00.0,100,2,44,77,60,24948,39566,22101,35007,8058,4890,4397,1641,,,,,
14:48.0,00:00.0,100,2,44,57,50,26141,53180,6312,13364,12222,9322,3638,1249,,,,,
14:49.0,00:00.0,100,2,53,41,47,74762,73833,3796,1449,14059,7829,6005,1799,,,,,
14:50.0,00:00.0,100,2,57,38,47,10439,25514,12509,8084,5727,9287,5979,4091,,,,,
14:51.0,00:00.0,100,2,69,24,46,25588,56744,5195,18900,7121,13893,7313,5781,,,,,
14:52.0,00:00.0,100,2,69,23,46,17311,43835,1149,9850,8166,6800,6139,1395,,,,,
14:53.0,00:00.0,100,2,66,60,63,9416,31646,47516,14754,5666,6950,7686,3100,,,,,
