'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
12:35.0,00:00.0,100,2,50,56,53,296651,76948,7217,17124,7989,8083,2675,3409,,16055.87834,11713.94664,5568.239061,2603.002134
12:36.0,00:00.0,100,3,47,56,51,1456137,501520,236921,151956,123985,90924,51798,16474,,,,,
12:37.0,00:00.0,100,1,41,50,45,19945,7630,2038,3756,3267,1324,1943,338,,,,,
12:38.0,00:00.0,100,1,37,47,42,330550,86486,32124,13275,23157,16099,13714,6606,,,,,
12:39.0,00:00.0,100,1,37,64,50,16915,24211,4076,65971,12111,6820,7824,3019,,,,,
12:40.0,00:00.0,100,1,44,67,55,20809,25330,14308,22334,8747,17937,7878,2863,,,,,
12:41.0,00:00.0,100,1,30,57,43,33069,83730,12167,7885,10736,2194,6979,2040,,,,,
12:42.0,00:00.0,100,1,23,53,38,2897316,322572,15800,49824,15624,19438,2854,2917,,,,,
12:43.0,00:00.0,100,1,29,41,35,25851,61869,19687,21858,8756,16299,4381,1466,,,,,
12:44.0,00:00.0,100,1,37,38,37,35146,15916,16223,11834,20299,22909,7154,1603,,,,,
12:45.0,00:00.0,100,1,56,51,53,51141,26727,32937,13868,15211,12849,5750,4636,,,,,
12:46.0,00:00.0,100,1,66,54,60,633537,54093,9372,17551,20546,13414,6843,5574,,,,,
12:47.0,00:00.0,100,1,69,57,63,21058,31576,27261,17377,16217,15600,4082,2323,,,,,
12:48.0,00:00.0,100,1,51,63,57,290154,40530,34934,10410,8441,6903,3577,3560,,,,,
12:49.0,00:00.0,100,1,43,57,50,84537,74153,19863,28290,17397,7995,4315,2764,,,,,
12:50.0,00:00.0,100,1,43,64,53,28053,31654,10107,19447,9392,11070,2499,3068,,,,,
12:51.0,00:00.0,100,3,30,67,48,1895029,54600,48493,78818,78428,12208,6658,1996,,,,,
12:52.0,00:00.0,61,2,30,67,48,434143,3892,1408,683,316,1519,535,166,,,,,
12:53.0,00:00.0,100,2,27,53,40,282282,163430,19097,21829,17488,11883,9834,3730,,,,,
12:54.0,00:00.0,100,1,38,41,39,3531984,612812,56476,56131,58846,127043,39623,34036,,,,,
12:55.0,00:00.0,100,1,29,47,38,1023945,55351,26398,64288,21905,11306,5866,1709,,,,,
12:56.0,00:00.0,100,3,38,53,45,1068457,58506,138514,48425,26423,34176,15545,5691,,,,,
12:57.0,00:00.0,100,3,47,61,54,228167,10357,4715,4279,2699,2738,2793,552,,,,,
12:58.0,00:00.0,87,2,47,61,54,1490348,72863,18482,18935,6709,5345,813,529,,,,,
12:59.0,00:00.0,100,2,47,56,51,2704436,48202,2588,2781,14148,9989,4272,8371,,,,,
13:00.0,00:00.0,100,2,51,40,45,1641586,62248,16255,7066,43243,12441,12201,14034,,,,,
13:01.0,00:00.0,100,2,57,29,43,184195,50587,59262,21308,37453,37776,5057,4826,,,,,
13:02.0,00:00.0,100,2,56,38,47,1206901,114345,199130,32006,38819,40833,5056,8553,,,,,
13:03.0,00:00.0,100,2,43,57,50,1131506,329926,131388,63086,25633,24557,24467,6730,,,,,
13:04.0,00:00.0,100,2,48,66,57,630154,72088,63589,5897,22218,36942,14469,14239,,,,,
13:05.0,00:00.0,100,2,50,61,55,1365867,72500,34067,15345,35108,37960,14661,12537,,,,,
13:06.0,00:00.0,100,2,54,50,52,232499,58447,38618,13452,41951,21101,18226,5065,,,,,
13:07.0,00:00.0,100,2,50,44,47,2243401,671965,149537,59208,47678,18810,9952,5329,,,,,
13:08.0,00:00.0,100,1,38,30,34,163557,77873,5283,7294,12697,7269,1412,475,,,,,
13:09.0,00:00.0,100,2,16,38,27,1032595,328824,155710,171370,74454,21621,9555,4353,,,,,
13:10.0,00:00.0,100,2,13,43,28,2082267,171545,99466,32183,12278,44795,30231,7889,,,,,
13:11.0,00:00.0,100,2,24,54,39,941227,65799,33343,87424,50848,14239,13087,3321,,,,,
13:12.0,00:00.0,100,1,29,74,51,151924,28352,19040,15736,10558,8499,4360,2037,,,,,
13:13.0,00:00.0,100,1,50,50,50,105184,51405,995,4291,5555,15572,5978,645,,,,,
13:14.0,00:00.0,100,1,54,44,49,475933,112179,38590,35845,28616,39578,11811,4922,,,,,
13:15.0,00:00.0,100,1,60,41,50,188288,7378,4755,2166,2789,1843,538,247,,,,,
13:16.0,00:00.0,100,1,51,24,37,1169628,631446,33430,67555,45612,40453,11408,3236,,,,,
13:17.0,00:00.0,100,1,48,37,42,1910531,115431,22075,49788,119192,41345,3891,3439,,,,,
13:18.0,00:00.0,100,2,44,27,35,438142,78451,6708,17193,22790,14498,13977,1938,,,,,
13:19.0,00:00.0,100,1,43,27,35,75001,11331,7098,3306,3529,2358,603,307,,,,,
13:20.0,00:00.0,100,1,35,29,32,32606,247027,12905,39639,12977,6671,9574,1935,,,,,
13:21.0,00:00.0,100,1,20,40,30,1649347,635685,303030,246922,185686,50465,20922,5844,,,,,
13:22.0,00:00.0,100,2,16,48,32,96551,58060,30739,11945,23960,9623,1017,1729,,,,,
13:23.0,00:00.0,100,2,1,38,19,247356,118460,8024,20229,23307,3016,1734,730,,,,,
13:24.0,00:00.0,100,2,17,48,32,2058431,365628,224747,38087,66477,99752,19422,10052,,,,,
13:25.0,00:00.0,100,2,20,38,29,1075574,145434,16438,21924,19572,9747,3612,782,,,,,
13:26.0,00:00.0,100,2,21,43,32,375551,18731,11611,11493,7343,4454,2534,695,,,,,
13:27.0,00:00.0,100,2,23,38,30,351171,740922,58611,50415,41021,20694,17671,7562,,,,,
13:28.0,00:00.0,100,2,16,44,30,203402,57441,78300,53349,68008,15264,9926,864,,,,,
13:29.0,00:00.0,100,2,23,57,40,905215,210474,165344,174574,138151,58398,30356,2718,,,,,
13:30.0,00:00.0,100,1,30,50,40,79387,12264,1177,7276,10809,5259,338,106,,,,,
13:31.0,00:00.0,100,2,38,61,49,329909,47099,10370,16568,9520,4487,3805,578,,,,,
13:32.0,00:00.0,100,2,40,54,47,935920,109157,59940,17200,43184,15510,12856,7335,,,,,
13:33.0,00:00.0,100,2,37,30,33,1207263,454432,38959,8326,80053,39925,28500,6986,,,,,
13:34.0,00:00.0,100,2,21,23,22,1463986,198088,11157,20754,11418,12552,7883,1692,,,,,
13:35.0,00:00.0,100,2,26,17,21,65874,120672,21153,17502,25563,13771,8137,959,,,,,
13:36.0,00:00.0,100,2,29,16,22,948476,100107,41278,21389,24688,23881,4752,11946,,,,,
13:37.0,00:00.0,100,2,40,24,32,719165,138797,11710,26705,40742,31760,3387,1742,,,,,
13:38.0,00:00.0,100,2,43,23,33,1684993,1307958,88316,84125,127959,107650,13805,4780,,,,,
13:39.0,00:00.0,100,2,35,21,28,483495,123590,11573,17705,13956,5914,1244,742,,,,,
13:40.0,00:00.0,100,1,27,24,25,1538524,143070,76371,67061,62075,20271,10024,2113,,,,,
13:41.0,00:00.0,100,2,21,29,25,398682,40782,9151,7948,7391,5638,2046,871,,,,,
13:42.0,00:00.0,100,1,27,38,32,1109178,110446,21972,19423,36240,24012,3748,1334,,,,,
13:43.0,00:00.0,100,1,26,43,34,704347,87500,31337,24481,50822,4616,1425,875,,,,,
13:44.0,00:00.0,100,1,29,47,38,265228,36002,24346,17722,9366,6913,1663,385,,,,,
13:45.0,00:00.0,100,2,27,54,40,152798,20052,15119,7832,4865,3760,1802,846,,,,,
13:46.0,00:00.0,100,2,26,57,41,338974,134658,41112,44606,88271,27459,4501,2179,,,,,
13:47.0,00:00.0,100,2,29,56,42,410613,92585,17581,19882,13347,6195,7131,1825,,,,,
13:48.0,00:00.0,100,2,27,43,35,1001744,134785,21686,19211,24349,12660,3931,1716,,,,,
13:49.0,00:00.0,100,2,26,30,28,1173834,331491,16448,58097,13304,29235,8430,2646,,,,,
13:50.0,00:00.0,100,2,20,41,30,1152653,61780,41202,75097,45887,10948,24390,3502,,,,,
13:51.0,00:00.0,100,2,26,48,37,70094,41840,18855,14301,8628,7125,2367,1327,,,,,
13:52.0,00:00.0,100,2,30,44,37,132884,48391,5666,6658,21143,8684,1292,1981,,,,,
13:53.0,00:00.0,100,2,43,63,53,483773,49421,159307,30542,38589,54739,4947,5859,,,,,
