'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
30:17.0,00:00.0,100,2,34,63,48,60062,58570,40369,24242,12581,11779,4814,2317,,14369.30874,10325.22131,4774.920765,2228.265027
30:18.0,00:00.0,100,2,34,67,50,29207,48684,41354,11098,4154,9446,4482,2251,,,,,
30:19.0,00:00.0,100,2,47,67,57,16272,18653,10527,12469,6458,6419,2741,1223,,,,,
30:20.0,00:00.0,100,2,50,61,55,38780,31159,3720,8472,5687,4895,4294,909,,,,,
30:21.0,00:00.0,100,2,43,63,53,46532,70659,67491,14814,22901,6176,5111,1134,,,,,
30:22.0,00:00.0,100,2,35,48,41,30570,99154,5677,15196,18462,4610,976,1790,,,,,
30:23.0,00:00.0,100,2,30,40,35,119603,61244,18002,4952,16658,9135,1854,1967,,,,,
30:24.0,00:00.0,100,2,37,41,39,39283,38675,3568,19696,10859,13648,1090,1789,,,,,
30:25.0,00:00.0,100,2,43,44,43,87058,11340,17230,5074,5667,3047,1641,2255,,,,,
30:26.0,00:00.0,100,2,50,61,55,994046,30356,21640,37291,17009,6218,5074,1643,,,,,
30:27.0,00:00.0,100,2,43,74,58,643181,25917,6578,25903,3954,3153,2218,1402,,,,,
30:28.0,00:00.0,100,2,35,84,59,14541,26514,33020,16692,11981,7117,1063,1688,,,,,
30:29.0,00:00.0,100,2,37,88,62,8542,8060,24540,7097,9061,3617,1780,2148,,,,,
30:30.0,00:00.0,100,2,43,80,61,23159,12574,13316,11220,28871,5683,4811,1685,,,,,
30:31.0,00:00.0,100,2,60,66,63,6085,6563,2223,3267,14127,4007,1770,1825,,,,,
30:32.0,00:00.0,100,2,61,56,58,19341,30172,10013,5406,4633,4988,2604,891,,,,,
30:33.0,00:00.0,100,2,66,48,57,9941,22062,19723,4339,7817,7013,3267,1647,,,,,
30:34.0,00:00.0,100,2,60,54,57,48737,22472,30032,12398,9800,5350,4021,1798,,,,,
30:35.0,00:00.0,100,2,60,54,57,63022,55700,9014,7478,13282,22949,3504,1427,,,,,
30:36.0,00:00.0,100,2,54,50,52,131846,187172,28814,23200,10334,13612,1977,1492,,,,,
30:37.0,00:00.0,100,2,50,48,49,50119,67998,34677,15911,22956,10264,4627,5678,,,,,
30:38.0,00:00.0,100,2,47,17,32,184543,579220,30698,4004,57953,35137,22298,6443,,,,,
30:39.0,00:00.0,100,2,44,14,29,475143,118366,8367,16184,20542,37654,11179,3156,,,,,
30:40.0,00:00.0,100,2,53,23,38,4718,33569,7608,18535,3559,8119,5912,1824,,,,,
30:41.0,00:00.0,100,2,50,26,38,11262,37431,11578,29274,6581,5343,7609,786,,,,,
30:42.0,00:00.0,100,2,56,57,56,14647,11921,23584,23903,17292,6688,5543,2257,,,,,
30:43.0,00:00.0,100,2,51,75,63,4465,25737,28025,7358,9419,9830,3305,1707,,,,,
30:44.0,00:00.0,100,2,50,81,65,25561,16689,22119,7545,4279,6111,2367,1567,,,,,
30:45.0,00:00.0,100,2,48,83,65,92805,63735,54044,22333,24685,7389,3372,3135,,,,,
30:46.0,00:00.0,100,2,43,66,54,355608,138917,30450,8971,11334,10766,6543,2104,,,,,
30:47.0,00:00.0,100,2,35,67,51,149261,13572,14886,4013,5198,2270,3025,1670,,,,,
30:48.0,00:00.0,100,2,43,57,50,12823,27907,10891,13503,10632,14963,5830,3640,,,,,
30:49.0,00:00.0,100,2,53,54,53,19517,19487,6670,9243,4611,5263,3558,1214,,,,,
30:50.0,00:00.0,100,2,44,64,54,15324,37763,36949,15043,26115,2201,4904,1592,,,,,
30:51.0,00:00.0,100,2,48,61,54,32414,32199,14167,18034,12838,6650,3011,1878,,,,,
30:52.0,00:00.0,100,2,40,60,50,15282,37186,14600,7678,12870,7536,4669,844,,,,,
