'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
04:03.0,00:00.0,100,1,14,47,30,1408948,82005,44329,10820,5132,3625,2138,4431,,9448.864476,8252.50308,5239.944559,4458.574949
04:04.0,00:00.0,100,1,27,60,43,1561117,538864,37426,25632,15444,24241,9751,14358,,,,,
04:05.0,00:00.0,100,1,20,47,33,716342,722613,98316,122348,28247,18030,4115,26206,,,,,
04:06.0,00:00.0,100,1,30,53,41,79730,9732,546,1630,1022,731,259,806,,,,,
04:07.0,00:00.0,100,1,37,43,40,203435,107320,16460,4248,9787,5289,6502,10832,,,,,
04:08.0,00:00.0,100,1,35,63,49,808976,16979,11999,11201,777,1116,978,4060,,,,,
04:09.0,00:00.0,100,1,40,63,51,974737,67006,10336,11305,5094,2739,1548,4405,,,,,
04:10.0,00:00.0,100,2,43,67,55,664714,13123,1407,4110,556,1676,772,692,,,,,
04:11.0,00:00.0,100,2,44,75,59,154130,104955,8358,41342,2333,7534,8058,22767,,,,,
04:12.0,00:00.0,100,2,29,60,44,2094862,1103342,182055,40004,21157,7413,7557,26821,,,,,
04:13.0,00:00.0,100,2,24,54,39,2568718,1244679,99346,102136,36880,22980,7681,15570,,,,,
04:14.0,00:00.0,100,2,3,47,25,1973628,272810,25441,5490,3791,2677,2222,3230,,,,,
04:15.0,00:00.0,100,2,1,30,15,402593,557043,30883,13772,4149,5004,2374,5186,,,,,
04:16.0,00:00.0,100,2,7,23,15,123431,19439,1000,553,282,926,194,650,,,,,
04:17.0,00:00.0,100,2,4,27,15,486993,151567,16528,23826,3320,2469,2987,5697,,,,,
04:18.0,00:00.0,100,2,8,30,19,898967,229240,34526,11931,3618,3598,2381,4461,,,,,
04:19.0,00:00.0,100,2,11,50,30,856445,103504,47495,23737,4344,1788,1234,2926,,,,,
04:20.0,00:00.0,100,2,1,47,24,1231337,704502,3729,36397,5878,12342,6842,15191,,,,,
04:21.0,00:00.0,100,2,4,48,26,1042211,179028,44168,9912,4841,4446,1826,3687,,,,,
04:22.0,00:00.0,100,2,16,61,38,121834,2467,1712,1916,861,272,238,114,,,,,
04:23.0,00:00.0,100,2,21,63,42,1013683,164507,106543,9945,2088,4903,1322,2600,,,,,
